Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,31.6000,-0.0126,0.5236,0.0396,0.0000,0.2381,0.8211,0.0000,0.4489,0.0000,0.3384,-1.6946,-0.0617
2023-10-31,30.9500,-0.0208,1.2543,0.0549,0.0000,0.5703,0.7785,0.0000,0.6012,0.0206,0.3369,-1.7623,-0.0420
2023-11-01,31.4500,0.0160,0.2106,0.0270,0.0000,0.0958,0.8534,1.0000,0.5990,0.0129,0.3602,-1.5093,-0.0986
2023-11-02,32.1500,0.0220,0.4082,0.0249,0.0000,0.1856,0.9296,2.0000,0.4838,0.0159,0.3644,-1.2665,-0.1182
2023-11-05,32.6500,0.0154,0.5070,0.0505,0.0000,0.2305,0.9643,3.0000,0.3639,0.0000,0.3725,-1.0381,-0.1317
2023-11-06,32.1500,-0.0154,0.5587,0.0482,0.0000,0.2540,0.8261,0.0000,0.3394,0.0168,0.3711,-1.0539,-0.1182
2023-11-07,32.2500,0.0031,0.8754,0.0450,0.0000,0.3980,0.7563,1.0000,0.3207,0.0109,0.3560,-0.7666,-0.1209
2023-11-08,32.1000,-0.0047,0.2997,0.0296,0.0000,0.1363,0.6768,0.0000,0.4228,0.0124,0.3661,-0.7536,-0.1168
2023-11-09,31.8000,-0.0094,1.0059,0.0456,0.0000,0.4574,0.5655,0.0000,0.4209,0.0140,0.3663,-0.9061,-0.1085
2023-11-12,33.4500,0.0506,1.3926,0.0478,0.0000,0.6332,0.8219,1.0000,0.4827,0.0142,0.3563,-0.5093,-0.1525
2023-11-14,32.6000,-0.0257,1.9637,0.0383,0.0000,0.8929,0.8781,0.0000,0.6209,-0.0194,0.3576,-1.0355,-0.1304
2023-11-15,32.8500,0.0076,1.7775,0.0335,0.0000,0.8082,0.8331,1.0000,0.6019,0.0092,0.3488,-0.3896,-0.1370
2023-11-16,32.5500,-0.0092,0.8732,0.0307,0.0000,0.3970,0.8490,0.0000,0.5975,0.0167,0.3442,-0.6759,-0.1290
2023-11-19,32.6000,0.0015,2.7771,0.0322,0.0000,1.2628,0.8112,1.0000,0.4922,0.0215,0.3762,1.0646,-0.1304
2023-11-20,32.1500,-0.0139,2.0676,0.0373,0.0000,0.9401,0.8056,0.0000,0.5465,0.0184,0.3806,-0.1871,-0.1182
2023-11-21,31.7500,-0.0125,1.6156,0.0472,0.0000,0.2128,0.8043,0.0000,0.9817,0.0218,0.3804,-1.5604,-0.1071
2023-11-22,31.3000,-0.0143,1.0972,0.0383,0.0000,0.1756,0.8305,0.0000,1.0909,0.0000,0.3752,-2.4166,-0.0942
2023-11-23,31.0500,-0.0080,1.0586,0.0322,0.0000,0.2300,0.8479,0.0000,1.1908,0.0016,0.3664,-2.5890,-0.0870
2023-11-27,30.8500,-0.0065,0.9407,0.0438,0.0000,0.3429,0.8452,0.0000,1.5340,0.0129,0.3506,-2.5623,-0.0810
2023-11-28,30.6500,-0.0065,1.1311,0.0392,0.0000,0.3442,0.3695,0.0000,1.5456,0.0000,0.3215,-2.5525,-0.0750
