Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,16.7140,0.0059,0.6530,0.0237,0.0000,0.4375,0.6712,1.0000,-1.2449,0.0060,0.1605,-0.7531,0.0000
2023-10-31,16.7140,0.0000,0.6748,0.0237,0.0000,0.3655,0.6894,0.0000,-1.5154,0.0059,0.1680,-0.7258,0.0089
2023-11-01,16.8623,0.0088,0.6243,0.0147,0.0000,0.2769,0.7137,1.0000,-1.5293,0.0059,0.1773,-0.3320,0.0059
2023-11-02,16.9612,0.0058,1.0300,0.0350,0.0000,0.5413,0.7459,2.0000,-1.5283,0.0088,0.1771,0.3756,0.0000
2023-11-05,17.9008,0.0539,2.5205,0.0608,0.0000,1.3502,1.1375,3.0000,0.4964,0.0058,0.2257,1.9963,-0.0635
2023-11-06,17.7524,-0.0083,0.8896,0.0306,0.0000,0.4484,0.9281,0.0000,0.6831,0.0083,0.2181,1.2520,-0.0641
2023-11-07,17.6535,-0.0056,0.9998,0.0224,0.0000,0.5566,0.8999,0.0000,0.7539,0.0000,0.2179,0.5601,-0.0868
2023-11-08,17.4063,-0.0141,0.7926,0.0312,0.0000,0.3577,0.9603,0.0000,0.8467,0.0028,0.2198,0.0736,-0.0739
2023-11-09,17.0107,-0.0230,0.9126,0.0262,0.0000,0.4507,1.0243,0.0000,0.7983,-0.0028,0.2187,-0.4900,-0.0523
2023-11-12,17.1590,0.0087,0.7540,0.0259,0.0000,0.3609,1.0386,1.0000,0.7681,0.0233,0.2167,0.0183,-0.0605
2023-11-14,17.2579,0.0057,0.9341,0.0086,0.0000,0.5012,1.0382,2.0000,0.7124,0.0058,0.2082,0.5995,-0.0659
2023-11-15,17.1590,-0.0057,0.4896,0.0115,0.0000,0.1428,1.0485,0.0000,0.7588,0.0000,0.2209,0.3028,-0.0605
2023-11-16,17.2085,0.0029,0.7706,0.0144,0.0000,0.3919,1.0428,1.0000,0.7582,0.0029,0.2025,0.8408,-0.0632
2023-11-19,17.1590,-0.0029,1.0263,0.0346,0.0000,0.5226,1.0433,0.0000,0.7103,0.0029,0.1990,0.2518,-0.0605
2023-11-20,17.1590,0.0000,0.7692,0.0144,0.0000,0.3427,0.4760,0.0000,0.6484,0.0000,0.2023,0.2745,-0.0605
2023-11-21,17.0601,-0.0058,0.5754,0.0203,0.0000,0.2638,0.4715,0.0000,1.9688,0.0086,0.2110,-0.0924,-0.0551
2023-11-22,17.4557,0.0229,1.9303,0.0340,0.0000,1.0230,0.6320,1.0000,1.6535,0.0029,0.2303,1.0614,-0.0765
2023-11-23,17.3074,-0.0085,0.8823,0.0257,0.0000,0.4382,0.6056,0.0000,1.6408,0.0028,0.2252,0.4188,-0.0686
2023-11-27,17.3568,0.0029,0.9285,0.0228,0.0000,0.4597,0.4595,1.0000,1.9313,0.0057,0.2232,1.0022,-0.0712
2023-11-28,17.3568,0.0000,1.1859,0.0228,0.0000,0.5830,0.4450,0.0000,1.9313,0.0057,0.2217,0.9368,-0.0712
2023-11-29,17.1590,-0.0115,1.0256,0.0259,0.0000,0.5671,0.4769,0.0000,1.9815,0.0029,0.2162,-0.0440,-0.0605
2023-11-30,17.0601,-0.0058,1.1819,0.0203,0.0000,0.5620,0.4769,0.0000,2.0079,0.0029,0.2136,-1.3096,-0.0551
2023-12-03,17.0601,0.0000,1.3012,0.0145,0.0000,0.6107,0.4737,0.0000,2.1350,0.0116,0.2102,-1.3311,-0.0551
2023-12-04,16.9612,-0.0058,1.4894,0.0204,0.0000,0.6314,0.4813,0.0000,2.2478,0.0058,0.2216,-2.3815,-0.0496
2023-12-05,16.7634,-0.0117,1.5867,0.0207,0.0000,0.5834,0.5088,0.0000,0.7033,0.0029,0.1840,-2.9151,-0.0383
2023-12-06,16.6151,-0.0089,2.0699,0.0268,0.0000,1.0587,0.5170,0.0000,0.7063,-0.0206,0.2145,-3.0796,-0.0298
2023-12-07,16.1206,-0.0302,2.3872,0.0245,0.0000,0.9890,0.4611,0.0000,0.0117,-0.0179,0.2539,-3.0351,0.0092
2023-12-10,16.4173,0.0182,1.3297,0.0361,0.0000,0.7336,0.6147,1.0000,-0.0246,-0.0061,0.2524,-2.0262,-0.0090
2023-12-11,16.3678,-0.0030,0.8666,0.0211,0.0000,0.3978,0.6003,0.0000,0.0054,0.0120,0.2510,-1.9874,-0.0060
2023-12-12,16.4173,0.0030,0.7128,0.0151,0.0000,0.4052,0.6100,1.0000,0.0444,0.0000,0.2483,-1.5263,-0.0090
2023-12-13,16.3184,-0.0060,1.1063,0.0273,0.0000,0.6602,0.6026,0.0000,0.2014,0.0060,0.2458,-1.6540,-0.0030
2023-12-14,16.3184,0.0000,0.6055,0.0121,0.0000,0.2273,0.6075,0.0000,0.1158,0.0061,0.2340,-1.4625,-0.0030
2023-12-17,16.9118,0.0357,1.7360,0.0263,0.0000,0.8868,0.8623,1.0000,0.8951,0.0364,0.2383,-0.8140,-0.0380
2023-12-18,16.7140,-0.0118,0.6797,0.0296,0.0000,0.3018,0.8751,0.0000,0.9339,0.0146,0.2401,-0.9365,-0.0266
2023-12-19,16.2689,-0.0270,0.8199,0.0517,0.0000,0.3927,0.9417,0.0000,0.7542,0.0059,0.2304,-1.0881,0.0030
2023-12-20,16.3184,0.0030,0.9562,0.0303,0.0000,0.5655,0.9440,1.0000,0.6560,-0.0030,0.2093,-0.6921,0.0000
2023-12-21,16.3184,0.0000,0.6962,0.0182,0.0000,0.4307,0.8127,0.0000,0.7709,0.0061,0.2097,-0.6157,-0.0182
2023-12-25,16.4173,0.0060,0.5730,0.0120,0.0000,0.2734,0.7667,1.0000,0.6029,0.0000,0.2118,-0.3475,-0.0241
2023-12-26,16.4667,0.0030,0.8224,0.0150,0.0000,0.4535,0.7683,2.0000,0.6010,0.0030,0.2062,0.0482,-0.0270
2023-12-27,16.3184,-0.0090,0.7468,0.0151,0.0000,0.2937,0.7807,0.0000,0.6947,0.0060,0.2084,-0.1527,-0.0182
2023-12-28,16.4173,0.0060,1.1138,0.0181,0.0000,0.8139,0.7812,1.0000,0.5166,0.0000,0.2057,0.5291,-0.0241
2023-12-31,16.6645,0.0149,1.1346,0.0297,0.0000,0.6037,0.8097,2.0000,0.3264,0.0060,0.2048,1.3244,-0.0386
2024-01-01,16.5656,-0.0060,0.6554,0.0179,0.0000,0.3464,0.5742,0.0000,0.3897,0.0030,0.2116,1.1850,-0.0328
2024-01-02,16.6151,0.0030,0.6943,0.0119,0.0000,0.3889,0.5534,1.0000,0.2932,0.0060,0.2157,1.7683,-0.0357
2024-01-03,16.8623,0.0148,1.5291,0.0235,0.0000,0.6459,0.3723,2.0000,0.0768,0.0119,0.2231,2.4374,-0.0499
2024-01-04,16.7634,-0.0059,1.1055,0.0236,0.0000,0.5237,0.4591,0.0000,0.0539,0.0000,0.2112,1.5608,-0.0442
2024-01-07,16.7140,-0.0030,0.6546,0.0237,0.0000,0.2686,0.4718,0.0000,0.5091,0.0118,0.1856,1.1013,-0.0414
2024-01-08,16.7140,0.0000,1.1929,0.0237,0.0000,0.5942,0.4701,0.0000,0.6942,0.0000,0.1828,0.9979,-0.0414
2024-01-09,16.6645,-0.0030,0.6485,0.0178,0.0000,0.3092,0.4768,0.0000,0.6937,0.0059,0.1892,0.5925,-0.0386
2024-01-10,16.9118,0.0147,1.5825,0.0234,0.0000,0.6300,0.4831,1.0000,0.5550,0.0089,0.1970,1.3070,-0.0526
2024-01-11,16.8623,-0.0029,1.0457,0.0176,0.0000,0.4472,0.4932,0.0000,0.5342,0.0058,0.1969,0.6738,-0.0499
2024-01-14,16.6645,-0.0118,0.9323,0.0356,0.0000,0.3458,0.4888,0.0000,0.5787,0.0205,0.1880,0.0500,-0.0386
2024-01-15,16.5656,-0.0060,1.2177,0.0269,0.0000,0.6460,0.5110,0.0000,-0.4480,0.0000,0.1676,-0.7045,-0.0328
2024-01-16,16.4667,-0.0060,1.0317,0.0150,0.0000,0.5935,0.5242,0.0000,-0.5118,-0.0030,0.1623,-1.3448,-0.0270
