Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,75.5500,-0.0268,0.5981,0.0510,0.0000,0.1706,0.6808,0.0000,0.0861,0.0180,0.2447,-1.3889,0.0212
2023-10-31,77.2000,0.0216,0.6006,0.0259,0.0000,0.1913,0.7556,1.0000,0.1124,0.0185,0.2510,-1.1171,-0.0006
2023-11-01,77.1500,-0.0006,0.2020,0.0259,0.0000,0.0691,0.7162,0.0000,0.1767,0.0227,0.2830,-1.0522,0.0557
2023-11-02,81.4500,0.0542,3.0493,0.0694,0.0000,1.5860,0.9573,1.0000,0.7460,0.0052,0.3266,-0.1815,0.0276
2023-11-05,85.3500,0.0468,3.2340,0.0703,0.0000,1.3495,1.0326,2.0000,0.7300,0.0068,0.3798,0.8749,-0.0193
2023-11-06,86.4500,0.0128,1.2227,0.0341,0.0000,0.2744,1.0286,3.0000,0.6269,0.0100,0.3673,1.2915,-0.0318
2023-11-07,88.3500,0.0217,1.3418,0.0379,0.0000,0.2832,0.9167,4.0000,0.6285,0.0179,0.3553,1.7161,-0.0526
2023-11-08,88.4000,0.0006,0.7680,0.0226,0.0000,0.2182,0.8978,5.0000,0.7105,0.0164,0.3463,1.9125,-0.0532
2023-11-09,86.2500,-0.0246,1.9019,0.0777,0.0000,0.9232,1.0046,0.0000,0.7570,-0.0385,0.3584,1.2467,-0.0296
2023-11-12,84.9500,-0.0152,0.3123,0.0188,0.0000,0.1268,1.0385,0.0000,0.7598,-0.0243,0.3804,1.1205,-0.0147
2023-11-14,83.7000,-0.0148,1.0417,0.0424,0.0000,0.2169,0.9818,0.0000,0.7600,0.0059,0.3813,0.7508,0.0639
2023-11-15,96.6000,0.1433,7.9345,0.1822,0.0000,3.6324,1.6216,1.0000,2.2445,0.0030,0.5703,3.1655,-0.0782
2023-11-16,98.0500,0.0149,5.9202,0.0836,0.0000,2.9749,1.6064,2.0000,2.2546,0.0041,0.6371,3.4131,-0.0918
2023-11-19,94.6000,-0.0358,1.6570,0.0951,0.0000,0.8242,1.6670,0.0000,2.0798,0.0153,0.6358,2.3125,-0.0587
2023-11-20,99.0500,0.0460,1.2660,0.0621,0.0000,0.6288,1.6468,1.0000,1.9505,0.0032,0.6250,2.1641,-0.1010
2023-11-21,95.2500,-0.0391,0.8632,0.0688,0.0000,0.5185,1.7216,0.0000,1.8067,-0.0005,0.6125,1.6942,-0.0651
2023-11-22,95.9000,0.0068,0.7063,0.0328,0.0000,0.3185,1.7222,1.0000,1.8392,0.0000,0.5956,1.6212,-0.0714
2023-11-23,93.9000,-0.0211,0.3650,0.0394,0.0000,0.0895,1.7436,0.0000,1.8155,0.0115,0.5939,1.3753,-0.0517
2023-11-27,90.8000,-0.0336,1.0848,0.0650,0.0000,0.5499,1.7931,0.0000,1.7941,-0.0053,0.5685,1.0282,-0.0193
2023-11-28,90.7000,-0.0011,1.0550,0.0684,0.0000,0.4620,1.7859,0.0000,1.7909,0.0044,0.5347,0.7054,-0.0182
2023-11-29,93.4500,0.0299,0.4318,0.0385,0.0000,0.1305,1.7758,1.0000,1.6771,0.0221,0.5203,0.7271,-0.0471
2023-11-30,93.5500,0.0011,0.7535,0.0508,0.0000,0.4305,0.9947,2.0000,1.7611,0.0144,0.4949,0.8318,-0.0481
2023-12-03,92.9000,-0.0070,0.3692,0.0436,0.0000,0.1660,0.9791,0.0000,1.7702,0.0214,0.4740,0.6570,-0.0414
2023-12-04,90.8500,-0.0223,0.3412,0.0512,0.0000,0.1442,0.9406,0.0000,2.0885,0.0011,0.4883,0.4887,-0.0198
