Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,5.6000,-0.0177,0.1853,0.0000,0.0000,0.1853,0.6672,0.0000,-0.3220,-0.0175,0.6081,-1.4133,-0.0357
2023-10-31,5.5000,-0.0180,0.6243,0.0000,0.0000,0.6243,0.3220,0.0000,-0.1063,-0.0179,0.5951,-1.4106,-0.0182
2023-11-01,5.4000,-0.0183,0.6125,0.0000,0.0000,0.6125,0.3242,0.0000,0.1063,-0.0182,0.5817,-1.3969,0.0185
2023-11-02,5.5000,0.0183,4.7559,0.0364,0.0000,4.7559,0.7079,1.0000,0.1071,0.0185,0.6115,0.0709,0.0455
2023-11-05,5.7500,0.0445,5.5537,0.0261,0.0000,5.5537,1.2345,2.0000,0.5409,0.0455,0.6541,1.9970,0.0435
2023-11-06,6.0000,0.0426,2.4810,0.0333,0.0000,2.4810,1.4581,3.0000,0.6376,0.0435,0.6323,2.4032,0.0500
2023-11-07,6.3000,0.0488,0.2727,0.0000,0.0000,0.2727,1.6007,4.0000,0.6985,0.0500,0.6308,2.0947,0.0476
2023-11-08,6.6000,0.0465,0.2870,0.0000,0.0000,0.2870,1.6256,5.0000,0.6491,0.0476,0.6359,1.8870,0.0303
2023-11-09,6.9000,0.0445,4.6913,0.0797,0.0000,4.6913,1.6653,6.0000,0.5638,0.0455,0.6403,2.6346,-0.0290
2023-11-12,7.5500,0.0900,0.7908,0.0000,0.0000,0.7908,1.7480,7.0000,0.9237,0.0942,0.6209,2.2947,-0.1258
2023-11-14,7.7000,0.0197,0.7963,0.0000,0.0000,0.7963,1.5795,8.0000,0.9022,0.0132,0.6010,2.0697,-0.1558
2023-11-15,7.7500,0.0065,1.1151,0.0000,0.0000,1.1151,1.4169,9.0000,0.9508,0.0065,0.5742,1.9568,-0.1742
2023-11-16,7.6000,-0.0195,0.8145,0.0329,0.0000,0.8145,1.4145,0.0000,0.9417,-0.0194,0.5794,1.5745,-0.1711
2023-11-19,7.4500,-0.0199,0.1595,0.0134,0.0000,0.1595,1.6209,0.0000,0.9326,-0.0197,0.5870,1.3753,-0.1544
2023-11-20,7.3000,-0.0203,0.1503,0.0000,0.0000,0.1503,1.7486,0.0000,0.9233,-0.0201,0.6156,1.2143,-0.1507
2023-11-21,7.1500,-0.0208,0.1571,0.0000,0.0000,0.1571,1.8161,0.0000,0.9139,-0.0205,0.6101,1.0750,-0.1469
2023-11-22,7.2500,0.0139,1.4473,0.0345,0.0000,1.4473,1.7433,1.0000,0.8314,0.0140,0.5798,1.1866,-0.1586
2023-11-23,7.3500,0.0137,0.2107,0.0000,0.0000,0.2107,1.6617,2.0000,0.7583,0.0138,0.5680,1.1074,-0.1701
2023-11-27,7.4500,0.0135,0.4273,0.0000,0.0000,0.4273,1.5817,3.0000,0.6995,0.0136,0.5844,1.0693,-0.1812
2023-11-28,7.3000,-0.0203,0.7124,0.0137,0.0000,0.7124,0.8403,0.0000,0.6897,-0.0201,0.5691,0.8677,-0.1644
2023-11-29,7.1500,-0.0208,0.5312,0.0000,0.0000,0.5312,0.7741,0.0000,0.6796,-0.0205,0.5481,0.7000,-0.1469
2023-11-30,7.0000,-0.0212,0.5752,0.0000,0.0000,0.5752,0.7544,0.0000,0.6692,-0.0210,0.5352,0.5168,-0.1286
2023-12-03,7.1000,0.0142,1.1449,0.0282,0.0000,1.1449,0.8131,1.0000,0.6014,0.0143,0.5129,0.7488,-0.1408
2023-12-04,7.0000,-0.0142,0.2729,0.0071,0.0000,0.2729,0.8234,0.0000,0.7000,-0.0141,0.5258,0.6466,-0.1286
2023-12-05,6.9000,-0.0144,0.2345,0.0000,0.0000,0.2345,0.8362,0.0000,0.9425,-0.0143,0.5099,0.5218,-0.1159
2023-12-06,7.0000,0.0144,4.0690,0.0286,0.0000,4.0690,0.8510,1.0000,1.1100,0.0145,0.5453,1.8465,-0.1286
2023-12-07,6.9000,-0.0144,2.6583,0.0290,0.0000,2.6583,0.8205,0.0000,1.4290,-0.0143,0.5384,0.6851,-0.1159
2023-12-10,6.8000,-0.0146,0.2649,0.0000,0.0000,0.2649,0.7731,0.0000,1.8102,-0.0145,0.5351,0.5514,-0.1029
2023-12-11,6.7000,-0.0148,0.6278,0.0000,0.0000,0.6278,0.6876,0.0000,2.2894,-0.0147,0.4924,0.0319,-0.0896
2023-12-12,6.6000,-0.0150,0.3724,0.0000,0.0000,0.3724,0.6792,0.0000,0.6618,-0.0149,0.5068,-0.3323,-0.0758
2023-12-13,6.5000,-0.0153,0.2385,0.0000,0.0000,0.2385,0.6587,0.0000,0.8783,-0.0152,0.5264,-0.5516,-0.0615
2023-12-14,6.4000,-0.0155,0.8061,0.0000,0.0000,0.8061,0.6344,0.0000,1.1311,-0.0154,0.5276,-1.0593,-0.0469
2023-12-17,6.3000,-0.0157,0.3332,0.0000,0.0000,0.3332,0.4794,0.0000,1.1302,-0.0156,0.5406,-1.2235,-0.0317
2023-12-18,6.3000,0.0000,1.2596,0.0159,0.0000,1.2596,0.5181,0.0000,0.9547,0.0000,0.5220,-1.1752,-0.0317
2023-12-19,6.2000,-0.0160,1.6597,0.0323,0.0000,1.6597,0.5187,0.0000,0.9647,-0.0159,0.5005,-2.0888,-0.0161
2023-12-20,6.1000,-0.0163,0.1456,0.0000,0.0000,0.1456,0.2502,0.0000,0.9826,-0.0161,0.5029,-1.9254,0.0164
2023-12-21,6.2000,0.0163,2.2170,0.0242,0.0000,2.2170,0.5465,1.0000,0.9937,0.0164,0.5091,-0.4951,0.0161
2023-12-25,6.5000,0.0473,0.8972,0.0000,0.0000,0.8972,1.0549,2.0000,1.7194,0.0484,0.4907,0.1074,-0.0308
2023-12-26,6.6000,0.0153,4.4620,0.0606,0.0000,4.4620,1.0801,3.0000,1.6955,0.0000,0.5364,2.7858,-0.0455
2023-12-27,6.3000,-0.0465,1.6666,0.0794,0.0000,1.6666,1.2387,0.0000,1.0070,0.0076,0.5307,1.5002,0.0397
2023-12-28,6.5500,0.0389,1.7571,0.0611,0.0000,1.7571,1.3681,1.0000,0.8240,-0.0159,0.5181,2.1761,0.0458
2023-12-31,6.8500,0.0448,1.3969,0.0438,0.0000,1.3969,1.4581,2.0000,0.6676,0.0076,0.5024,2.3746,0.0000
2024-01-01,7.1500,0.0429,0.4349,0.0000,0.0000,0.4349,1.4727,3.0000,0.6273,0.0438,0.5144,2.1245,-0.0559
2024-01-02,7.5000,0.0478,0.5236,0.0133,0.0000,0.5236,1.5105,4.0000,0.4371,0.0420,0.5018,1.9701,-0.1133
2024-01-03,7.8500,0.0456,0.3089,0.0000,0.0000,0.3089,1.4335,5.0000,0.2324,0.0467,0.4930,1.7901,-0.1592
2024-01-04,8.2000,0.0436,0.3794,0.0000,0.0000,0.3794,1.2913,6.0000,0.1536,0.0446,0.4902,1.6926,-0.1951
2024-01-07,8.3500,0.0181,0.7850,0.0000,0.0000,0.7850,1.2864,7.0000,0.0047,0.0183,0.4827,1.6515,-0.2096
2024-01-08,8.5000,0.0178,3.9629,0.0000,0.0000,3.9629,1.2645,8.0000,-0.1454,0.0180,0.5091,2.2699,-0.2235
2024-01-09,8.6500,0.0175,0.3496,0.0000,0.0000,0.3496,1.2596,9.0000,-0.2989,0.0176,0.5116,1.9773,-0.2370
2024-01-10,8.5000,-0.0175,1.1601,0.0353,0.0000,1.1601,0.9079,0.0000,-0.2958,-0.0173,0.4890,1.5009,-0.2235
2024-01-11,8.3500,-0.0178,0.1545,0.0000,0.0000,0.1545,1.0971,0.0000,-0.2927,-0.0176,0.4879,1.3112,-0.2096
2024-01-14,8.2000,-0.0181,0.1850,0.0000,0.0000,0.1850,1.1786,0.0000,-0.2896,-0.0180,0.5011,1.1479,-0.1951
2024-01-15,8.0500,-0.0185,0.2479,0.0000,0.0000,0.2479,1.1994,0.0000,-0.2864,-0.0183,0.4971,0.9930,-0.1801
2024-01-16,7.9000,-0.0188,1.1202,0.0000,0.0000,1.1202,1.1230,0.0000,-0.2231,-0.0186,0.4905,0.6638,-0.1646
2024-01-17,7.9500,0.0063,0.8562,0.0377,0.0000,0.8562,0.9511,1.0000,-0.3184,0.0063,0.4931,0.7886,-0.1698
2024-01-18,7.8000,-0.0190,0.1186,0.0000,0.0000,0.1186,0.7369,0.0000,-0.3151,-0.0189,0.4909,0.6962,-0.1538
2024-01-22,7.5000,-0.0392,0.0348,0.0000,0.0000,0.0348,0.7617,0.0000,-0.2153,-0.0385,0.5281,0.6219,-0.1200
2024-01-23,7.3500,-0.0202,0.0433,0.0000,0.0000,0.0433,0.6405,0.0000,-0.0220,-0.0200,0.5544,0.5475,-0.1020
2024-01-24,7.2000,-0.0206,0.0741,0.0000,0.0000,0.0741,0.4418,0.0000,0.1320,-0.0204,0.5496,0.4522,-0.0833
2024-01-28,7.0500,-0.0211,0.2965,0.0000,0.0000,0.2965,0.4403,0.0000,0.2693,-0.0208,0.5687,0.2837,-0.0638
2024-01-29,6.9500,-0.0143,3.4738,0.0144,0.0000,3.4738,0.4426,0.0000,0.4904,-0.0142,0.5857,-1.0777,-0.0504
2024-01-30,6.8500,-0.0145,0.7385,0.0000,0.0000,0.7385,0.4441,0.0000,0.7156,-0.0144,0.5885,-1.4175,-0.0365
2024-01-31,6.7500,-0.0147,0.6995,0.0148,0.0000,0.6995,0.4447,0.0000,0.9664,-0.0146,0.5865,-1.6733,-0.0222
2024-02-01,6.6500,-0.0149,1.3218,0.0150,0.0000,1.3218,0.4444,0.0000,1.1878,-0.0148,0.5820,-1.9960,-0.0075
2024-02-04,6.6000,-0.0075,0.7635,0.0152,0.0000,0.7635,0.3340,0.0000,1.3065,-0.0075,0.5733,-2.0160,0.0152
2024-02-05,6.7000,0.0150,0.9494,0.0000,0.0000,0.9494,0.5409,1.0000,0.7551,0.0152,0.5619,-1.5583,0.0149
2024-02-06,6.8000,0.0148,0.3784,0.0000,0.0000,0.3784,0.5458,2.0000,0.7283,0.0149,0.5748,-1.3256,0.0147
2024-02-07,6.9000,0.0146,0.5524,0.0000,0.0000,0.5524,0.6021,3.0000,0.6979,0.0147,0.5094,-1.0902,0.0145
2024-02-08,7.0000,0.0144,1.2435,0.0000,0.0000,1.2435,0.6177,4.0000,0.6637,0.0145,0.4997,-0.7180,0.0500
2024-02-11,7.3500,0.0488,1.4829,0.0340,0.0000,1.4829,0.8295,5.0000,1.2486,0.0500,0.4926,-0.2921,0.0476
2024-02-12,7.7000,0.0465,2.2312,0.0649,0.0000,2.2312,0.9229,6.0000,1.0768,-0.0204,0.4804,0.3954,-0.0195
2024-02-13,8.0500,0.0445,1.8940,0.0870,0.0000,1.8940,0.9308,7.0000,0.8347,0.0130,0.4615,1.0301,-0.0807
2024-02-14,8.4500,0.0485,2.2286,0.0000,0.0000,2.2286,0.8908,8.0000,0.6238,0.0497,0.4523,1.7133,-0.1420
2024-02-15,8.8500,0.0463,0.7136,0.0000,0.0000,0.7136,0.7658,9.0000,0.4042,0.0473,0.4594,1.7307,-0.1977
2024-02-18,9.2500,0.0442,0.5929,0.0000,0.0000,0.5929,0.6095,10.0000,0.2688,0.0452,0.4708,1.7257,-0.2486
2024-02-19,9.7000,0.0475,0.3895,0.0000,0.0000,0.3895,0.5682,11.0000,0.0595,0.0486,0.4596,1.6573,-0.2938
2024-02-20,9.5000,-0.0208,1.0568,0.0000,0.0000,1.0568,0.8498,0.0000,0.1890,-0.0206,0.4221,1.2847,-0.2895
2024-02-21,9.3500,-0.0159,0.4456,0.0000,0.0000,0.4456,1.0053,0.0000,0.1972,-0.0158,0.3989,1.1039,-0.2781
2024-02-22,9.2000,-0.0162,0.2392,0.0000,0.0000,0.2392,1.1278,0.0000,0.2078,-0.0160,0.3879,0.9901,-0.2935
2024-02-25,9.0500,-0.0164,1.3372,0.0000,0.0000,1.3372,1.1901,0.0000,0.2213,-0.0163,0.3665,0.6143,-0.3149
2024-02-26,8.9000,-0.0167,0.0613,0.0000,0.0000,0.0613,1.2086,0.0000,0.2179,-0.0166,0.3480,0.5433,-0.3090
2024-02-27,8.7500,-0.0170,0.0369,0.0000,0.0000,0.0369,1.1890,0.0000,0.2145,-0.0169,0.3838,0.4749,-0.2971
2024-02-28,8.6000,-0.0173,0.0198,0.0000,0.0000,0.0198,1.1010,0.0000,0.2111,-0.0171,0.4189,0.4063,-0.2849
2024-02-29,8.4500,-0.0176,0.0580,0.0000,0.0000,0.0580,0.9597,0.0000,0.2076,-0.0174,0.4565,0.3209,-0.2722
2024-03-03,8.1500,-0.0361,0.0346,0.0000,0.0000,0.0346,0.7855,0.0000,0.1154,-0.0355,0.4922,0.2282,-0.2454
2024-03-04,8.0000,-0.0186,0.0398,0.0000,0.0000,0.0398,0.2177,0.0000,0.2404,-0.0184,0.5305,0.1282,-0.2312
2024-03-05,7.8500,-0.0189,0.0331,0.0000,0.0000,0.0331,0.2167,0.0000,0.3655,-0.0188,0.5536,0.0121,-0.2166
2024-03-06,8.0000,0.0189,1.4230,0.0375,0.0000,1.4230,0.4828,1.0000,0.3426,0.0191,0.5382,0.3072,-0.2312
2024-03-10,7.8500,-0.0189,0.1147,0.0000,0.0000,0.1147,0.4826,0.0000,0.4675,-0.0188,0.5728,0.1646,-0.2166
2024-03-11,7.7000,-0.0193,0.0477,0.0000,0.0000,0.0477,0.4838,0.0000,0.7047,-0.0191,0.6102,0.0077,-0.2013
2024-03-12,7.5500,-0.0197,0.0286,0.0000,0.0000,0.0286,0.4851,0.0000,0.9700,-0.0195,0.6410,-0.1385,-0.1854
2024-03-13,7.4000,-0.0201,3.6883,0.0000,0.0000,3.6883,0.4865,0.0000,1.2795,-0.0199,0.6442,-1.7127,-0.1689
2024-03-14,7.2500,-0.0205,2.5905,0.0000,0.0000,2.5905,0.4880,0.0000,1.6479,-0.0203,0.6193,-2.2085,-0.1517
2024-03-17,7.1000,-0.0209,0.0670,0.0000,0.0000,0.0670,0.4887,0.0000,2.1386,-0.0207,0.6510,-1.9173,-0.1338
2024-03-18,6.9500,-0.0214,0.0841,0.0000,0.0000,0.0841,0.4385,0.0000,2.8774,-0.0211,0.6768,-1.7469,-0.1151
2024-03-19,6.8500,-0.0145,0.0863,0.0000,0.0000,0.0863,0.4419,0.0000,2.7069,-0.0144,0.6947,-1.6679,-0.1022
2024-03-20,6.7500,-0.0147,2.5767,0.0296,0.0000,2.5767,0.4465,0.0000,2.6195,-0.0146,0.6952,-2.0655,-0.0889
2024-03-21,6.7500,0.0000,1.2558,0.0148,0.0000,1.2558,0.2394,0.0000,2.1070,0.0000,0.6942,-1.8204,-0.0889
2024-03-25,6.5000,-0.0377,2.6643,0.0923,0.0000,2.6643,0.3444,0.0000,1.4984,0.0370,0.6694,-2.1674,-0.0615
2024-03-26,6.2000,-0.0473,2.0609,0.0887,0.0000,2.0609,0.5068,0.0000,0.6751,0.0000,0.6683,-2.1696,-0.0323
2024-03-27,6.1500,-0.0081,3.3135,0.0650,0.0000,3.3135,0.5365,0.0000,0.5665,-0.0323,0.6413,-2.3619,-0.0244
2024-03-31,6.4500,0.0476,0.9579,0.0310,0.0000,0.9579,0.9864,1.0000,1.7489,0.0488,0.6188,-1.8378,-0.0698
