Date,Close,Log_Return,Vol_Shock_Ratio,Norm_Spread,Amihud_Ratio,Delivery_Divergence,Volatility_Squeeze,Positive_Streak,Return_Skewness,Gap_Up_Momentum,Volume_Gini_20D,OBV_Acceleration,Max_Drawdown_20D
2023-10-30,13.3000,0.0075,0.3907,0.0489,0.0000,0.2756,0.6273,1.0000,-0.4110,0.0114,0.3748,0.4325,0.0376
2023-10-31,13.8000,0.0369,0.7923,0.0725,0.0000,0.4229,0.6928,2.0000,-0.3947,-0.0226,0.3726,0.6707,0.0471
2023-11-01,14.4500,0.0460,0.7798,0.0796,0.0000,0.3538,0.7562,3.0000,-0.5686,0.0036,0.3727,0.9392,0.0277
2023-11-02,15.1000,0.0440,1.7470,0.0596,0.0000,0.8866,0.7994,4.0000,-0.6895,0.0069,0.3551,1.5273,-0.0166
2023-11-05,15.8500,0.0485,2.2913,0.0852,0.0000,1.3356,0.8201,5.0000,-0.8487,0.0066,0.3718,2.2249,-0.0662
2023-11-06,15.6500,-0.0127,0.9445,0.0607,0.0000,0.6246,0.5149,0.0000,-0.9129,0.0000,0.3675,1.6933,-0.0543
2023-11-07,15.7500,0.0064,0.5997,0.0413,0.0000,0.3646,0.5230,1.0000,-0.9055,0.0064,0.3594,1.8595,-0.0603
2023-11-08,16.0000,0.0157,0.8483,0.0562,0.0000,0.4636,0.5207,2.0000,-1.0214,0.0095,0.3440,1.9552,-0.0750
2023-11-09,16.0000,0.0000,1.0631,0.0500,0.0000,0.6529,0.5349,0.0000,-0.9704,0.0000,0.3213,1.6930,-0.0750
2023-11-12,15.9500,-0.0031,0.4334,0.0251,0.0000,0.2402,0.4777,0.0000,-0.8910,-0.0031,0.2792,1.4222,-0.0721
2023-11-14,15.8500,-0.0063,0.4590,0.0284,0.0000,0.2616,0.5016,0.0000,-0.8724,0.0031,0.2924,1.1750,-0.0662
2023-11-15,16.4500,0.0372,2.1091,0.0578,0.0000,1.1267,0.5229,1.0000,-1.0033,0.0000,0.3097,1.6059,-0.1003
2023-11-16,15.9000,-0.0340,1.0051,0.0472,0.0000,0.4884,0.6224,0.0000,-0.9155,0.0030,0.3070,1.1810,-0.0692
2023-11-19,15.6000,-0.0190,0.9006,0.0513,0.0000,0.5529,0.5961,0.0000,-0.8234,0.0031,0.2995,0.8352,-0.0513
2023-11-20,15.4000,-0.0129,0.6906,0.0552,0.0000,0.4819,0.4754,0.0000,-0.8320,0.0096,0.3049,0.5670,-0.0390
2023-11-21,15.2000,-0.0131,0.5925,0.0428,0.0000,0.3672,0.4754,0.0000,0.1630,-0.0130,0.3122,0.3239,-0.0263
2023-11-22,15.1000,-0.0066,0.4136,0.0199,0.0000,0.2493,0.4701,0.0000,0.2927,0.0066,0.3199,0.1195,-0.0199
2023-11-23,14.9000,-0.0133,0.4799,0.0336,0.0000,0.2996,0.4535,0.0000,0.4996,0.0033,0.3229,-0.1232,-0.0067
2023-11-27,15.2500,0.0232,0.9459,0.0590,0.0000,0.6346,0.5134,1.0000,0.4481,0.0067,0.3103,0.1299,-0.0295
2023-11-28,14.9000,-0.0232,0.6425,0.0503,0.0000,0.3458,0.5335,0.0000,0.4438,0.0066,0.3098,-0.2555,-0.0067
2023-11-29,14.8500,-0.0034,0.4915,0.0337,0.0000,0.2957,0.5342,0.0000,0.5082,0.0034,0.3096,-0.6834,-0.0034
2023-11-30,15.2000,0.0233,1.1267,0.0526,0.0000,0.7022,0.4628,1.0000,0.5468,0.0101,0.3103,-0.2374,-0.0263
2023-12-03,14.9500,-0.0166,0.5192,0.0468,0.0000,0.2721,0.4160,0.0000,0.7422,0.0164,0.3211,-0.8261,-0.0100
2023-12-04,15.0500,0.0067,0.6061,0.0199,0.0000,0.3228,0.4103,1.0000,0.8145,0.0033,0.3093,-0.4769,-0.0166
2023-12-05,14.8000,-0.0168,0.6152,0.0304,0.0000,0.2963,0.4173,0.0000,0.6906,0.0033,0.2552,-0.8208,0.0034
2023-12-06,15.2500,0.0300,1.2305,0.0557,0.0000,0.7491,0.4856,1.0000,0.5013,0.0000,0.2498,-0.0031,-0.0262
2023-12-07,17.1000,0.1145,5.0163,0.1433,0.0000,2.8081,0.9830,2.0000,2.2658,0.0066,0.3828,2.9666,-0.1316
2023-12-10,17.2000,0.0058,2.5398,0.0581,0.0000,1.6432,0.9846,3.0000,2.3386,0.0380,0.4140,3.1035,-0.1366
2023-12-11,16.4000,-0.0476,2.6157,0.1250,0.0000,1.6568,1.0823,0.0000,1.9861,0.0029,0.4386,1.5844,-0.0945
2023-12-12,16.9500,0.0330,1.4503,0.0501,0.0000,1.0203,1.0618,1.0000,1.7387,0.0152,0.4288,1.9543,-0.1239
2023-12-13,16.8000,-0.0089,0.8478,0.0685,0.0000,0.5203,1.0810,0.0000,1.7437,0.0177,0.4143,1.3985,-0.1161
