Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-07-09,,,,,,,,0
2023-07-10,9.500154,,,,,,,0
2023-07-11,-5.084645,,,,,,,0
2023-07-12,-5.099325,,,,,,,0
2023-07-13,-5.102111,,,,,,,0
2023-07-16,-5.091304,,,,,,,0
2023-07-17,-5.114357,,,,,,,0
2023-07-18,3.293518,,,,,,,0
2023-07-19,4.860467,,,,,,,0
2023-07-20,4.854987,,,,,,,0
2023-07-23,2.127114,,,,,,,0
2023-07-24,4.862774,,,,,,,0
2023-07-25,4.793137,,,,,,,0
2023-07-26,0.699747,,,,,,,0
2023-07-27,2.334924,,,,,,,0
2023-07-30,-0.759652,,,,,,,0
2023-07-31,-1.536605,,,,,,,0
2023-08-01,-4.513817,,,,,,,0
2023-08-02,4.048123,,,,,,,0
2023-08-03,-5.106722,,,,,,,0
2023-08-06,-5.122876,,,,,,,0
2023-08-07,4.218070,,,,,,,0
2023-08-08,3.050930,,,,,,,0
2023-08-09,-3.963745,,,,,,,0
2023-08-10,4.722199,,,,,,,0
2023-08-13,4.812626,,,,,,,0
2023-08-15,4.700190,,,,,,,0
2023-08-16,4.799948,,,,,,,0
2023-08-17,4.810084,,,,,,,0
2023-08-20,4.871180,,,,,,,0
2023-08-21,-5.134271,,,,,,,0
2023-08-22,-5.134511,,,,,,,0
2023-08-23,-4.067910,,,,,,,0
2023-08-24,3.963809,,,,,,,0
2023-08-27,4.511420,,,,,,,0
2023-08-28,4.475508,,,,,,,0
2023-08-29,1.853942,,,,,,,0
2023-08-30,-1.158659,,,,,,,0
2023-08-31,2.764561,,,,,,,0
2023-09-03,-2.073889,,,,,,,0
2023-09-04,-2.278034,,,,,,,0
2023-09-05,4.871583,,,,,,,0
2023-09-06,4.877400,,,,,,,0
2023-09-07,4.872140,,,,,,,0
2023-09-10,1.998099,,,,,,,0
2023-09-11,-5.114958,,,,,,,0
2023-09-12,-5.120408,,,,,,,0
2023-09-13,1.932675,,,,,,,0
2023-09-14,3.557826,,,,,,,0
2023-09-17,-2.912133,,,,,,,0
2023-09-19,0.583477,,,,,,,0
2023-09-20,-0.378828,,,,,,,0
2023-09-21,-0.557975,,,,,,,0
2023-09-24,-2.897897,,,,,,,0
2023-09-25,-1.036052,,,,,,,0
2023-09-26,4.286744,,,,,,,0
2023-09-27,-0.323304,,,,,,,0
2023-09-28,2.010717,,,,,,,0
2023-10-02,-2.364657,,,,,,,0
2023-10-03,-1.758435,,,,,,,0
2023-10-04,0.210414,,,,,,,0
2023-10-05,2.752046,2.522655,2.987344,0.375905,0.399591,1.090932,68.854962,0
2023-10-08,-3.112795,2.522655,2.987344,0.375905,0.399591,1.233936,73.893130,0
2023-10-09,1.731417,2.522655,2.987344,0.375905,0.399591,0.686347,48.702290,0
2023-10-10,-3.370809,2.522655,2.987344,0.375905,0.399591,1.336215,76.641221,0
2023-10-11,1.186664,2.522655,2.987344,0.375905,0.399591,0.470403,34.351145,0
2023-10-12,-3.040234,2.522655,2.987344,0.375905,0.399591,1.205172,73.129771,0
2023-10-15,3.913618,2.522655,2.987344,0.375905,0.399591,1.551389,83.206107,0
2023-10-16,-1.449809,2.522655,2.987344,0.375905,0.399591,0.574716,40.000000,0
2023-10-17,-3.183652,2.522655,2.987344,0.375905,0.399591,1.262024,74.656489,0
2023-10-18,-5.122786,2.522655,2.987344,0.375905,0.399591,2.030712,95.572519,0
2023-10-19,0.428956,2.522655,2.987344,0.375905,0.399591,0.170041,14.809160,0
2023-10-22,-3.927466,2.522655,2.987344,0.375905,0.399591,1.556878,83.664122,0
2023-10-24,-1.621937,2.522655,2.987344,0.375905,0.399591,0.642949,45.801527,0
2023-10-25,-0.244060,2.522655,2.987344,0.375905,0.399591,0.096747,9.923664,0
2023-10-26,0.487317,2.522655,2.987344,0.375905,0.399591,0.193176,17.099237,0
2023-10-29,-3.353162,2.522655,2.987344,0.375905,0.399591,1.329219,76.335878,0
2023-10-30,4.663441,2.522655,2.987344,0.375905,0.399591,1.848624,92.061069,0
2023-10-31,3.467722,2.522655,2.987344,0.375905,0.399591,1.374632,77.709924,0
2023-11-01,-3.330759,2.522655,2.987344,0.375905,0.399591,1.320338,76.030534,0
2023-11-02,-1.864707,2.522655,2.987344,0.375905,0.399591,0.739184,51.603053,0
2023-11-05,2.138072,3.124765,2.935108,0.302219,0.459714,0.684234,48.396947,0
2023-11-06,-1.477941,3.124765,2.935108,0.302219,0.459714,0.472977,34.809160,0
2023-11-07,0.276465,3.124765,2.935108,0.302219,0.459714,0.088475,9.007634,0
2023-11-08,3.993747,3.124765,2.935108,0.302219,0.459714,1.278095,75.114504,0
2023-11-09,2.198748,3.124765,2.935108,0.302219,0.459714,0.703652,49.618321,0
2023-11-12,3.413922,3.124765,2.935108,0.302219,0.459714,1.092537,69.007634,0
2023-11-14,-1.804112,3.124765,2.935108,0.302219,0.459714,0.577359,40.152672,0
2023-11-15,-0.737381,3.124765,2.935108,0.302219,0.459714,0.235980,19.083969,0
2023-11-16,-2.872170,3.124765,2.935108,0.302219,0.459714,0.919163,63.664122,0
2023-11-19,-0.298560,3.124765,2.935108,0.302219,0.459714,0.095546,9.770992,0
2023-11-20,-3.274567,3.124765,2.935108,0.302219,0.459714,1.047940,66.564885,0
2023-11-21,-0.515916,3.124765,2.935108,0.302219,0.459714,0.165106,14.198473,0
2023-11-22,-0.622843,3.124765,2.935108,0.302219,0.459714,0.199325,17.709924,0
2023-11-23,-0.452384,3.124765,2.935108,0.302219,0.459714,0.144774,12.977099,0
2023-11-27,-1.227820,3.124765,2.935108,0.302219,0.459714,0.392932,29.618321,0
2023-11-28,-1.529461,3.124765,2.935108,0.302219,0.459714,0.489464,35.725191,0
2023-11-29,-0.359021,3.124765,2.935108,0.302219,0.459714,0.114895,10.992366,0
2023-11-30,0.573773,3.124765,2.935108,0.302219,0.459714,0.183621,16.183206,0
2023-12-03,4.305192,3.124765,2.935108,0.302219,0.459714,1.377765,77.862595,0
2023-12-04,3.633117,3.124765,2.935108,0.302219,0.459714,1.162685,70.839695,0
2023-12-05,-2.508894,3.098442,1.605901,0.220482,0.619683,0.809728,55.419847,0
2023-12-06,-0.645773,3.098442,1.605901,0.220482,0.619683,0.208419,18.167939,0
