Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,0.8429,,,,,,,0
2023-06-21,-1.9371,,,,,,,0
2023-06-22,0.3661,,,,,,,0
2023-06-25,-1.1023,,,,,,,0
2023-06-26,1.0414,,,,,,,0
2023-06-27,0.3042,,,,,,,0
2023-06-29,9.1104,,,,,,,0
2023-07-02,0.9934,,,,,,,0
2023-07-03,-1.9967,,,,,,,0
2023-07-04,-0.7874,,,,,,,0
2023-07-05,1.2903,,,,,,,0
2023-07-06,-3.6905,,,,,,,0
2023-07-09,0.4616,,,,,,,0
2023-07-10,3.9509,,,,,,,0
2023-07-11,1.6466,,,,,,,0
2023-07-12,-3.5461,,,,,,,0
2023-07-13,-0.3956,,,,,,,0
2023-07-16,-0.2268,,,,,,,0
2023-07-17,-1.0842,,,,,,,0
2023-07-18,0.4579,,,,,,,0
2023-07-19,0.7964,,,,,,,0
2023-07-20,1.7411,,,,,,,0
2023-07-23,-0.1672,,,,,,,0
2023-07-24,2.0426,,,,,,,0
2023-07-25,0.1092,,,,,,,0
2023-07-26,-0.9874,,,,,,,0
2023-07-27,-0.2760,,,,,,,0
2023-07-30,0.3862,,,,,,,0
2023-07-31,3.9941,,,,,,,0
2023-08-01,18.2322,,,,,,,0
2023-08-02,7.8006,,,,,,,0
2023-08-03,5.0110,,,,,,,0
2023-08-06,-4.2796,,,,,,,0
2023-08-07,-4.8952,,,,,,,0
2023-08-08,4.5302,,,,,,,0
2023-08-09,-1.0621,,,,,,,0
2023-08-10,4.8497,,,,,,,0
2023-08-13,-3.2203,,,,,,,0
2023-08-15,-3.0772,,,,,,,0
2023-08-16,-2.5745,,,,,,,0
2023-08-17,-2.6426,,,,,,,0
2023-08-20,1.5680,,,,,,,0
2023-08-21,4.8502,,,,,,,0
2023-08-22,-2.7125,,,,,,,0
2023-08-23,3.3690,,,,,,,0
2023-08-24,-0.9864,,,,,,,0
2023-08-27,-0.4554,,,,,,,0
2023-08-28,-2.5637,,,,,,,0
2023-08-29,-0.7692,,,,,,,0
2023-08-30,1.7436,,,,,,,0
2023-08-31,-2.5621,,,,,,,0
2023-09-03,-1.4376,,,,,,,0
2023-09-04,-1.2807,,,,,,,0
2023-09-05,1.2368,,,,,,,0
2023-09-06,-2.0400,,,,,,,0
2023-09-07,-3.6500,,,,,,,0
2023-09-10,3.6948,,,,,,,0
2023-09-11,-4.6755,,,,,,,0
2023-09-12,2.6397,,,,,,,0
2023-09-13,-2.0315,,,,,,,0
2023-09-14,-0.7491,3.0377,6.7478,0.7874,0.0000,0.2466,32.5959,1
2023-09-17,2.4601,3.0377,6.7478,0.7874,0.0000,0.8099,68.8791,1
2023-09-19,-0.1376,3.0377,6.7478,0.7874,0.0000,0.0453,7.6696,1
2023-09-20,0.7775,3.0377,6.7478,0.7874,0.0000,0.2560,33.4808,1
2023-09-21,-2.3042,3.0377,6.7478,0.7874,0.0000,0.7585,66.0767,1
2023-09-24,1.1588,3.0377,6.7478,0.7874,0.0000,0.3815,42.7729,1
2023-09-25,-1.9075,3.0377,6.7478,0.7874,0.0000,0.6279,60.1770,1
2023-09-26,4.8589,3.0377,6.7478,0.7874,0.0000,1.5995,91.5929,1
2023-09-27,-2.3999,3.0377,6.7478,0.7874,0.0000,0.7900,67.6991,1
2023-09-28,1.8616,3.0377,6.7478,0.7874,0.0000,0.6128,58.8496,1
2023-10-02,2.1363,3.0377,6.7478,0.7874,0.0000,0.7032,64.0118,1
2023-10-03,-0.9735,3.0377,6.7478,0.7874,0.0000,0.3205,38.3481,1
2023-10-04,1.5880,3.0377,6.7478,0.7874,0.0000,0.5228,53.8348,1
2023-10-05,1.0015,3.0377,6.7478,0.7874,0.0000,0.3297,38.6431,1
2023-10-08,-2.2788,3.0377,6.7478,0.7874,0.0000,0.7502,65.6342,1
2023-10-09,-3.5186,3.0377,6.7478,0.7874,0.0000,1.1583,83.0383,1
2023-10-10,1.0050,3.0377,6.7478,0.7874,0.0000,0.3309,38.7906,1
2023-10-11,-0.9132,3.0377,6.7478,0.7874,0.0000,0.3006,36.4307,1
2023-10-12,2.1331,3.0377,6.7478,0.7874,0.0000,0.7022,63.8643,1
2023-10-15,-2.1331,3.0377,6.7478,0.7874,0.0000,0.7022,63.7168,1
2023-10-16,-0.7829,2.9552,5.8975,0.6833,0.0000,0.2649,33.7758,0
2023-10-17,-0.9289,2.9552,5.8975,0.6833,0.0000,0.3143,37.7581,0
2023-10-18,1.3902,2.9552,5.8975,0.6833,0.0000,0.4704,49.2625,0
2023-10-19,-1.3902,2.9552,5.8975,0.6833,0.0000,0.4704,49.1150,0
2023-10-22,-0.1401,2.9552,5.8975,0.6833,0.0000,0.0474,7.9646,0
2023-10-24,-1.6966,2.9552,5.8975,0.6833,0.0000,0.5741,56.3422,0
2023-10-25,3.9605,2.9552,5.8975,0.6833,0.0000,1.3402,87.7581,0
2023-10-26,2.0796,2.9552,5.8975,0.6833,0.0000,0.7037,64.1593,0
2023-10-29,2.6927,2.9552,5.8975,0.6833,0.0000,0.9112,73.8938,0
2023-10-30,0.4780,2.9552,5.8975,0.6833,0.0000,0.1617,24.3363,0
2023-10-31,-2.1911,2.9552,5.8975,0.6833,0.0000,0.7415,65.3392,0
2023-11-01,3.8249,2.9552,5.8975,0.6833,0.0000,1.2943,86.5782,0
2023-11-02,0.0853,2.9552,5.8975,0.6833,0.0000,0.0288,4.5723,0
2023-11-05,0.2128,2.9552,5.8975,0.6833,0.0000,0.0720,12.0944,0
2023-11-06,1.2674,2.9552,5.8975,0.6833,0.0000,0.4289,46.0177,0
2023-11-07,4.8750,2.9552,5.8975,0.6833,0.0000,1.6496,92.7729,0
2023-11-08,3.1874,2.9552,5.8975,0.6833,0.0000,1.0786,80.5310,0
2023-11-09,3.3889,2.9552,5.8975,0.6833,0.0000,1.1468,82.8909,0
2023-11-12,-3.0409,2.9552,5.8975,0.6833,0.0000,1.0290,78.0236,0
2023-11-14,-0.2705,2.9552,5.8975,0.6833,0.0000,0.0915,15.1917,0
2023-11-15,-0.6601,2.3682,5.5514,0.6087,0.0000,0.2787,35.3982,0
2023-11-16,1.1619,2.3682,5.5514,0.6087,0.0000,0.4906,51.0324,0
2023-11-19,5.9423,2.3682,5.5514,0.6087,0.0000,2.5093,97.6401,0
2023-11-20,0.2899,2.3682,5.5514,0.6087,0.0000,0.1224,20.3540,0
2023-11-21,-3.9481,2.3682,5.5514,0.6087,0.0000,1.6672,93.3628,0
2023-11-22,-2.7085,2.3682,5.5514,0.6087,0.0000,1.1437,82.7434,0
2023-11-23,-1.1278,2.3682,5.5514,0.6087,0.0000,0.4762,49.7050,0
2023-11-27,-2.4947,2.3682,5.5514,0.6087,0.0000,1.0534,78.9086,0
2023-11-28,0.1603,2.3682,5.5514,0.6087,0.0000,0.0677,11.3569,0
2023-11-29,2.4907,2.3682,5.5514,0.6087,0.0000,1.0518,78.7611,0
2023-11-30,-1.9319,2.3682,5.5514,0.6087,0.0000,0.8158,69.3215,0
2023-12-03,0.1194,2.3682,5.5514,0.6087,0.0000,0.0504,8.2596,0
2023-12-04,0.9104,2.3682,5.5514,0.6087,0.0000,0.3844,43.3628,0
2023-12-05,-1.0297,2.3682,5.5514,0.6087,0.0000,0.4348,46.6077,0
2023-12-06,-1.0404,2.3682,5.5514,0.6087,0.0000,0.4393,46.7552,0
2023-12-07,2.1489,2.3682,5.5514,0.6087,0.0000,0.9074,73.5988,0
2023-12-10,3.8615,2.3682,5.5514,0.6087,0.0000,1.6306,92.1829,0
2023-12-11,-2.5318,2.3682,5.5514,0.6087,0.0000,1.0691,79.9410,0
2023-12-12,0.1553,2.3682,5.5514,0.6087,0.0000,0.0656,10.7670,0
2023-12-13,0.1938,2.3682,5.5514,0.6087,0.0000,0.0818,13.2743,0
2023-12-14,0.2706,2.3582,5.5417,0.5306,0.0000,0.1148,18.5841,0
2023-12-17,-0.8530,2.3582,5.5417,0.5306,0.0000,0.3617,41.4454,0
2023-12-18,-0.0389,2.3582,5.5417,0.5306,0.0000,0.0165,2.9499,0
2023-12-19,-5.0740,2.3582,5.5417,0.5306,0.0000,2.1516,96.6077,0
2023-12-20,2.3893,2.3582,5.5417,0.5306,0.0000,1.0132,77.5811,0
2023-12-21,0.6382,2.3582,5.5417,0.5306,0.0000,0.2706,34.2183,0
2023-12-25,2.8226,2.3582,5.5417,0.5306,0.0000,1.1969,84.0708,0
2023-12-26,0.1931,2.3582,5.5417,0.5306,0.0000,0.0819,13.4218,0
2023-12-27,-0.5416,2.3582,5.5417,0.5306,0.0000,0.2297,30.9735,0
2023-12-28,1.1186,2.3582,5.5417,0.5306,0.0000,0.4744,49.4100,0
2023-12-31,0.2681,2.3582,5.5417,0.5306,0.0000,0.1137,18.2891,0
2024-01-01,2.4189,2.3582,5.5417,0.5306,0.0000,1.0257,77.8761,0
2024-01-02,6.4352,2.3582,5.5417,0.5306,0.0000,2.7288,98.3776,0
2024-01-03,2.0791,2.3582,5.5417,0.5306,0.0000,0.8816,72.5664,0
2024-01-04,-4.5965,2.3582,5.5417,0.5306,0.0000,1.9491,95.2802,0
2024-01-07,2.3422,2.3582,5.5417,0.5306,0.0000,0.9932,76.6962,0
2024-01-08,-0.5981,2.3582,5.5417,0.5306,0.0000,0.2536,33.0383,0
2024-01-09,-2.1038,2.3582,5.5417,0.5306,0.0000,0.8921,73.3038,0
2024-01-10,2.4912,2.3582,5.5417,0.5306,0.0000,1.0564,79.0560,0
2024-01-11,-1.9880,2.3582,5.5417,0.5306,0.0000,0.8430,70.5015,0
2024-01-14,0.0000,2.7448,5.5943,0.4884,0.0000,0.0000,0.2950,0
2024-01-15,0.2149,2.7448,5.5943,0.4884,0.0000,0.0783,12.6844,0
2024-01-16,-1.2239,2.7448,5.5943,0.4884,0.0000,0.4459,47.4926,0
2024-01-17,0.3615,2.7448,5.5943,0.4884,0.0000,0.1317,21.5339,0
2024-01-18,0.7550,2.7448,5.5943,0.4884,0.0000,0.2751,34.9558,0
2024-01-22,-1.2252,2.7448,5.5943,0.4884,0.0000,0.4464,47.6401,0
2024-01-23,0.5785,2.7448,5.5943,0.4884,0.0000,0.2107,29.0560,0
2024-01-24,-0.1443,2.7448,5.5943,0.4884,0.0000,0.0526,8.4071,0
2024-01-28,0.3244,2.7448,5.5943,0.4884,0.0000,0.1182,19.3215,0
2024-01-29,3.5004,2.7448,5.5943,0.4884,0.0000,1.2753,85.6932,0
2024-01-30,3.7174,2.7448,5.5943,0.4884,0.0000,1.3544,88.0531,0
2024-01-31,12.5084,2.7448,5.5943,0.4884,0.0000,4.5572,99.5575,0
2024-02-01,-6.7833,2.7448,5.5943,0.4884,0.0000,2.4714,97.3451,0
2024-02-04,-4.3619,2.7448,5.5943,0.4884,0.0000,1.5892,91.1504,0
2024-02-05,-2.2375,2.7448,5.5943,0.4884,0.0000,0.8152,69.1740,0
2024-02-06,4.4261,2.7448,5.5943,0.4884,0.0000,1.6126,91.8879,0
2024-02-07,-2.0895,2.7448,5.5943,0.4884,0.0000,0.7613,66.2242,0
2024-02-08,-2.9463,2.7448,5.5943,0.4884,0.0000,1.0734,80.0885,0
2024-02-11,-5.3746,2.7448,5.5943,0.4884,0.0000,1.9581,95.4277,0
2024-02-12,2.9326,2.7448,5.5943,0.4884,0.0000,1.0684,79.7935,0
2024-02-13,1.3831,3.3261,5.0752,0.6680,0.0030,0.4159,45.2802,1
2024-02-14,5.9331,3.3261,5.0752,0.6680,0.0030,1.7838,94.2478,1
2024-02-15,4.8019,3.3261,5.0752,0.6680,0.0030,1.4437,89.5280,1
2024-02-18,-2.1828,3.3261,5.0752,0.6680,0.0030,0.6563,61.9469,1
2024-02-19,18.2216,3.3261,5.0752,0.6680,0.0030,5.4784,99.7050,1
2024-02-20,-8.6104,3.3261,5.0752,0.6680,0.0030,2.5888,97.9351,1
2024-02-21,-1.0652,3.3261,5.0752,0.6680,0.0030,0.3203,38.2006,1
2024-02-22,1.0366,3.3261,5.0752,0.6680,0.0030,0.3117,37.3156,1
2024-02-25,5.8415,3.3261,5.0752,0.6680,0.0030,1.7563,94.1003,1
2024-02-26,-3.1008,3.3261,5.0752,0.6680,0.0030,0.9323,74.6313,1
2024-02-27,-1.4033,3.3261,5.0752,0.6680,0.0030,0.4219,45.5752,1
2024-02-28,-1.1084,3.3261,5.0752,0.6680,0.0030,0.3333,39.2330,1
2024-02-29,1.2497,3.3261,5.0752,0.6680,0.0030,0.3757,42.3304,1
2024-03-03,-1.2782,3.3261,5.0752,0.6680,0.0030,0.3843,43.2153,1
2024-03-04,-3.5204,3.3261,5.0752,0.6680,0.0030,1.0584,79.2035,1
2024-03-05,-6.3572,3.3261,5.0752,0.6680,0.0030,1.9113,95.1327,1
2024-03-06,-3.0762,3.3261,5.0752,0.6680,0.0030,0.9249,74.0413,1
2024-03-10,5.4769,3.3261,5.0752,0.6680,0.0030,1.6467,92.6254,1
2024-03-11,-2.6219,3.3261,5.0752,0.6680,0.0030,0.7883,67.5516,1
2024-03-12,-4.8268,3.3261,5.0752,0.6680,0.0030,1.4512,89.6755,1
2024-03-13,0.4305,4.8596,3.8487,0.6553,0.2601,0.0886,14.7493,1
2024-03-14,2.8988,4.8596,3.8487,0.6553,0.2601,0.5965,57.9646,1
2024-03-17,-2.3057,4.8596,3.8487,0.6553,0.2601,0.4745,49.5575,1
2024-03-18,5.4033,4.8596,3.8487,0.6553,0.2601,1.1119,82.0059,1
2024-03-19,-1.3473,4.8596,3.8487,0.6553,0.2601,0.2773,35.2507,1
2024-03-20,-1.3018,4.8596,3.8487,0.6553,0.2601,0.2679,33.9233,1
2024-03-21,-0.1919,4.8596,3.8487,0.6553,0.2601,0.0395,6.9322,1
2024-03-25,-2.3980,4.8596,3.8487,0.6553,0.2601,0.4935,51.9174,1
2024-03-26,0.0656,4.8596,3.8487,0.6553,0.2601,0.0135,2.3599,1
2024-03-27,0.6208,4.8596,3.8487,0.6553,0.2601,0.1278,20.7965,1
2024-03-31,7.3456,4.8596,3.8487,0.6553,0.2601,1.5116,90.1180,1
2024-04-01,0.1814,4.8596,3.8487,0.6553,0.2601,0.0373,6.3422,1
2024-04-02,1.0220,4.8596,3.8487,0.6553,0.2601,0.2103,28.9086,1
2024-04-03,-0.2995,4.8596,3.8487,0.6553,0.2601,0.0616,10.1770,1
2024-04-04,-1.5415,4.8596,3.8487,0.6553,0.2601,0.3172,37.9056,1
2024-04-07,0.8191,4.8596,3.8487,0.6553,0.2601,0.1685,24.9263,1
2024-04-08,0.7524,4.8596,3.8487,0.6553,0.2601,0.1548,23.7463,1
