Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,2.4414,,,,,,,0
2023-06-21,3.1128,,,,,,,0
2023-06-22,3.9530,,,,,,,0
2023-06-25,-3.1498,,,,,,,0
2023-06-26,3.6906,,,,,,,0
2023-06-27,-0.2301,,,,,,,0
2023-06-29,0.9227,,,,,,,0
2023-07-02,-0.4612,,,,,,,0
2023-07-03,3.5529,,,,,,,0
2023-07-04,-1.4977,,,,,,,0
2023-07-05,1.7935,,,,,,,0
2023-07-06,0.7374,,,,,,,0
2023-07-09,1.3856,,,,,,,0
2023-07-10,1.3684,,,,,,,0
2023-07-11,0.0704,,,,,,,0
2023-07-12,0.9246,,,,,,,0
2023-07-13,-1.4963,,,,,,,0
2023-07-16,0.8580,,,,,,,0
2023-07-17,-0.3568,,,,,,,0
2023-07-18,-0.6464,,,,,,,0
2023-07-19,1.4286,,,,,,,0
2023-07-20,2.1053,,,,,,,0
2023-07-23,-0.6969,,,,,,,0
2023-07-24,2.4180,,,,,,,0
2023-07-25,0.8171,,,,,,,0
2023-07-26,0.6068,,,,,,,0
2023-07-27,4.0872,,,,,,,0
2023-07-30,4.5473,,,,,,,0
2023-07-31,-3.7739,,,,,,,0
2023-08-01,-3.9236,,,,,,,0
2023-08-02,-4.7790,,,,,,,0
2023-08-03,-1.4085,,,,,,,0
2023-08-06,1.4085,,,,,,,0
2023-08-07,-2.1202,,,,,,,0
2023-08-08,4.1963,,,,,,,0
2023-08-09,-3.4846,,,,,,,0
2023-08-10,3.4846,,,,,,,0
2023-08-13,1.3605,,,,,,,0
2023-08-15,0.0000,,,,,,,0
2023-08-16,1.3423,,,,,,,0
2023-08-17,1.3245,,,,,,,0
2023-08-20,-0.6601,,,,,,,0
2023-08-21,1.9672,,,,,,,0
2023-08-22,0.0000,,,,,,,0
2023-08-23,1.2919,,,,,,,0
2023-08-24,-0.6446,,,,,,,0
2023-08-27,-3.2789,,,,,,,0
2023-08-28,1.9802,,,,,,,0
2023-08-29,-1.9802,,,,,,,0
2023-08-30,0.6644,,,,,,,0
2023-08-31,-0.6644,,,,,,,0
2023-09-03,-2.7028,,,,,,,0
2023-09-04,4.0273,,,,,,,0
2023-09-05,1.3072,,,,,,,0
2023-09-06,-2.6317,,,,,,,0
2023-09-07,1.9802,,,,,,,0
2023-09-10,-4.6831,,,,,,,0
2023-09-11,-4.1963,,,,,,,0
2023-09-12,2.8170,,,,,,,0
2023-09-13,2.0619,,,,,,,0
2023-09-14,0.0000,2.0462,2.7723,0.5067,0.0137,0.0000,13.9175,0
2023-09-17,1.3513,2.0462,2.7723,0.5067,0.0137,0.6604,49.4845,0
2023-09-19,-2.0339,2.0462,2.7723,0.5067,0.0137,0.9940,69.5140,0
2023-09-20,-0.6873,2.0462,2.7723,0.5067,0.0137,0.3359,31.3697,0
2023-09-21,-1.3889,2.0462,2.7723,0.5067,0.0137,0.6788,50.3682,0
2023-09-24,-2.8370,2.0462,2.7723,0.5067,0.0137,1.3865,80.8542,0
2023-09-25,-5.1671,2.0462,2.7723,0.5067,0.0137,2.5252,94.9926,0
2023-09-26,-3.0771,2.0462,2.7723,0.5067,0.0137,1.5038,83.6524,0
2023-09-27,0.0000,2.0462,2.7723,0.5067,0.0137,0.0000,13.9175,0
2023-09-28,0.0000,2.0462,2.7723,0.5067,0.0137,0.0000,13.9175,0
2023-10-02,-1.5748,2.0462,2.7723,0.5067,0.0137,0.7696,54.9337,0
2023-10-03,-2.4097,2.0462,2.7723,0.5067,0.0137,1.1776,75.2577,0
2023-10-04,1.6129,2.0462,2.7723,0.5067,0.0137,0.7882,55.8174,0
2023-10-05,1.5873,2.0462,2.7723,0.5067,0.0137,0.7757,55.3756,0
2023-10-08,-2.3905,2.0462,2.7723,0.5067,0.0137,1.1683,74.9632,0
2023-10-09,1.6000,2.0462,2.7723,0.5067,0.0137,0.7819,55.5228,0
2023-10-10,4.6519,2.0462,2.7723,0.5067,0.0137,2.2734,92.1944,0
2023-10-11,-2.2989,2.0462,2.7723,0.5067,0.0137,1.1235,73.4904,0
2023-10-12,0.7722,2.0462,2.7723,0.5067,0.0137,0.3774,33.8733,0
2023-10-15,4.5120,2.0462,2.7723,0.5067,0.0137,2.2050,90.7216,0
2023-10-16,3.6104,3.3038,3.5367,0.4177,0.0000,1.0928,73.0486,0
2023-10-17,-2.8778,3.3038,3.5367,0.4177,0.0000,0.8711,64.9485,0
2023-10-18,4.2863,3.3038,3.5367,0.4177,0.0000,1.2974,79.6760,0
2023-10-19,-0.7017,3.3038,3.5367,0.4177,0.0000,0.2124,30.1178,0
2023-10-22,0.0000,3.3038,3.5367,0.4177,0.0000,0.0000,13.9175,0
2023-10-24,0.7017,3.3038,3.5367,0.4177,0.0000,0.2124,29.8233,0
