Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,0.8242,,,,,,,0
2023-06-21,0.4096,,,,,,,0
2023-06-22,-2.7626,,,,,,,0
2023-06-25,-3.2743,,,,,,,0
2023-06-26,3.5540,,,,,,,0
2023-06-27,-0.9825,,,,,,,0
2023-06-29,3.8732,,,,,,,0
2023-07-02,-1.5038,,,,,,,0
2023-07-03,-0.9689,,,,,,,0
2023-07-04,0.0000,,,,,,,0
2023-07-05,-1.2596,,,,,,,0
2023-07-06,-2.8573,,,,,,,0
2023-07-09,-0.4357,,,,,,,0
2023-07-10,-1.6141,,,,,,,0
2023-07-11,2.6279,,,,,,,0
2023-07-12,-2.6279,,,,,,,0
2023-07-13,-1.4903,,,,,,,0
2023-07-16,0.0000,,,,,,,0
2023-07-17,-2.8943,,,,,,,0
2023-07-18,-1.0878,,,,,,,0
2023-07-19,3.0772,,,,,,,0
2023-07-20,0.9050,,,,,,,0
2023-07-23,-3.3591,,,,,,,0
2023-07-24,-3.4759,,,,,,,0
2023-07-25,3.4759,,,,,,,0
2023-07-26,0.9274,,,,,,,0
2023-07-27,-1.7068,,,,,,,0
2023-07-30,4.7373,,,,,,,0
2023-07-31,-4.4248,,,,,,,0
2023-08-01,-1.4140,,,,,,,0
2023-08-02,3.8795,,,,,,,0
2023-08-03,0.3040,,,,,,,0
2023-08-06,-0.3040,,,,,,,0
2023-08-07,-0.7639,,,,,,,0
2023-08-08,1.0679,,,,,,,0
2023-08-09,0.0000,,,,,,,0
2023-08-10,-1.6833,,,,,,,0
2023-08-13,3.0397,,,,,,,0
2023-08-15,1.4859,,,,,,,0
2023-08-16,2.3325,,,,,,,0
2023-08-17,-2.0379,,,,,,,0
2023-08-20,0.0000,,,,,,,0
2023-08-21,-0.1472,,,,,,,0
2023-08-22,-3.2937,,,,,,,0
2023-08-23,1.5106,,,,,,,0
2023-08-24,0.0000,,,,,,,0
2023-08-27,-2.7357,,,,,,,0
2023-08-28,-1.3965,,,,,,,0
2023-08-29,3.3797,,,,,,,0
2023-08-30,-1.0630,,,,,,,0
2023-08-31,3.0077,,,,,,,0
2023-09-03,-0.5944,,,,,,,0
2023-09-04,-1.9564,,,,,,,0
2023-09-05,3.4357,,,,,,,0
2023-09-06,4.8720,,,,,,,0
2023-09-07,3.9758,,,,,,,0
2023-09-10,-3.0016,,,,,,,0
2023-09-11,-4.8236,,,,,,,0
2023-09-12,4.5462,,,,,,,0
2023-09-13,-2.1053,,,,,,,0
2023-09-14,4.8452,2.9283,1.9799,0.1838,0.5130,1.6546,91.1504,0
2023-09-17,18.2322,2.9283,1.9799,0.1838,0.5130,6.2263,99.8525,0
2023-09-19,18.1758,2.9283,1.9799,0.1838,0.5130,6.2070,99.7050,0
2023-09-20,9.4883,2.9283,1.9799,0.1838,0.5130,3.2403,98.3776,0
