Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,-3.1024,,,,,,,0
2023-06-21,-0.6911,,,,,,,0
2023-06-22,-2.8561,,,,,,,0
2023-06-25,-2.6733,,,,,,,0
2023-06-26,-1.3864,,,,,,,0
2023-06-27,-0.7458,,,,,,,0
2023-06-29,0.2492,,,,,,,0
2023-07-02,1.2816,,,,,,,0
2023-07-03,-1.1459,,,,,,,0
2023-07-04,-0.1357,,,,,,,0
2023-07-05,0.2034,,,,,,,0
2023-07-06,-0.2940,,,,,,,0
2023-07-09,-2.0827,,,,,,,0
2023-07-10,0.1156,,,,,,,0
2023-07-11,-1.3255,,,,,,,0
2023-07-12,-0.9880,,,,,,,0
2023-07-13,0.2833,,,,,,,0
2023-07-16,1.9377,,,,,,,0
2023-07-17,-0.2547,,,,,,,0
2023-07-18,1.0148,,,,,,,0
2023-07-19,-3.5026,,,,,,,0
2023-07-20,-1.3879,,,,,,,0
2023-07-23,-3.4317,,,,,,,0
2023-07-24,-0.0250,,,,,,,0
2023-07-25,-1.4067,,,,,,,0
2023-07-26,0.7309,,,,,,,0
2023-07-27,-0.0754,,,,,,,0
2023-07-30,4.8563,,,,,,,0
2023-07-31,2.4126,,,,,,,0
2023-08-01,-3.2782,,,,,,,0
2023-08-02,2.7157,,,,,,,0
2023-08-03,0.9822,,,,,,,0
2023-08-06,-2.1643,,,,,,,0
2023-08-07,-0.9558,,,,,,,0
2023-08-08,0.5746,,,,,,,0
2023-08-09,-0.5265,,,,,,,0
2023-08-10,1.5006,,,,,,,0
2023-08-13,-4.5710,,,,,,,0
2023-08-15,-5.1280,,,,,,,0
2023-08-16,-3.1220,,,,,,,0
2023-08-17,3.2521,,,,,,,0
2023-08-20,-1.4675,,,,,,,0
2023-08-21,4.8690,,,,,,,0
2023-08-22,4.8586,,,,,,,0
2023-08-23,-2.2282,,,,,,,0
2023-08-24,-3.0588,,,,,,,0
2023-08-27,-1.2707,,,,,,,0
2023-08-28,1.0938,,,,,,,0
2023-08-29,-5.1120,,,,,,,0
2023-08-30,0.3985,,,,,,,0
2023-08-31,-0.2389,,,,,,,0
2023-09-03,-3.5167,,,,,,,0
2023-09-04,1.3944,,,,,,,0
2023-09-05,1.6694,,,,,,,0
2023-09-06,-1.7237,,,,,,,0
2023-09-07,-1.1476,,,,,,,0
2023-09-10,-1.8303,,,,,,,0
2023-09-11,-3.0116,,,,,,,0
2023-09-12,0.2880,,,,,,,0
2023-09-13,2.6675,,,,,,,0
2023-09-14,-0.6461,2.2986,0.4267,0.1226,0.8048,0.2811,30.9278,0
2023-09-17,1.7324,2.2986,0.4267,0.1226,0.8048,0.7537,62.5920,0
2023-09-19,-0.4442,2.2986,0.4267,0.1226,0.8048,0.1932,22.0913,0
2023-09-20,-1.3163,2.2986,0.4267,0.1226,0.8048,0.5727,54.0501,0
2023-09-21,2.9418,2.2986,0.4267,0.1226,0.8048,1.2798,80.5596,0
2023-09-24,-0.8596,2.2986,0.4267,0.1226,0.8048,0.3740,39.9116,0
2023-09-25,-1.4304,2.2986,0.4267,0.1226,0.8048,0.6223,57.2901,0
2023-09-26,0.7598,2.2986,0.4267,0.1226,0.8048,0.3305,35.9352,0
2023-09-27,-0.3651,2.2986,0.4267,0.1226,0.8048,0.1588,18.5567,0
2023-09-28,0.5332,2.2986,0.4267,0.1226,0.8048,0.2320,25.6259,0
2023-10-02,-0.4207,2.2986,0.4267,0.1226,0.8048,0.1830,20.9131,0
2023-10-03,-0.1125,2.2986,0.4267,0.1226,0.8048,0.0489,7.5110,0
2023-10-04,0.3931,2.2986,0.4267,0.1226,0.8048,0.1710,19.8822,0
2023-10-05,0.8373,2.2986,0.4267,0.1226,0.8048,0.3643,39.1753,0
2023-10-08,-1.0336,2.2986,0.4267,0.1226,0.8048,0.4497,46.6863,0
2023-10-09,-2.1287,2.2986,0.4267,0.1226,0.8048,0.9261,71.1340,0
2023-10-10,2.6049,2.2986,0.4267,0.1226,0.8048,1.1333,76.5832,0
2023-10-11,-0.9548,2.2986,0.4267,0.1226,0.8048,0.4154,44.0353,0
2023-10-12,0.9548,2.2986,0.4267,0.1226,0.8048,0.4154,43.8881,0
2023-10-15,-0.8984,2.2986,0.4267,0.1226,0.8048,0.3908,41.8262,0
2023-10-16,0.6745,1.6790,0.3817,0.1345,0.7765,0.4018,43.0044,0
2023-10-17,-1.7805,1.6790,0.3817,0.1345,0.7765,1.0605,74.5214,0
2023-10-18,-1.4938,1.6790,0.3817,0.1345,0.7765,0.8897,68.4831,0
2023-10-19,-1.3990,1.6790,0.3817,0.1345,0.7765,0.8333,66.4212,0
2023-10-22,-1.0326,1.6790,0.3817,0.1345,0.7765,0.6150,56.5538,0
2023-10-24,-0.8638,1.6790,0.3817,0.1345,0.7765,0.5145,50.3682,0
2023-10-25,1.5435,1.6790,0.3817,0.1345,0.7765,0.9193,70.5449,0
2023-10-26,-2.4148,1.6790,0.3817,0.1345,0.7765,1.4382,85.4197,0
2023-10-29,0.0603,1.6790,0.3817,0.1345,0.7765,0.0359,6.4801,0
2023-10-30,-1.9490,1.6790,0.3817,0.1345,0.7765,1.1608,77.1723,0
2023-10-31,-2.1132,1.6790,0.3817,0.1345,0.7765,1.2586,80.4124,0
2023-11-01,1.3105,1.6790,0.3817,0.1345,0.7765,0.7805,63.9175,0
2023-11-02,0.4639,1.6790,0.3817,0.1345,0.7765,0.2763,30.1915,0
2023-11-05,-3.6128,1.6790,0.3817,0.1345,0.7765,2.1518,94.6981,0
2023-11-06,-5.4227,1.6790,0.3817,0.1345,0.7765,3.2298,98.3800,0
2023-11-07,-0.0676,1.6790,0.3817,0.1345,0.7765,0.0403,6.9219,0
2023-11-08,1.0422,1.6790,0.3817,0.1345,0.7765,0.6207,56.9956,0
2023-11-09,0.7331,1.6790,0.3817,0.1345,0.7765,0.4367,46.0972,0
2023-11-12,0.2652,1.6790,0.3817,0.1345,0.7765,0.1579,18.4094,0
2023-11-14,-4.8161,1.6790,0.3817,0.1345,0.7765,2.8685,97.4963,0
2023-11-15,-0.0348,2.4926,0.3981,0.1401,0.7769,0.0139,2.6510,0
2023-11-16,0.5892,2.4926,0.3981,0.1401,0.7769,0.2364,26.2150,0
2023-11-19,1.6110,2.4926,0.3981,0.1401,0.7769,0.6463,58.0265,0
2023-11-20,2.4850,2.4926,0.3981,0.1401,0.7769,0.9969,72.9013,0
2023-11-21,4.7605,2.4926,0.3981,0.1401,0.7769,1.9098,92.6362,0
2023-11-22,4.0594,2.4926,0.3981,0.1401,0.7769,1.6286,88.8071,0
2023-11-23,9.5228,2.4926,0.3981,0.1401,0.7769,3.8204,99.1163,0
2023-11-27,4.8763,2.4926,0.3981,0.1401,0.7769,1.9563,93.3726,0
2023-11-28,-0.1052,2.4926,0.3981,0.1401,0.7769,0.0422,7.2165,0
2023-11-29,-2.7216,2.4926,0.3981,0.1401,0.7769,1.0919,75.2577,0
2023-11-30,1.8491,2.4926,0.3981,0.1401,0.7769,0.7418,62.1502,0
2023-12-03,2.2579,2.4926,0.3981,0.1401,0.7769,0.9058,69.6613,0
2023-12-04,3.1181,2.4926,0.3981,0.1401,0.7769,1.2509,80.2651,0
2023-12-05,4.8622,2.4926,0.3981,0.1401,0.7769,1.9506,92.9308,0
2023-12-06,4.8653,2.4926,0.3981,0.1401,0.7769,1.9519,93.2253,0
2023-12-07,4.8790,2.4926,0.3981,0.1401,0.7769,1.9574,93.5199,0
2023-12-10,-4.0152,2.4926,0.3981,0.1401,0.7769,1.6108,88.5125,0
2023-12-11,-3.5714,2.4926,0.3981,0.1401,0.7769,1.4328,85.2725,0
2023-12-12,2.9356,2.4926,0.3981,0.1401,0.7769,1.1777,77.7614,0
2023-12-13,-2.3509,2.4926,0.3981,0.1401,0.7769,0.9431,72.0177,0
2023-12-14,-3.0786,3.4393,0.3966,0.2329,0.7257,0.8951,69.2194,1
2023-12-17,4.8584,3.4393,0.3966,0.2329,0.7257,1.4126,84.6834,1
2023-12-18,1.4556,3.4393,0.3966,0.2329,0.7257,0.4232,44.9190,1
2023-12-19,-5.0236,3.4393,0.3966,0.2329,0.7257,1.4607,86.1561,1
2023-12-20,-4.5164,3.4393,0.3966,0.2329,0.7257,1.3132,81.8851,1
2023-12-21,1.0624,3.4393,0.3966,0.2329,0.7257,0.3089,34.3152,1
2023-12-25,-1.7853,3.4393,0.3966,0.2329,0.7257,0.5191,50.5155,1
2023-12-26,2.6418,3.4393,0.3966,0.2329,0.7257,0.7681,63.1811,1
2023-12-27,2.7162,3.4393,0.3966,0.2329,0.7257,0.7898,64.5066,1
2023-12-28,1.2958,3.4393,0.3966,0.2329,0.7257,0.3768,40.0589,1
2023-12-31,-2.1292,3.4393,0.3966,0.2329,0.7257,0.6191,56.8483,1
2024-01-01,-0.6959,3.4393,0.3966,0.2329,0.7257,0.2023,22.2386,1
2024-01-02,-1.1625,3.4393,0.3966,0.2329,0.7257,0.3380,36.0825,1
2024-01-03,2.0018,3.4393,0.3966,0.2329,0.7257,0.5820,54.4919,1
2024-01-04,-1.0079,3.4393,0.3966,0.2329,0.7257,0.2931,32.8424,1
2024-01-07,-1.4822,3.4393,0.3966,0.2329,0.7257,0.4310,45.8027,1
2024-01-08,-2.0028,3.4393,0.3966,0.2329,0.7257,0.5823,54.6392,1
2024-01-09,-1.4591,3.4393,0.3966,0.2329,0.7257,0.4243,45.3608,1
2024-01-10,3.7797,3.4393,0.3966,0.2329,0.7257,1.0990,75.5523,1
2024-01-11,0.2437,3.4393,0.3966,0.2329,0.7257,0.0709,10.1620,1
2024-01-14,0.0000,2.2944,0.4595,0.2140,0.7227,0.0000,0.4418,0
2024-01-15,2.8083,2.2944,0.4595,0.2140,0.7227,1.2240,79.0869,0
2024-01-16,-1.1186,2.2944,0.4595,0.2140,0.7227,0.4876,48.0118,0
2024-01-17,-0.6002,2.2944,0.4595,0.2140,0.7227,0.2616,28.7187,0
2024-01-18,4.8641,2.2944,0.4595,0.2140,0.7227,2.1200,94.5508,0
2024-01-22,-4.3597,2.2944,0.4595,0.2140,0.7227,1.9002,92.3417,0
2024-01-23,-3.0652,2.2944,0.4595,0.2140,0.7227,1.3360,82.4742,0
2024-01-24,1.1544,2.2944,0.4595,0.2140,0.7227,0.5031,49.6318,0
2024-01-28,-1.3769,2.2944,0.4595,0.2140,0.7227,0.6001,55.6701,0
2024-01-29,0.3214,2.2944,0.4595,0.2140,0.7227,0.1401,16.6421,0
2024-01-30,-0.7929,2.2944,0.4595,0.2140,0.7227,0.3456,36.8189,0
2024-01-31,-1.3271,2.2944,0.4595,0.2140,0.7227,0.5784,54.3446,0
2024-02-01,-2.1402,2.2944,0.4595,0.2140,0.7227,0.9328,71.5758,0
2024-02-04,1.3557,2.2944,0.4595,0.2140,0.7227,0.5909,55.2283,0
2024-02-05,2.0371,2.2944,0.4595,0.2140,0.7227,0.8879,68.3358,0
2024-02-06,-1.1518,2.2944,0.4595,0.2140,0.7227,0.5020,49.4845,0
2024-02-07,5.1772,2.2944,0.4595,0.2140,0.7227,2.2565,95.2872,0
2024-02-08,-2.8622,2.2944,0.4595,0.2140,0.7227,1.2475,79.9705,0
2024-02-11,-5.3575,2.2944,0.4595,0.2140,0.7227,2.3351,95.7290,0
2024-02-12,-10.5303,2.2944,0.4595,0.2140,0.7227,4.5896,99.7054,0
2024-02-13,0.0000,6.2581,0.6528,0.2767,0.6665,0.0000,0.4418,1
2024-02-14,-0.1732,6.2581,0.6528,0.2767,0.6665,0.0277,5.4492,1
2024-02-15,0.0578,6.2581,0.6528,0.2767,0.6665,0.0092,1.9146,1
2024-02-18,1.8879,6.2581,0.6528,0.2767,0.6665,0.3017,33.5788,1
2024-02-19,-1.1686,6.2581,0.6528,0.2767,0.6665,0.1867,21.2077,1
2024-02-20,-3.0566,6.2581,0.6528,0.2767,0.6665,0.4884,48.3063,1
2024-02-21,1.0293,6.2581,0.6528,0.2767,0.6665,0.1645,19.1458,1
2024-02-22,-0.7930,6.2581,0.6528,0.2767,0.6665,0.1267,15.3166,1
2024-02-25,0.2062,6.2581,0.6528,0.2767,0.6665,0.0330,6.1856,1
2024-02-26,-0.3243,6.2581,0.6528,0.2767,0.6665,0.0518,8.2474,1
2024-02-27,-1.4872,6.2581,0.6528,0.2767,0.6665,0.2377,26.3623,1
2024-02-28,1.0137,6.2581,0.6528,0.2767,0.6665,0.1620,18.7040,1
2024-02-29,3.5838,6.2581,0.6528,0.2767,0.6665,0.5727,53.9028,1
2024-03-03,-3.3467,6.2581,0.6528,0.2767,0.6665,0.5348,51.6937,1
2024-03-04,0.8546,6.2581,0.6528,0.2767,0.6665,0.1366,15.9057,1
2024-03-05,-1.9855,6.2581,0.6528,0.2767,0.6665,0.3173,35.4934,1
2024-03-06,-0.1498,6.2581,0.6528,0.2767,0.6665,0.0239,4.4183,1
2024-03-10,-0.9033,6.2581,0.6528,0.2767,0.6665,0.1443,17.0839,1
