Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-05,,,,,,,,0
2023-06-06,-1.206475,,,,,,,0
2023-06-07,-0.707272,,,,,,,0
2023-06-08,0.118227,,,,,,,0
2023-06-11,5.255284,,,,,,,0
2023-06-12,-1.468123,,,,,,,0
2023-06-13,4.956636,,,,,,,0
2023-06-14,-4.088214,,,,,,,0
2023-06-15,5.379017,,,,,,,0
2023-06-18,-3.148442,,,,,,,0
2023-06-19,-0.220832,,,,,,,0
2023-06-20,-3.410486,,,,,,,0
2023-06-21,0.114307,,,,,,,0
2023-06-22,0.114177,,,,,,,0
2023-06-25,-1.109210,,,,,,,0
2023-06-26,-0.772205,,,,,,,0
2023-06-27,0.695252,,,,,,,0
2023-06-29,-0.077012,,,,,,,0
2023-07-02,-3.568306,,,,,,,0
2023-07-03,2.794907,,,,,,,0
2023-07-04,-3.074740,,,,,,,0
2023-07-05,1.627989,,,,,,,0
2023-07-06,-2.431852,,,,,,,0
2023-07-09,-1.299775,,,,,,,0
2023-07-10,-0.779811,,,,,,,0
2023-07-11,3.442332,,,,,,,0
2023-07-12,-8.860500,,,,,,,0
2023-07-13,1.425202,,,,,,,0
2023-07-16,-0.171674,,,,,,,0
2023-07-17,-0.689658,,,,,,,0
2023-07-18,-1.306070,,,,,,,0
2023-07-19,-0.791909,,,,,,,0
2023-07-20,2.314009,,,,,,,0
2023-07-23,-1.741446,,,,,,,0
2023-07-24,-0.484262,,,,,,,0
2023-07-25,1.184484,,,,,,,0
2023-07-26,-1.008117,,,,,,,0
2023-07-27,-0.441502,,,,,,,0
2023-07-30,-0.221484,,,,,,,0
2023-07-31,-4.628775,,,,,,,0
2023-08-01,-1.309042,,,,,,,0
2023-08-02,-1.135838,,,,,,,0
2023-08-03,3.369528,,,,,,,0
2023-08-06,1.371137,,,,,,,0
2023-08-07,0.588370,,,,,,,0
2023-08-08,3.109980,,,,,,,0
2023-08-09,0.043735,,,,,,,0
2023-08-10,-2.973372,,,,,,,0
2023-08-13,0.941500,,,,,,,0
2023-08-15,1.461820,,,,,,,0
2023-08-16,-1.016583,,,,,,,0
2023-08-17,-0.044435,,,,,,,0
2023-08-20,-1.117330,,,,,,,0
2023-08-21,0.224467,,,,,,,0
2023-08-22,-1.810004,,,,,,,0
2023-08-23,-0.274349,,,,,,,0
2023-08-24,-0.597017,,,,,,,0
2023-08-27,3.262636,,,,,,,0
2023-08-28,0.400445,,,,,,,0
2023-08-29,-2.290691,,,,,,,0
2023-08-30,4.660262,,,,,,,0
2023-08-31,1.121185,3.328091,4.843128,0.266015,0.000000,0.336885,35.147059,1
2023-09-03,0.938974,3.328091,4.843128,0.266015,0.000000,0.282136,27.941176,1
2023-09-04,-1.024774,3.328091,4.843128,0.266015,0.000000,0.307916,31.470588,1
