Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,1.1778,,,,,,,0
2023-06-21,-0.1598,,,,,,,0
2023-06-22,-1.2876,,,,,,,0
2023-06-25,0.2157,,,,,,,0
2023-06-26,-0.7029,,,,,,,0
2023-06-27,-0.5441,,,,,,,0
2023-06-29,0.3812,,,,,,,0
2023-07-02,-0.8733,,,,,,,0
2023-07-03,-0.3295,,,,,,,0
2023-07-04,-0.6069,,,,,,,0
2023-07-05,-0.0553,,,,,,,0
2023-07-06,-0.5553,,,,,,,0
2023-07-09,-0.8949,,,,,,,0
2023-07-10,-0.1687,,,,,,,0
2023-07-11,0.3931,,,,,,,0
2023-07-12,-3.8279,,,,,,,0
2023-07-13,-0.4085,,,,,,,0
2023-07-16,0.7574,,,,,,,0
2023-07-17,-0.5238,,,,,,,0
2023-07-18,0.0000,,,,,,,0
2023-07-19,-0.1751,,,,,,,0
2023-07-20,0.1751,,,,,,,0
2023-07-23,1.6779,,,,,,,0
2023-07-24,-0.2297,,,,,,,0
2023-07-25,-1.3315,,,,,,,0
2023-07-26,-0.3503,,,,,,,0
2023-07-27,-0.2342,,,,,,,0
2023-07-30,0.1172,,,,,,,0
2023-07-31,1.1641,,,,,,,0
2023-08-01,0.5771,,,,,,,0
2023-08-02,0.0576,,,,,,,0
2023-08-03,-0.1727,,,,,,,0
2023-08-06,2.0525,,,,,,,0
2023-08-07,-1.3637,,,,,,,0
2023-08-08,0.7410,,,,,,,0
2023-08-09,-0.5695,,,,,,,0
2023-08-10,-5.6991,,,,,,,0
2023-08-13,-3.2568,,,,,,,0
2023-08-15,-1.7009,,,,,,,0
2023-08-16,-1.0216,,,,,,,0
2023-08-17,1.6678,,,,,,,0
2023-08-20,2.7605,,,,,,,0
2023-08-21,-0.6831,,,,,,,0
2023-08-22,-1.9503,,,,,,,0
2023-08-23,-0.1908,,,,,,,0
2023-08-24,0.3177,,,,,,,0
2023-08-27,-0.6365,,,,,,,0
2023-08-28,-0.5764,,,,,,,0
2023-08-29,5.8620,,,,,,,0
2023-08-30,-0.6075,,,,,,,0
2023-08-31,-0.8568,,,,,,,0
2023-09-03,-0.7402,,,,,,,0
2023-09-04,0.4941,,,,,,,0
2023-09-05,0.4305,,,,,,,0
2023-09-06,-0.3073,,,,,,,0
2023-09-07,0.1230,,,,,,,0
2023-09-10,-0.0615,,,,,,,0
2023-09-11,-3.1867,,,,,,,0
2023-09-12,0.0635,,,,,,,0
