Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,0.5013,,,,,,,0
2023-06-21,-1.0050,,,,,,,0
2023-06-22,-1.5267,,,,,,,0
2023-06-25,0.5115,,,,,,,0
2023-06-26,1.0152,,,,,,,0
2023-06-27,-0.5063,,,,,,,0
2023-06-29,0.0000,,,,,,,0
2023-07-02,0.5063,,,,,,,0
2023-07-03,1.5038,,,,,,,0
2023-07-04,0.0000,,,,,,,0
2023-07-05,-0.4988,,,,,,,0
2023-07-06,-0.5013,,,,,,,0
2023-07-09,0.0000,,,,,,,0
2023-07-10,-0.5038,,,,,,,0
2023-07-11,-0.5063,,,,,,,0
2023-07-12,-0.5089,,,,,,,0
2023-07-13,4.9762,,,,,,,0
2023-07-16,0.9662,,,,,,,0
2023-07-17,1.9048,,,,,,,0
2023-07-18,-0.4728,,,,,,,0
2023-07-19,0.0000,,,,,,,0
2023-07-20,-1.4320,,,,,,,0
2023-07-23,-2.4332,,,,,,,0
2023-07-24,0.0000,,,,,,,0
2023-07-25,1.4670,,,,,,,0
2023-07-26,0.0000,,,,,,,0
2023-07-27,-0.9756,,,,,,,0
2023-07-30,0.0000,,,,,,,0
2023-07-31,1.4599,,,,,,,0
2023-08-01,-1.9513,,,,,,,0
2023-08-02,-0.9901,,,,,,,0
2023-08-03,0.9901,,,,,,,0
2023-08-06,2.4332,,,,,,,0
2023-08-07,3.7740,,,,,,,0
2023-08-08,-0.9302,,,,,,,0
2023-08-09,1.8519,,,,,,,0
2023-08-10,1.8182,,,,,,,0
2023-08-13,1.7858,,,,,,,0
2023-08-15,-0.4435,,,,,,,0
2023-08-16,-0.8929,,,,,,,0
2023-08-17,-4.5880,,,,,,,0
2023-08-20,0.4684,,,,,,,0
2023-08-21,1.3921,,,,,,,0
2023-08-22,-0.9259,,,,,,,0
2023-08-23,0.4640,,,,,,,0
2023-08-24,-1.8692,,,,,,,0
2023-08-27,0.9390,,,,,,,0
2023-08-28,0.0000,,,,,,,0
2023-08-29,2.3096,,,,,,,0
2023-08-30,-2.3096,,,,,,,0
2023-08-31,5.8974,,,,,,,0
2023-09-03,18.0852,,,,,,,0
2023-09-04,18.1095,,,,,,,0
2023-09-05,9.3636,,,,,,,0
2023-09-06,8.0472,,,,,,,0
2023-09-07,1.0257,,,,,,,0
2023-09-10,4.7331,,,,,,,0
2023-09-11,4.7515,,,,,,,0
2023-09-12,-4.9951,,,,,,,0
2023-09-13,-5.0010,,,,,,,0
2023-09-14,-4.9945,5.4964,1.6577,0.9285,0.0715,0.9087,68.9249,1
2023-09-17,4.7377,5.4964,1.6577,0.9285,0.0715,0.8620,65.9794,1
2023-09-19,-5.0076,5.4964,1.6577,0.9285,0.0715,0.9111,69.2194,1
2023-09-20,-4.9872,5.4964,1.6577,0.9285,0.0715,0.9073,68.7776,1
2023-09-21,-1.7192,5.4964,1.6577,0.9285,0.0715,0.3128,28.2769,1
2023-09-24,-5.0381,5.4964,1.6577,0.9285,0.0715,0.9166,69.3667,1
2023-09-25,4.7487,5.4964,1.6577,0.9285,0.0715,0.8640,66.2739,1
2023-09-26,-2.9414,5.4964,1.6577,0.9285,0.0715,0.5351,46.8336,1
2023-09-27,0.5952,5.4964,1.6577,0.9285,0.0715,0.1083,10.4566,1
2023-09-28,-1.1940,5.4964,1.6577,0.9285,0.0715,0.2172,20.4713,1
2023-10-02,1.7858,5.4964,1.6577,0.9285,0.0715,0.3249,30.1915,1
2023-10-03,-1.7858,5.4964,1.6577,0.9285,0.0715,0.3249,30.0442,1
2023-10-04,0.5988,5.4964,1.6577,0.9285,0.0715,0.1089,10.6038,1
2023-10-05,-1.5038,5.4964,1.6577,0.9285,0.0715,0.2736,25.0368,1
2023-10-08,-4.6520,5.4964,1.6577,0.9285,0.0715,0.8464,65.0957,1
2023-10-09,0.0000,5.4964,1.6577,0.9285,0.0715,0.0000,0.8837,1
2023-10-10,4.6520,5.4964,1.6577,0.9285,0.0715,0.8464,65.2430,1
2023-10-11,3.2790,5.4964,1.6577,0.9285,0.0715,0.5966,52.5773,1
2023-10-12,-0.8837,5.4964,1.6577,0.9285,0.0715,0.1608,15.6112,1
2023-10-15,-0.2963,5.4964,1.6577,0.9285,0.0715,0.0539,4.2710,1
2023-10-16,0.8863,1.5991,1.7087,0.8718,0.1282,0.5542,48.1591,0
2023-10-17,-2.3811,1.5991,1.7087,0.8718,0.1282,1.4890,88.5125,0
2023-10-18,0.6006,1.5991,1.7087,0.8718,0.1282,0.3756,34.4624,0
2023-10-19,-0.2999,1.5991,1.7087,0.8718,0.1282,0.1875,18.1149,0
2023-10-22,-4.9241,1.5991,1.7087,0.8718,0.1282,3.0793,98.2327,0
2023-10-24,-3.8590,1.5991,1.7087,0.8718,0.1282,2.4133,95.5817,0
2023-10-25,-3.3336,1.5991,1.7087,0.8718,0.1282,2.0847,94.4035,0
2023-10-26,4.6366,1.5991,1.7087,0.8718,0.1282,2.8995,97.6436,0
2023-10-29,4.4311,1.5991,1.7087,0.8718,0.1282,2.7710,97.2018,0
2023-10-30,-1.5601,1.5991,1.7087,0.8718,0.1282,0.9756,73.7850,0
2023-10-31,-1.9048,1.5991,1.7087,0.8718,0.1282,1.1912,82.9161,0
2023-11-01,-0.9662,1.5991,1.7087,0.8718,0.1282,0.6042,53.0191,0
2023-11-02,2.2401,1.5991,1.7087,0.8718,0.1282,1.4009,87.3343,0
2023-11-05,4.6376,1.5991,1.7087,0.8718,0.1282,2.9002,97.7909,0
2023-11-06,-0.3026,1.5991,1.7087,0.8718,0.1282,0.1892,18.6303,0
2023-11-07,0.9050,1.5991,1.7087,0.8718,0.1282,0.5659,49.9264,0
2023-11-08,-0.6024,1.5991,1.7087,0.8718,0.1282,0.3767,34.9043,0
2023-11-09,-1.2158,1.5991,1.7087,0.8718,0.1282,0.7603,61.5611,0
2023-11-12,1.2158,1.5991,1.7087,0.8718,0.1282,0.7603,61.4138,0
2023-11-14,-0.3026,1.5991,1.7087,0.8718,0.1282,0.1892,18.6303,0
2023-11-15,-0.3035,1.7027,2.3141,0.7788,0.1175,0.1782,17.3785,0
2023-11-16,3.5825,1.7027,2.3141,0.7788,0.1175,2.1040,94.6981,0
2023-11-19,-0.5882,1.7027,2.3141,0.7788,0.1175,0.3455,32.4006,0
2023-11-20,0.8811,1.7027,2.3141,0.7788,0.1175,0.5175,45.9499,0
2023-11-21,4.8512,1.7027,2.3141,0.7788,0.1175,2.8491,97.3490,0
2023-11-22,1.9311,1.7027,2.3141,0.7788,0.1175,1.1341,81.2960,0
2023-11-23,-1.9311,1.7027,2.3141,0.7788,0.1175,1.1341,81.1487,0
2023-11-27,-2.2536,1.7027,2.3141,0.7788,0.1175,1.3236,86.0088,0
2023-11-28,-0.5714,1.7027,2.3141,0.7788,0.1175,0.3356,31.5169,0
2023-11-29,0.2861,1.7027,2.3141,0.7788,0.1175,0.1680,16.0530,0
2023-11-30,-1.7291,1.7027,2.3141,0.7788,0.1175,1.0155,74.9632,0
2023-12-03,0.2903,1.7027,2.3141,0.7788,0.1175,0.1705,16.4948,0
2023-12-04,-1.1662,1.7027,2.3141,0.7788,0.1175,0.6849,57.1429,0
