Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2025-04-16,,,,,,,,0
2025-04-20,3.7885,,,,,,,0
2025-04-21,2.1693,,,,,,,0
2025-04-22,2.2770,,,,,,,0
2025-04-23,-0.3331,,,,,,,0
2025-04-24,-1.3177,,,,,,,0
2025-04-27,-4.1690,,,,,,,0
2025-04-28,-0.5165,,,,,,,0
2025-04-29,1.0304,,,,,,,0
2025-05-01,-0.2700,,,,,,,0
2025-05-04,-0.1625,,,,,,,0
2025-05-05,-2.0530,,,,,,,0
2025-05-06,-0.3601,,,,,,,0
2025-05-07,-2.7290,,,,,,,0
2025-05-08,1.2752,,,,,,,0
2025-05-11,0.8133,,,,,,,0
2025-05-12,1.4696,,,,,,,0
2025-05-13,0.0275,,,,,,,0
2025-05-14,-2.1134,,,,,,,0
2025-05-15,-0.6769,,,,,,,0
2025-05-18,3.6400,,,,,,,0
2025-05-19,2.3991,,,,,,,0
2025-05-20,1.6120,,,,,,,0
2025-05-21,-2.9529,,,,,,,0
2025-05-22,-0.1081,,,,,,,0
2025-05-25,-0.5418,,,,,,,0
2025-05-26,4.4380,,,,,,,0
2025-05-27,-9.5103,,,,,,,0
2025-05-28,3.0409,,,,,,,0
2025-05-29,1.4864,,,,,,,0
2025-06-01,0.0273,,,,,,,0
2025-06-02,1.7598,,,,,,,0
2025-06-03,-1.7325,,,,,,,0
2025-06-04,-1.8190,,,,,,,0
2025-06-05,4.8845,,,,,,,0
2025-06-08,1.1846,,,,,,,0
2025-06-09,0.6523,,,,,,,0
2025-06-10,6.1757,,,,,,,0
2025-06-11,-0.2204,,,,,,,0
2025-06-12,-2.5557,,,,,,,0
2025-06-15,5.9990,,,,,,,0
2025-06-16,-0.2608,,,,,,,0
2025-06-17,1.2030,,,,,,,0
2025-06-18,-0.8711,,,,,,,0
2025-06-19,2.2682,,,,,,,0
2025-06-22,-2.4814,,,,,,,0
2025-06-23,0.0474,,,,,,,0
2025-06-24,-0.2136,,,,,,,0
2025-06-25,0.6391,,,,,,,0
2025-06-26,-5.5787,,,,,,,0
2025-06-29,1.1657,,,,,,,0
2025-06-30,0.5898,,,,,,,0
2025-07-01,-1.4067,,,,,,,0
2025-07-02,-0.7738,,,,,,,0
2025-07-03,2.4741,,,,,,,0
2025-07-06,-0.9822,,,,,,,0
2025-07-07,-0.1730,,,,,,,0
2025-07-08,-1.2939,,,,,,,0
2025-07-09,-2.0749,,,,,,,0
2025-07-10,-1.5719,,,,,,,0
2025-07-13,-1.4653,,,,,,,0
2025-07-14,-1.1133,2.4448,5.5523,0.1915,0.0000,0.4554,43.6681,0
2025-07-15,-0.2935,2.4448,5.5523,0.1915,0.0000,0.1201,9.6070,0
2025-07-16,-1.3998,2.4448,5.5523,0.1915,0.0000,0.5725,50.6550,0
2025-07-17,-1.7224,2.4448,5.5523,0.1915,0.0000,0.7045,59.8253,0
2025-07-20,2.2092,2.4448,5.5523,0.1915,0.0000,0.9036,72.0524,0
2025-07-21,2.2407,2.4448,5.5523,0.1915,0.0000,0.9165,72.4891,0
2025-07-22,0.0264,2.4448,5.5523,0.1915,0.0000,0.0108,1.3100,0
2025-07-23,-1.9709,2.4448,5.5523,0.1915,0.0000,0.8061,66.8122,0
2025-07-24,0.5098,2.4448,5.5523,0.1915,0.0000,0.2085,23.5808,0
2025-07-27,-3.1809,2.4448,5.5523,0.1915,0.0000,1.3011,83.8428,0
2025-07-28,-1.1112,2.4448,5.5523,0.1915,0.0000,0.4545,43.2314,0
2025-07-29,-0.4479,2.4448,5.5523,0.1915,0.0000,0.1832,19.2140,0
2025-07-30,-2.0120,2.4448,5.5523,0.1915,0.0000,0.8230,68.1223,0
2025-07-31,-3.8525,2.4448,5.5523,0.1915,0.0000,1.5757,89.0830,0
2025-08-03,0.0893,2.4448,5.5523,0.1915,0.0000,0.0365,3.9301,0
2025-08-04,-0.3871,2.4448,5.5523,0.1915,0.0000,0.1583,15.2838,0
2025-08-05,0.6248,2.4448,5.5523,0.1915,0.0000,0.2556,26.6376,0
2025-08-06,-1.1934,2.4448,5.5523,0.1915,0.0000,0.4881,44.9782,0
2025-08-07,-1.7561,2.4448,5.5523,0.1915,0.0000,0.7183,60.6987,0
2025-08-10,0.7608,2.4448,5.5523,0.1915,0.0000,0.3112,32.3144,0
