Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,-2.0813,,,,,,,0
2023-06-21,-0.4214,,,,,,,0
2023-06-22,-2.0806,,,,,,,0
2023-06-25,0.1077,,,,,,,0
2023-06-26,3.2320,,,,,,,0
2023-06-27,-2.1075,,,,,,,0
2023-06-29,3.1965,,,,,,,0
2023-07-02,1.6876,,,,,,,0
2023-07-03,-0.8147,,,,,,,0
2023-07-04,-0.5125,,,,,,,0
2023-07-05,-0.9812,,,,,,,0
2023-07-06,0.0520,,,,,,,0
2023-07-09,-3.2151,,,,,,,0
2023-07-10,7.4797,,,,,,,0
2023-07-11,-0.6482,,,,,,,0
2023-07-12,-3.6683,,,,,,,0
2023-07-13,1.2378,,,,,,,0
2023-07-16,1.2733,,,,,,,0
2023-07-17,-1.8903,,,,,,,0
2023-07-18,-0.3617,,,,,,,0
2023-07-19,-0.3110,,,,,,,0
2023-07-20,-2.2048,,,,,,,0
2023-07-23,0.2121,,,,,,,0
2023-07-24,0.7388,,,,,,,0
2023-07-25,-0.0526,,,,,,,0
2023-07-26,-0.6862,,,,,,,0
2023-07-27,-0.3714,,,,,,,0
2023-07-30,-1.4998,,,,,,,0
2023-07-31,1.3934,,,,,,,0
2023-08-01,-1.2854,,,,,,,0
2023-08-02,-0.9207,,,,,,,0
2023-08-03,0.7588,,,,,,,0
2023-08-06,-1.0312,,,,,,,0
2023-08-07,1.6770,,,,,,,0
2023-08-08,-0.2687,,,,,,,0
2023-08-09,-0.3772,,,,,,,0
2023-08-10,-1.1950,,,,,,,0
2023-08-13,1.1950,,,,,,,0
2023-08-15,-0.9222,,,,,,,0
2023-08-16,-0.3276,,,,,,,0
2023-08-17,-2.1554,,,,,,,0
2023-08-20,7.0631,,,,,,,0
2023-08-21,0.1040,,,,,,,0
2023-08-22,-2.1551,,,,,,,0
2023-08-23,1.2147,,,,,,,0
2023-08-24,-0.8434,,,,,,,0
2023-08-27,-0.9575,,,,,,,0
2023-08-28,0.6393,,,,,,,0
2023-08-29,0.3711,,,,,,,0
2023-08-30,10.2021,,,,,,,0
2023-08-31,0.0477,,,,,,,0
2023-09-03,-2.4167,,,,,,,0
2023-09-04,0.6340,,,,,,,0
2023-09-05,-0.1947,,,,,,,0
2023-09-06,12.6566,,,,,,,0
2023-09-07,-0.3008,,,,,,,0
2023-09-10,-4.9868,,,,,,,0
2023-09-11,-9.6849,,,,,,,0
2023-09-12,8.6388,,,,,,,0
2023-09-13,1.3173,,,,,,,0
2023-09-14,-1.3630,5.9623,0.4624,0.1037,0.8963,0.2286,26.3623,1
2023-09-17,-3.8305,5.9623,0.4624,0.1037,0.8963,0.6424,65.3903,1
2023-09-19,-1.6807,5.9623,0.4624,0.1037,0.8963,0.2819,33.2842,1
2023-09-20,-1.4143,5.9623,0.4624,0.1037,0.8963,0.2372,27.5405,1
2023-09-21,4.7479,5.9623,0.4624,0.1037,0.8963,0.7963,73.6377,1
2023-09-24,-1.9391,5.9623,0.4624,0.1037,0.8963,0.3252,39.4698,1
2023-09-25,-1.3946,5.9623,0.4624,0.1037,0.8963,0.2339,26.6568,1
2023-09-26,7.5076,5.9623,0.4624,0.1037,0.8963,1.2592,86.5979,1
2023-09-27,-2.9172,5.9623,0.4624,0.1037,0.8963,0.4893,52.1355,1
2023-09-28,-0.6497,5.9623,0.4624,0.1037,0.8963,0.1090,14.4330,1
2023-10-02,-1.8324,5.9623,0.4624,0.1037,0.8963,0.3073,36.2297,1
2023-10-03,-0.0948,5.9623,0.4624,0.1037,0.8963,0.0159,2.0619,1
2023-10-04,-0.8102,5.9623,0.4624,0.1037,0.8963,0.1359,17.8203,1
2023-10-05,3.3870,5.9623,0.4624,0.1037,0.8963,0.5681,58.4683,1
2023-10-08,-4.6872,5.9623,0.4624,0.1037,0.8963,0.7861,73.1959,1
2023-10-09,1.5392,5.9623,0.4624,0.1037,0.8963,0.2581,30.1915,1
2023-10-10,3.8853,5.9623,0.4624,0.1037,0.8963,0.6516,65.9794,1
2023-10-11,1.7748,5.9623,0.4624,0.1037,0.8963,0.2977,34.6097,1
2023-10-12,-0.9973,5.9623,0.4624,0.1037,0.8963,0.1673,19.7349,1
2023-10-15,-1.6538,5.9623,0.4624,0.1037,0.8963,0.2774,32.4006,1
2023-10-16,3.8170,3.1160,0.9621,0.0756,0.8402,1.2250,85.8616,0
2023-10-17,-2.1632,3.1160,0.9621,0.0756,0.8402,0.6942,68.1885,0
2023-10-18,0.5904,3.1160,0.9621,0.0756,0.8402,0.1895,22.8277,0
2023-10-19,-2.3368,3.1160,0.9621,0.0756,0.8402,0.7499,71.5758,0
2023-10-22,-11.9523,3.1160,0.9621,0.0756,0.8402,3.8358,99.2636,0
2023-10-24,0.8842,3.1160,0.9621,0.0756,0.8402,0.2838,33.4315,0
2023-10-25,-0.6233,3.1160,0.9621,0.0756,0.8402,0.2000,24.0059,0
2023-10-26,1.9608,3.1160,0.9621,0.0756,0.8402,0.6293,62.8866,0
2023-10-29,1.9733,3.1160,0.9621,0.0756,0.8402,0.6333,63.6230,0
2023-10-30,-1.5145,3.1160,0.9621,0.0756,0.8402,0.4860,51.5464,0
2023-10-31,-0.3056,3.1160,0.9621,0.0756,0.8402,0.0981,13.1075,0
2023-11-01,1.0657,3.1160,0.9621,0.0756,0.8402,0.3420,41.2371,0
2023-11-02,1.1543,3.1160,0.9621,0.0756,0.8402,0.3704,43.5935,0
2023-11-05,0.7952,3.1160,0.9621,0.0756,0.8402,0.2552,29.7496,0
2023-11-06,-0.6457,3.1160,0.9621,0.0756,0.8402,0.2072,25.1841,0
2023-11-07,-0.5495,3.1160,0.9621,0.0756,0.8402,0.1764,21.2077,0
