Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,-0.6003,,,,,,,0
2023-06-21,-0.2153,,,,,,,0
2023-06-22,-0.8223,,,,,,,0
2023-06-25,-1.8864,,,,,,,0
2023-06-26,2.4930,,,,,,,0
2023-06-27,-0.2162,,,,,,,0
2023-06-29,-0.6515,,,,,,,0
2023-07-02,-0.0872,,,,,,,0
2023-07-03,-1.4054,,,,,,,0
2023-07-04,0.5733,,,,,,,0
2023-07-05,-0.2642,,,,,,,0
2023-07-06,-0.2649,,,,,,,0
2023-07-09,-0.6653,,,,,,,0
2023-07-10,-0.1336,,,,,,,0
2023-07-11,0.2670,,,,,,,0
2023-07-12,0.1332,,,,,,,0
2023-07-13,-1.7914,,,,,,,0
2023-07-16,1.7914,,,,,,,0
2023-07-17,-1.7010,,,,,,,0
2023-07-18,0.7646,,,,,,,0
2023-07-19,0.3578,,,,,,,0
2023-07-20,-0.5372,,,,,,,0
2023-07-23,-2.0404,,,,,,,0
2023-07-24,0.4114,,,,,,,0
2023-07-25,1.4943,,,,,,,0
2023-07-26,-0.3602,,,,,,,0
2023-07-27,6.2930,,,,,,,0
2023-07-30,-1.8381,,,,,,,0
2023-07-31,-1.9164,,,,,,,0
2023-08-01,1.4841,,,,,,,0
2023-08-02,5.6026,,,,,,,0
2023-08-03,6.5409,,,,,,,0
2023-08-06,-3.1575,,,,,,,0
2023-08-07,-0.7154,,,,,,,0
2023-08-08,-0.5199,,,,,,,0
2023-08-09,-0.6840,,,,,,,0
2023-08-10,-2.4935,,,,,,,0
2023-08-13,-2.8124,,,,,,,0
2023-08-15,0.8900,,,,,,,0
2023-08-16,-1.3166,,,,,,,0
2023-08-17,-0.9450,,,,,,,0
2023-08-20,7.9212,,,,,,,0
2023-08-21,0.1195,,,,,,,0
2023-08-22,-3.8154,,,,,,,0
2023-08-23,9.0144,,,,,,,0
2023-08-24,-0.4927,,,,,,,0
2023-08-27,-2.6175,,,,,,,0
2023-08-28,0.4281,,,,,,,0
2023-08-29,-0.3891,,,,,,,0
2023-08-30,1.7009,,,,,,,0
2023-08-31,10.0211,,,,,,,0
