Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,-3.3607,,,,,,,0
2023-06-21,-0.8007,,,,,,,0
2023-06-22,-2.0889,,,,,,,0
2023-06-25,4.2193,,,,,,,0
2023-06-26,2.9903,,,,,,,0
2023-06-27,0.5441,,,,,,,0
2023-06-29,-0.5168,,,,,,,0
2023-07-02,2.7701,,,,,,,0
2023-07-03,-1.7662,,,,,,,0
2023-07-04,4.4100,,,,,,,0
2023-07-05,-1.0909,,,,,,,0
2023-07-06,-2.1648,,,,,,,0
2023-07-09,0.5058,,,,,,,0
2023-07-10,-1.9033,,,,,,,0
2023-07-11,3.4578,,,,,,,0
2023-07-12,-1.7937,,,,,,,0
2023-07-13,8.5657,,,,,,,0
2023-07-16,-2.7996,,,,,,,0
2023-07-17,-3.0097,,,,,,,0
2023-07-18,-0.2852,,,,,,,0
2023-07-19,-4.4062,,,,,,,0
2023-07-20,-2.1117,,,,,,,0
2023-07-23,4.3391,,,,,,,0
2023-07-24,-1.6591,,,,,,,0
2023-07-25,-2.0996,,,,,,,0
2023-07-26,1.1507,,,,,,,0
2023-07-27,-0.3001,,,,,,,0
2023-07-30,-2.2659,,,,,,,0
2023-07-31,5.0147,,,,,,,0
2023-08-01,-2.4486,,,,,,,0
2023-08-02,0.3806,,,,,,,0
2023-08-03,2.4925,,,,,,,0
2023-08-06,1.8618,,,,,,,0
2023-08-07,-4.6260,,,,,,,0
2023-08-08,1.3246,,,,,,,0
2023-08-09,-3.8877,,,,,,,0
2023-08-10,-1.1512,,,,,,,0
2023-08-13,0.9835,,,,,,,0
2023-08-15,-0.6171,,,,,,,0
2023-08-16,-1.2458,,,,,,,0
2023-08-17,3.5268,,,,,,,0
2023-08-20,-1.7199,,,,,,,0
2023-08-21,-1.3521,,,,,,,0
2023-08-22,-2.0052,,,,,,,0
2023-08-23,0.5770,,,,,,,0
2023-08-24,-1.1865,,,,,,,0
2023-08-27,3.7708,,,,,,,0
2023-08-28,2.3824,,,,,,,0
2023-08-29,-1.5449,,,,,,,0
2023-08-30,0.9683,,,,,,,0
2023-08-31,1.4527,,,,,,,0
2023-09-03,-1.3975,,,,,,,0
2023-09-04,-1.2775,,,,,,,0
2023-09-05,-1.0960,,,,,,,0
2023-09-06,1.4308,,,,,,,0
2023-09-07,-1.0922,,,,,,,0
2023-09-10,0.4215,,,,,,,0
2023-09-11,-5.7422,,,,,,,0
2023-09-12,1.1516,,,,,,,0
2023-09-13,2.0056,,,,,,,0
2023-09-14,-1.3617,2.2621,0.0000,0.0000,0.9925,0.6020,54.4919,0
2023-09-17,2.3354,2.2621,0.0000,0.0000,0.9925,1.0324,77.6141,0
2023-09-19,-1.0600,2.2621,0.0000,0.0000,0.9925,0.4686,46.2445,0
2023-09-20,-3.9659,2.2621,0.0000,0.0000,0.9925,1.7532,90.5744,0
2023-09-21,-1.1756,2.2621,0.0000,0.0000,0.9925,0.5197,48.7482,0
2023-09-24,1.7136,2.2621,0.0000,0.0000,0.9925,0.7575,64.3594,0
2023-09-25,9.4904,2.2621,0.0000,0.0000,0.9925,4.1953,99.4109,0
2023-09-26,6.6840,2.2621,0.0000,0.0000,0.9925,2.9547,97.6436,0
2023-09-27,-3.0114,2.2621,0.0000,0.0000,0.9925,1.3312,84.6834,0
2023-09-28,3.1381,2.2621,0.0000,0.0000,0.9925,1.3872,85.4197,0
2023-10-02,0.5807,2.2621,0.0000,0.0000,0.9925,0.2567,27.9823,0
2023-10-03,2.3144,2.2621,0.0000,0.0000,0.9925,1.0231,76.8778,0
2023-10-04,0.4418,2.2621,0.0000,0.0000,0.9925,0.1953,20.9131,0
2023-10-05,4.3141,2.2621,0.0000,0.0000,0.9925,1.9071,92.4890,0
2023-10-08,-2.7106,2.2621,0.0000,0.0000,0.9925,1.1982,82.1797,0
2023-10-09,4.6158,2.2621,0.0000,0.0000,0.9925,2.0405,93.3726,0
2023-10-10,-4.0870,2.2621,0.0000,0.0000,0.9925,1.8067,91.1635,0
2023-10-11,-0.9152,2.2621,0.0000,0.0000,0.9925,0.4046,41.3844,0
2023-10-12,1.8934,2.2621,0.0000,0.0000,0.9925,0.8370,69.0722,0
2023-10-15,-2.6220,2.2621,0.0000,0.0000,0.9925,1.1591,81.4433,0
2023-10-16,0.1218,2.9128,8.0868,0.0519,0.0000,0.0418,3.9764,0
2023-10-17,-3.7450,2.9128,8.0868,0.0519,0.0000,1.2857,83.6524,0
2023-10-18,-2.7673,2.9128,8.0868,0.0519,0.0000,0.9500,73.1959,0
2023-10-19,-2.4459,2.9128,8.0868,0.0519,0.0000,0.8397,69.2194,0
2023-10-22,-8.2664,2.9128,8.0868,0.0519,0.0000,2.8379,97.2018,0
2023-10-24,-4.0424,2.9128,8.0868,0.0519,0.0000,1.3878,85.5670,0
2023-10-25,7.2300,2.9128,8.0868,0.0519,0.0000,2.4821,95.7290,0
2023-10-26,-1.9231,2.9128,8.0868,0.0519,0.0000,0.6602,58.9102,0
2023-10-29,-1.5540,2.9128,8.0868,0.0519,0.0000,0.5335,49.7791,0
2023-10-30,0.3763,2.9128,8.0868,0.0519,0.0000,0.1292,13.9912,0
2023-10-31,0.8917,2.9128,8.0868,0.0519,0.0000,0.3061,31.8115,0
2023-11-01,0.2574,2.9128,8.0868,0.0519,0.0000,0.0884,9.1311,0
2023-11-02,1.4181,2.9128,8.0868,0.0519,0.0000,0.4868,47.2754,0
2023-11-05,4.9715,2.9128,8.0868,0.0519,0.0000,1.7068,89.9853,0
2023-11-06,-3.1853,2.9128,8.0868,0.0519,0.0000,1.0935,79.3814,0
2023-11-07,0.6617,2.9128,8.0868,0.0519,0.0000,0.2272,25.0368,0
2023-11-08,1.2562,2.9128,8.0868,0.0519,0.0000,0.4313,43.7408,0
2023-11-09,-2.9467,2.9128,8.0868,0.0519,0.0000,1.0116,76.5832,0
2023-11-12,0.6685,2.9128,8.0868,0.0519,0.0000,0.2295,25.1841,0
2023-11-14,-0.0278,2.9128,8.0868,0.0519,0.0000,0.0095,1.4728,0
2023-11-15,0.3327,2.8560,6.1262,0.0765,0.2442,0.1165,12.3711,0
2023-11-16,-0.1939,2.8560,6.1262,0.0765,0.2442,0.0679,7.2165,0
2023-11-19,-4.5385,2.8560,6.1262,0.0765,0.2442,1.5891,88.6598,0
2023-11-20,-1.9043,2.8560,6.1262,0.0765,0.2442,0.6668,59.9411,0
2023-11-21,0.6192,2.8560,6.1262,0.0765,0.2442,0.2168,23.1222,0
2023-11-22,0.9945,2.8560,6.1262,0.0765,0.2442,0.3482,35.4934,0
2023-11-23,-0.2331,2.8560,6.1262,0.0765,0.2442,0.0816,8.5420,0
