Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,-0.7067,,,,,,,0
2023-06-21,1.7575,,,,,,,0
2023-06-22,4.2632,,,,,,,0
2023-06-25,1.7377,,,,,,,0
2023-06-26,-1.2382,,,,,,,0
2023-06-27,-3.1213,,,,,,,0
2023-06-29,-3.0450,,,,,,,0
2023-07-02,0.3527,,,,,,,0
2023-07-03,-0.1762,,,,,,,0
2023-07-04,-0.3534,,,,,,,0
2023-07-05,-1.0676,,,,,,,0
2023-07-06,0.0000,,,,,,,0
2023-07-09,-1.4415,,,,,,,0
2023-07-10,-0.9116,,,,,,,0
2023-07-11,-1.1050,,,,,,,0
2023-07-12,-3.1032,,,,,,,0
2023-07-13,2.9179,,,,,,,0
2023-07-16,1.3819,,,,,,,0
2023-07-17,-2.2203,,,,,,,0
2023-07-18,0.5597,,,,,,,0
2023-07-19,-0.5597,,,,,,,0
2023-07-20,-0.6570,,,,,,,0
2023-07-23,4.9597,,,,,,,0
2023-07-24,-3.0016,,,,,,,0
2023-07-25,1.1932,,,,,,,0
2023-07-26,0.9986,,,,,,,0
2023-07-27,2.2332,,,,,,,0
2023-07-30,-0.7092,,,,,,,0
2023-07-31,3.8399,,,,,,,0
2023-08-01,-3.1307,,,,,,,0
2023-08-02,-1.0657,,,,,,,0
2023-08-03,0.0000,,,,,,,0
2023-08-06,0.0000,,,,,,,0
2023-08-07,-0.1787,,,,,,,0
2023-08-08,-1.8051,,,,,,,0
2023-08-09,0.3636,,,,,,,0
2023-08-10,1.1728,,,,,,,0
2023-08-13,-6.3881,,,,,,,0
2023-08-15,1.3296,,,,,,,0
2023-08-16,-0.6626,,,,,,,0
2023-08-17,0.0000,,,,,,,0
2023-08-20,0.4737,,,,,,,0
2023-08-21,0.4715,,,,,,,0
2023-08-22,0.2818,,,,,,,0
2023-08-23,-0.3759,,,,,,,0
2023-08-24,-0.9461,,,,,,,0
2023-08-27,0.0000,,,,,,,0
2023-08-28,4.6434,,,,,,,0
2023-08-29,1.7986,,,,,,,0
2023-08-30,-0.8953,,,,,,,0
2023-08-31,-1.3581,,,,,,,0
2023-09-03,-1.2844,,,,,,,0
2023-09-04,4.1597,,,,,,,0
2023-09-05,0.5300,,,,,,,0
2023-09-06,13.4192,,,,,,,0
2023-09-07,-2.4173,,,,,,,0
2023-09-10,-1.9124,,,,,,,0
2023-09-11,-1.7039,,,,,,,0
2023-09-12,0.2452,,,,,,,0
2023-09-13,1.8601,,,,,,,0
2023-09-14,-2.2691,3.1961,0.0890,0.0000,1.0000,0.7100,61.6519,1
2023-09-17,-1.7363,3.1961,0.0890,0.0000,1.0000,0.5433,49.7050,1
2023-09-19,-1.8519,3.1961,0.0890,0.0000,1.0000,0.5794,53.8348,1
2023-09-20,-2.4948,3.1961,0.0890,0.0000,1.0000,0.7806,66.0767,1
2023-09-21,1.0399,3.1961,0.0890,0.0000,1.0000,0.3254,30.5310,1
2023-09-24,1.8788,3.1961,0.0890,0.0000,1.0000,0.5878,54.7198,1
2023-09-25,-0.5940,3.1961,0.0890,0.0000,1.0000,0.1858,17.5516,1
2023-09-26,-1.0265,3.1961,0.0890,0.0000,1.0000,0.3212,30.2360,1
2023-09-27,4.4564,3.1961,0.0890,0.0000,1.0000,1.3943,87.3156,1
2023-09-28,-0.2470,3.1961,0.0890,0.0000,1.0000,0.0773,7.9646,1
2023-10-02,2.1208,3.1961,0.0890,0.0000,1.0000,0.6636,58.7021,1
2023-10-03,-2.4511,3.1961,0.0890,0.0000,1.0000,0.7669,65.1917,1
2023-10-04,3.1749,3.1961,0.0890,0.0000,1.0000,0.9934,76.2537,1
2023-10-05,2.9216,3.1961,0.0890,0.0000,1.0000,0.9141,73.5988,1
2023-10-08,-3.4841,3.1961,0.0890,0.0000,1.0000,1.0901,79.2035,1
2023-10-09,0.6426,3.1961,0.0890,0.0000,1.0000,0.2011,18.4366,1
2023-10-10,-1.6142,3.1961,0.0890,0.0000,1.0000,0.5051,46.7552,1
2023-10-11,-0.6531,3.1961,0.0890,0.0000,1.0000,0.2043,18.8791,1
2023-10-12,0.0000,3.1961,0.0890,0.0000,1.0000,0.0000,0.6637,1
2023-10-15,-0.4926,3.1961,0.0890,0.0000,1.0000,0.1541,15.0442,1
2023-10-16,2.9199,2.9155,0.0728,0.0000,0.9960,1.0015,76.4012,0
2023-10-17,-4.2455,2.9155,0.0728,0.0000,0.9960,1.4562,88.3481,0
2023-10-18,4.4053,2.9155,0.0728,0.0000,0.9960,1.5110,89.8230,0
2023-10-19,-3.8232,2.9155,0.0728,0.0000,0.9960,1.3113,84.8083,0
2023-10-22,-5.6281,2.9155,0.0728,0.0000,0.9960,1.9304,93.9528,0
2023-10-24,-1.4135,2.9155,0.0728,0.0000,0.9960,0.4848,45.4277,0
2023-10-25,-1.9767,2.9155,0.0728,0.0000,0.9960,0.6780,59.4395,0
2023-10-26,0.0000,2.9155,0.0728,0.0000,0.9960,0.0000,0.6637,0
2023-10-29,1.0830,2.9155,0.0728,0.0000,0.9960,0.3715,34.9558,0
2023-10-30,-0.8112,2.9155,0.0728,0.0000,0.9960,0.2782,26.2537,0
2023-10-31,-1.0919,2.9155,0.0728,0.0000,0.9960,0.3745,35.6932,0
2023-11-01,1.7234,2.9155,0.0728,0.0000,0.9960,0.5911,54.8673,0
2023-11-02,0.8061,2.9155,0.0728,0.0000,0.9960,0.2765,25.8112,0
