Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,-0.1716,,,,,,,0
2023-06-21,-1.2096,,,,,,,0
2023-06-22,-2.3928,,,,,,,0
2023-06-25,-0.7507,,,,,,,0
2023-06-26,0.2509,,,,,,,0
2023-06-27,-0.9349,,,,,,,0
2023-06-29,-2.3763,,,,,,,0
2023-07-02,-0.3335,,,,,,,0
2023-07-03,0.7765,,,,,,,0
2023-07-04,0.7705,,,,,,,0
2023-07-05,-0.7337,,,,,,,0
2023-07-06,0.8433,,,,,,,0
2023-07-09,-0.9538,,,,,,,0
2023-07-10,0.8442,,,,,,,0
2023-07-11,-2.1800,,,,,,,0
2023-07-12,-0.2244,,,,,,,0
2023-07-13,4.5737,,,,,,,0
2023-07-16,-0.0358,,,,,,,0
2023-07-17,-2.1335,,,,,,,0
2023-07-18,2.7399,,,,,,,0
2023-07-19,-0.6064,,,,,,,0
2023-07-20,-1.8415,,,,,,,0
2023-07-23,-1.1362,,,,,,,0
2023-07-24,-3.0311,,,,,,,0
2023-07-25,-0.7628,,,,,,,0
2023-07-26,2.3085,,,,,,,0
2023-07-27,-3.0000,,,,,,,0
2023-07-30,-0.6187,,,,,,,0
2023-07-31,0.6958,,,,,,,0
2023-08-01,-1.0066,,,,,,,0
2023-08-02,-2.0044,,,,,,,0
2023-08-03,-1.6007,,,,,,,0
2023-08-06,-2.1199,,,,,,,0
2023-08-07,-2.2501,,,,,,,0
2023-08-08,0.7975,,,,,,,0
2023-08-09,-0.1674,,,,,,,0
2023-08-10,0.4596,,,,,,,0
2023-08-13,0.4990,,,,,,,0
2023-08-15,-0.6241,,,,,,,0
2023-08-16,-3.4391,,,,,,,0
2023-08-17,2.9789,,,,,,,0
2023-08-20,8.2073,,,,,,,0
2023-08-21,2.8557,,,,,,,0
2023-08-22,-1.4367,,,,,,,0
2023-08-23,-0.1143,,,,,,,0
2023-08-24,0.2285,,,,,,,0
2023-08-27,-1.7265,,,,,,,0
2023-08-28,-1.4422,,,,,,,0
2023-08-29,3.4346,,,,,,,0
2023-08-30,-2.8084,,,,,,,0
2023-08-31,0.5447,,,,,,,0
2023-09-03,-1.0925,,,,,,,0
2023-09-04,1.7885,,,,,,,0
2023-09-05,-1.9063,,,,,,,0
2023-09-06,4.8678,,,,,,,0
2023-09-07,4.6418,,,,,,,0
2023-09-10,5.6920,,,,,,,0
2023-09-11,-3.2925,,,,,,,0
2023-09-12,3.9985,,,,,,,0
2023-09-13,-1.5530,,,,,,,0
2023-09-14,-3.1452,2.2030,2.4849,0.5141,0.1114,1.4277,86.5782,0
2023-09-17,-1.0945,2.2030,2.4849,0.5141,0.1114,0.4968,51.7699,0
2023-09-19,4.6810,2.2030,2.4849,0.5141,0.1114,2.1249,95.1327,0
2023-09-20,-4.3975,2.2030,2.4849,0.5141,0.1114,1.9961,93.9528,0
2023-09-21,-1.6057,2.2030,2.4849,0.5141,0.1114,0.7289,65.7817,0
2023-09-24,5.8676,2.2030,2.4849,0.5141,0.1114,2.6635,98.0826,0
2023-09-25,-0.7491,2.2030,2.4849,0.5141,0.1114,0.3400,39.8230,0
2023-09-26,-2.7722,2.2030,2.4849,0.5141,0.1114,1.2584,82.5959,0
2023-09-27,-0.9532,2.2030,2.4849,0.5141,0.1114,0.4327,46.9027,0
2023-09-28,1.0235,2.2030,2.4849,0.5141,0.1114,0.4646,49.4100,0
2023-10-02,0.3855,2.2030,2.4849,0.5141,0.1114,0.1750,20.9440,0
2023-10-03,-2.1210,2.2030,2.4849,0.5141,0.1114,0.9628,75.0737,0
2023-10-04,-3.5270,2.2030,2.4849,0.5141,0.1114,1.6010,89.5280,0
2023-10-05,-1.2288,2.2030,2.4849,0.5141,0.1114,0.5578,55.8997,0
2023-10-08,-2.0057,2.2030,2.4849,0.5141,0.1114,0.9105,73.1563,0
2023-10-09,0.1528,2.2030,2.4849,0.5141,0.1114,0.0694,7.9646,0
2023-10-10,0.3810,2.2030,2.4849,0.5141,0.1114,0.1729,20.5015,0
2023-10-11,1.4720,2.2030,2.4849,0.5141,0.1114,0.6682,61.9469,0
2023-10-12,-0.5259,2.2030,2.4849,0.5141,0.1114,0.2387,28.9086,0
2023-10-15,0.1505,2.2030,2.4849,0.5141,0.1114,0.0683,7.8171,0
2023-10-16,-2.2823,1.6707,1.7189,0.4153,0.3370,1.3661,84.8083,0
2023-10-17,1.8678,1.6707,1.7189,0.4153,0.3370,1.1180,78.7611,0
2023-10-18,-0.1512,1.6707,1.7189,0.4153,0.3370,0.0905,11.3569,0
2023-10-19,-2.4116,1.6707,1.7189,0.4153,0.3370,1.4435,86.8732,0
2023-10-22,-3.4690,1.6707,1.7189,0.4153,0.3370,2.0764,94.8378,0
2023-10-24,1.5523,1.6707,1.7189,0.4153,0.3370,0.9291,74.4838,0
2023-10-25,-2.6818,1.6707,1.7189,0.4153,0.3370,1.6052,89.6755,0
2023-10-26,4.4046,1.6707,1.7189,0.4153,0.3370,2.6364,97.7876,0
2023-10-29,-1.8809,1.6707,1.7189,0.4153,0.3370,1.1259,79.0560,0
2023-10-30,-3.9537,1.6707,1.7189,0.4153,0.3370,2.3666,96.6077,0
2023-10-31,-1.0341,1.6707,1.7189,0.4153,0.3370,0.6190,59.1445,0
2023-11-01,4.0340,1.6707,1.7189,0.4153,0.3370,2.4146,97.0501,0
2023-11-02,0.3190,1.6707,1.7189,0.4153,0.3370,0.1909,22.4189,0
2023-11-05,-4.4361,1.6707,1.7189,0.4153,0.3370,2.6553,97.9351,0
2023-11-06,1.1173,1.6707,1.7189,0.4153,0.3370,0.6688,62.0944,0
2023-11-07,0.2055,1.6707,1.7189,0.4153,0.3370,0.1230,14.8968,0
2023-11-08,3.8668,1.6707,1.7189,0.4153,0.3370,2.3145,96.3127,0
2023-11-09,-2.1970,1.6707,1.7189,0.4153,0.3370,1.3151,84.2183,0
2023-11-12,1.6026,1.6707,1.7189,0.4153,0.3370,0.9593,74.9263,0
2023-11-14,1.7337,1.6707,1.7189,0.4153,0.3370,1.0377,76.9912,0
2023-11-15,-0.6663,2.3648,1.2372,0.2704,0.5526,0.2817,34.3658,0
2023-11-16,-1.5056,2.3648,1.2372,0.2704,0.5526,0.6367,60.3245,0
2023-11-19,-1.2857,2.3648,1.2372,0.2704,0.5526,0.5437,55.0147,0
2023-11-20,2.6338,2.3648,1.2372,0.2704,0.5526,1.1138,78.6136,0
2023-11-21,-1.3482,2.3648,1.2372,0.2704,0.5526,0.5701,56.4897,0
2023-11-22,-0.4802,2.3648,1.2372,0.2704,0.5526,0.2031,24.3363,0
2023-11-23,-0.1204,2.3648,1.2372,0.2704,0.5526,0.0509,5.4572,0
2023-11-27,-1.1715,2.3648,1.2372,0.2704,0.5526,0.4954,51.4749,0
2023-11-28,-0.2441,2.3648,1.2372,0.2704,0.5526,0.1032,13.1268,0
2023-11-29,-0.5309,2.3648,1.2372,0.2704,0.5526,0.2245,27.2861,0
2023-11-30,0.1228,2.3648,1.2372,0.2704,0.5526,0.0519,5.6047,0
2023-12-03,0.7741,2.3648,1.2372,0.2704,0.5526,0.3273,38.9381,0
2023-12-04,-1.2661,2.3648,1.2372,0.2704,0.5526,0.5354,53.9823,0
2023-12-05,-1.0744,2.3648,1.2372,0.2704,0.5526,0.4543,48.5251,0
2023-12-06,0.0415,2.3648,1.2372,0.2704,0.5526,0.0176,2.3599,0
2023-12-07,0.2489,2.3648,1.2372,0.2704,0.5526,0.1052,13.4218,0
2023-12-10,-0.8737,2.3648,1.2372,0.2704,0.5526,0.3695,42.4779,0
2023-12-11,-3.3570,2.3648,1.2372,0.2704,0.5526,1.4196,86.2832,0
2023-12-12,1.8412,2.3648,1.2372,0.2704,0.5526,0.7786,68.1416,0
2023-12-13,0.8450,2.3648,1.2372,0.2704,0.5526,0.3573,41.4454,0
2023-12-14,3.9593,2.0185,0.8244,0.2945,0.5801,1.9615,93.6578,0
2023-12-17,4.9310,2.0185,0.8244,0.2945,0.5801,2.4429,97.3451,0
2023-12-18,-3.6852,2.0185,0.8244,0.2945,0.5801,1.8258,92.1829,0
2023-12-19,-1.0438,2.0185,0.8244,0.2945,0.5801,0.5171,53.0973,0
2023-12-20,-0.6478,2.0185,0.8244,0.2945,0.5801,0.3209,37.9056,0
2023-12-21,-0.4886,2.0185,0.8244,0.2945,0.5801,0.2421,29.3510,0
2023-12-25,-2.8988,2.0185,0.8244,0.2945,0.5801,1.4361,86.7257,0
2023-12-26,1.9555,2.0185,0.8244,0.2945,0.5801,0.9688,75.3687,0
2023-12-27,-2.4610,2.0185,0.8244,0.2945,0.5801,1.2193,81.4159,0
2023-12-28,2.2961,2.0185,0.8244,0.2945,0.5801,1.1375,79.4985,0
2023-12-31,0.6172,2.0185,0.8244,0.2945,0.5801,0.3058,36.5782,0
2024-01-01,0.5318,2.0185,0.8244,0.2945,0.5801,0.2635,32.3009,0
2024-01-02,-2.5203,2.0185,0.8244,0.2945,0.5801,1.2486,82.1534,0
2024-01-03,0.4175,2.0185,0.8244,0.2945,0.5801,0.2069,24.9263,0
