Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2025-03-24,,,,,,,,0
2025-03-25,-4.6164,,,,,,,0
2025-03-26,-0.8388,,,,,,,0
2025-03-27,4.4784,,,,,,,0
2025-03-31,3.0245,,,,,,,0
2025-04-01,-0.6615,,,,,,,0
2025-04-02,-1.1621,,,,,,,0
2025-04-03,-0.9746,,,,,,,0
2025-04-06,-4.3106,,,,,,,0
2025-04-07,1.6899,,,,,,,0
2025-04-08,-0.2581,,,,,,,0
2025-04-10,3.3798,,,,,,,0
2025-04-14,4.1362,,,,,,,0
2025-04-15,-3.3645,,,,,,,0
2025-04-16,-1.0218,,,,,,,0
2025-04-20,0.4998,,,,,,,0
2025-04-21,1.5826,,,,,,,0
2025-04-22,-4.4653,,,,,,,0
2025-04-23,2.1823,,,,,,,0
2025-04-24,-3.8899,,,,,,,0
2025-04-27,1.7077,,,,,,,0
2025-04-28,-0.4113,,,,,,,0
2025-04-29,-1.4531,,,,,,,0
2025-05-01,-1.4745,,,,,,,0
2025-05-04,1.9699,,,,,,,0
2025-05-05,-2.5284,,,,,,,0
2025-05-06,0.6911,,,,,,,0
2025-05-07,1.1850,,,,,,,0
2025-05-08,-0.9997,,,,,,,0
2025-05-11,6.3513,,,,,,,0
2025-05-12,3.7262,,,,,,,0
2025-05-13,1.2827,,,,,,,0
2025-05-14,-0.4731,,,,,,,0
2025-05-15,0.8030,,,,,,,0
2025-05-18,3.9664,,,,,,,0
2025-05-19,-3.3566,,,,,,,0
2025-05-20,5.0826,,,,,,,0
2025-05-21,0.7968,,,,,,,0
2025-05-22,-2.4775,,,,,,,0
2025-05-25,-0.7030,,,,,,,0
2025-05-26,2.1613,,,,,,,0
2025-05-27,-5.0239,,,,,,,0
2025-05-28,-5.7847,,,,,,,0
2025-05-29,-1.2233,,,,,,,0
2025-06-01,2.0635,,,,,,,0
2025-06-02,-3.0987,,,,,,,0
2025-06-03,-0.6365,,,,,,,0
2025-06-04,0.8900,,,,,,,0
2025-06-05,-0.4059,,,,,,,0
2025-06-08,1.7138,,,,,,,0
2025-06-09,1.1429,,,,,,,0
2025-06-10,9.8046,,,,,,,0
2025-06-11,0.7141,,,,,,,0
2025-06-12,4.2662,,,,,,,0
2025-06-15,-0.1706,,,,,,,0
2025-06-16,-1.9615,,,,,,,0
2025-06-17,-1.6460,,,,,,,0
2025-06-18,-1.7411,,,,,,,0
2025-06-19,0.7850,,,,,,,0
2025-06-22,18.0794,,,,,,,0
2025-06-23,-2.8368,,,,,,,0
2025-06-24,-0.3266,4.4162,0.1748,0.0000,1.0000,0.0740,13.5246,1
2025-06-25,9.2051,4.4162,0.1748,0.0000,1.0000,2.0844,95.0820,1
2025-06-26,-0.2988,4.4162,0.1748,0.0000,1.0000,0.0677,12.7049,1
2025-06-29,1.9872,4.4162,0.1748,0.0000,1.0000,0.4500,47.1311,1
2025-06-30,4.5547,4.4162,0.1748,0.0000,1.0000,1.0314,83.1967,1
2025-07-01,2.4757,4.4162,0.1748,0.0000,1.0000,0.5606,56.5574,1
2025-07-02,-3.2205,4.4162,0.1748,0.0000,1.0000,0.7293,68.4426,1
2025-07-03,-0.1829,4.4162,0.1748,0.0000,1.0000,0.0414,9.0164,1
2025-07-06,-3.9381,4.4162,0.1748,0.0000,1.0000,0.8917,79.9180,1
2025-07-07,-1.6408,4.4162,0.1748,0.0000,1.0000,0.3715,42.6230,1
2025-07-08,-0.7242,4.4162,0.1748,0.0000,1.0000,0.1640,22.5410,1
2025-07-09,4.2515,4.4162,0.1748,0.0000,1.0000,0.9627,81.5574,1
2025-07-10,-1.2480,4.4162,0.1748,0.0000,1.0000,0.2826,33.1967,1
2025-07-13,2.9828,4.4162,0.1748,0.0000,1.0000,0.6754,65.9836,1
2025-07-14,-0.0501,4.4162,0.1748,0.0000,1.0000,0.0113,5.7377,1
2025-07-15,2.5564,4.4162,0.1748,0.0000,1.0000,0.5789,58.6066,1
2025-07-16,0.9562,4.4162,0.1748,0.0000,1.0000,0.2165,27.8689,1
2025-07-17,1.4094,4.4162,0.1748,0.0000,1.0000,0.3191,36.0656,1
2025-07-20,1.0599,4.4162,0.1748,0.0000,1.0000,0.2400,29.9180,1
2025-07-21,-1.9705,4.4162,0.1748,0.0000,1.0000,0.4462,45.9016,1
2025-07-22,0.1283,4.1044,0.0967,0.0000,1.0000,0.0313,6.9672,1
2025-07-23,-2.4665,4.1044,0.0967,0.0000,1.0000,0.6009,61.0656,1
2025-07-24,-1.4229,4.1044,0.0967,0.0000,1.0000,0.3467,39.3443,1
2025-07-27,-5.1460,4.1044,0.0967,0.0000,1.0000,1.2538,86.8852,1
2025-07-28,-3.1907,4.1044,0.0967,0.0000,1.0000,0.7774,71.7213,1
2025-07-29,-0.3629,4.1044,0.0967,0.0000,1.0000,0.0884,15.9836,1
2025-07-30,4.0960,4.1044,0.0967,0.0000,1.0000,0.9980,82.7869,1
2025-07-31,-3.8781,4.1044,0.0967,0.0000,1.0000,0.9449,81.1475,1
2025-08-03,2.1178,4.1044,0.0967,0.0000,1.0000,0.5160,53.6885,1
