Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,1.8124,,,,,,,0
2023-06-21,-1.8855,,,,,,,0
2023-06-22,-2.2206,,,,,,,0
2023-06-25,1.1904,,,,,,,0
2023-06-26,-0.6679,,,,,,,0
2023-06-27,0.0000,,,,,,,0
2023-06-29,0.4458,,,,,,,0
2023-07-02,2.4890,,,,,,,0
2023-07-03,-2.1192,,,,,,,0
2023-07-04,4.9704,,,,,,,0
2023-07-05,0.2107,,,,,,,0
2023-07-06,-2.4850,,,,,,,0
2023-07-09,-0.5769,,,,,,,0
2023-07-10,1.0789,,,,,,,0
2023-07-11,2.4028,,,,,,,0
2023-07-12,-0.9825,,,,,,,0
2023-07-13,-0.8498,,,,,,,0
2023-07-16,0.9908,,,,,,,0
2023-07-17,-1.4185,,,,,,,0
2023-07-18,1.6997,,,,,,,0
2023-07-19,2.1537,,,,,,,0
2023-07-20,-0.7589,,,,,,,0
2023-07-23,0.0692,,,,,,,0
2023-07-24,0.0000,,,,,,,0
2023-07-25,-0.6247,,,,,,,0
2023-07-26,-0.6987,,,,,,,0
2023-07-27,0.1401,,,,,,,0
2023-07-30,1.3218,,,,,,,0
2023-07-31,2.6595,,,,,,,0
2023-08-01,-0.6075,,,,,,,0
2023-08-02,-2.6760,,,,,,,0
2023-08-03,-0.3482,,,,,,,0
2023-08-06,0.3482,,,,,,,0
2023-08-07,-2.6067,,,,,,,0
2023-08-08,3.0231,,,,,,,0
2023-08-09,-0.5555,,,,,,,0
2023-08-10,-2.3249,,,,,,,0
2023-08-13,4.6650,,,,,,,0
2023-08-15,-0.3408,,,,,,,0
2023-08-16,-1.7211,,,,,,,0
2023-08-17,-1.8221,,,,,,,0
2023-08-20,1.6830,,,,,,,0
2023-08-21,2.8212,,,,,,,0
2023-08-22,-1.0486,,,,,,,0
2023-08-23,-0.7761,,,,,,,0
2023-08-24,0.6354,,,,,,,0
2023-08-27,14.4555,,,,,,,0
2023-08-28,-1.5343,,,,,,,0
2023-08-29,0.8008,,,,,,,0
2023-08-30,-3.6232,,,,,,,0
2023-08-31,1.2642,,,,,,,0
2023-09-03,0.5638,,,,,,,0
2023-09-04,-0.1876,,,,,,,0
2023-09-05,-1.7677,,,,,,,0
2023-09-06,1.3915,,,,,,,0
2023-09-07,-1.4553,,,,,,,0
