Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,-2.4108,,,,,,,0
2023-06-21,-0.2143,,,,,,,0
2023-06-22,-1.1216,,,,,,,0
2023-06-25,2.0185,,,,,,,0
2023-06-26,0.5512,,,,,,,0
2023-06-27,-0.2964,,,,,,,0
2023-06-29,1.5988,,,,,,,0
2023-07-02,-2.4505,,,,,,,0
2023-07-03,-0.5576,,,,,,,0
2023-07-04,-0.0860,,,,,,,0
2023-07-05,3.7597,,,,,,,0
2023-07-06,-0.2491,,,,,,,0
2023-07-09,2.0568,,,,,,,0
2023-07-10,2.6915,,,,,,,0
2023-07-11,-1.6384,,,,,,,0
2023-07-12,-2.8194,,,,,,,0
2023-07-13,3.8216,,,,,,,0
2023-07-16,4.8277,,,,,,,0
2023-07-17,-0.9164,,,,,,,0
2023-07-18,1.6359,,,,,,,0
2023-07-19,-1.6743,,,,,,,0
2023-07-20,-0.8899,,,,,,,0
2023-07-23,-1.0549,,,,,,,0
2023-07-24,2.5593,,,,,,,0
2023-07-25,8.2984,,,,,,,0
2023-07-26,-2.6421,,,,,,,0
2023-07-27,3.4842,,,,,,,0
2023-07-30,6.8527,,,,,,,0
2023-07-31,-1.3137,,,,,,,0
2023-08-01,-0.4307,,,,,,,0
2023-08-02,2.7184,,,,,,,0
2023-08-03,0.8365,,,,,,,0
2023-08-06,2.3121,,,,,,,0
2023-08-07,-3.7320,,,,,,,0
2023-08-08,0.5833,,,,,,,0
2023-08-09,2.1100,,,,,,,0
2023-08-10,-1.3376,,,,,,,0
2023-08-13,-1.4533,,,,,,,0
2023-08-15,-3.8128,,,,,,,0
2023-08-16,0.8413,,,,,,,0
2023-08-17,-1.7239,,,,,,,0
2023-08-20,-1.0282,,,,,,,0
2023-08-21,0.5497,,,,,,,0
2023-08-22,1.6984,,,,,,,0
2023-08-23,-0.7776,,,,,,,0
2023-08-24,0.0679,,,,,,,0
2023-08-27,-1.5727,,,,,,,0
2023-08-28,0.5498,,,,,,,0
2023-08-29,3.2038,,,,,,,0
2023-08-30,0.0332,,,,,,,0
2023-08-31,-0.1328,,,,,,,0
2023-09-03,-1.5401,,,,,,,0
2023-09-04,-0.9491,,,,,,,0
2023-09-05,-0.5465,,,,,,,0
2023-09-06,-0.6527,,,,,,,0
2023-09-07,0.3784,,,,,,,0
2023-09-10,-1.2092,,,,,,,0
2023-09-11,-4.3330,,,,,,,0
2023-09-12,-1.6100,,,,,,,0
2023-09-13,4.2606,,,,,,,0
2023-09-14,1.8214,2.7173,1.1897,0.1122,0.7013,0.6703,58.4683,1
2023-09-17,-1.6448,2.7173,1.1897,0.1122,0.7013,0.6053,54.9337,1
2023-09-19,-1.7801,2.7173,1.1897,0.1122,0.7013,0.6551,57.2901,1
2023-09-20,-3.0267,2.7173,1.1897,0.1122,0.7013,1.1138,79.3814,1
2023-09-21,1.1778,2.7173,1.1897,0.1122,0.7013,0.4334,41.8262,1
2023-09-24,0.3653,2.7173,1.1897,0.1122,0.7013,0.1344,12.9602,1
2023-09-25,-0.2555,2.7173,1.1897,0.1122,0.7013,0.0940,9.8675,1
2023-09-26,-0.6969,2.7173,1.1897,0.1122,0.7013,0.2565,24.5950,1
2023-09-27,1.0617,2.7173,1.1897,0.1122,0.7013,0.3907,37.2607,1
2023-09-28,0.7257,2.7173,1.1897,0.1122,0.7013,0.2671,25.7732,1
2023-10-02,-1.4567,2.7173,1.1897,0.1122,0.7013,0.5361,50.3682,1
2023-10-03,-0.2204,2.7173,1.1897,0.1122,0.7013,0.0811,8.3947,1
2023-10-04,-1.1834,2.7173,1.1897,0.1122,0.7013,0.4355,41.9735,1
2023-10-05,1.8795,2.7173,1.1897,0.1122,0.7013,0.6917,59.7938,1
