Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2024-03-11,,,,,,,,0
2024-03-12,-5.0532,,,,,,,0
2024-03-13,1.8129,,,,,,,0
2024-03-14,1.8784,,,,,,,0
2024-03-17,-1.4800,,,,,,,0
2024-03-18,-1.0995,,,,,,,0
2024-03-19,-0.6048,,,,,,,0
2024-03-20,0.9059,,,,,,,0
2024-03-21,1.3931,,,,,,,0
2024-03-25,-4.9631,,,,,,,0
2024-03-26,2.3603,,,,,,,0
2024-03-27,1.4099,,,,,,,0
2024-03-31,0.0000,,,,,,,0
2024-04-01,3.6331,,,,,,,0
2024-04-02,-4.1344,,,,,,,0
2024-04-03,2.1871,,,,,,,0
2024-04-04,-1.6858,,,,,,,0
2024-04-07,4.1141,,,,,,,0
2024-04-08,4.8699,,,,,,,0
2024-04-09,-1.4734,,,,,,,0
2024-04-11,-1.5894,,,,,,,0
2024-04-14,-1.9030,,,,,,,0
2024-04-15,-1.5490,,,,,,,0
2024-04-17,0.0000,,,,,,,0
2024-04-18,-1.6723,,,,,,,0
2024-04-21,2.6433,,,,,,,0
2024-04-22,-0.9710,,,,,,,0
2024-04-23,-0.8819,,,,,,,0
2024-04-24,-2.7945,,,,,,,0
2024-04-25,0.7059,,,,,,,0
2024-04-28,-0.4027,,,,,,,0
2024-04-29,-0.9123,,,,,,,0
2024-05-01,0.2033,,,,,,,0
2024-05-02,-2.7822,,,,,,,0
2024-05-05,-1.5798,,,,,,,0
2024-05-06,-2.9081,,,,,,,0
2024-05-07,1.1951,,,,,,,0
2024-05-08,-4.6419,,,,,,,0
2024-05-09,-2.6361,,,,,,,0
2024-05-12,4.8733,,,,,,,0
2024-05-13,-0.4434,,,,,,,0
2024-05-14,0.3328,,,,,,,0
2024-05-15,-1.3378,,,,,,,0
2024-05-16,-0.5628,,,,,,,0
2024-05-20,6.2349,,,,,,,0
2024-05-21,1.6826,,,,,,,0
2024-05-22,-2.9633,,,,,,,0
2024-05-23,-1.7334,,,,,,,0
2024-05-26,-2.8827,,,,,,,0
2024-05-27,-2.5057,,,,,,,0
2024-05-28,-0.5784,,,,,,,0
2024-05-29,1.2681,,,,,,,0
2024-05-30,-0.3442,,,,,,,0
2024-06-02,2.2726,,,,,,,0
2024-06-03,-5.0702,,,,,,,0
2024-06-04,-2.1506,,,,,,,0
2024-06-05,4.7180,,,,,,,0
2024-06-06,6.5762,,,,,,,0
2024-06-09,-2.7338,,,,,,,0
2024-06-10,2.4746,,,,,,,0
2024-06-11,-0.7382,,,,,,,0
2024-06-12,-2.5380,2.4916,5.9820,0.1599,0.0260,1.0186,70.7415,0
2024-06-13,2.3636,2.4916,5.9820,0.1599,0.0260,0.9486,67.1343,0
2024-06-17,-1.5177,2.4916,5.9820,0.1599,0.0260,0.6091,49.6994,0
2024-06-18,-1.6988,2.4916,5.9820,0.1599,0.0260,0.6818,56.1122,0
2024-06-19,-0.3387,2.4916,5.9820,0.1599,0.0260,0.1359,15.8317,0
2024-06-20,-1.5500,2.4916,5.9820,0.1599,0.0260,0.6221,50.9018,0
2024-06-23,-0.0461,2.4916,5.9820,0.1599,0.0260,0.0185,3.4068,0
2024-06-24,-1.9494,2.4916,5.9820,0.1599,0.0260,0.7824,59.9198,0
2024-06-25,0.0000,2.4916,5.9820,0.1599,0.0260,0.0000,0.9018,0
2024-06-26,-1.9165,2.4916,5.9820,0.1599,0.0260,0.7692,59.5190,0
2024-06-27,1.7054,2.4916,5.9820,0.1599,0.0260,0.6845,56.3126,0
2024-06-30,2.3902,2.4916,5.9820,0.1599,0.0260,0.9593,67.7355,0
