Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,-2.3942,,,,,,,0
2023-06-21,1.1071,,,,,,,0
2023-06-22,-4.1659,,,,,,,0
2023-06-25,-2.8074,,,,,,,0
2023-06-26,1.9939,,,,,,,0
2023-06-27,-0.6831,,,,,,,0
2023-06-29,-1.5194,,,,,,,0
2023-07-02,1.3135,,,,,,,0
2023-07-03,-0.4819,,,,,,,0
2023-07-04,4.1898,,,,,,,0
2023-07-05,0.6596,,,,,,,0
2023-07-06,1.3712,,,,,,,0
2023-07-09,6.1616,,,,,,,0
2023-07-10,-1.8462,,,,,,,0
2023-07-11,-1.4389,,,,,,,0
2023-07-12,-1.5238,,,,,,,0
2023-07-13,3.8901,,,,,,,0
2023-07-16,-0.4317,,,,,,,0
2023-07-17,0.6776,,,,,,,0
2023-07-18,2.4258,,,,,,,0
2023-07-19,-1.8138,,,,,,,0
2023-07-20,-0.3055,,,,,,,0
2023-07-23,0.4884,,,,,,,0
2023-07-24,-1.2872,,,,,,,0
2023-07-25,0.9211,,,,,,,0
2023-07-26,1.0942,,,,,,,0
2023-07-27,-3.8834,,,,,,,0
2023-07-30,-1.9036,,,,,,,0
2023-07-31,2.4677,,,,,,,0
2023-08-01,-1.5748,,,,,,,0
2023-08-02,-1.2137,,,,,,,0
2023-08-03,0.5767,,,,,,,0
2023-08-06,-0.6410,,,,,,,0
2023-08-07,-1.0993,,,,,,,0
2023-08-08,-4.1825,,,,,,,0
2023-08-09,0.2708,,,,,,,0
2023-08-10,-1.2930,,,,,,,0
2023-08-13,-2.1462,,,,,,,0
2023-08-15,2.6926,,,,,,,0
2023-08-16,0.4757,,,,,,,0
2023-08-17,-1.5028,,,,,,,0
2023-08-20,-0.4138,,,,,,,0
2023-08-21,2.0521,,,,,,,0
2023-08-22,0.9434,,,,,,,0
2023-08-23,2.5821,,,,,,,0
2023-08-24,-0.4586,,,,,,,0
2023-08-27,-0.8572,,,,,,,0
2023-08-28,0.4625,,,,,,,0
2023-08-29,0.1976,,,,,,,0
2023-08-30,-1.4579,,,,,,,0
2023-08-31,0.4662,,,,,,,0
2023-09-03,0.6623,,,,,,,0
2023-09-04,0.5923,,,,,,,0
2023-09-05,7.8831,,,,,,,0
2023-09-06,-2.3935,,,,,,,0
2023-09-07,-1.2500,,,,,,,0
2023-09-10,5.8032,,,,,,,0
2023-09-11,-7.5799,,,,,,,0
2023-09-12,-0.2564,,,,,,,0
2023-09-13,1.0852,,,,,,,0
2023-09-14,3.7999,2.7536,1.7634,0.0479,0.6752,1.3800,87.1681,0
2023-09-17,-1.2919,2.7536,1.7634,0.0479,0.6752,0.4692,48.0826,0
2023-09-19,-2.6350,2.7536,1.7634,0.0479,0.6752,0.9569,76.8437,0
2023-09-20,-2.2502,2.7536,1.7634,0.0479,0.6752,0.8172,70.5015,0
2023-09-21,-0.7178,2.7536,1.7634,0.0479,0.6752,0.2607,29.3510,0
2023-09-24,1.6884,2.7536,1.7634,0.0479,0.6752,0.6131,59.2920,0
2023-09-25,-0.5165,2.7536,1.7634,0.0479,0.6752,0.1876,21.6814,0
2023-09-26,0.2586,2.7536,1.7634,0.0479,0.6752,0.0939,11.0619,0
2023-09-27,-1.0383,2.7536,1.7634,0.0479,0.6752,0.3771,41.1504,0
