Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2024-02-15,,,,,,,,0
2024-02-18,0.0000,,,,,,,0
2024-02-19,9.7164,,,,,,,0
2024-02-20,4.8202,,,,,,,0
2024-02-21,4.7856,,,,,,,0
2024-02-22,0.0000,,,,,,,0
2024-02-25,0.0000,,,,,,,0
2024-02-26,0.0000,,,,,,,0
2024-02-27,0.0000,,,,,,,0
2024-02-28,23.9826,,,,,,,0
2024-02-29,4.8790,,,,,,,0
2024-03-03,9.6074,,,,,,,0
2024-03-04,4.8427,,,,,,,0
2024-03-05,4.8502,,,,,,,0
2024-03-06,0.0000,,,,,,,0
2024-03-10,9.6779,,,,,,,0
2024-03-11,4.8091,,,,,,,0
2024-03-12,1.9783,,,,,,,0
2024-03-13,1.9399,,,,,,,0
2024-03-14,1.9030,,,,,,,0
2024-03-17,1.9599,,,,,,,0
2024-03-18,1.9223,,,,,,,0
2024-03-19,1.9749,,,,,,,0
2024-03-20,1.9367,,,,,,,0
2024-03-21,0.0000,,,,,,,0
2024-03-25,0.0000,,,,,,,0
2024-03-26,1.8999,,,,,,,0
2024-03-27,0.0000,,,,,,,0
2024-03-31,0.0000,,,,,,,0
2024-04-01,0.0000,,,,,,,0
2024-04-02,0.0000,,,,,,,0
2024-04-03,0.0000,,,,,,,0
2024-04-04,0.0000,,,,,,,0
2024-04-07,0.0000,,,,,,,0
2024-04-08,0.0000,,,,,,,0
2024-04-09,1.9484,,,,,,,0
2024-04-11,1.9112,,,,,,,0
2024-04-14,1.9561,,,,,,,0
2024-04-15,-1.9561,,,,,,,0
2024-04-17,-1.9951,,,,,,,0
2024-04-18,1.9127,,,,,,,0
2024-04-21,-1.9967,,,,,,,0
2024-04-22,-1.9517,,,,,,,0
2024-04-23,1.9517,,,,,,,0
2024-04-24,1.9143,,,,,,,0
2024-04-25,1.9592,,,,,,,0
2024-04-28,4.5049,,,,,,,0
2024-04-29,0.5395,,,,,,,0
2024-05-01,-0.8491,,,,,,,0
2024-05-02,-3.4704,,,,,,,0
2024-05-05,4.8561,,,,,,,0
2024-05-06,4.8499,,,,,,,0
2024-05-07,4.4863,,,,,,,0
2024-05-08,2.8828,,,,,,,0
2024-05-09,-3.0222,,,,,,,0
2024-05-12,-5.0780,,,,,,,0
2024-05-13,-2.0008,,,,,,,0
2024-05-14,-1.9653,,,,,,,0
2024-05-15,-2.0047,,,,,,,0
2024-05-16,-1.9662,,,,,,,0
2024-05-20,-3.9697,,,,,,,0
2024-05-21,-1.9191,2.8064,0.4510,0.0000,0.9386,0.6838,45.6311,0
2024-05-22,-1.7850,2.8064,0.4510,0.0000,0.9386,0.6360,41.9417,0
2024-05-23,1.8692,2.8064,0.4510,0.0000,0.9386,0.6660,44.0777,0
2024-05-26,1.6695,2.8064,0.4510,0.0000,0.9386,0.5949,39.4175,0
2024-05-27,-2.0068,2.8064,0.4510,0.0000,0.9386,0.7151,49.3204,0
2024-05-28,-1.5319,2.8064,0.4510,0.0000,0.9386,0.5459,36.5049,0
2024-05-29,-1.9923,2.8064,0.4510,0.0000,0.9386,0.7099,48.5437,0
2024-05-30,-2.0328,2.8064,0.4510,0.0000,0.9386,0.7243,50.4854,0
2024-06-02,-1.9838,2.8064,0.4510,0.0000,0.9386,0.7069,48.3495,0
2024-06-03,-2.0240,2.8064,0.4510,0.0000,0.9386,0.7212,50.0971,0
2024-06-04,-1.9710,2.8064,0.4510,0.0000,0.9386,0.7023,47.3786,0
2024-06-05,-2.0106,2.8064,0.4510,0.0000,0.9386,0.7164,49.7087,0
2024-06-06,-1.9532,2.8064,0.4510,0.0000,0.9386,0.6960,46.4078,0
2024-06-09,1.9725,2.8064,0.4510,0.0000,0.9386,0.7029,47.9612,0
2024-06-10,1.9723,2.8064,0.4510,0.0000,0.9386,0.7028,47.7670,0
2024-06-11,1.9713,2.8064,0.4510,0.0000,0.9386,0.7024,47.5728,0
2024-06-12,1.9697,2.8064,0.4510,0.0000,0.9386,0.7018,47.1845,0
2024-06-13,1.9674,2.8064,0.4510,0.0000,0.9386,0.7010,46.7961,0
2024-06-17,1.6837,2.8064,0.4510,0.0000,0.9386,0.5999,39.8058,0
2024-06-18,0.6307,2.8064,0.4510,0.0000,0.9386,0.2247,16.8932,0
2024-06-19,0.4183,2.0312,0.1022,0.0000,0.9619,0.2059,15.3398,0
2024-06-20,1.9803,2.0312,0.1022,0.0000,0.9619,0.9749,62.3301,0
2024-06-23,4.8750,2.0312,0.1022,0.0000,0.9619,2.4001,97.4757,0
2024-06-24,4.8651,2.0312,0.1022,0.0000,0.9619,2.3952,96.8932,0
2024-06-25,2.8214,2.0312,0.1022,0.0000,0.9619,1.3890,78.4466,0
2024-06-26,-0.7093,2.0312,0.1022,0.0000,0.9619,0.3492,24.2718,0
2024-06-27,-0.2122,2.0312,0.1022,0.0000,0.9619,0.1045,10.6796,0
2024-06-30,-2.0237,2.0312,0.1022,0.0000,0.9619,0.9963,62.7184,0
2024-07-01,-2.8273,2.0312,0.1022,0.0000,0.9619,1.3919,78.8350,0
2024-07-02,2.5326,2.0312,0.1022,0.0000,0.9619,1.2469,73.5922,0
2024-07-03,4.8657,2.0312,0.1022,0.0000,0.9619,2.3955,97.2816,0
2024-07-04,4.8656,2.0312,0.1022,0.0000,0.9619,2.3955,97.0874,0
2024-07-07,-0.8207,2.0312,0.1022,0.0000,0.9619,0.4041,27.3786,0
2024-07-08,0.1704,2.0312,0.1022,0.0000,0.9619,0.0839,9.1262,0
2024-07-09,-3.4635,2.0312,0.1022,0.0000,0.9619,1.7052,87.3786,0
2024-07-10,1.4578,2.0312,0.1022,0.0000,0.9619,0.7177,49.9029,0
2024-07-11,-0.1738,2.0312,0.1022,0.0000,0.9619,0.0856,9.3204,0
2024-07-14,-2.8229,2.0312,0.1022,0.0000,0.9619,1.3898,78.6408,0
2024-07-15,-0.2389,2.0312,0.1022,0.0000,0.9619,0.1176,11.8447,0
2024-07-17,-2.2677,2.0312,0.1022,0.0000,0.9619,1.1164,68.3495,0
2024-07-18,-3.9135,2.4332,0.3454,0.0000,0.9410,1.6084,85.0485,0
2024-07-21,-1.4253,2.4332,0.3454,0.0000,0.9410,0.5858,38.6408,0
2024-07-22,1.3298,2.4332,0.3454,0.0000,0.9410,0.5465,36.6990,0
2024-07-23,3.4724,2.4332,0.3454,0.0000,0.9410,1.4271,80.1942,0
2024-07-24,-0.4623,2.4332,0.3454,0.0000,0.9410,0.1900,14.3689,0
2024-07-25,3.4159,2.4332,0.3454,0.0000,0.9410,1.4039,79.4175,0
2024-07-28,-0.3888,2.4332,0.3454,0.0000,0.9410,0.1598,13.5922,0
2024-07-29,-3.4604,2.4332,0.3454,0.0000,0.9410,1.4222,80.0000,0
2024-07-30,2.3455,2.4332,0.3454,0.0000,0.9410,0.9640,62.1359,0
2024-07-31,-1.1275,2.4332,0.3454,0.0000,0.9410,0.4634,31.8447,0
2024-08-01,-1.9496,2.4332,0.3454,0.0000,0.9410,0.8013,55.3398,0
2024-08-04,-2.4997,2.4332,0.3454,0.0000,0.9410,1.0274,63.4951,0
2024-08-05,2.3434,2.4332,0.3454,0.0000,0.9410,0.9631,61.9417,0
2024-08-06,0.1407,2.4332,0.3454,0.0000,0.9410,0.0578,6.7961,0
2024-08-07,-2.8854,2.4332,0.3454,0.0000,0.9410,1.1859,71.2621,0
2024-08-08,3.0416,2.4332,0.3454,0.0000,0.9410,1.2501,73.7864,0
2024-08-11,-1.7948,2.4332,0.3454,0.0000,0.9410,0.7376,52.2330,0
2024-08-12,-1.9085,2.4332,0.3454,0.0000,0.9410,0.7844,54.5631,0
2024-08-13,-0.4707,2.4332,0.3454,0.0000,0.9410,0.1934,14.9515,0
2024-08-15,-5.1405,2.4332,0.3454,0.0000,0.9410,2.1127,95.3398,0
2024-08-18,-1.4838,2.4660,0.3721,0.0000,0.9387,0.6017,40.1942,0
2024-08-19,3.1988,2.4660,0.3721,0.0000,0.9387,1.2971,75.5340,0
2024-08-20,-3.3379,2.4660,0.3721,0.0000,0.9387,1.3536,77.2816,0
2024-08-21,3.4221,2.4660,0.3721,0.0000,0.9387,1.3877,78.2524,0
2024-08-22,-3.9106,2.4660,0.3721,0.0000,0.9387,1.5858,84.8544,0
2024-08-25,4.4976,2.4660,0.3721,0.0000,0.9387,1.8238,91.0680,0
2024-08-26,-0.2009,2.4660,0.3721,0.0000,0.9387,0.0815,8.7379,0
2024-08-27,-0.1845,2.4660,0.3721,0.0000,0.9387,0.0748,7.9612,0
2024-08-28,-1.6588,2.4660,0.3721,0.0000,0.9387,0.6727,44.4660,0
2024-08-29,-2.7513,2.4660,0.3721,0.0000,0.9387,1.1157,67.9612,0
2024-09-01,1.4111,2.4660,0.3721,0.0000,0.9387,0.5722,38.2524,0
2024-09-02,-0.5377,2.4660,0.3721,0.0000,0.9387,0.2180,16.3107,0
2024-09-03,-0.8909,2.4660,0.3721,0.0000,0.9387,0.3613,25.0485,0
2024-09-04,1.6014,2.4660,0.3721,0.0000,0.9387,0.6494,43.1068,0
2024-09-05,-1.5839,2.4660,0.3721,0.0000,0.9387,0.6423,42.7184,0
2024-09-08,-0.7926,2.4660,0.3721,0.0000,0.9387,0.3214,22.3301,0
2024-09-09,4.2921,2.4660,0.3721,0.0000,0.9387,1.7405,89.3204,0
2024-09-10,4.8766,2.4660,0.3721,0.0000,0.9387,1.9775,94.3689,0
2024-09-11,2.7530,2.4660,0.3721,0.0000,0.9387,1.1164,68.1553,0
2024-09-12,-4.1502,2.4660,0.3721,0.0000,0.9387,1.6830,86.9903,0
2024-09-15,4.2287,2.5414,0.4144,0.0000,0.9358,1.6639,86.4078,0
2024-09-16,-1.2150,2.5414,0.4144,0.0000,0.9358,0.4781,33.7864,0
