Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,-1.6086,,,,,,,0
2023-06-21,1.8742,,,,,,,0
2023-06-22,0.0000,,,,,,,0
2023-06-25,-0.7989,,,,,,,0
2023-06-26,2.8988,,,,,,,0
2023-06-27,-0.2601,,,,,,,0
2023-06-29,0.7782,,,,,,,0
2023-07-02,1.2837,,,,,,,0
2023-07-03,-3.1091,,,,,,,0
2023-07-04,0.2628,,,,,,,0
2023-07-05,2.3347,,,,,,,0
2023-07-06,-0.7722,,,,,,,0
2023-07-09,-0.5181,,,,,,,0
2023-07-10,-0.5208,,,,,,,0
2023-07-11,3.5901,,,,,,,0
2023-07-12,-1.2674,,,,,,,0
2023-07-13,-0.2554,,,,,,,0
2023-07-16,-0.7702,,,,,,,0
2023-07-17,-2.6111,,,,,,,0
2023-07-18,4.3992,,,,,,,0
2023-07-19,-1.7880,,,,,,,0
2023-07-20,1.0257,,,,,,,0
2023-07-23,-1.5424,,,,,,,0
2023-07-24,0.0000,,,,,,,0
2023-07-25,0.0000,,,,,,,0
2023-07-26,-0.2594,,,,,,,0
2023-07-27,-0.5208,,,,,,,0
2023-07-30,-1.5790,,,,,,,0
2023-07-31,1.3175,,,,,,,0
2023-08-01,-1.3175,,,,,,,0
2023-08-02,-0.5319,,,,,,,0
2023-08-03,1.0610,,,,,,,0
2023-08-06,-1.5958,,,,,,,0
2023-08-07,2.6457,,,,,,,0
2023-08-08,0.0000,,,,,,,0
2023-08-09,-0.2614,,,,,,,0
2023-08-10,-0.7884,,,,,,,0
2023-08-13,2.3469,,,,,,,0
2023-08-15,2.2931,,,,,,,0
2023-08-16,-1.5229,,,,,,,0
2023-08-17,-0.5128,,,,,,,0
2023-08-20,-1.0336,,,,,,,0
2023-08-21,0.2594,,,,,,,0
2023-08-22,0.2587,,,,,,,0
2023-08-23,0.7722,,,,,,,0
2023-08-24,-1.2903,,,,,,,0
2023-08-27,0.7762,,,,,,,0
2023-08-28,-1.0363,,,,,,,0
2023-08-29,2.3167,,,,,,,0
2023-08-30,13.9873,,,,,,,0
2023-08-31,-3.1463,,,,,,,0
2023-09-03,-2.3096,,,,,,,0
2023-09-04,-0.4684,,,,,,,0
2023-09-05,0.7018,,,,,,,0
2023-09-06,6.3226,,,,,,,0
2023-09-07,-2.2125,,,,,,,0
2023-09-10,-0.2240,,,,,,,0
2023-09-11,-5.7686,,,,,,,0
2023-09-12,1.4151,,,,,,,0
2023-09-13,-0.4695,,,,,,,0
2023-09-14,4.3735,3.2164,0.1119,0.0000,1.0000,1.3597,86.1561,0
2023-09-17,-1.5891,3.2164,0.1119,0.0000,1.0000,0.4941,52.2828,0
2023-09-19,-4.6847,3.2164,0.1119,0.0000,1.0000,1.4565,87.9234,0
2023-09-20,-2.4273,3.2164,0.1119,0.0000,1.0000,0.7547,67.3049,0
2023-09-21,1.9465,3.2164,0.1119,0.0000,1.0000,0.6052,59.3520,0
2023-09-24,5.3940,3.2164,0.1119,0.0000,1.0000,1.6770,91.6053,0
2023-09-25,5.7666,3.2164,0.1119,0.0000,1.0000,1.7928,93.0781,0
2023-09-26,0.6445,3.2164,0.1119,0.0000,1.0000,0.2004,24.7423,0
2023-09-27,-3.2647,3.2164,0.1119,0.0000,1.0000,1.0150,77.7614,0
2023-09-28,1.7544,3.2164,0.1119,0.0000,1.0000,0.5455,55.3756,0
2023-10-02,0.4338,3.2164,0.1119,0.0000,1.0000,0.1349,16.0530,0
2023-10-03,-3.0772,3.2164,0.1119,0.0000,1.0000,0.9567,76.1414,0
2023-10-04,0.8889,3.2164,0.1119,0.0000,1.0000,0.2764,34.0206,0
2023-10-05,3.0503,3.2164,0.1119,0.0000,1.0000,0.9484,75.4050,0
2023-10-08,-2.6088,3.2164,0.1119,0.0000,1.0000,0.8111,70.8395,0
2023-10-09,2.1787,3.2164,0.1119,0.0000,1.0000,0.6774,63.9175,0
2023-10-10,0.2153,3.2164,0.1119,0.0000,1.0000,0.0669,9.5729,0
2023-10-11,2.9663,3.2164,0.1119,0.0000,1.0000,0.9222,74.5214,0
2023-10-12,-1.8968,3.2164,0.1119,0.0000,1.0000,0.5897,58.9102,0
2023-10-15,3.3476,3.2164,0.1119,0.0000,1.0000,1.0408,78.7923,0
2023-10-16,-2.0791,3.3894,0.0968,0.0000,1.0000,0.6134,59.9411,0
2023-10-17,-0.6322,3.3894,0.0968,0.0000,1.0000,0.1865,22.6804,0
2023-10-18,0.0000,3.3894,0.0968,0.0000,1.0000,0.0000,1.1046,0
2023-10-19,-1.9211,3.3894,0.0968,0.0000,1.0000,0.5668,56.5538,0
2023-10-22,-9.7252,3.3894,0.0968,0.0000,1.0000,2.8693,97.4963,0
2023-10-24,-3.3820,3.3894,0.0968,0.0000,1.0000,0.9978,77.3196,0
2023-10-25,-0.7398,3.3894,0.0968,0.0000,1.0000,0.2183,26.2150,0
2023-10-26,2.6864,3.3894,0.0968,0.0000,1.0000,0.7926,70.2504,0
