Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,2.3836,,,,,,,0
2023-06-21,-1.2931,,,,,,,0
2023-06-22,1.7205,,,,,,,0
2023-06-25,-1.5038,,,,,,,0
2023-06-26,-1.5267,,,,,,,0
2023-06-27,0.6572,,,,,,,0
2023-06-29,-0.4376,,,,,,,0
2023-07-02,0.2191,,,,,,,0
2023-07-03,-2.8859,,,,,,,0
2023-07-04,-1.1325,,,,,,,0
2023-07-05,0.2275,,,,,,,0
2023-07-06,-0.6842,,,,,,,0
2023-07-09,-3.0200,,,,,,,0
2023-07-10,0.9390,,,,,,,0
2023-07-11,-1.6490,,,,,,,0
2023-07-12,-2.6476,,,,,,,0
2023-07-13,0.7290,,,,,,,0
2023-07-16,-1.4634,,,,,,,0
2023-07-17,2.9058,,,,,,,0
2023-07-18,-1.2005,,,,,,,0
2023-07-19,-1.7053,,,,,,,0
2023-07-20,1.4634,,,,,,,0
2023-07-23,-1.9561,,,,,,,0
2023-07-24,2.1979,,,,,,,0
2023-07-25,-1.2151,,,,,,,0
2023-07-26,-0.2448,,,,,,,0
2023-07-27,-0.4914,,,,,,,0
2023-07-30,-1.9901,,,,,,,0
2023-07-31,-1.2642,,,,,,,0
2023-08-01,0.5076,,,,,,,0
2023-08-02,-1.0178,,,,,,,0
2023-08-03,2.0254,,,,,,,0
2023-08-06,-1.2611,,,,,,,0
2023-08-07,0.2535,,,,,,,0
2023-08-08,0.7566,,,,,,,0
2023-08-09,0.2509,,,,,,,0
2023-08-10,-0.7547,,,,,,,0
2023-08-13,-1.0152,,,,,,,0
2023-08-15,-1.0257,,,,,,,0
2023-08-16,1.0257,,,,,,,0
2023-08-17,-1.0257,,,,,,,0
2023-08-20,-0.5168,,,,,,,0
2023-08-21,-0.2594,,,,,,,0
2023-08-22,1.0336,,,,,,,0
2023-08-23,0.0000,,,,,,,0
2023-08-24,1.2772,,,,,,,0
2023-08-27,-0.7643,,,,,,,0
2023-08-28,0.2554,,,,,,,0
2023-08-29,-0.5115,,,,,,,0
2023-08-30,0.5115,,,,,,,0
