Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,-2.4881,,,,,,,0
2023-06-21,0.3573,,,,,,,0
2023-06-22,-1.6598,,,,,,,0
2023-06-25,0.7088,,,,,,,0
2023-06-26,0.0968,,,,,,,0
2023-06-27,0.2073,,,,,,,0
2023-06-29,0.7566,,,,,,,0
2023-07-02,-2.8351,,,,,,,0
2023-07-03,-1.0487,,,,,,,0
2023-07-04,-0.6431,,,,,,,0
2023-07-05,0.7570,,,,,,,0
2023-07-06,-0.2993,,,,,,,0
2023-07-09,-0.5151,,,,,,,0
2023-07-10,-1.3286,,,,,,,0
2023-07-11,-2.3237,,,,,,,0
2023-07-12,-1.8772,,,,,,,0
2023-07-13,2.2782,,,,,,,0
2023-07-16,-0.2373,,,,,,,0
2023-07-17,0.4594,,,,,,,0
2023-07-18,-0.2516,,,,,,,0
2023-07-19,-0.3862,,,,,,,0
2023-07-20,-0.3429,,,,,,,0
2023-07-23,-1.2773,,,,,,,0
2023-07-24,0.6332,,,,,,,0
2023-07-25,-1.1792,,,,,,,0
2023-07-26,0.3037,,,,,,,0
2023-07-27,2.4855,,,,,,,0
2023-07-30,-1.6250,,,,,,,0
2023-07-31,-0.0301,,,,,,,0
2023-08-01,-0.2710,,,,,,,0
2023-08-02,-2.9062,,,,,,,0
2023-08-03,1.5707,,,,,,,0
2023-08-06,-1.0754,,,,,,,0
2023-08-07,1.0906,,,,,,,0
2023-08-08,-0.3673,,,,,,,0
2023-08-09,1.3554,,,,,,,0
2023-08-10,-0.0606,,,,,,,0
2023-08-13,0.1060,,,,,,,0
2023-08-15,4.8544,,,,,,,0
2023-08-16,1.0602,,,,,,,0
2023-08-17,-2.6280,,,,,,,0
2023-08-20,-6.5759,,,,,,,0
2023-08-21,4.9535,,,,,,,0
2023-08-22,0.0742,,,,,,,0
2023-08-23,-8.4447,,,,,,,0
2023-08-24,1.5242,,,,,,,0
2023-08-27,-0.1593,,,,,,,0
2023-08-28,-0.2395,,,,,,,0
2023-08-29,-1.1253,,,,,,,0
2023-08-30,-2.1244,,,,,,,0
2023-08-31,-1.7493,,,,,,,0
2023-09-03,-1.6949,,,,,,,0
2023-09-04,-0.5141,,,,,,,0
2023-09-05,3.2124,,,,,,,0
2023-09-06,-0.8353,,,,,,,0
2023-09-07,-5.9629,,,,,,,0
2023-09-10,0.7982,,,,,,,0
2023-09-11,1.4905,,,,,,,0
2023-09-12,4.6758,,,,,,,0
2023-09-13,6.5109,,,,,,,0
2023-09-14,2.9143,4.0783,0.1864,0.1337,0.8663,0.7146,60.6775,1
2023-09-17,3.7824,4.0783,0.1864,0.1337,0.8663,0.9274,71.2813,1
2023-09-19,0.5082,4.0783,0.1864,0.1337,0.8663,0.1246,12.5184,1
2023-09-20,4.1139,4.0783,0.1864,0.1337,0.8663,1.0087,76.8778,1
2023-09-21,-1.5405,4.0783,0.1864,0.1337,0.8663,0.3777,36.8189,1
2023-09-24,-0.5663,4.0783,0.1864,0.1337,0.8663,0.1389,13.9912,1
2023-09-25,0.2835,4.0783,0.1864,0.1337,0.8663,0.0695,6.3328,1
2023-09-26,-1.2104,4.0783,0.1864,0.1337,0.8663,0.2968,30.4860,1
2023-09-27,2.1262,4.0783,0.1864,0.1337,0.8663,0.5213,48.8954,1
2023-09-28,-0.9867,4.0783,0.1864,0.1337,0.8663,0.2419,24.7423,1
2023-10-02,-1.5702,4.0783,0.1864,0.1337,0.8663,0.3850,37.5552,1
2023-10-03,-3.8128,4.0783,0.1864,0.1337,0.8663,0.9349,71.8704,1
2023-10-04,4.1718,4.0783,0.1864,0.1337,0.8663,1.0229,77.1723,1
2023-10-05,-2.3206,4.0783,0.1864,0.1337,0.8663,0.5690,52.7246,1
2023-10-08,-1.9261,4.0783,0.1864,0.1337,0.8663,0.4723,44.9190,1
2023-10-09,5.1032,4.0783,0.1864,0.1337,0.8663,1.2513,83.5052,1
2023-10-10,0.8493,4.0783,0.1864,0.1337,0.8663,0.2082,20.6186,1
2023-10-11,0.7721,4.0783,0.1864,0.1337,0.8663,0.1893,18.7040,1
2023-10-12,0.9744,4.0783,0.1864,0.1337,0.8663,0.2389,24.4477,1
2023-10-15,-2.8092,4.0783,0.1864,0.1337,0.8663,0.6888,59.9411,1
2023-10-16,-1.7967,2.7847,0.2059,0.1211,0.8645,0.6452,57.2901,0
2023-10-17,-2.7196,2.7847,0.2059,0.1211,0.8645,0.9766,74.0795,0
2023-10-18,0.0744,2.7847,0.2059,0.1211,0.8645,0.0267,2.5037,0
2023-10-19,-0.0744,2.7847,0.2059,0.1211,0.8645,0.0267,2.6510,0
2023-10-22,-3.7197,2.7847,0.2059,0.1211,0.8645,1.3358,86.5979,0
2023-10-24,-0.1547,2.7847,0.2059,0.1211,0.8645,0.0556,5.4492,0
2023-10-25,-2.1928,2.7847,0.2059,0.1211,0.8645,0.7874,64.6539,0
2023-10-26,4.3383,2.7847,0.2059,0.1211,0.8645,1.5579,90.5744,0
2023-10-29,-0.8374,2.7847,0.2059,0.1211,0.8645,0.3007,31.0751,0
2023-10-30,3.4565,2.7847,0.2059,0.1211,0.8645,1.2412,83.3579,0
2023-10-31,-1.5631,2.7847,0.2059,0.1211,0.8645,0.5613,51.8409,0
2023-11-01,-1.2836,2.7847,0.2059,0.1211,0.8645,0.4610,43.1517,0
2023-11-02,-0.3043,2.7847,0.2059,0.1211,0.8645,0.1093,10.1620,0
2023-11-05,0.6836,2.7847,0.2059,0.1211,0.8645,0.2455,25.6259,0
2023-11-06,-0.4552,2.7847,0.2059,0.1211,0.8645,0.1635,16.0530,0
2023-11-07,-0.6868,2.7847,0.2059,0.1211,0.8645,0.2466,25.9205,0
2023-11-08,3.3135,2.7847,0.2059,0.1211,0.8645,1.1899,81.8851,0
2023-11-09,2.3427,2.7847,0.2059,0.1211,0.8645,0.8413,67.4521,0
2023-11-12,-3.3103,2.7847,0.2059,0.1211,0.8645,1.1888,81.7378,0
2023-11-14,-3.8892,2.7847,0.2059,0.1211,0.8645,1.3966,88.5125,0
2023-11-15,-1.0159,2.6491,0.2238,0.1085,0.8679,0.3835,37.2607,0
2023-11-16,-1.3446,2.6491,0.2238,0.1085,0.8679,0.5075,48.1591,0
2023-11-19,-0.7191,2.6491,0.2238,0.1085,0.8679,0.2715,28.4242,0
2023-11-20,-0.3212,2.6491,0.2238,0.1085,0.8679,0.1212,11.7820,0
2023-11-21,-0.0805,2.6491,0.2238,0.1085,0.8679,0.0304,3.0928,0
2023-11-22,-1.7053,2.6491,0.2238,0.1085,0.8679,0.6437,57.1429,0
2023-11-23,3.6982,2.6491,0.2238,0.1085,0.8679,1.3960,88.3652,0
2023-11-27,-3.3711,2.6491,0.2238,0.1085,0.8679,1.2725,84.6834,0
2023-11-28,-0.4910,2.6491,0.2238,0.1085,0.8679,0.1853,17.9676,0
2023-11-29,0.1639,2.6491,0.2238,0.1085,0.8679,0.0619,5.8910,0
2023-11-30,1.2210,2.6491,0.2238,0.1085,0.8679,0.4609,42.8571,0
2023-12-03,-1.2210,2.6491,0.2238,0.1085,0.8679,0.4609,43.0044,0
2023-12-04,-0.6573,2.6491,0.2238,0.1085,0.8679,0.2481,26.3623,0
2023-12-05,1.2290,2.6491,0.2238,0.1085,0.8679,0.4639,43.7408,0
2023-12-06,-0.0815,2.6491,0.2238,0.1085,0.8679,0.0308,3.6819,0
2023-12-07,-0.3266,2.6491,0.2238,0.1085,0.8679,0.1233,12.3711,0
2023-12-10,2.1038,2.6491,0.2238,0.1085,0.8679,0.7941,65.0957,0
2023-12-11,2.2169,2.6491,0.2238,0.1085,0.8679,0.8368,67.1576,0
2023-12-12,0.2347,2.6491,0.2238,0.1085,0.8679,0.0886,8.5420,0
2023-12-13,-1.8132,2.6491,0.2238,0.1085,0.8679,0.6844,59.6465,0
2023-12-14,-0.3188,1.8944,0.2365,0.1029,0.8587,0.1683,16.4948,0
2023-12-17,2.0539,1.8944,0.2365,0.1029,0.8587,1.0842,79.8233,0
2023-12-18,-4.1507,1.8944,0.2365,0.1029,0.8587,2.1911,95.8763,0
2023-12-19,-2.3085,1.8944,0.2365,0.1029,0.8587,1.2186,82.6215,0
2023-12-20,1.6544,1.8944,0.2365,0.1029,0.8587,0.8733,68.9249,0
2023-12-21,-0.8238,1.8944,0.2365,0.1029,0.8587,0.4349,41.8262,0
2023-12-25,-0.9975,1.8944,0.2365,0.1029,0.8587,0.5266,49.4845,0
2023-12-26,-0.5866,1.8944,0.2365,0.1029,0.8587,0.3096,31.8115,0
2023-12-27,-0.9286,1.8944,0.2365,0.1029,0.8587,0.4902,46.0972,0
2023-12-28,-3.8033,1.8944,0.2365,0.1029,0.8587,2.0077,93.9617,0
2023-12-31,0.0000,1.8944,0.2365,0.1029,0.8587,0.0000,0.8100,0
2024-01-01,-0.1765,1.8944,0.2365,0.1029,0.8587,0.0932,9.1311,0
2024-01-02,-0.5310,1.8944,0.2365,0.1029,0.8587,0.2803,29.8969,0
2024-01-03,-2.6980,1.8944,0.2365,0.1029,0.8587,1.4242,88.9543,0
