Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,0.2567,,,,,,,0
2023-06-21,-0.3854,,,,,,,0
2023-06-22,-1.5565,,,,,,,0
2023-06-25,-0.7874,,,,,,,0
2023-06-26,-0.1318,,,,,,,0
2023-06-27,0.1318,,,,,,,0
2023-06-29,0.6566,,,,,,,0
2023-07-02,-1.1850,,,,,,,0
2023-07-03,1.7072,,,,,,,0
2023-07-04,3.5809,,,,,,,0
2023-07-05,-0.3776,,,,,,,0
2023-07-06,-0.6325,,,,,,,0
2023-07-09,-0.6365,,,,,,,0
2023-07-10,-1.0270,,,,,,,0
2023-07-11,-1.2987,,,,,,,0
2023-07-12,-0.7874,,,,,,,0
2023-07-13,0.0000,,,,,,,0
2023-07-16,0.6566,,,,,,,0
2023-07-17,1.0417,,,,,,,0
2023-07-18,-1.8301,,,,,,,0
2023-07-19,1.3106,,,,,,,0
2023-07-20,-0.6532,,,,,,,0
2023-07-23,1.0430,,,,,,,0
2023-07-24,-0.6506,,,,,,,0
2023-07-25,-1.1819,,,,,,,0
2023-07-26,0.1320,,,,,,,0
2023-07-27,0.1318,,,,,,,0
2023-07-30,9.1831,,,,,,,0
2023-07-31,3.6582,,,,,,,0
2023-08-01,-3.1786,,,,,,,0
2023-08-02,-1.9324,,,,,,,0
2023-08-03,0.3652,,,,,,,0
2023-08-06,2.5196,,,,,,,0
2023-08-07,0.3548,,,,,,,0
2023-08-08,5.6240,,,,,,,0
2023-08-09,0.7782,,,,,,,0
2023-08-10,-4.7628,,,,,,,0
2023-08-13,6.7366,,,,,,,0
2023-08-15,-3.8743,,,,,,,0
2023-08-16,1.4566,,,,,,,0
2023-08-17,4.5660,,,,,,,0
2023-08-20,9.2311,,,,,,,0
2023-08-21,4.2681,,,,,,,0
2023-08-22,5.2453,,,,,,,0
2023-08-23,-4.7821,,,,,,,0
2023-08-24,-1.8657,,,,,,,0
2023-08-27,-1.4225,,,,,,,0
2023-08-28,-1.2494,,,,,,,0
2023-08-29,-3.0439,,,,,,,0
2023-08-30,3.4300,,,,,,,0
2023-08-31,0.2886,,,,,,,0
2023-09-03,1.2411,,,,,,,0
2023-09-04,-1.3372,,,,,,,0
2023-09-05,0.9569,,,,,,,0
2023-09-06,-2.4098,,,,,,,0
2023-09-07,0.4866,,,,,,,0
2023-09-10,2.2084,,,,,,,0
2023-09-11,-3.8727,,,,,,,0
2023-09-12,-2.2967,,,,,,,0
2023-09-13,0.1010,,,,,,,0
2023-09-14,0.6036,2.7046,0.9438,0.0976,0.7958,0.2232,24.4477,0
2023-09-17,-0.3014,2.7046,0.9438,0.0976,0.7958,0.1114,13.8439,0
2023-09-19,-0.2014,2.7046,0.9438,0.0976,0.7958,0.0745,10.1620,0
2023-09-20,-1.2171,2.7046,0.9438,0.0976,0.7958,0.4500,41.6789,0
2023-09-21,0.1020,2.7046,0.9438,0.0976,0.7958,0.0377,5.5965,0
2023-09-24,2.7151,2.7046,0.9438,0.0976,0.7958,1.0039,73.3432,0
2023-09-25,-1.3986,2.7046,0.9438,0.0976,0.7958,0.5171,46.3918,0
2023-09-26,-2.4441,2.7046,0.9438,0.0976,0.7958,0.9037,69.8085,0
2023-09-27,-0.5168,2.7046,0.9438,0.0976,0.7958,0.1911,21.9440,0
2023-09-28,1.0309,2.7046,0.9438,0.0976,0.7958,0.3812,35.4934,0
2023-10-02,-1.3423,2.7046,0.9438,0.0976,0.7958,0.4963,45.3608,0
2023-10-03,-0.1040,2.7046,0.9438,0.0976,0.7958,0.0385,5.7437,0
2023-10-04,7.3216,2.7046,0.9438,0.0976,0.7958,2.7071,98.0854,0
2023-10-05,12.8684,2.7046,0.9438,0.0976,0.7958,4.7579,99.7054,0
2023-10-08,-5.0577,2.7046,0.9438,0.0976,0.7958,1.8700,92.3417,0
2023-10-09,1.9487,2.7046,0.9438,0.0976,0.7958,0.7205,59.7938,0
2023-10-10,1.5666,2.7046,0.9438,0.0976,0.7958,0.5792,50.5155,0
2023-10-11,3.3959,2.7046,0.9438,0.0976,0.7958,1.2556,80.5596,0
2023-10-12,0.9140,2.7046,0.9438,0.0976,0.7958,0.3379,32.2533,0
2023-10-15,5.5503,2.7046,0.9438,0.0976,0.7958,2.0522,94.5508,0
2023-10-16,-5.1376,4.1003,5.4994,0.3915,0.0654,1.2530,80.2651,1
2023-10-17,-4.3778,4.1003,5.4994,0.3915,0.0654,1.0677,75.5523,1
2023-10-18,1.8756,4.1003,5.4994,0.3915,0.0654,0.4574,42.1208,1
2023-10-19,-3.5242,4.1003,5.4994,0.3915,0.0654,0.8595,67.4521,1
2023-10-22,-5.1155,4.1003,5.4994,0.3915,0.0654,1.2476,80.1178,1
2023-10-24,-2.8013,4.1003,5.4994,0.3915,0.0654,0.6832,56.8483,1
2023-10-25,-0.3795,4.1003,5.4994,0.3915,0.0654,0.0926,11.6348,1
2023-10-26,4.6434,4.1003,5.4994,0.3915,0.0654,1.1324,77.9087,1
2023-10-29,-2.0166,4.1003,5.4994,0.3915,0.0654,0.4918,45.2135,1
2023-10-30,-3.7740,4.1003,5.4994,0.3915,0.0654,0.9204,70.3976,1
2023-10-31,1.9048,4.1003,5.4994,0.3915,0.0654,0.4646,43.0044,1
2023-11-01,0.0000,4.1003,5.4994,0.3915,0.0654,0.0000,0.8100,1
2023-11-02,0.2826,4.1003,5.4994,0.3915,0.0654,0.0689,9.4256,1
2023-11-05,-0.2826,4.1003,5.4994,0.3915,0.0654,0.0689,9.5729,1
2023-11-06,1.4052,4.1003,5.4994,0.3915,0.0654,0.3427,32.5479,1
