Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,-0.3515,,,,,,,0
2023-06-21,-1.6568,,,,,,,0
2023-06-22,-0.8388,,,,,,,0
2023-06-25,2.7301,,,,,,,0
2023-06-26,-0.7051,,,,,,,0
2023-06-27,-0.3544,,,,,,,0
2023-06-29,-2.2742,,,,,,,0
2023-07-02,-0.1211,,,,,,,0
2023-07-03,-0.2427,,,,,,,0
2023-07-04,0.8470,,,,,,,0
2023-07-05,-1.3342,,,,,,,0
2023-07-06,2.1740,,,,,,,0
2023-07-09,0.5956,,,,,,,0
2023-07-10,-3.5049,,,,,,,0
2023-07-11,0.0000,,,,,,,0
2023-07-12,1.8282,,,,,,,0
2023-07-13,-0.2418,,,,,,,0
2023-07-16,-1.9561,,,,,,,0
2023-07-17,-0.1235,,,,,,,0
2023-07-18,-0.1237,,,,,,,0
2023-07-19,0.6169,,,,,,,0
2023-07-20,-0.4932,,,,,,,0
2023-07-23,-1.1187,,,,,,,0
2023-07-24,9.5310,,,,,,,0
2023-07-25,9.5310,,,,,,,0
2023-07-26,9.4559,,,,,,,0
2023-07-27,3.0544,,,,,,,0
2023-07-30,-5.1437,,,,,,,0
2023-07-31,-5.1192,,,,,,,0
2023-08-01,-5.0762,,,,,,,0
2023-08-02,-2.5836,,,,,,,0
2023-08-03,-1.0965,,,,,,,0
2023-08-06,-3.0221,,,,,,,0
2023-08-07,-3.4686,,,,,,,0
2023-08-08,-3.1066,,,,,,,0
2023-08-09,-4.0873,,,,,,,0
2023-08-10,4.8128,,,,,,,0
2023-08-13,0.9592,,,,,,,0
2023-08-15,1.1863,,,,,,,0
2023-08-16,-0.4728,,,,,,,0
2023-08-17,-3.7421,,,,,,,0
2023-08-20,3.3861,,,,,,,0
2023-08-21,2.6981,,,,,,,0
2023-08-22,1.3793,,,,,,,0
2023-08-23,-0.1142,,,,,,,0
2023-08-24,-0.8032,,,,,,,0
2023-08-27,-3.2790,,,,,,,0
2023-08-28,-0.7168,,,,,,,0
2023-08-29,1.9003,,,,,,,0
2023-08-30,-0.5900,,,,,,,0
2023-08-31,4.8508,,,,,,,0
2023-09-03,2.6698,,,,,,,0
2023-09-04,-1.3260,,,,,,,0
2023-09-05,-1.2311,,,,,,,0
2023-09-06,-0.9050,,,,,,,0
2023-09-07,0.7923,,,,,,,0
2023-09-10,0.8979,,,,,,,0
2023-09-11,-2.3743,,,,,,,0
2023-09-12,0.3427,,,,,,,0
2023-09-13,1.5837,,,,,,,0
2023-09-14,-0.6757,2.4360,4.6887,0.3574,0.0719,0.2774,30.3835,0
2023-09-17,-0.2262,2.4360,4.6887,0.3574,0.0719,0.0929,11.3569,0
2023-09-19,3.8872,2.4360,4.6887,0.3574,0.0719,1.5957,89.2330,0
2023-09-20,-0.8753,2.4360,4.6887,0.3574,0.0719,0.3593,38.7906,0
2023-09-21,-0.8830,2.4360,4.6887,0.3574,0.0719,0.3625,38.9381,0
2023-09-24,-0.7791,2.4360,4.6887,0.3574,0.0719,0.3198,34.9558,0
2023-09-25,-0.3358,2.4360,4.6887,0.3574,0.0719,0.1378,16.9617,0
2023-09-26,-0.3369,2.4360,4.6887,0.3574,0.0719,0.1383,17.1091,0
2023-09-27,-0.4510,2.4360,4.6887,0.3574,0.0719,0.1851,21.6814,0
2023-09-28,2.1242,2.4360,4.6887,0.3574,0.0719,0.8720,72.7139,0
2023-10-02,-1.0006,2.4360,4.6887,0.3574,0.0719,0.4107,44.2478,0
2023-10-03,-2.0317,2.4360,4.6887,0.3574,0.0719,0.8340,70.3540,0
2023-10-04,1.8080,2.4360,4.6887,0.3574,0.0719,0.7422,66.6667,0
2023-10-05,4.5960,2.4360,4.6887,0.3574,0.0719,1.8867,91.4454,0
2023-10-08,0.3203,2.4360,4.6887,0.3574,0.0719,0.1315,15.6342,0
2023-10-09,1.1659,2.4360,4.6887,0.3574,0.0719,0.4786,51.1799,0
2023-10-10,4.8338,2.4360,4.6887,0.3574,0.0719,1.9843,92.1829,0
2023-10-11,-0.2010,2.4360,4.6887,0.3574,0.0719,0.0825,9.4395,0
2023-10-12,-3.6889,2.4360,4.6887,0.3574,0.0719,1.5143,88.7906,0
2023-10-15,-1.6843,2.4360,4.6887,0.3574,0.0719,0.6914,64.1593,0
2023-10-16,1.0560,2.5617,3.8173,0.2660,0.2115,0.4122,44.5428,0
2023-10-17,1.3563,2.5617,3.8173,0.2660,0.2115,0.5295,55.7522,0
2023-10-18,-0.9370,2.5617,3.8173,0.2660,0.2115,0.3658,39.5280,0
2023-10-19,-1.7942,2.5617,3.8173,0.2660,0.2115,0.7004,64.8968,0
2023-10-22,-5.1349,2.5617,3.8173,0.2660,0.2115,2.0045,92.6254,0
2023-10-24,-0.4494,2.5617,3.8173,0.2660,0.2115,0.1754,20.6490,0
2023-10-25,1.5643,2.5617,3.8173,0.2660,0.2115,0.6106,59.7345,0
2023-10-26,3.5932,2.5617,3.8173,0.2660,0.2115,1.4027,87.9056,0
2023-10-29,2.8468,2.5617,3.8173,0.2660,0.2115,1.1113,81.2684,0
2023-10-30,-4.1385,2.5617,3.8173,0.2660,0.2115,1.6155,89.5280,0
2023-10-31,1.0776,2.5617,3.8173,0.2660,0.2115,0.4207,45.4277,0
2023-11-01,1.3837,2.5617,3.8173,0.2660,0.2115,0.5402,56.1947,0
2023-11-02,-0.2116,2.5617,3.8173,0.2660,0.2115,0.0826,9.5870,0
2023-11-05,1.7848,2.5617,3.8173,0.2660,0.2115,0.6967,64.4543,0
2023-11-06,-1.2566,2.5617,3.8173,0.2660,0.2115,0.4905,52.0649,0
2023-11-07,-2.2377,2.5617,3.8173,0.2660,0.2115,0.8735,72.8614,0
2023-11-08,1.2848,2.5617,3.8173,0.2660,0.2115,0.5016,53.0973,0
2023-11-09,-0.3197,2.5617,3.8173,0.2660,0.2115,0.1248,14.8968,0
2023-11-12,7.4032,2.5617,3.8173,0.2660,0.2115,2.8900,96.9027,0
2023-11-14,-2.2045,2.5617,3.8173,0.2660,0.2115,0.8606,71.6814,0
2023-11-15,-0.2028,3.0166,4.2558,0.2165,0.2165,0.0672,7.9646,1
2023-11-16,-0.7132,3.0166,4.2558,0.2165,0.2165,0.2364,26.4012,1
2023-11-19,-0.2047,3.0166,4.2558,0.2165,0.2165,0.0679,8.2596,1
2023-11-20,-0.8230,3.0166,4.2558,0.2165,0.2165,0.2728,29.6460,1
2023-11-21,-0.4141,3.0166,4.2558,0.2165,0.2165,0.1373,16.8142,1
2023-11-22,1.8500,3.0166,4.2558,0.2165,0.2165,0.6133,59.8820,1
2023-11-23,-0.4082,3.0166,4.2558,0.2165,0.2165,0.1353,16.5192,1
2023-11-27,1.1185,3.0166,4.2558,0.2165,0.2165,0.3708,40.2655,1
2023-11-28,4.0620,3.0166,4.2558,0.2165,0.2165,1.3465,86.4307,1
2023-11-29,-2.9559,3.0166,4.2558,0.2165,0.2165,0.9799,76.5487,1
2023-11-30,-0.3005,3.0166,4.2558,0.2165,0.2165,0.0996,12.0944,1
2023-12-03,-0.8056,3.0166,4.2558,0.2165,0.2165,0.2671,28.7611,1
2023-12-04,0.6048,3.0166,4.2558,0.2165,0.2165,0.2005,23.4513,1
2023-12-05,-0.6048,3.0166,4.2558,0.2165,0.2165,0.2005,23.3038,1
2023-12-06,0.4036,3.0166,4.2558,0.2165,0.2165,0.1338,15.9292,1
2023-12-07,0.9023,3.0166,4.2558,0.2165,0.2165,0.2991,32.4484,1
2023-12-10,-0.4000,3.0166,4.2558,0.2165,0.2165,0.1326,15.7817,1
2023-12-11,-2.7427,3.0166,4.2558,0.2165,0.2165,0.9092,74.4838,1
2023-12-12,4.0369,3.0166,4.2558,0.2165,0.2165,1.3382,86.2832,1
2023-12-13,-1.5952,3.0166,4.2558,0.2165,0.2165,0.5288,55.6047,1
2023-12-14,-1.0101,2.4457,4.4276,0.2503,0.0910,0.4130,44.6903,0
2023-12-17,0.0000,2.4457,4.4276,0.2503,0.0910,0.0000,0.7375,0
