Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,-0.4653,,,,,,,0
2023-06-21,-0.6245,,,,,,,0
2023-06-22,-1.1018,,,,,,,0
2023-06-25,-0.5714,,,,,,,0
2023-06-26,0.8876,,,,,,,0
2023-06-27,2.1847,,,,,,,0
2023-06-29,-0.8372,,,,,,,0
2023-07-02,-0.9384,,,,,,,0
2023-07-03,-0.9790,,,,,,,0
2023-07-04,2.2284,,,,,,,0
2023-07-05,1.3870,,,,,,,0
2023-07-06,0.3058,,,,,,,0
2023-07-09,-1.1666,,,,,,,0
2023-07-10,0.5234,,,,,,,0
2023-07-11,-3.5957,,,,,,,0
2023-07-12,0.4448,,,,,,,0
2023-07-13,0.2530,,,,,,,0
2023-07-16,-0.4436,,,,,,,0
2023-07-17,0.1589,,,,,,,0
2023-07-18,0.0633,,,,,,,0
2023-07-19,-0.9232,,,,,,,0
2023-07-20,-0.2564,,,,,,,0
2023-07-23,-0.5143,,,,,,,0
2023-07-24,0.7067,,,,,,,0
2023-07-25,2.4342,,,,,,,0
2023-07-26,-0.6268,,,,,,,0
2023-07-27,-0.5357,,,,,,,0
2023-07-30,-0.5385,,,,,,,0
2023-07-31,-0.5415,,,,,,,0
2023-08-01,-1.3502,,,,,,,0
2023-08-02,1.7646,,,,,,,0
2023-08-03,-2.4796,,,,,,,0
2023-08-06,-1.8093,,,,,,,0
2023-08-07,5.6161,,,,,,,0
2023-08-08,6.4713,,,,,,,0
2023-08-09,0.3818,,,,,,,0
2023-08-10,-2.5226,,,,,,,0
2023-08-13,-7.8440,,,,,,,0
2023-08-15,-0.2280,,,,,,,0
2023-08-16,-1.8082,,,,,,,0
2023-08-17,0.7929,,,,,,,0
2023-08-20,-0.3959,,,,,,,0
2023-08-21,1.3785,,,,,,,0
2023-08-22,0.9409,,,,,,,0
2023-08-23,-0.3243,,,,,,,0
2023-08-24,-0.0651,,,,,,,0
2023-08-27,-0.1953,,,,,,,0
2023-08-28,0.0324,,,,,,,0
2023-08-29,1.5514,,,,,,,0
2023-08-30,1.2115,,,,,,,0
2023-08-31,-0.2856,,,,,,,0
2023-09-03,1.2317,,,,,,,0
2023-09-04,7.3502,,,,,,,0
2023-09-05,1.5050,,,,,,,0
2023-09-06,-0.7495,,,,,,,0
2023-09-07,-1.4871,,,,,,,0
2023-09-10,-1.5396,,,,,,,0
2023-09-11,-5.4877,,,,,,,0
2023-09-12,0.1572,,,,,,,0
2023-09-13,2.8844,,,,,,,0
2023-09-14,0.3969,3.2349,1.8995,0.9608,0.0392,0.1227,16.4948,0
2023-09-17,2.5848,3.2349,1.8995,0.9608,0.0392,0.7990,66.7158,0
2023-09-19,1.3851,3.2349,1.8995,0.9608,0.0392,0.4282,44.0353,0
2023-09-20,-2.5492,3.2349,1.8995,0.9608,0.0392,0.7880,65.8321,0
2023-09-21,1.4307,3.2349,1.8995,0.9608,0.0392,0.4423,44.7717,0
2023-09-24,0.4726,3.2349,1.8995,0.9608,0.0392,0.1461,17.9676,0
