Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,2.2659,,,,,,,0
2023-06-21,-0.7352,,,,,,,0
2023-06-22,-0.4349,,,,,,,0
2023-06-25,1.5142,,,,,,,0
2023-06-26,-0.8191,,,,,,,0
2023-06-27,-0.0434,,,,,,,0
2023-06-29,-1.3516,,,,,,,0
2023-07-02,0.7435,,,,,,,0
2023-07-03,-0.7874,,,,,,,0
2023-07-04,0.6129,,,,,,,0
2023-07-05,-0.2622,,,,,,,0
2023-07-06,-0.6146,,,,,,,0
2023-07-09,-0.0881,,,,,,,0
2023-07-10,-0.0440,,,,,,,0
2023-07-11,-0.8413,,,,,,,0
2023-07-12,-0.6245,,,,,,,0
2023-07-13,0.6245,,,,,,,0
2023-07-16,0.3551,,,,,,,0
2023-07-17,-0.7114,,,,,,,0
2023-07-18,-0.2682,,,,,,,0
2023-07-19,-0.2688,,,,,,,0
2023-07-20,-0.0898,,,,,,,0
2023-07-23,-1.0381,,,,,,,0
2023-07-24,-0.0908,,,,,,,0
2023-07-25,-0.5465,,,,,,,0
2023-07-26,-0.6872,,,,,,,0
2023-07-27,-0.2302,,,,,,,0
2023-07-30,0.9174,,,,,,,0
2023-07-31,1.1802,,,,,,,0
2023-08-01,2.5397,,,,,,,0
2023-08-02,0.1758,,,,,,,0
2023-08-03,-1.8618,,,,,,,0
2023-08-06,2.6492,,,,,,,0
2023-08-07,-0.4367,,,,,,,0
2023-08-08,-1.5880,,,,,,,0
2023-08-09,0.0444,,,,,,,0
2023-08-10,9.7731,,,,,,,0
2023-08-13,3.7187,,,,,,,0
2023-08-15,1.3118,,,,,,,0
2023-08-16,3.9457,,,,,,,0
2023-08-17,-2.5752,,,,,,,0
2023-08-20,-2.6822,,,,,,,0
2023-08-21,0.5809,,,,,,,0
2023-08-22,3.1918,,,,,,,0
2023-08-23,-0.7185,,,,,,,0
2023-08-24,1.5440,,,,,,,0
2023-08-27,-3.1893,,,,,,,0
2023-08-28,0.0000,,,,,,,0
2023-08-29,-0.3091,,,,,,,0
2023-08-30,0.0774,,,,,,,0
2023-08-31,0.9621,,,,,,,0
2023-09-03,3.9059,,,,,,,0
2023-09-04,0.5876,,,,,,,0
2023-09-05,2.2806,,,,,,,0
2023-09-06,-0.7905,,,,,,,0
2023-09-07,-0.4338,,,,,,,0
2023-09-10,-0.8733,,,,,,,0
2023-09-11,-6.5319,,,,,,,0
2023-09-12,3.6019,,,,,,,0
2023-09-13,1.0856,,,,,,,0
2023-09-14,-0.8976,2.6894,0.0845,0.0000,1.0000,0.3337,33.2842,1
2023-09-17,3.2887,2.6894,0.0845,0.0000,1.0000,1.2228,84.9779,1
2023-09-19,-2.8015,2.6894,0.0845,0.0000,1.0000,1.0417,80.2651,1
2023-09-20,-1.0523,2.6894,0.0845,0.0000,1.0000,0.3913,39.9116,1
2023-09-21,-0.7215,2.6894,0.0845,0.0000,1.0000,0.2683,28.1296,1
2023-09-24,-1.0343,2.6894,0.0845,0.0000,1.0000,0.3846,38.8807,1
2023-09-25,0.2308,2.6894,0.0845,0.0000,1.0000,0.0858,10.1620,1
2023-09-26,0.0000,2.6894,0.0845,0.0000,1.0000,0.0000,0.5891,1
2023-09-27,-1.0039,2.6894,0.0845,0.0000,1.0000,0.3733,37.1134,1
2023-09-28,0.1939,2.6894,0.0845,0.0000,1.0000,0.0721,8.1001,1
2023-10-02,-0.6216,2.6894,0.0845,0.0000,1.0000,0.2311,25.0368,1
2023-10-03,-1.6107,2.6894,0.0845,0.0000,1.0000,0.5989,56.7010,1
2023-10-04,1.8443,2.6894,0.0845,0.0000,1.0000,0.6858,62.0029,1
2023-10-05,-0.0389,2.6894,0.0845,0.0000,1.0000,0.0145,2.2091,1
2023-10-08,-1.7262,2.6894,0.0845,0.0000,1.0000,0.6418,59.0574,1
2023-10-09,2.6168,2.6894,0.0845,0.0000,1.0000,0.9730,77.6141,1
