Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2024-08-19,,,,,,,,0
2024-08-20,-4.3187,,,,,,,0
2024-08-21,-5.1323,,,,,,,0
2024-08-22,-4.0635,,,,,,,0
2024-08-25,-5.0126,,,,,,,0
2024-08-26,2.1336,,,,,,,0
2024-08-27,-3.9822,,,,,,,0
2024-08-28,-0.8462,,,,,,,0
2024-08-29,-4.0759,,,,,,,0
2024-09-01,3.4976,,,,,,,0
2024-09-02,-3.4597,,,,,,,0
2024-09-03,1.9898,,,,,,,0
2024-09-04,-0.3662,,,,,,,0
2024-09-05,-2.7421,,,,,,,0
2024-09-08,2.0245,,,,,,,0
2024-09-09,4.3206,,,,,,,0
2024-09-10,0.3712,,,,,,,0
2024-09-11,-1.5841,,,,,,,0
2024-09-12,-0.9087,,,,,,,0
2024-09-15,-0.3375,,,,,,,0
2024-09-16,2.7048,,,,,,,0
2024-09-17,-2.5022,,,,,,,0
2024-09-18,4.8849,,,,,,,0
2024-09-19,-3.5926,,,,,,,0
2024-09-22,-0.4248,,,,,,,0
2024-09-23,-2.2325,,,,,,,0
2024-09-24,-1.3840,,,,,,,0
2024-09-25,-1.1352,,,,,,,0
2024-09-26,-1.0837,,,,,,,0
2024-09-29,-0.6533,,,,,,,0
2024-09-30,-0.9455,,,,,,,0
2024-10-02,-3.2290,,,,,,,0
2024-10-03,-1.2871,,,,,,,0
2024-10-06,-5.5667,,,,,,,0
2024-10-07,3.8593,,,,,,,0
2024-10-08,0.7917,,,,,,,0
2024-10-09,2.0471,,,,,,,0
2024-10-10,-1.9227,,,,,,,0
2024-10-13,-0.8116,,,,,,,0
2024-10-14,-0.4117,,,,,,,0
2024-10-15,-0.1961,,,,,,,0
2024-10-16,-1.7815,,,,,,,0
2024-10-17,-1.5093,,,,,,,0
2024-10-20,1.2164,,,,,,,0
2024-10-21,-7.5154,,,,,,,0
2024-10-22,-3.4523,,,,,,,0
2024-10-23,5.9431,,,,,,,0
2024-10-24,-4.9343,,,,,,,0
2024-10-27,0.3392,,,,,,,0
2024-10-28,-0.0236,,,,,,,0
2024-10-29,2.0895,,,,,,,0
2024-10-30,-0.0231,,,,,,,0
2024-10-31,1.5848,,,,,,,0
2024-11-03,-3.0541,,,,,,,0
2024-11-04,0.8656,,,,,,,0
2024-11-05,3.9205,,,,,,,0
2024-11-06,-2.4102,,,,,,,0
2024-11-07,0.0688,,,,,,,0
2024-11-10,-3.2783,,,,,,,0
2024-11-11,1.5515,,,,,,,0
2024-11-12,-2.4797,,,,,,,0
2024-11-13,1.7540,2.5497,4.2063,0.2669,0.2069,0.6879,60.1523,0
2024-11-17,-0.9602,2.5497,4.2063,0.2669,0.2069,0.3766,37.5635,0
2024-11-18,-0.6107,2.5497,4.2063,0.2669,0.2069,0.2395,26.9036,0
2024-11-20,-5.2261,2.5497,4.2063,0.2669,0.2069,2.0497,92.1320,0
2024-11-21,0.3347,2.5497,4.2063,0.2669,0.2069,0.1313,17.5127,0
2024-11-24,0.8486,2.5497,4.2063,0.2669,0.2069,0.3328,35.0254,0
2024-11-25,0.9482,2.5497,4.2063,0.2669,0.2069,0.3719,37.0558,0
2024-11-26,4.5793,2.5497,4.2063,0.2669,0.2069,1.7960,89.3401,0
2024-11-27,-0.3770,2.5497,4.2063,0.2669,0.2069,0.1478,19.2893,0
2024-11-28,9.5674,2.5497,4.2063,0.2669,0.2069,3.7523,97.9695,0
2024-12-01,0.5206,2.5497,4.2063,0.2669,0.2069,0.2042,24.1117,0
2024-12-02,2.9439,2.5497,4.2063,0.2669,0.2069,1.1546,77.4112,0
2024-12-03,-2.0233,2.5497,4.2063,0.2669,0.2069,0.7936,64.7208,0
2024-12-04,-2.0508,2.5497,4.2063,0.2669,0.2069,0.8043,64.9746,0
2024-12-05,1.4215,2.5497,4.2063,0.2669,0.2069,0.5575,52.7919,0
2024-12-08,-1.5799,2.5497,4.2063,0.2669,0.2069,0.6196,56.8528,0
2024-12-09,0.1728,2.5497,4.2063,0.2669,0.2069,0.0678,11.1675,0
2024-12-10,0.2514,2.5497,4.2063,0.2669,0.2069,0.0986,14.2132,0
2024-12-11,-2.7054,2.5497,4.2063,0.2669,0.2069,1.0610,73.8579,0
