Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,-1.7613,,,,,,,0
2023-06-21,1.3076,,,,,,,0
2023-06-22,-3.2681,,,,,,,0
2023-06-25,2.5511,,,,,,,0
2023-06-26,2.6470,,,,,,,0
2023-06-27,-2.7125,,,,,,,0
2023-06-29,-1.5171,,,,,,,0
2023-07-02,0.0996,,,,,,,0
2023-07-03,1.2865,,,,,,,0
2023-07-04,1.1731,,,,,,,0
2023-07-05,-1.9958,,,,,,,0
2023-07-06,-0.6964,,,,,,,0
2023-07-09,-0.7013,,,,,,,0
2023-07-10,-1.5196,,,,,,,0
2023-07-11,-2.1321,,,,,,,0
2023-07-12,-1.6471,,,,,,,0
2023-07-13,-1.0300,,,,,,,0
2023-07-16,-2.4211,,,,,,,0
2023-07-17,-2.6312,,,,,,,0
2023-07-18,0.5617,,,,,,,0
2023-07-19,0.0000,,,,,,,0
2023-07-20,-0.6368,,,,,,,0
2023-07-23,-1.2099,,,,,,,0
2023-07-24,0.0761,,,,,,,0
2023-07-25,1.0962,,,,,,,0
2023-07-26,2.0466,,,,,,,0
2023-07-27,-1.2602,,,,,,,0
2023-07-30,-1.2385,,,,,,,0
2023-07-31,0.1509,,,,,,,0
2023-08-01,1.4228,,,,,,,0
2023-08-02,-1.8006,,,,,,,0
2023-08-03,1.0543,,,,,,,0
2023-08-06,0.3738,,,,,,,0
2023-08-07,-1.2768,,,,,,,0
2023-08-08,1.3141,,,,,,,0
2023-08-09,-2.1871,,,,,,,0
2023-08-10,-0.5352,,,,,,,0
2023-08-13,-1.0403,,,,,,,0
2023-08-15,0.1548,,,,,,,0
2023-08-16,-0.0774,,,,,,,0
2023-08-17,-1.0113,,,,,,,0
2023-08-20,-1.4570,,,,,,,0
2023-08-21,0.5143,,,,,,,0
2023-08-22,-0.5937,,,,,,,0
2023-08-23,-2.6958,,,,,,,0
2023-08-24,-0.8190,,,,,,,0
2023-08-27,1.9544,,,,,,,0
2023-08-28,-0.4850,,,,,,,0
2023-08-29,-1.5929,,,,,,,0
2023-08-30,1.0240,,,,,,,0
2023-08-31,-1.3126,,,,,,,0
2023-09-03,1.4347,,,,,,,0
2023-09-04,-0.1222,,,,,,,0
2023-09-05,-0.8594,,,,,,,0
2023-09-06,-0.5771,,,,,,,0
2023-09-07,1.9243,,,,,,,0
2023-09-10,-1.2651,,,,,,,0
2023-09-11,-2.2006,,,,,,,0
2023-09-12,1.2101,,,,,,,0
2023-09-13,0.5377,,,,,,,0
2023-09-14,-0.1238,1.3235,1.4633,0.2323,0.0375,0.0936,9.4395,0
2023-09-17,5.7388,1.3235,1.4633,0.2323,0.0375,4.3361,98.9676,0
2023-09-19,3.5253,1.3235,1.4633,0.2323,0.0375,2.6636,96.3127,0
2023-09-20,11.0730,1.3235,1.4633,0.2323,0.0375,8.3666,100.0000,0
2023-09-21,0.2356,1.3235,1.4633,0.2323,0.0375,0.1780,16.6667,0
2023-09-24,-2.9689,1.3235,1.4633,0.2323,0.0375,2.2433,94.3953,0
2023-09-25,0.2421,1.3235,1.4633,0.2323,0.0375,0.1829,17.5516,0
2023-09-26,-0.3114,1.3235,1.4633,0.2323,0.0375,0.2353,24.0413,0
2023-09-27,-1.5369,1.3235,1.4633,0.2323,0.0375,1.1613,76.5487,0
2023-09-28,-2.2784,1.3235,1.4633,0.2323,0.0375,1.7216,87.6106,0
2023-10-02,-3.6301,1.3235,1.4633,0.2323,0.0375,2.7429,97.0501,0
2023-10-03,-1.4670,1.3235,1.4633,0.2323,0.0375,1.1085,75.5162,0
2023-10-04,1.5417,1.3235,1.4633,0.2323,0.0375,1.1649,76.8437,0
2023-10-05,-0.1867,1.3235,1.4633,0.2323,0.0375,0.1411,13.7168,0
2023-10-08,-1.6206,1.3235,1.4633,0.2323,0.0375,1.2245,79.0560,0
2023-10-09,-0.6862,1.3235,1.4633,0.2323,0.0375,0.5185,48.2301,0
2023-10-10,-0.2682,1.3235,1.4633,0.2323,0.0375,0.2026,19.6165,0
2023-10-11,-1.1962,1.3235,1.4633,0.2323,0.0375,0.9038,67.5516,0
2023-10-12,-2.6354,1.3235,1.4633,0.2323,0.0375,1.9912,91.7404,0
2023-10-15,1.4639,1.3235,1.4633,0.2323,0.0375,1.1061,75.3687,0
2023-10-16,-1.6634,1.9923,1.5650,0.4086,0.2206,0.8349,66.2242,0
2023-10-17,-0.1599,1.9923,1.5650,0.4086,0.2206,0.0803,8.4071,0
2023-10-18,-0.3606,1.9923,1.5650,0.4086,0.2206,0.1810,17.4041,0
