Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,7.0618,,,,,,,0
2023-06-21,4.4452,,,,,,,0
2023-06-22,0.0000,,,,,,,0
2023-06-25,0.0000,,,,,,,0
2023-06-26,0.0000,,,,,,,0
2023-06-27,0.0000,,,,,,,0
2023-06-29,-9.0972,,,,,,,0
2023-07-02,-2.4098,,,,,,,0
2023-07-03,9.3090,,,,,,,0
2023-07-04,8.5158,,,,,,,0
2023-07-05,7.8472,,,,,,,0
2023-07-06,3.7041,,,,,,,0
2023-07-09,-3.7041,,,,,,,0
2023-07-10,-1.9048,,,,,,,0
2023-07-11,3.7740,,,,,,,0
2023-07-12,-1.8692,,,,,,,0
2023-07-13,-1.9048,,,,,,,0
2023-07-16,-3.9221,,,,,,,0
2023-07-17,3.9221,,,,,,,0
2023-07-18,-3.9221,,,,,,,0
2023-07-19,-4.0822,,,,,,,0
2023-07-20,4.0822,,,,,,,0
2023-07-23,0.0000,,,,,,,0
2023-07-24,3.9221,,,,,,,0
2023-07-25,0.0000,,,,,,,0
2023-07-26,-1.9418,,,,,,,0
2023-07-27,0.0000,,,,,,,0
2023-07-30,-4.0005,,,,,,,0
2023-07-31,2.0203,,,,,,,0
2023-08-01,0.0000,,,,,,,0
2023-08-02,0.0000,,,,,,,0
2023-08-03,0.0000,,,,,,,0
2023-08-06,-4.0822,,,,,,,0
2023-08-07,2.0619,,,,,,,0
2023-08-08,0.0000,,,,,,,0
2023-08-09,0.0000,,,,,,,0
2023-08-10,4.0005,,,,,,,0
2023-08-13,0.0000,,,,,,,0
2023-08-15,0.0000,,,,,,,0
2023-08-16,0.0000,,,,,,,0
2023-08-17,1.9418,,,,,,,0
2023-08-20,-3.9221,,,,,,,0
2023-08-21,3.9221,,,,,,,0
2023-08-22,0.0000,,,,,,,0
2023-08-23,3.7740,,,,,,,0
2023-08-24,0.0000,,,,,,,0
2023-08-27,0.0000,,,,,,,0
2023-08-28,3.6368,,,,,,,0
2023-08-29,3.5091,,,,,,,0
2023-08-30,3.3902,,,,,,,0
2023-08-31,4.8790,,,,,,,0
2023-09-03,-4.8790,,,,,,,0
2023-09-04,0.0000,,,,,,,0
2023-09-05,1.6529,,,,,,,0
2023-09-06,4.8009,,,,,,,0
2023-09-07,0.0000,,,,,,,0
2023-09-10,0.0000,,,,,,,0
2023-09-11,0.0000,,,,,,,0
2023-09-12,3.0772,,,,,,,0
2023-09-13,0.0000,,,,,,,0
2023-09-14,-4.6520,2.1360,0.0000,0.0000,0.9769,2.1779,92.6254,0
2023-09-17,3.1253,2.1360,0.0000,0.0000,0.9769,1.4631,85.9882,0
2023-09-19,-4.7253,2.1360,0.0000,0.0000,0.9769,2.2122,93.3628,0
2023-09-20,4.7253,2.1360,0.0000,0.0000,0.9769,2.2122,93.5103,0
2023-09-21,4.5120,2.1360,0.0000,0.0000,0.9769,2.1123,91.9617,0
2023-09-24,-4.5120,2.1360,0.0000,0.0000,0.9769,2.1123,91.4454,0
2023-09-25,4.5120,2.1360,0.0000,0.0000,0.9769,2.1123,91.9617,0
2023-09-26,-4.5120,2.1360,0.0000,0.0000,0.9769,2.1123,91.4454,0
2023-09-27,0.0000,2.1360,0.0000,0.0000,0.9769,0.0000,2.5074,0
2023-09-28,4.5120,2.1360,0.0000,0.0000,0.9769,2.1123,91.9617,0
2023-10-02,-4.5120,2.1360,0.0000,0.0000,0.9769,2.1123,91.4454,0
2023-10-03,4.5120,2.1360,0.0000,0.0000,0.9769,2.1123,91.9617,0
2023-10-04,0.0000,2.1360,0.0000,0.0000,0.9769,0.0000,2.5074,0
2023-10-05,4.3172,2.1360,0.0000,0.0000,0.9769,2.0211,90.7080,0
2023-10-08,4.1385,2.1360,0.0000,0.0000,0.9769,1.9375,90.2655,0
2023-10-09,3.9740,2.1360,0.0000,0.0000,0.9769,1.8605,89.2330,0
2023-10-10,3.8221,2.1360,0.0000,0.0000,0.9769,1.7894,88.7906,0
2023-10-11,1.2423,2.1360,0.0000,0.0000,0.9769,0.5816,34.5133,0
2023-10-12,1.2270,2.1360,0.0000,0.0000,0.9769,0.5744,34.2183,0
2023-10-15,1.2121,2.1360,0.0000,0.0000,0.9769,0.5675,33.4808,0
2023-10-16,-1.2121,2.9444,0.8276,0.0671,0.8465,0.4117,18.9528,0
2023-10-17,1.2121,2.9444,0.8276,0.0671,0.8465,0.4117,19.1740,0
2023-10-18,-1.2121,2.9444,0.8276,0.0671,0.8465,0.4117,18.9528,0
2023-10-19,-1.2270,2.9444,0.8276,0.0671,0.8465,0.4167,20.3540,0
2023-10-22,-1.2423,2.9444,0.8276,0.0671,0.8465,0.4219,21.0914,0
2023-10-24,-1.2579,2.9444,0.8276,0.0671,0.8465,0.4272,21.8289,0
2023-10-25,-1.2739,2.9444,0.8276,0.0671,0.8465,0.4326,22.1976,0
2023-10-26,1.2739,2.9444,0.8276,0.0671,0.8465,0.4326,22.4189,0
2023-10-29,-1.2739,2.9444,0.8276,0.0671,0.8465,0.4326,22.1976,0
2023-10-30,-1.2903,2.9444,0.8276,0.0671,0.8465,0.4382,23.0826,0
2023-10-31,-1.3072,2.9444,0.8276,0.0671,0.8465,0.4440,23.5251,0
2023-11-01,0.0000,2.9444,0.8276,0.0671,0.8465,0.0000,2.5074,0
2023-11-02,0.0000,2.9444,0.8276,0.0671,0.8465,0.0000,2.5074,0
2023-11-05,0.0000,2.9444,0.8276,0.0671,0.8465,0.0000,2.5074,0
2023-11-06,1.3072,2.9444,0.8276,0.0671,0.8465,0.4440,23.7463,0
2023-11-07,1.2903,2.9444,0.8276,0.0671,0.8465,0.4382,22.8614,0
2023-11-08,-1.2903,2.9444,0.8276,0.0671,0.8465,0.4382,23.0826,0
2023-11-09,-1.3072,2.9444,0.8276,0.0671,0.8465,0.4440,23.5251,0
2023-11-12,-2.6668,2.9444,0.8276,0.0671,0.8465,0.9057,55.6047,0
