Date,Log_Return_pct,GARCH_Vol_Forecast,GARCH_Omega,GARCH_Alpha,GARCH_Beta,GARCH_Vol_Surprise,GARCH_Surprise_Score,GARCH_HighVol_Flag
2023-06-19,,,,,,,,0
2023-06-20,-0.1188,,,,,,,0
2023-06-21,-2.0009,,,,,,,0
2023-06-22,-1.1791,,,,,,,0
2023-06-25,3.0610,,,,,,,0
2023-06-26,0.0397,,,,,,,0
2023-06-27,-0.3575,,,,,,,0
2023-06-29,4.2079,,,,,,,0
2023-07-02,-1.9650,,,,,,,0
2023-07-03,-1.4502,,,,,,,0
2023-07-04,-0.2371,,,,,,,0
2023-07-05,1.0628,,,,,,,0
2023-07-06,0.1565,,,,,,,0
2023-07-09,-0.9822,,,,,,,0
2023-07-10,0.1972,,,,,,,0
2023-07-11,0.4325,,,,,,,0
2023-07-12,0.3134,,,,,,,0
2023-07-13,7.3130,,,,,,,0
2023-07-16,3.5004,,,,,,,0
2023-07-17,-3.0651,,,,,,,0
2023-07-18,-0.5080,,,,,,,0
2023-07-19,1.8025,,,,,,,0
2023-07-20,14.2291,,,,,,,0
2023-07-23,-3.8539,,,,,,,0
2023-07-24,1.5341,,,,,,,0
2023-07-25,-1.2446,,,,,,,0
2023-07-26,-5.1057,,,,,,,0
2023-07-27,-3.7181,,,,,,,0
2023-07-30,2.3914,,,,,,,0
2023-07-31,-1.3794,,,,,,,0
2023-08-01,-2.7814,,,,,,,0
2023-08-02,0.6406,,,,,,,0
2023-08-03,0.2126,,,,,,,0
2023-08-06,0.6703,,,,,,,0
2023-08-07,-1.6307,,,,,,,0
2023-08-08,0.6768,,,,,,,0
2023-08-09,-3.8723,,,,,,,0
2023-08-10,-3.6450,,,,,,,0
2023-08-13,0.9522,,,,,,,0
2023-08-15,-0.1138,,,,,,,0
2023-08-16,-0.7619,,,,,,,0
2023-08-17,1.4427,,,,,,,0
2023-08-20,2.9709,,,,,,,0
2023-08-21,2.7784,,,,,,,0
2023-08-22,-1.1093,,,,,,,0
2023-08-23,-0.6860,,,,,,,0
2023-08-24,0.1086,,,,,,,0
2023-08-27,1.0083,,,,,,,0
2023-08-28,0.3220,,,,,,,0
2023-08-29,0.2140,,,,,,,0
2023-08-30,-1.4358,,,,,,,0
2023-08-31,2.0753,,,,,,,0
2023-09-03,-2.0753,,,,,,,0
2023-09-04,-0.5438,,,,,,,0
2023-09-05,1.0847,,,,,,,0
2023-09-06,-0.5047,,,,,,,0
2023-09-07,0.0723,,,,,,,0
