Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,7.8,8.35,7.65,8.15,1448657.0,0.7133
2023-06-06,8.2,8.95,8.05,8.45,1466283.0,0.5615
2023-06-07,8.65,8.85,8.15,8.3,870930.0,0.7826
2023-06-08,8.3,8.55,8.15,8.2,618669.0,0.8151
2023-06-11,8.35,8.6,8.15,8.25,357841.0,0.7113
2023-06-12,8.25,8.25,8.1,8.15,206888.0,0.8060
2023-06-13,8.35,8.35,7.9,8.0,208229.0,0.7541
2023-06-14,7.95,8.35,7.8,7.85,143486.0,0.7541
2023-06-15,7.8,8.0,7.7,7.75,154299.0,0.7541
2023-06-18,7.7,8.0,7.55,7.85,128980.0,0.7541
2023-06-19,7.8,7.85,7.6,7.7,110315.0,0.7541
2023-06-20,7.8,7.8,7.5,7.5,116103.0,0.7541
2023-06-21,7.5,7.65,7.2,7.3,143943.0,0.7541
2023-06-22,7.15,7.6,7.15,7.6,110048.0,0.7541
2023-06-25,7.6,7.7,7.4,7.5,72438.0,0.7541
2023-06-26,7.65,7.7,7.4,7.4,95524.0,0.7541
2023-06-27,7.4,7.5,7.2,7.25,367140.0,0.7541
2023-06-29,7.2,7.4,7.1,7.2,107902.0,0.7541
2023-07-02,7.15,7.4,7.15,7.3,371226.0,0.7541
2023-07-03,7.3,7.4,7.15,7.2,151153.0,0.7541
2023-07-04,7.3,7.3,6.95,7.15,138070.0,0.7541
2023-07-05,7.2,7.2,6.9,7.05,219772.0,0.7541
2023-07-06,7.05,7.1,6.95,7.1,95794.0,0.7541
2023-07-09,6.95,7.4,6.95,7.15,167823.0,0.7541
2023-07-10,7.2,7.2,6.85,7.0,138893.0,0.7541
2023-07-11,6.95,7.1,6.7,6.85,223826.0,0.7541
2023-07-12,6.85,7.15,6.85,6.9,205620.0,0.7541
2023-07-13,6.9,7.05,6.8,6.95,74298.0,0.7541
2023-07-16,7.05,7.05,6.7,6.85,189718.0,0.7541
2023-07-17,6.85,7.0,6.65,6.85,112666.0,0.7541
2023-07-18,6.85,6.9,6.75,6.8,146610.0,0.7541
2023-07-19,6.8,6.95,6.75,6.9,152954.0,0.7541
2023-07-20,6.8,6.9,6.8,6.8,81165.0,0.7541
2023-07-23,6.8,6.95,6.75,6.8,192190.0,0.7541
2023-07-24,6.8,7.05,6.75,7.0,96224.0,0.7541
2023-07-25,7.1,7.15,7.0,7.1,85692.0,0.7541
2023-07-26,7.1,7.2,7.0,7.0,66843.0,0.7541
2023-07-27,7.1,7.1,6.8,6.85,59498.0,0.7541
2023-07-30,7.1,7.1,6.8,6.9,194129.0,0.7541
2023-07-31,6.95,6.95,6.8,6.9,99658.0,0.7541
2023-08-01,6.8,6.95,6.8,6.8,73516.0,0.7541
2023-08-02,6.8,6.9,6.7,6.8,170355.0,0.7541
2023-08-03,6.8,6.9,6.75,6.85,157871.0,0.7541
2023-08-06,6.85,6.9,6.7,6.75,136418.0,0.7541
2023-08-07,6.75,6.85,6.7,6.75,91053.0,0.7541
2023-08-08,6.7,6.9,6.7,6.8,165016.0,0.7541
2023-08-09,6.85,6.85,6.75,6.8,61827.0,0.7541
2023-08-10,6.85,7.1,6.75,7.1,355827.0,0.7541
2023-08-13,7.3,7.45,7.05,7.45,324504.0,0.7541
2023-08-15,7.5,7.8,7.35,7.8,358601.0,0.7610
2023-08-16,8.15,8.15,8.15,8.15,263835.0,1.0000
2023-08-17,8.55,8.55,8.2,8.3,1057137.0,0.7389
2023-08-20,8.6,8.7,8.6,8.7,556841.0,0.8295
2023-08-21,9.1,9.1,9.0,9.05,1232955.0,0.7434
2023-08-22,9.4,9.5,8.95,9.5,1528281.0,0.8102
2023-08-23,9.8,9.95,9.65,9.9,969866.0,0.6124
2023-08-24,10.05,10.35,9.6,10.35,1466459.0,0.6085
2023-08-27,10.8,10.85,10.7,10.85,490390.0,0.6677
2023-08-28,11.3,11.35,11.25,11.35,416984.0,0.7358
2023-08-29,11.9,11.9,11.9,11.9,527072.0,0.7818
2023-08-30,12.1,12.45,11.3,11.3,533222.0,0.7818
2023-08-31,10.75,11.1,10.75,10.75,163656.0,0.7818
2023-09-03,10.25,11.25,10.25,10.25,919665.0,0.7818
2023-09-04,9.75,10.35,9.75,9.8,474763.0,0.7818
2023-09-05,9.35,10.25,9.35,10.25,532320.0,0.7818
2023-09-06,10.25,10.75,10.1,10.6,367968.0,0.7818
2023-09-07,10.7,11.0,10.35,10.4,321062.0,0.7818
2023-09-10,10.5,10.9,10.2,10.9,451966.0,0.7818
2023-09-11,11.35,11.4,10.35,10.4,592462.0,0.7818
2023-09-12,10.4,10.45,9.9,10.25,177037.0,0.7818
2023-09-13,10.4,10.5,10.1,10.4,97295.0,0.7818
2023-09-14,10.45,10.5,10.05,10.15,231177.0,0.7818
2023-09-17,10.15,10.4,10.0,10.1,106549.0,0.7818
2023-09-19,10.1,10.35,9.9,9.9,108927.0,0.7818
2023-09-20,10.05,10.05,9.65,9.75,173975.0,0.7818
2023-09-21,9.9,9.9,9.3,9.65,165856.0,0.7818
2023-09-24,9.65,9.7,9.25,9.35,179597.0,0.7818
2023-09-25,9.55,9.55,9.2,9.3,86893.0,0.7818
2023-09-26,9.45,9.45,9.1,9.15,98524.0,0.7818
2023-09-27,9.25,9.6,9.25,9.6,104714.0,0.7818
2023-09-28,9.65,10.0,9.55,9.65,170236.0,0.7818
2023-10-02,9.85,9.9,9.35,9.7,82804.0,0.7818
2023-10-03,9.9,9.9,9.35,9.5,58067.0,0.7818
2023-10-04,9.7,9.85,9.5,9.7,111477.0,0.7818
2023-10-05,9.85,9.85,9.45,9.55,99431.0,0.7818
2023-10-08,9.55,10.0,9.25,9.5,201095.0,0.7818
2023-10-09,9.55,9.55,9.35,9.35,55252.0,0.7818
2023-10-10,9.5,9.65,9.3,9.5,139325.0,0.7818
2023-10-11,9.55,9.65,9.35,9.4,86946.0,0.7818
2023-10-12,9.5,9.55,9.3,9.4,119248.0,0.7818
2023-10-15,9.4,9.5,9.25,9.35,60966.0,0.7818
2023-10-16,9.4,9.5,9.2,9.4,77917.0,0.7818
2023-10-17,9.3,9.4,8.95,9.0,340967.0,0.7818
2023-10-18,8.7,9.45,8.55,8.95,363935.0,0.7818
2023-10-19,8.95,8.95,8.5,8.55,270102.0,0.7818
2023-10-22,8.9,8.95,8.35,8.75,253804.0,0.7818
2023-10-24,8.5,9.1,8.45,8.65,178617.0,0.7818
2023-10-25,8.55,9.0,8.25,8.8,244466.0,0.7818
2023-10-26,8.8,9.2,8.8,9.2,259354.0,0.7818
2023-10-29,9.65,9.65,9.45,9.65,224215.0,0.7818
2023-10-30,9.65,10.1,9.4,9.65,181688.0,0.7818
2023-10-31,9.3,10.1,9.3,9.45,304298.0,0.7818
2023-11-01,9.55,9.8,9.5,9.6,121005.0,0.7818
