Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-07-09,43.2922,46.2334,38.7977,38.7977,2212080.0000,0.3247
2023-07-10,39.6569,42.6643,36.6827,42.6643,1397373.0000,0.6704
2023-07-11,43.9531,44.7958,40.5327,40.5492,1302783.0000,0.5392
2023-07-12,39.9874,40.7971,38.5333,38.5333,131769.0000,0.4592
2023-07-13,39.2934,39.2934,36.6166,36.6166,172332.0000,0.1936
2023-07-16,35.3608,37.2775,34.7990,34.7990,238149.0000,0.1936
2023-07-17,33.3779,34.2206,33.0640,33.0640,96045.0000,0.1349
2023-07-18,33.0640,34.7163,31.4116,34.1711,230163.0000,0.6197
2023-07-19,35.1955,35.8730,34.2702,35.8730,107064.0000,0.4607
2023-07-20,37.1784,37.6576,36.5505,37.6576,85812.0000,0.5248
2023-07-23,38.9134,39.3265,37.0792,38.4672,53742.0000,0.1124
2023-07-24,37.3271,40.3840,36.5835,40.3840,165579.0000,0.6819
2023-07-25,42.2181,42.3999,39.3265,42.3668,165672.0000,0.5995
2023-07-26,43.2756,44.4819,40.6484,42.6643,69387.0000,0.2274
2023-07-27,42.9286,44.7132,42.6312,43.6722,58908.0000,0.2091
2023-07-30,43.6887,44.6802,42.6312,43.3417,18174.0000,0.2100
2023-07-31,44.5810,44.5810,41.8216,42.6808,16461.0000,0.2825
2023-08-01,42.6312,43.7714,40.5657,40.7971,18777.0000,0.4149
2023-08-02,41.3258,42.8295,41.3093,42.4825,19266.0000,0.3592
2023-08-03,44.5975,44.5975,40.3675,40.3675,229992.0000,0.2747
2023-08-06,41.2763,42.3834,38.3516,38.3516,925791.0000,0.4671
2023-08-07,36.4844,40.2683,36.4348,40.0039,1059822.0000,0.1837
2023-08-08,40.2518,42.0033,38.6655,41.2432,302967.0000,0.2753
2023-08-09,41.0119,41.0119,39.3265,39.6404,83268.0000,0.3198
2023-08-10,38.1698,41.6067,38.1698,41.5572,189360.0000,0.3736
2023-08-13,41.6233,43.6226,40.5657,43.6061,250854.0000,0.5711
2023-08-15,45.7707,45.7707,43.6061,45.7046,615537.0000,0.2198
2023-08-16,45.9360,47.9849,45.9360,47.9519,408357.0000,0.4085
2023-08-17,50.1330,50.3478,49.2903,50.3148,358575.0000,0.4554
2023-08-20,52.8264,52.8264,48.4476,52.8264,474801.0000,0.1279
2023-08-21,53.2064,53.2064,50.1826,50.1826,341436.0000,0.4645
2023-08-22,50.1660,50.1660,47.6710,47.6710,80295.0000,0.2023
2023-08-23,46.5969,48.5798,45.2915,45.7707,34002.0000,0.1390
2023-08-24,45.7707,48.0510,44.0192,47.6214,30183.0000,0.6693
2023-08-27,48.9102,50.0008,45.6220,49.8190,86514.0000,0.6794
2023-08-28,49.9017,52.2976,48.2493,52.0993,91800.0000,0.5850
2023-08-29,54.1648,54.1978,52.0993,53.0742,138399.0000,0.2828
2023-08-30,53.3716,53.8013,50.7939,52.4628,31470.0000,0.1586
2023-08-31,53.2064,54.8588,51.0253,53.9334,20187.0000,0.5105
2023-09-03,54.5283,54.5283,51.7358,52.8264,97533.0000,0.3641
2023-09-04,52.5455,53.1899,50.1826,51.6366,46119.0000,0.1732
2023-09-05,51.6366,54.2144,49.5712,54.2144,336873.0000,0.3971
2023-09-06,56.9242,56.9242,56.4946,56.9242,583206.0000,0.1206
2023-09-07,59.5185,59.7663,58.8245,59.7663,436005.0000,0.6456
2023-09-10,62.4597,62.6249,56.7755,60.9725,209103.0000,0.2553
2023-09-11,61.3361,61.7987,57.9322,57.9322,50565.0000,0.4975
2023-09-12,57.4365,57.4365,55.0405,55.0405,21558.0000,0.2870
2023-09-13,52.5455,57.4365,52.5455,56.1146,61974.0000,0.4120
2023-09-14,56.1146,58.7914,54.0491,58.1470,106086.0000,0.4280
2023-09-17,58.7749,58.7749,55.9493,56.4781,17601.0000,0.2109
2023-09-19,58.8245,58.8245,53.7186,56.8086,35610.0000,0.6818
2023-09-20,56.7260,57.1225,54.2804,56.5938,374562.0000,0.5651
2023-09-21,57.0081,57.0081,55.0526,56.2789,310452.0000,0.6637
2023-09-24,56.6766,57.6544,54.5223,54.6714,54675.0000,0.6369
2023-09-25,56.3452,56.6766,53.7599,54.1079,18936.0000,0.4587
2023-09-26,56.0800,56.8092,53.7102,56.4778,47070.0000,0.6531
2023-09-27,56.3452,57.1738,55.0194,56.2955,34074.0000,0.1531
2023-09-28,56.2955,58.9304,54.8040,57.4389,44673.0000,0.2176
2023-10-02,57.4389,57.4389,55.4337,56.0966,14757.0000,0.1271
2023-10-03,54.6880,56.9583,54.6880,55.1188,25155.0000,0.2952
2023-10-04,57.7041,57.7041,53.2296,55.2349,19605.0000,0.3332
2023-10-05,55.1686,57.3395,53.7931,56.7761,56337.0000,0.2628
2023-10-08,56.7761,57.6710,54.5222,55.0360,20904.0000,0.5972
2023-10-09,56.9418,57.6544,54.0251,55.9972,65970.0000,0.3141
2023-10-10,56.0137,56.4778,53.7599,54.1411,194529.0000,0.2686
2023-10-11,55.3343,55.4834,54.2074,54.7874,10314.0000,0.4256
2023-10-12,54.7874,55.1851,52.5667,53.1468,68727.0000,0.1846
2023-10-15,54.3234,55.3509,52.6993,55.2680,38772.0000,0.5813
2023-10-16,55.3509,55.6657,52.5170,54.4725,182262.0000,0.1447
2023-10-17,54.0085,54.0085,52.3679,52.7656,34536.0000,0.6921
2023-10-18,52.3679,52.4010,50.1306,50.1306,366165.0000,0.5633
2023-10-19,50.0478,50.9261,48.3906,50.3461,25884.0000,0.2192
2023-10-22,50.5947,50.5947,47.8271,48.4071,252612.0000,0.1033
2023-10-24,46.9322,49.6169,46.9322,47.6283,234513.0000,0.5893
2023-10-25,47.9597,47.9597,45.2584,47.5122,180810.0000,0.5241
2023-10-26,45.7722,48.4569,45.7722,47.7443,205092.0000,0.5374
2023-10-29,47.7443,47.9928,45.3744,46.1699,203385.0000,0.5628
2023-10-30,45.7556,48.4734,45.7556,48.3740,38331.0000,0.1444
2023-10-31,48.3740,50.2964,46.8328,50.0809,12606.0000,0.3151
2023-11-01,51.3570,51.3570,47.8105,48.4403,11382.0000,0.1695
2023-11-02,49.1695,49.3352,46.6174,47.5454,14502.0000,0.6179
2023-11-05,47.3962,49.6832,46.4682,48.5729,15945.0000,0.4740
2023-11-06,48.5729,49.3020,47.5620,47.8603,11187.0000,0.2985
2023-11-07,47.8934,48.6889,46.9488,47.9928,13800.0000,0.1381
2023-11-08,48.4569,50.3792,47.0648,49.9483,23412.0000,0.2866
2023-11-09,50.9427,52.3513,48.0591,51.0587,26466.0000,0.2951
2023-11-12,53.0308,53.0308,52.1359,52.8319,19806.0000,0.5378
2023-11-14,54.6217,54.6217,51.2078,51.8873,21402.0000,0.4825
2023-11-15,51.7050,52.9479,50.7935,51.5061,15432.0000,0.6323
2023-11-16,51.0587,51.8210,49.8158,50.0478,17322.0000,0.3833
2023-11-19,48.9374,50.0478,48.9374,49.8986,15501.0000,0.1718
2023-11-20,48.3906,50.0146,48.1254,48.2911,127932.0000,0.5279
2023-11-21,48.2746,49.0369,47.8934,48.0426,9741.0000,0.5565
2023-11-22,49.0535,49.0535,47.4294,47.7443,16371.0000,0.4368
2023-11-23,47.7608,48.8877,45.9379,47.5288,28296.0000,0.5626
2023-11-27,47.5951,48.7220,46.7334,46.9488,14352.0000,0.3963
2023-11-28,46.0705,47.5951,45.4739,46.2362,15681.0000,0.4136
2023-11-29,45.2419,46.9654,45.2419,46.0705,15372.0000,0.3565
2023-11-30,46.1036,47.0482,45.7556,46.3356,10812.0000,0.1153
2023-12-03,47.6945,48.6392,45.6396,48.3740,27609.0000,0.1647
2023-12-04,49.0203,50.3461,48.2414,50.1638,23076.0000,0.1189
2023-12-05,50.0478,50.2135,48.1586,48.9209,18963.0000,0.4818
2023-12-06,49.3020,49.3020,47.8934,48.6060,13155.0000,0.2886
2023-12-07,48.5231,49.2689,47.3962,48.4071,21255.0000,0.4051
2023-12-10,48.7220,48.7220,47.1311,47.8934,15462.0000,0.6445
2023-12-11,48.5563,48.5563,47.0648,47.2802,13290.0000,0.2496
2023-12-12,48.0591,49.1197,47.0648,48.2746,20982.0000,0.3462
2023-12-13,48.0591,48.3906,47.3962,47.9266,12666.0000,0.5533
2023-12-14,47.8934,48.0591,46.4019,47.1642,18066.0000,0.2373
2023-12-17,48.6889,49.3186,45.7390,46.9322,274809.0000,0.1462
2023-12-18,47.0979,47.6780,44.5956,45.4076,52569.0000,0.2739
2023-12-19,45.0761,46.7168,43.2532,43.6509,112848.0000,0.1967
2023-12-20,43.7669,44.0487,42.1760,43.1538,97257.0000,0.6578
2023-12-21,43.3692,44.3967,43.3692,44.2144,275493.0000,0.5849
2023-12-25,43.5847,46.4185,43.5847,46.2362,73197.0000,0.4800
2023-12-26,46.4185,48.3408,46.4185,47.3631,45504.0000,0.6229
2023-12-27,49.3186,49.3186,45.8385,46.2196,81210.0000,0.5822
2023-12-28,46.0705,46.9488,44.4133,44.6453,67515.0000,0.2119
2023-12-31,45.0761,46.8659,44.7447,46.8659,39900.0000,0.6355
2024-01-01,48.7054,49.0535,46.9157,47.7608,172716.0000,0.4236
2024-01-02,49.6169,49.6169,47.7774,49.0203,92997.0000,0.5845
2024-01-03,50.9095,50.9095,47.4625,49.0203,151704.0000,0.6377
2024-01-04,51.0421,51.0421,48.1254,48.7552,121836.0000,0.2908
2024-01-07,48.1254,50.1969,47.8105,49.3186,133896.0000,0.1660
2024-01-08,48.1088,49.5838,48.1088,48.7054,91935.0000,0.2368
2024-01-09,48.5894,49.3186,47.5288,48.2414,137928.0000,0.3563
2024-01-10,50.3627,50.3627,46.8494,48.6060,122349.0000,0.5908
2024-01-11,49.0535,49.4015,48.0094,48.3906,26226.0000,0.6164
2024-01-14,48.3906,48.3906,48.3906,48.3906,0.0000,0.1042
2024-01-15,48.0260,48.0260,46.7831,47.1145,25593.0000,0.4064
2024-01-16,46.5345,47.9100,46.0705,46.5511,52242.0000,0.3504
2024-01-17,45.7887,47.6283,45.4739,45.9545,83121.0000,0.2333
2024-01-18,46.6339,47.1477,45.7390,46.2362,40497.0000,0.1719
2024-01-22,48.2911,48.3740,46.4019,46.7334,28257.0000,0.3026
2024-01-23,46.7334,47.4460,44.8441,45.2584,51666.0000,0.6657
2024-01-24,45.3413,46.4019,44.5127,45.6562,62325.0000,0.2939
2024-01-28,45.4242,47.9266,45.3910,47.9266,86067.0000,0.4113
2024-01-29,49.0369,49.6003,46.7996,47.2968,40329.0000,0.5218
2024-01-30,49.0535,49.0535,46.7499,47.3300,14004.0000,0.3182
2024-01-31,48.0426,48.2746,46.5014,46.8825,10260.0000,0.6831
2024-02-01,47.7608,48.0591,45.8219,47.9266,111801.0000,0.6775
2024-02-04,50.3129,50.3129,49.7661,50.3129,330213.0000,0.2511
2024-02-05,51.9867,51.9867,48.0923,48.5231,147696.0000,0.3983
2024-02-06,49.0369,52.0033,48.8712,50.8598,172776.0000,0.2805
2024-02-07,52.3016,52.3679,48.3906,49.1032,117885.0000,0.2709
2024-02-08,49.7163,49.7163,47.3797,48.5397,66900.0000,0.1221
2024-02-11,49.5506,52.5336,43.6841,48.5397,532983.0000,0.4657
2024-02-12,44.4298,49.3849,43.6841,45.7887,197061.0000,0.4016
2024-02-13,44.8110,47.4625,44.4464,46.2859,238776.0000,0.1309
2024-02-14,48.0426,48.0426,46.7334,47.0151,145563.0000,0.2672
2024-02-15,47.8934,49.0369,46.5842,48.3906,157455.0000,0.6450
2024-02-18,47.9266,53.2296,47.9266,53.2296,1733709.0000,0.2437
2024-02-19,55.0194,58.5493,53.2296,57.6875,1314027.0000,0.1869
2024-02-20,58.9967,60.5711,55.4006,60.3225,1034736.0000,0.3937
2024-02-21,60.3225,63.3386,57.3064,57.3064,1025358.0000,0.6914
2024-02-22,55.6492,56.2955,54.4394,54.4394,179130.0000,0.2452
2024-02-25,53.7434,53.8925,51.7216,51.8376,151365.0000,0.5033
2024-02-26,52.6662,54.4228,49.3849,51.5393,660570.0000,0.5570
2024-02-27,54.1079,54.1079,52.1359,54.1079,103434.0000,0.2426
2024-02-28,52.9313,54.1079,51.6387,51.7713,78915.0000,0.5369
2024-02-29,52.3513,54.3234,51.6056,51.9867,70845.0000,0.3207
2024-03-03,52.0033,53.5942,49.5506,52.2187,170196.0000,0.4794
2024-03-04,52.0861,54.8205,50.8101,54.7708,561681.0000,0.4801
2024-03-05,56.0137,56.2458,52.3679,54.0417,192798.0000,0.4215
2024-03-06,53.0308,56.7429,53.0308,56.6103,229701.0000,0.1542
2024-03-10,57.9858,58.3173,53.7931,54.1079,240792.0000,0.6012
2024-03-11,52.3513,52.7325,51.4067,51.5393,376503.0000,0.2925
