Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-19,112.7821,112.7821,108.8555,109.5651,17264.0,0.7087
2023-06-20,111.4102,111.4102,109.4705,110.0382,8948.0,0.8036
2023-06-21,109.8963,111.6467,107.8621,108.1932,16145.0,0.6879
2023-06-22,108.2405,109.5651,104.4086,107.2471,24431.0,0.6976
2023-06-25,106.9159,109.849,104.1247,104.7397,20184.0,0.7572
2023-06-26,104.9763,105.1182,102.2797,103.5097,20126.0,0.7222
2023-06-27,105.7805,105.9697,103.6044,105.6859,20219.0,0.8730
2023-06-29,106.9159,110.7005,105.6859,107.4836,27494.0,0.9041
2023-07-02,107.8148,109.5178,104.9763,105.9697,12244.0,0.6632
2023-07-03,104.3613,109.1394,104.3613,105.7332,7006.0,0.6604
2023-07-04,106.4901,107.389,102.6582,104.9763,12743.0,0.6640
2023-07-05,104.4559,107.389,104.4559,106.3009,8202.0,0.9026
2023-07-06,106.3482,107.2944,103.699,105.3074,7449.0,0.7843
2023-07-09,105.3074,106.8686,105.0236,105.9224,5093.0,0.8390
2023-07-10,106.8213,106.8213,105.0236,105.5913,8187.0,0.8369
2023-07-11,106.4428,106.8686,103.6044,106.2063,23749.0,0.5706
2023-07-12,106.2063,108.8082,105.6386,106.4428,11512.0,0.5880
2023-07-13,106.4428,118.1752,105.2601,114.0121,92172.0,0.5803
2023-07-16,117.9386,117.9386,111.8359,112.4509,20659.0,0.6611
2023-07-17,114.4379,114.4379,109.2813,109.9909,10223.0,0.6892
2023-07-18,109.9909,113.539,107.9094,109.1394,10517.0,0.5260
2023-07-19,111.1263,112.924,108.7609,110.7005,16781.0,0.6913
2023-07-20,111.7413,113.1605,109.8017,111.0317,9785.0,0.7765
2023-07-23,113.0659,113.0659,108.8082,109.6598,5612.0,0.7557
2023-07-24,111.7413,111.7413,108.7609,110.2275,4838.0,0.5552
2023-07-25,110.2275,111.5048,109.849,110.4167,4912.0,0.7443
2023-07-26,110.7005,112.0725,108.8082,109.7544,5057.0,0.6243
2023-07-27,112.4509,112.4509,107.9567,109.0921,7668.0,0.7491
2023-07-30,107.9094,110.6059,107.5309,107.7201,7065.0,0.7137
2023-07-31,109.234,109.4705,106.5848,107.0578,14830.0,0.8242
2023-08-01,106.1117,111.5521,106.1117,109.3759,12552.0,0.7688
2023-08-02,112.5929,113.3498,108.004,108.6663,16176.0,0.7309
2023-08-03,112.2144,112.2144,105.1655,106.9632,29670.0,0.7673
2023-08-06,106.4428,108.3825,103.2732,106.8213,12267.0,0.5966
2023-08-07,107.9567,108.7136,107.3417,108.4771,4572.0,0.6627
2023-08-08,106.1117,108.4771,106.1117,107.1051,7937.0,0.7779
2023-08-09,108.619,109.2813,107.6255,108.0986,1802.0,0.6482
2023-08-10,108.0513,108.0986,103.1313,104.6451,25801.0,0.7868
2023-08-13,104.6451,108.619,102.6582,104.2194,35786.0,0.4272
2023-08-15,102.327,104.929,99.4886,100.3874,38430.0,0.4642
