Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,17.0000,17.0500,16.8000,16.9500,153710.0000,0.3247
2023-06-06,17.1000,17.1500,16.8500,17.0000,128615.0000,0.6704
2023-06-07,17.0500,17.0500,16.4500,16.7000,208355.0000,0.5392
2023-06-08,16.9000,16.9000,15.4000,15.8500,414166.0000,0.4592
2023-06-11,16.0500,16.6000,15.9000,16.4500,122347.0000,0.1936
2023-06-12,16.9000,17.0000,16.5500,16.8000,119843.0000,0.1936
2023-06-13,16.9500,16.9500,16.5000,16.6000,112603.0000,0.1349
2023-06-14,16.6000,16.8000,16.4500,16.5500,77974.0000,0.6197
2023-06-15,16.7000,16.7000,16.4000,16.5000,85366.0000,0.4607
2023-06-18,16.7000,18.2500,16.5000,17.8500,1387480.0000,0.5248
2023-06-19,19.3500,19.3500,17.2000,18.1000,859632.0000,0.1124
2023-06-20,18.3500,18.8000,18.1000,18.3500,474034.0000,0.6819
2023-06-21,18.5000,18.7000,17.3500,17.5000,363178.0000,0.5995
2023-06-22,17.5500,17.8500,17.0500,17.3500,126912.0000,0.2274
2023-06-25,17.3500,17.6500,16.9500,17.2000,141320.0000,0.2091
2023-06-26,17.4500,17.7000,17.1000,17.2500,159766.0000,0.2100
2023-06-27,17.3000,17.6500,17.0000,17.1500,105924.0000,0.2825
2023-06-29,17.4000,17.7000,17.3000,17.4500,211147.0000,0.4149
2023-07-02,17.6000,17.8500,17.2500,17.4000,221696.0000,0.3592
2023-07-03,17.5000,17.5500,17.0500,17.1500,133965.0000,0.2747
2023-07-04,17.3000,17.6500,17.3000,17.5000,163387.0000,0.4671
2023-07-05,17.7500,17.7500,17.4000,17.6000,167509.0000,0.1837
2023-07-06,17.7000,17.9500,17.5500,17.7000,234782.0000,0.2753
2023-07-09,17.9000,18.3500,17.7500,17.9000,423598.0000,0.3198
2023-07-10,18.1000,18.3500,18.0000,18.1000,214974.0000,0.3736
2023-07-11,18.2000,18.2000,17.7500,17.8500,172861.0000,0.5711
2023-07-12,17.8500,18.0500,17.5500,17.7000,168128.0000,0.2198
2023-07-13,17.9500,19.8000,17.1500,19.3500,1629452.0000,0.4085
2023-07-16,19.9000,22.4500,19.8500,21.3000,3278968.0000,0.4554
2023-07-17,21.9000,23.2500,21.2000,21.8000,1682638.0000,0.1279
2023-07-18,22.0000,22.3000,20.5500,20.8000,888149.0000,0.4645
2023-07-19,20.8000,20.8000,20.1500,20.4000,369000.0000,0.2023
2023-07-20,20.4500,22.1000,20.4000,21.8000,949361.0000,0.1390
2023-07-23,22.0000,22.3000,21.4000,21.5500,655401.0000,0.6693
2023-07-24,21.6000,21.9000,20.5500,20.9000,372118.0000,0.6794
2023-07-25,21.0000,21.4000,20.8500,20.9500,236107.0000,0.5850
2023-07-26,20.5500,21.5000,20.5000,20.5500,270411.0000,0.2828
2023-07-27,20.6500,21.5500,20.1000,20.6500,554143.0000,0.1586
2023-07-30,20.9500,20.9500,20.2000,20.2500,277090.0000,0.5105
