Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-19,82.45,82.95,80.45,82.7,13158.0,0.6455
2023-06-20,84.7,84.7,82.85,83.4,15119.0,0.7771
2023-06-21,83.4,84.3,81.3,81.8,14918.0,0.4493
2023-06-22,82.4,82.45,81.3,82.1,4433.0,0.5058
2023-06-25,82.1,82.1,81.0,81.2,6474.0,0.8587
2023-06-26,80.4,82.5,80.4,82.05,27697.0,0.9109
2023-06-27,83.95,83.95,82.25,82.3,17062.0,0.9357
2023-06-29,83.45,93.35,82.85,90.15,252751.0,0.3911
2023-07-02,93.3,96.0,87.85,91.05,99040.0,0.6484
2023-07-03,91.95,92.8,88.45,89.25,23184.0,0.6011
2023-07-04,90.0,91.85,88.0,88.55,19102.0,0.5170
2023-07-05,88.5,91.8,88.25,89.7,37442.0,0.4319
2023-07-06,90.5,90.5,85.55,86.45,29928.0,0.5025
2023-07-09,89.65,90.5,85.65,86.85,41894.0,0.5204
2023-07-10,88.0,91.0,87.65,90.35,26958.0,0.7500
2023-07-11,91.9,93.3,89.55,91.85,33643.0,0.5104
2023-07-12,92.9,93.5,87.0,88.65,22251.0,0.6159
2023-07-13,89.95,90.15,87.8,88.3,10757.0,0.6242
2023-07-16,89.6,90.15,87.85,88.1,15256.0,0.4955
2023-07-17,87.3,88.5,87.0,87.15,19381.0,0.6474
2023-07-18,88.0,90.35,87.0,87.55,17254.0,0.5427
2023-07-19,89.0,89.0,87.0,88.25,54327.0,0.9565
2023-07-20,88.25,93.5,87.1,89.8,49904.0,0.6308
2023-07-23,93.2,93.2,89.05,89.65,47109.0,0.2471
2023-07-24,89.95,93.2,89.65,91.5,36249.0,0.7003
2023-07-25,93.2,93.2,91.5,91.6,23066.0,0.6606
2023-07-26,91.6,94.0,90.05,90.7,20788.0,0.6168
2023-07-27,91.5,91.95,89.65,90.45,9281.0,0.6584
2023-07-30,90.0,93.0,90.0,90.8,16391.0,0.7085
2023-07-31,91.95,96.0,91.0,94.5,62148.0,0.7308
2023-08-01,96.95,113.4,95.0,113.4,1012752.0,0.3737
2023-08-02,117.1,129.15,115.2,122.6,1240526.0,0.2370
2023-08-03,123.6,131.4,116.55,128.9,491475.0,0.4499
2023-08-06,130.0,130.0,122.45,123.5,48505.0,0.4499
2023-08-07,129.4,129.4,117.35,117.6,20494.0,0.4499
2023-08-08,115.0,123.45,111.75,123.05,57281.0,0.4499
2023-08-09,123.05,129.2,118.1,121.75,54209.0,0.4499
2023-08-10,125.15,127.8,116.0,127.8,44652.0,0.4499
2023-08-13,128.0,133.5,123.0,123.75,22941.0,0.4499
2023-08-15,123.0,123.0,117.7,120.0,19608.0,0.4499
2023-08-16,123.0,126.0,115.0,116.95,18071.0,0.4499
2023-08-17,116.95,118.0,112.25,113.9,23080.0,0.4499
2023-08-20,112.3,118.3,109.0,115.7,6005.0,0.4499
2023-08-21,115.7,121.45,115.7,121.45,31139.0,0.4499
2023-08-22,121.4,127.5,117.0,118.2,12120.0,0.4499
2023-08-23,122.0,124.1,118.5,122.25,23378.0,0.4499
2023-08-24,122.25,127.0,117.0,121.05,11174.0,0.4499
2023-08-27,118.35,125.9,116.0,120.5,9028.0,0.4499
2023-08-28,120.5,123.0,116.0,117.45,13157.0,0.4499
2023-08-29,121.85,121.85,115.8,116.55,10952.0,0.4499
2023-08-30,120.0,120.0,116.1,118.6,5190.0,0.4499
2023-08-31,121.25,121.25,115.0,115.6,4559.0,0.4499
2023-09-03,119.0,119.85,112.0,113.95,18054.0,0.4499
2023-09-04,111.45,116.7,111.45,112.5,25546.0,0.4499
2023-09-05,112.5,114.95,111.0,113.9,9703.0,0.4499
2023-09-06,113.9,113.9,110.05,111.6,7411.0,0.4499
2023-09-07,111.6,112.8,106.1,107.6,23760.0,0.4499
2023-09-10,107.9,112.95,105.2,111.65,48107.0,0.4499
2023-09-11,112.9,113.9,106.1,106.55,13062.0,0.4499
2023-09-12,103.65,109.8,103.65,109.4,21092.0,0.4499
2023-09-13,108.0,110.0,106.1,107.2,14432.0,0.4499
2023-09-14,107.2,108.95,104.3,106.4,14267.0,0.4499
2023-09-17,106.9,110.65,106.4,109.05,11075.0,0.4499
2023-09-19,113.4,113.4,106.0,108.9,22572.0,0.4499
2023-09-20,107.95,109.75,105.3,109.75,4465.0,0.4499
2023-09-21,110.0,113.25,105.0,107.25,18340.0,0.4499
2023-09-24,107.2,109.5,103.2,108.5,14996.0,0.4499
2023-09-25,105.45,107.85,104.8,106.45,12878.0,0.4499
2023-09-26,106.9,111.75,106.85,111.75,15653.0,0.4499
2023-09-27,116.0,116.0,108.2,109.1,8727.0,0.4499
2023-09-28,109.1,114.5,106.1,111.15,6247.0,0.4499
2023-10-02,114.95,114.95,108.7,113.55,20313.0,0.4499
2023-10-03,110.1,116.0,109.05,112.45,9249.0,0.4499
2023-10-04,112.45,118.0,111.0,114.25,6679.0,0.4499
2023-10-05,112.05,116.9,111.15,115.4,8379.0,0.4499
2023-10-08,115.0,115.0,109.7,112.8,9156.0,0.4499
2023-10-09,112.95,114.8,107.25,108.9,8431.0,0.4499
2023-10-10,109.9,111.75,107.0,110.0,3100.0,0.4499
2023-10-11,110.2,112.35,107.25,109.0,5115.0,0.4499
2023-10-12,111.8,112.95,109.0,111.35,8545.0,0.4499
2023-10-15,114.25,114.25,107.5,109.0,10168.0,0.4499
2023-10-16,108.8,112.45,105.55,108.15,9403.0,0.4499
2023-10-17,107.55,108.4,105.5,107.15,6525.0,0.4499
2023-10-18,106.25,110.85,103.0,108.65,3567.0,0.4499
2023-10-19,108.9,108.9,105.2,107.15,3465.0,0.4499
2023-10-22,107.85,110.45,103.15,107.0,23988.0,0.4499
2023-10-24,107.4,109.0,104.1,105.2,7653.0,0.4499
2023-10-25,107.95,109.5,100.55,109.45,17848.0,0.4499
2023-10-26,107.8,114.9,105.0,111.75,46142.0,0.4499
2023-10-29,112.15,114.95,106.2,114.8,41739.0,0.4499
2023-10-30,113.25,116.65,111.6,115.35,8164.0,0.4499
2023-10-31,114.0,115.55,110.3,112.85,6679.0,0.4499
2023-11-01,116.0,118.45,111.0,117.25,32419.0,0.4499
2023-11-02,116.0,120.0,115.4,117.35,14824.0,0.4499
2023-11-05,115.5,120.8,115.5,117.6,16912.0,0.4499
2023-11-06,121.85,121.85,117.6,119.1,5228.0,0.4499
2023-11-07,119.5,125.05,119.5,125.05,40135.0,0.4499
2023-11-08,129.0,130.0,123.3,129.1,18642.0,0.4499
2023-11-09,127.8,135.45,124.0,133.55,45446.0,0.4499
2023-11-12,136.0,136.0,127.0,129.55,17103.0,0.4499
2023-11-14,134.0,134.0,123.6,129.2,16983.0,0.4499
2023-11-15,129.2,129.2,124.0,128.35,15004.0,0.4499
2023-11-16,128.35,132.95,125.5,129.85,19577.0,0.4499
2023-11-19,141.0,141.0,135.3,137.8,88437.0,0.5525
2023-11-20,140.0,143.8,136.5,138.2,49546.0,0.5946
2023-11-21,139.85,139.85,129.1,132.85,21795.0,0.6900
2023-11-22,136.85,136.85,128.0,129.3,32761.0,0.6326
2023-11-23,130.05,132.9,127.1,127.85,11067.0,0.5742
2023-11-27,127.85,128.95,123.5,124.7,23907.0,0.7127
2023-11-28,124.55,128.85,124.0,124.9,15744.0,0.7189
2023-11-29,123.3,137.7,123.3,128.05,18371.0,0.3565
2023-11-30,131.85,131.85,125.0,125.6,30110.0,0.7145
2023-12-03,135.0,135.0,125.0,125.75,9856.0,0.5149
2023-12-04,125.9,129.0,125.1,126.9,17268.0,0.3679
2023-12-05,126.05,127.95,125.15,125.6,9754.0,0.3282
