Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,4.3202,4.4525,4.0998,4.188,1726824.0,0.5369
2023-06-06,4.0557,4.2321,4.0557,4.188,878018.0,0.5369
2023-06-07,4.1439,4.2321,4.0557,4.188,305515.0,0.5369
2023-06-08,4.2321,4.2321,4.0557,4.1439,883467.0,0.5369
2023-06-11,4.1439,4.2761,4.1439,4.2321,779232.0,0.5369
2023-06-12,4.2321,4.3202,4.1439,4.188,755791.0,0.5369
2023-06-13,4.188,4.2321,4.1439,4.188,449908.0,0.5369
2023-06-14,4.2321,4.2321,4.0557,4.0998,723294.0,0.5369
2023-06-15,4.188,4.188,4.0116,4.0557,852089.0,0.5369
2023-06-18,4.1439,4.1439,3.9676,4.0557,560026.0,0.5369
2023-06-19,4.0116,4.0998,3.8794,3.9676,404353.0,0.5369
2023-06-20,4.0116,4.0557,3.8794,3.8794,215708.0,0.5369
2023-06-21,4.0116,4.0116,3.7912,3.8794,297519.0,0.5369
2023-06-22,3.9235,3.9676,3.8353,3.8353,288802.0,0.5369
2023-06-25,3.8353,3.9235,3.7912,3.8794,108249.0,0.5369
2023-06-26,3.8794,3.9235,3.8353,3.8794,146438.0,0.5369
2023-06-27,3.8794,3.9235,3.7912,3.7912,330964.0,0.5369
2023-06-29,3.8353,3.8794,3.6149,3.7031,663726.0,0.5369
2023-07-02,3.7912,3.8794,3.6149,3.8353,414577.0,0.5369
2023-07-03,3.9235,4.0116,3.8353,4.0116,374903.0,0.5369
2023-07-04,4.188,4.188,3.9235,4.188,838612.0,0.5369
2023-07-05,4.188,4.3643,4.1439,4.188,445534.0,0.5369
2023-07-06,4.1439,4.2321,4.0557,4.0557,251694.0,0.5369
2023-07-09,4.1439,4.1439,3.9676,4.0557,158743.0,0.5369
2023-07-10,3.9676,4.0998,3.8794,3.8794,427415.0,0.5369
2023-07-11,3.8794,3.9676,3.7471,3.8353,223402.0,0.5369
2023-07-12,3.9235,3.9676,3.7031,3.8794,255638.0,0.5369
2023-07-13,3.9676,3.9676,3.7471,3.7471,225727.0,0.5369
2023-07-16,3.7471,3.9235,3.7471,3.9235,246169.0,0.5369
2023-07-17,3.8794,3.9676,3.7912,3.8353,129253.0,0.5369
2023-07-18,3.7912,3.8794,3.7912,3.7912,139038.0,0.5369
2023-07-19,3.8353,3.8794,3.7471,3.8353,308790.0,0.5369
2023-07-20,3.8353,3.8794,3.7471,3.8353,208401.0,0.5369
2023-07-23,3.8353,3.8353,3.659,3.7471,295344.0,0.5369
2023-07-24,3.7471,3.7471,3.659,3.7031,141147.0,0.5369
2023-07-25,3.7031,3.7912,3.659,3.7031,159800.0,0.5369
2023-07-26,3.7912,3.7912,3.659,3.659,214377.0,0.5369
2023-07-27,3.7031,3.7471,3.6149,3.659,282506.0,0.5369
2023-07-30,3.659,3.7471,3.6149,3.659,221771.0,0.5369
2023-07-31,3.7471,3.7471,3.6149,3.7031,183308.0,0.5369
2023-08-01,3.7471,3.7471,3.6149,3.6149,195216.0,0.5369
2023-08-02,3.7031,3.7031,3.5708,3.7031,110321.0,0.5369
2023-08-03,3.7031,3.7031,3.5267,3.659,883352.0,0.5369
2023-08-06,3.659,3.659,3.5267,3.5708,188339.0,0.5369
2023-08-07,3.5708,3.659,3.5708,3.6149,160553.0,0.5369
2023-08-08,3.6149,3.659,3.5708,3.6149,189291.0,0.5369
2023-08-09,3.5708,3.659,3.5708,3.659,278033.0,0.5369
2023-08-10,3.7031,3.7031,3.5708,3.6149,175190.0,0.5369
2023-08-13,3.659,3.659,3.5267,3.6149,133482.0,0.5369
2023-08-15,3.6149,3.659,3.5267,3.6149,194776.0,0.5369
2023-08-16,3.659,3.659,3.5708,3.5708,165130.0,0.5369
2023-08-17,3.659,3.659,3.5267,3.5708,237324.0,0.5369
2023-08-20,3.659,3.659,3.3945,3.4385,839910.0,0.5369
2023-08-21,3.5267,3.5708,3.4385,3.5708,217520.0,0.5369
2023-08-22,3.5708,3.5708,3.4385,3.5267,148919.0,0.5369
2023-08-23,3.5267,3.5708,3.4385,3.5267,198856.0,0.5369
2023-08-24,3.5708,3.5708,3.4826,3.4826,85954.0,0.5369
2023-08-27,3.4826,3.6149,3.4385,3.5708,378678.0,0.5369
2023-08-28,3.6149,3.6149,3.5267,3.5708,150189.0,0.5369
2023-08-29,3.5708,3.7031,3.5267,3.7031,477540.0,0.5369
2023-08-30,3.7031,3.7471,3.6149,3.7031,153639.0,0.5369
2023-08-31,3.7031,3.7471,3.7031,3.7031,224510.0,0.5369
2023-09-03,3.7031,3.7471,3.5708,3.7031,344588.0,0.5369
2023-09-04,3.7031,3.8353,3.7031,3.7031,269184.0,0.5369
2023-09-05,3.7912,3.8794,3.7912,3.8794,431703.0,0.5369
2023-09-06,4.0116,4.0557,3.8794,4.0557,515454.0,0.5369
2023-09-07,4.2321,4.2321,3.8794,3.8794,1288459.0,0.5369
2023-09-10,4.188,4.2321,3.8794,4.2321,1252020.0,0.8236
2023-09-11,4.4084,4.5847,4.3643,4.5406,4698616.0,0.6097
2023-09-12,4.4966,4.6288,4.188,4.4084,2068275.0,0.4898
2023-09-13,4.4966,4.5847,4.1439,4.1439,2802575.0,0.6254
2023-09-14,4.2761,4.5406,4.188,4.2321,3818018.0,0.4630
2023-09-17,4.2321,4.4525,4.2321,4.4084,978374.0,0.7984
2023-09-19,4.4084,4.4525,4.2321,4.2761,1921145.0,0.4513
2023-09-20,4.3202,4.3643,4.188,4.2321,941522.0,0.5874
2023-09-21,4.2761,4.2761,4.188,4.188,344008.0,0.7212
2023-09-24,4.188,4.2761,4.0557,4.1439,396712.0,0.5653
2023-09-25,4.188,4.188,4.0557,4.0998,555866.0,0.6790
2023-09-26,4.1439,4.2321,4.1439,4.1439,414933.0,0.6209
2023-09-27,4.1439,4.2321,4.0557,4.0998,507002.0,0.6679
2023-09-28,4.1439,4.188,3.9235,3.9676,1837410.0,0.7376
2023-10-02,4.0116,4.0998,3.9676,4.0116,1028732.0,0.4705
2023-10-03,4.0998,4.0998,3.7912,3.9235,1061706.0,0.5277
2023-10-04,3.8794,3.9676,3.8794,3.9676,213852.0,0.6767
2023-10-05,3.9676,4.1439,3.9235,4.0557,546318.0,0.6975
2023-10-08,4.0116,4.0557,3.9235,3.9676,331420.0,0.7168
2023-10-09,4.0557,4.0557,3.9676,4.0557,312302.0,0.5789
2023-10-10,4.0557,4.1439,4.0116,4.0557,359113.0,0.7341
2023-10-11,4.0116,4.1439,4.0116,4.0557,222414.0,0.5628
2023-10-12,4.1439,4.1439,4.0557,4.0557,242676.0,0.6924
2023-10-15,4.1439,4.1439,3.9676,4.0116,396215.0,0.7252
2023-10-16,4.0116,4.0998,3.9676,4.0116,366661.0,0.6424
2023-10-17,4.0557,4.0557,3.8794,3.9676,299815.0,0.6813
2023-10-18,3.9676,4.0116,3.9235,4.0116,207941.0,0.7121
2023-10-19,3.9676,4.0557,3.9235,3.9676,295148.0,0.6155
2023-10-22,3.9676,4.0116,3.7031,3.7912,494016.0,0.5773
2023-10-24,3.8794,3.8794,3.6149,3.7031,383401.0,0.6045
2023-10-25,3.6149,3.7471,3.4826,3.7031,445575.0,0.7134
2023-10-26,3.7031,3.9235,3.659,3.8353,314662.0,0.4704
2023-10-29,4.188,4.3202,3.9235,4.2761,2613836.0,0.5234
2023-10-30,4.4084,4.5406,4.2761,4.4525,2230914.0,0.6020
2023-10-31,4.5406,4.5406,4.2321,4.3202,1057260.0,0.4521
2023-11-01,4.3643,4.4084,3.9676,4.0998,1219211.0,0.4658
2023-11-02,4.188,4.3202,4.0998,4.1439,570831.0,0.5388
2023-11-05,4.2321,4.2761,4.188,4.2321,629537.0,0.6314
2023-11-06,4.2321,4.2761,4.0998,4.188,304009.0,0.6420
2023-11-07,4.2321,4.2321,4.1439,4.1439,365656.0,0.6215
2023-11-08,4.1439,4.4525,4.0998,4.3643,955855.0,0.6400
2023-11-09,4.4966,4.4966,4.2321,4.3202,986637.0,0.5724
2023-11-12,4.3643,4.4084,4.1439,4.3202,749845.0,0.6043
2023-11-14,4.3202,4.3643,4.0557,4.2761,1133312.0,0.4833
2023-11-15,4.2761,4.3202,4.2321,4.2761,375221.0,0.6942
2023-11-16,4.2761,4.3202,4.188,4.2321,363256.0,0.7748
2023-11-19,4.2321,4.2321,4.1439,4.2321,382145.0,0.4120
2023-11-20,4.2321,4.2321,4.1439,4.1439,235523.0,0.7659
2023-11-21,4.1439,4.2321,4.0557,4.0998,304445.0,0.6741
2023-11-22,4.2321,4.2321,4.1439,4.188,298415.0,0.8133
2023-11-23,4.2321,4.3202,4.188,4.3202,913745.0,0.7915
2023-11-27,4.4525,4.4525,4.3202,4.4084,1021758.0,0.9184
2023-11-28,4.4525,4.4525,4.2761,4.3202,508594.0,0.6232
2023-11-29,4.3643,4.3643,4.2321,4.2761,393421.0,0.5223
2023-11-30,4.3202,4.3202,4.188,4.188,541687.0,0.4882
2023-12-03,4.2761,4.3643,4.2321,4.3202,543028.0,0.6021
2023-12-04,4.3202,4.3643,4.2321,4.2761,544777.0,0.6127
2023-12-05,4.188,4.2761,4.188,4.2761,620744.0,0.6185
2023-12-06,4.2761,4.3643,4.188,4.3202,777308.0,0.5610
2023-12-07,4.3643,4.3643,4.2761,4.2761,730293.0,0.6417
2023-12-10,4.3202,4.3202,4.2321,4.3202,551025.0,0.7977
2023-12-11,4.3202,5.1578,4.2761,5.1578,5697465.0,0.6390
2023-12-12,5.5105,6.1718,5.4664,6.1718,11589271.0,0.5459
2023-12-13,6.5244,6.7889,5.9954,6.304,13541566.0,0.5636
2023-12-14,6.4803,6.4803,6.0395,6.0836,2973504.0,0.6578
2023-12-17,6.0836,6.2599,5.9073,5.9954,2402516.0,0.5387
2023-12-18,6.0395,6.0395,5.7309,5.7309,1072563.0,0.5387
2023-12-19,5.4664,5.5546,5.4664,5.4664,605334.0,0.5387
2023-12-20,5.2019,5.2019,5.2019,5.2019,443080.0,0.5387
2023-12-21,4.9374,5.4223,4.9374,5.4223,748523.0,0.5387
2023-12-25,5.5105,5.6868,5.5105,5.6868,531157.0,0.5387
2023-12-26,5.8191,5.9513,5.8191,5.9513,930351.0,0.5387
2023-12-27,6.0395,6.0395,5.6868,5.6868,1065243.0,0.5387
2023-12-28,5.6868,5.9073,5.5105,5.6427,503422.0,0.5387
2023-12-31,5.8191,5.9073,5.3782,5.8191,1005279.0,0.5387
2024-01-01,5.9073,5.9954,5.775,5.9513,662636.0,0.5387
2024-01-02,6.0836,6.0836,5.6868,5.8191,1370281.0,0.5387
2024-01-03,6.0395,6.0395,5.8191,5.9513,1000686.0,0.5387
2024-01-04,6.0395,6.2158,5.9513,6.1277,1423053.0,0.5387
2024-01-07,6.2599,6.3922,6.1277,6.2158,1390786.0,0.5387
2024-01-08,6.3481,6.3922,5.9954,6.0395,1249093.0,0.5387
2024-01-09,6.2158,6.2158,5.7309,6.0836,967123.0,0.5387
2024-01-10,6.2158,6.2158,6.0836,6.1718,957814.0,0.5387
2024-01-11,6.2599,6.2599,6.0395,6.1718,804099.0,0.5387
2024-01-14,6.1718,6.1718,6.1718,6.1718,0.0,0.5387
2024-01-15,6.1718,6.1718,6.0395,6.0395,986297.0,0.5387
2024-01-16,6.1718,6.1718,5.9073,5.9954,620971.0,0.5387
2024-01-17,6.0395,6.0395,5.7309,5.9073,499648.0,0.5387
2024-01-18,5.9954,6.0395,5.775,5.9513,458834.0,0.5387
2024-01-22,5.9513,6.0395,5.6868,5.6868,919314.0,0.5387
2024-01-23,5.7309,5.9073,5.6427,5.7309,402380.0,0.5387
2024-01-24,5.775,5.8632,5.6868,5.775,417798.0,0.5387
2024-01-28,5.9073,5.9073,5.6427,5.9073,691824.0,0.5387
2024-01-29,5.9513,5.9954,5.775,5.8632,641378.0,0.5387
2024-01-30,5.9513,5.9513,5.775,5.8191,528664.0,0.5387
2024-01-31,5.9073,5.9073,5.6868,5.9073,676240.0,0.5387
2024-02-01,5.9513,5.9513,5.8191,5.8632,613217.0,0.5387
2024-02-04,5.9073,5.9073,5.7309,5.775,723842.0,0.5387
2024-02-05,5.6427,5.9073,5.6427,5.8191,597517.0,0.5387
2024-02-06,5.8632,6.0836,5.8191,6.0836,1244937.0,0.5387
2024-02-07,6.304,6.3481,6.1277,6.2599,1859823.0,0.5387
2024-02-08,6.3922,6.3922,5.9513,6.0836,881568.0,0.5387
2024-02-11,6.2599,6.2599,5.8191,5.9513,631364.0,0.5387
2024-02-12,6.0395,6.1277,5.7309,5.9954,536407.0,0.5387
2024-02-13,6.0836,6.0836,5.7309,5.9073,559515.0,0.5387
2024-02-14,5.9073,6.1277,5.9073,5.9954,436632.0,0.5387
2024-02-15,6.0836,6.1277,5.9513,6.0836,475214.0,0.5387
2024-02-18,6.1718,6.3481,6.0395,6.0836,942529.0,0.5387
2024-02-19,6.1718,6.2599,6.0395,6.1277,569009.0,0.5387
2024-02-20,6.2158,6.2599,5.9513,5.9954,357597.0,0.5387
2024-02-21,6.0836,6.0836,5.7309,5.8632,590042.0,0.5387
2024-02-22,5.9073,6.0395,5.6868,5.8632,753481.0,0.5387
2024-02-25,5.9513,5.9513,5.7309,5.8632,385481.0,0.5387
2024-02-26,5.8632,5.9073,5.6427,5.7309,416133.0,0.5387
2024-02-27,5.775,5.8191,5.4664,5.4664,602901.0,0.5387
2024-02-28,5.4664,5.5546,5.2019,5.3342,296268.0,0.5387
2024-02-29,5.3342,5.5105,5.2019,5.4223,406499.0,0.5387
2024-03-03,5.4223,5.5546,5.2901,5.4223,230410.0,0.5387
2024-03-04,5.3342,5.4664,5.3342,5.3342,169414.0,0.5387
2024-03-05,5.3782,5.4223,5.0697,5.2019,448904.0,0.5387
2024-03-06,5.2019,5.2901,4.9374,5.2019,272039.0,0.5387
2024-03-10,5.2019,5.2019,4.9374,5.0256,371707.0,0.5387
2024-03-11,5.0256,5.1578,4.8052,4.8492,406289.0,0.5387
2024-03-12,4.8492,4.9374,4.6288,4.6288,268707.0,0.5387
2024-03-13,4.4084,4.8052,4.4084,4.717,452547.0,0.5387
2024-03-14,4.6729,4.8492,4.5847,4.7611,221272.0,0.5387
2024-03-17,4.7611,4.7611,4.5406,4.6288,225302.0,0.5387
2024-03-18,4.6288,4.717,4.4084,4.5406,279030.0,0.5387
2024-03-19,4.5406,4.5406,4.3202,4.4084,331947.0,0.5387
2024-03-20,4.4525,4.6288,4.4084,4.6288,250508.0,0.5387
2024-03-21,4.8492,4.8492,4.4084,4.8492,351988.0,0.5387
2024-03-25,5.2019,5.3342,5.0697,5.3342,571121.0,0.8014
2024-03-26,5.5105,5.7309,5.3782,5.5105,1853767.0,0.5420
2024-03-27,5.5105,5.5546,5.0697,5.2019,835742.0,0.5983
2024-03-31,5.5105,5.5546,5.3342,5.4223,405856.0,0.6157
2024-04-01,5.4223,5.5546,5.1137,5.4223,471565.0,0.5541
2024-04-02,5.4223,5.5546,5.246,5.4664,688303.0,0.4689
2024-04-03,5.5105,5.5105,5.2901,5.3342,491906.0,0.6403
2024-04-04,5.2901,5.4223,5.246,5.3342,405735.0,0.6053
2024-04-07,5.3782,5.3782,5.2901,5.3342,457977.0,0.6350
2024-04-08,5.3342,5.3782,5.2019,5.3342,459697.0,0.5105
2024-04-09,5.3782,5.3782,5.2901,5.3342,337301.0,0.6005
2024-04-11,5.3342,5.3342,4.8492,5.246,694320.0,0.6367
2024-04-14,4.8933,5.3782,4.8933,5.2019,772850.0,0.6199
2024-04-15,5.2019,5.6427,5.1578,5.2901,1036444.0,0.3840
2024-04-17,5.3342,5.4223,5.2901,5.3342,541233.0,0.6543
2024-04-18,5.2901,5.3342,5.246,5.2901,324123.0,0.5311
2024-04-21,5.3342,5.5987,5.2901,5.5105,1765548.0,0.5060
2024-04-22,5.5546,5.7309,5.4664,5.5987,1067165.0,0.7199
2024-04-23,5.6868,5.8632,5.4664,5.5987,985649.0,0.6701
2024-04-24,5.6868,5.8191,5.5987,5.6868,1088899.0,0.5456
2024-04-25,5.8191,5.9513,5.6868,5.775,1104200.0,0.6519
2024-04-28,5.9073,5.9513,5.775,5.8191,960834.0,0.7266
2024-04-29,5.9073,5.9073,5.5546,5.775,1953381.0,0.5773
2024-05-01,5.9073,5.9513,5.4223,5.5987,1422740.0,0.5177
2024-05-02,5.6427,5.775,5.5987,5.7309,1151600.0,0.5331
2024-05-05,5.9073,6.0836,5.5546,5.775,2351852.0,0.5610
2024-05-06,6.3,6.3,5.95,6.3,4229893.0,0.3036
2024-05-07,6.75,6.9,6.6,6.9,5381949.0,0.4195
2024-05-08,6.75,6.9,6.45,6.55,4380338.0,0.3428
2024-05-09,6.75,6.75,6.55,6.65,1101043.0,0.5537
2024-05-12,6.75,6.8,6.45,6.55,919737.0,0.5104
2024-05-13,6.7,6.7,6.4,6.45,1119167.0,0.4545
2024-05-14,6.55,6.6,6.4,6.45,839985.0,0.4743
2024-05-15,6.55,6.6,6.4,6.45,1379636.0,0.4281
2024-05-16,6.55,6.75,6.4,6.45,1733144.0,0.3696
2024-05-20,6.65,6.65,6.5,6.5,2282048.0,0.6386
