Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,26.0,27.65,25.75,27.3,120570.0,0.7412
2023-06-06,27.3,29.9,27.15,28.05,176990.0,0.5779
2023-06-07,28.1,28.9,23.55,28.3,180467.0,0.3492
2023-06-08,28.8,30.2,26.7,28.05,128223.0,0.3798
2023-06-11,28.9,28.95,28.0,28.15,39275.0,0.6776
2023-06-12,28.95,29.15,27.85,28.65,96293.0,0.5376
2023-06-13,28.75,29.65,28.1,29.15,163266.0,0.6549
2023-06-14,29.75,34.95,29.15,33.35,635197.0,0.6541
2023-06-15,34.0,40.0,34.0,40.0,2820025.0,0.2708
2023-06-18,38.0,41.95,36.3,39.85,1268539.0,0.2891
2023-06-19,39.05,40.0,37.85,38.5,231682.0,0.2891
2023-06-20,39.5,39.5,36.65,38.35,129121.0,0.2891
2023-06-21,38.35,38.35,36.55,38.05,101622.0,0.2891
2023-06-22,37.05,37.95,36.25,36.5,45214.0,0.2891
2023-06-25,36.0,38.25,35.5,37.0,49944.0,0.2891
2023-06-26,36.05,38.85,36.05,38.1,74331.0,0.2891
2023-06-27,37.05,38.6,37.05,37.9,30582.0,0.2891
2023-06-29,37.05,39.0,37.05,37.7,33647.0,0.2891
2023-07-02,37.05,38.85,37.05,37.55,43106.0,0.2891
2023-07-03,38.95,38.95,37.2,37.35,35521.0,0.2891
2023-07-04,36.25,38.9,36.25,38.6,99719.0,0.2891
2023-07-05,38.9,40.5,36.85,39.5,247295.0,0.2891
2023-07-06,39.5,41.0,37.6,40.25,114969.0,0.2891
2023-07-09,41.3,41.3,38.75,39.55,73669.0,0.2891
2023-07-10,40.9,41.15,39.5,40.45,118486.0,0.2891
2023-07-11,40.65,41.5,39.0,40.35,16943.0,0.2891
2023-07-12,39.35,41.0,38.55,39.8,62243.0,0.2891
2023-07-13,39.95,40.95,38.65,40.0,157800.0,0.2891
2023-07-16,40.0,41.0,38.45,40.75,124695.0,0.2891
2023-07-17,39.5,40.7,38.75,39.45,25323.0,0.2891
2023-07-18,38.05,39.45,37.5,37.7,44263.0,0.2891
2023-07-19,37.0,37.85,36.2,36.65,32326.0,0.2891
2023-07-20,36.0,38.1,36.0,36.9,29705.0,0.2891
2023-07-23,36.5,36.9,35.85,35.9,12281.0,0.2891
2023-07-24,35.85,37.25,35.05,36.15,10838.0,0.2891
2023-07-25,36.9,37.15,35.3,35.7,7819.0,0.2891
2023-07-26,37.35,37.35,35.2,36.1,8496.0,0.2891
2023-07-27,36.85,36.85,35.4,35.75,5307.0,0.2891
2023-07-30,36.95,36.95,34.5,35.05,26150.0,0.2891
2023-07-31,34.05,34.85,33.6,34.35,36028.0,0.2891
2023-08-01,34.35,35.65,34.35,34.7,5817.0,0.2891
