Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,45.7,45.7,42.7,43.5,7954.0,0.6658
2023-06-06,44.85,52.2,43.05,46.45,131701.0,0.3919
2023-06-07,49.0,55.7,46.45,52.75,480852.0,0.2125
2023-06-08,51.25,52.25,46.5,48.5,81280.0,0.5493
2023-06-11,48.5,48.5,46.0,46.4,25291.0,0.5422
2023-06-12,47.5,50.35,47.45,49.1,27844.0,0.5390
2023-06-13,51.0,51.1,48.0,48.95,9097.0,0.6755
2023-06-14,49.75,49.8,48.2,48.9,3438.0,0.7088
2023-06-15,48.2,49.6,46.5,47.3,15812.0,0.8394
2023-06-18,47.3,48.2,46.55,47.0,2206.0,0.7339
2023-06-19,47.5,49.7,47.5,49.2,16295.0,0.7754
2023-06-20,49.25,49.45,48.1,48.65,3017.0,0.7846
2023-06-21,48.0,49.45,48.0,48.65,6866.0,0.5156
2023-06-22,49.3,49.3,47.0,47.2,6430.0,0.7142
2023-06-25,48.7,48.7,46.45,46.5,11950.0,0.8837
2023-06-26,46.5,47.6,44.45,45.7,20606.0,0.3941
2023-06-27,47.6,48.05,45.65,46.15,4129.0,0.8167
2023-06-29,46.25,46.65,44.2,45.0,18806.0,0.3355
2023-07-02,45.95,47.05,45.0,45.9,15230.0,0.3653
2023-07-03,45.3,54.85,45.05,52.05,87993.0,0.4946
2023-07-04,52.2,55.0,49.0,53.25,70898.0,0.4482
2023-07-05,55.7,58.4,52.95,57.15,82981.0,0.4201
2023-07-06,58.8,65.0,55.95,63.35,148429.0,0.3552
2023-07-09,66.95,69.65,65.0,65.7,329888.0,0.3116
2023-07-10,64.5,66.2,59.15,59.3,50344.0,0.5448
2023-07-11,63.1,63.1,57.8,58.25,35624.0,0.5538
2023-07-12,59.35,59.35,55.6,56.3,10664.0,0.5538
2023-07-13,56.25,58.9,54.15,58.65,35351.0,0.5538
2023-07-16,58.5,58.5,55.75,56.6,5401.0,0.5538
2023-07-17,56.6,57.5,55.0,55.45,5967.0,0.5538
2023-07-18,55.1,55.45,53.2,54.7,4804.0,0.5538
2023-07-19,54.5,57.4,52.75,57.35,15339.0,0.5538
2023-07-20,58.5,58.5,56.1,56.1,3328.0,0.5538
2023-07-23,55.05,57.0,53.3,53.45,6147.0,0.5538
2023-07-24,52.1,55.0,51.0,52.35,1852.0,0.5538
2023-07-25,52.35,54.95,52.35,54.95,1804.0,0.5538
2023-07-26,56.75,57.6,52.2,55.4,4059.0,0.5538
2023-07-27,53.5,55.0,52.7,54.95,5931.0,0.5538
2023-07-30,54.7,54.7,52.2,52.65,9116.0,0.5538
2023-07-31,52.65,53.0,50.5,52.1,3538.0,0.5538
2023-08-01,51.1,52.1,49.6,49.85,10344.0,0.5538
2023-08-02,50.0,52.0,49.9,52.0,5605.0,0.5538
2023-08-03,52.0,53.8,50.25,52.65,2274.0,0.5538
2023-08-06,50.15,52.65,50.15,50.6,4999.0,0.5538
2023-08-07,50.65,52.05,50.6,50.75,2485.0,0.5538
2023-08-08,50.75,51.95,50.75,51.35,2364.0,0.5538
2023-08-09,51.6,52.1,51.0,51.3,1916.0,0.5538
2023-08-10,49.45,51.7,49.4,49.65,2011.0,0.5538
2023-08-13,49.65,51.0,47.2,50.0,2991.0,0.5538
2023-08-15,50.5,52.0,49.5,49.8,3964.0,0.5538
2023-08-16,50.0,52.0,50.0,51.45,7116.0,0.5538
2023-08-17,50.45,51.45,50.05,50.95,1713.0,0.5538
2023-08-20,49.15,49.5,49.15,49.45,1589.0,0.5538
2023-08-21,49.35,50.95,48.05,50.05,3458.0,0.5538
2023-08-22,50.1,51.9,49.5,51.8,1082.0,0.5538
2023-08-23,51.8,52.5,50.45,51.9,5209.0,0.5538
2023-08-24,51.5,51.5,50.05,51.05,451.0,0.5538
2023-08-27,51.0,51.8,50.1,50.1,5322.0,0.5538
2023-08-28,50.1,51.9,50.1,50.8,3334.0,0.5538
2023-08-29,53.1,53.1,50.6,50.95,3224.0,0.5538
2023-08-30,52.0,52.0,49.8,50.1,4609.0,0.5538
2023-08-31,50.15,51.0,49.85,50.05,2528.0,0.5538
2023-09-03,51.0,51.8,50.15,51.6,4886.0,0.5538
2023-09-04,52.0,53.8,51.5,52.05,7085.0,0.5538
2023-09-05,53.1,53.1,51.1,52.9,4380.0,0.5538
2023-09-06,51.85,53.0,51.85,52.95,3562.0,0.5538
2023-09-07,53.9,53.9,51.0,53.85,4089.0,0.5538
2023-09-10,54.7,54.7,51.25,53.85,1570.0,0.5538
2023-09-11,51.15,53.5,51.15,52.05,1243.0,0.5538
2023-09-12,53.4,53.4,49.65,50.4,762.0,0.5538
2023-09-13,50.3,52.9,49.85,49.9,4375.0,0.5538
2023-09-14,50.0,52.35,50.0,52.3,3481.0,0.5538
2023-09-17,54.85,54.85,50.0,50.15,5593.0,0.5538
2023-09-19,48.9,52.6,48.9,52.3,1818.0,0.5538
2023-09-20,51.25,52.3,51.25,52.25,1564.0,0.5538
2023-09-21,52.3,52.3,51.0,51.4,3430.0,0.5538
2023-09-24,52.0,52.0,51.0,51.0,686.0,0.5538
2023-09-25,50.0,52.0,49.6,50.5,4099.0,0.5538
2023-09-26,50.5,52.25,50.5,52.0,1577.0,0.5538
2023-09-27,53.95,53.95,50.0,51.9,1706.0,0.5538
2023-09-28,51.9,51.9,50.0,51.6,890.0,0.5538
2023-10-02,50.0,51.6,50.0,51.0,1117.0,0.5538
2023-10-03,50.95,50.95,50.0,50.05,298.0,0.5538
2023-10-04,50.05,51.5,50.0,50.0,1644.0,0.5538
2023-10-05,52.0,52.0,50.0,50.9,1997.0,0.5538
2023-10-08,50.9,50.9,49.0,49.0,1880.0,0.5538
2023-10-09,49.1,51.3,49.05,50.0,3054.0,0.5538
2023-10-10,51.0,51.0,50.0,50.0,593.0,0.5538
2023-10-11,52.3,52.3,50.05,50.05,409.0,0.5538
2023-10-12,50.05,50.5,50.05,50.05,450.0,0.5538
2023-10-15,49.1,52.5,49.1,51.75,1899.0,0.5538
2023-10-16,54.3,54.3,50.45,52.2,1250.0,0.5538
2023-10-17,52.15,53.7,50.5,52.5,4092.0,0.5538
2023-10-18,52.5,53.0,50.5,51.0,993.0,0.5538
2023-10-19,52.0,52.95,50.65,50.65,3645.0,0.5538
2023-10-22,53.0,53.0,48.15,50.9,1590.0,0.7283
2023-10-24,51.8,51.8,48.4,49.95,3163.0,0.8018
2023-10-25,47.6,51.2,47.5,49.7,1651.0,0.6578
2023-10-26,49.2,52.15,47.4,51.8,7660.0,0.7168
2023-10-29,51.8,51.95,49.25,49.25,3858.0,0.6236
2023-10-30,49.3,50.0,47.0,48.1,5412.0,0.5863
2023-10-31,48.7,48.75,48.15,48.75,1502.0,0.8875
2023-11-01,48.9,50.0,48.0,48.7,1790.0,0.5318
2023-11-02,48.7,48.9,47.15,48.55,392.0,0.6301
2023-11-05,49.45,49.5,47.0,47.5,2380.0,0.5328
2023-11-06,49.15,49.15,47.05,47.5,2566.0,0.8500
2023-11-07,49.7,49.85,47.6,47.85,6024.0,0.6477
2023-11-08,49.55,49.55,46.45,48.0,2928.0,0.3948
2023-11-09,48.95,49.5,47.25,49.25,1277.0,0.6727
2023-11-12,51.0,51.0,48.0,49.7,3069.0,0.5178
2023-11-14,49.75,49.75,48.15,48.95,2293.0,0.7833
2023-11-15,49.65,49.65,48.0,48.85,2664.0,0.1505
2023-11-16,49.15,49.15,48.0,48.1,1629.0,0.8392
2023-11-19,50.0,50.0,48.2,48.7,2089.0,0.7276
2023-11-20,49.05,49.8,46.95,47.95,6264.0,0.3597
2023-11-21,48.2,49.4,47.9,48.1,9779.0,0.1452
2023-11-22,48.05,49.45,45.7,46.1,29910.0,0.2823
2023-11-23,47.95,48.4,46.25,48.4,5520.0,0.7953
2023-11-27,48.5,50.8,48.5,50.25,10511.0,0.8404
2023-11-28,52.7,52.7,49.1,50.5,10655.0,0.4230
2023-11-29,52.75,52.75,50.25,51.25,22588.0,0.2177
2023-11-30,51.5,52.25,50.5,51.8,13710.0,0.2970
2023-12-03,50.8,51.8,50.8,51.15,3483.0,0.7419
2023-12-04,50.65,51.8,50.6,50.75,2211.0,0.8209
2023-12-05,50.75,50.75,49.45,49.95,4977.0,0.8690
2023-12-06,51.45,51.45,47.5,49.3,4012.0,0.7236
2023-12-07,49.3,49.9,48.5,49.15,2756.0,0.6332
2023-12-10,50.9,50.9,49.5,49.8,1349.0,0.3981
2023-12-11,50.9,50.95,48.0,48.9,6907.0,0.6799
2023-12-12,50.45,50.45,49.3,49.55,1467.0,0.8050
2023-12-13,48.1,50.3,48.1,50.0,3101.0,0.7165
2023-12-14,50.2,55.0,50.15,55.0,54915.0,0.6211
2023-12-17,56.95,60.5,56.85,60.5,57354.0,0.7472
2023-12-18,66.0,66.55,63.6,66.55,60964.0,0.5802
2023-12-19,69.25,69.85,63.25,63.25,92001.0,0.5831
2023-12-20,60.7,66.2,60.1,64.75,31015.0,0.6974
2023-12-21,64.75,66.85,61.6,62.4,31738.0,0.5223
2023-12-25,60.1,63.2,60.05,61.2,15094.0,0.4287
2023-12-26,61.2,62.95,60.0,60.15,6618.0,0.6466
2023-12-27,60.15,60.15,57.15,57.2,20651.0,0.7103
2023-12-28,54.35,57.1,54.35,56.35,10136.0,0.5486
2023-12-31,53.55,58.75,53.55,58.5,10306.0,0.4480
2024-01-01,61.3,61.3,58.55,58.85,7339.0,0.5516
2024-01-02,58.85,58.95,56.65,57.6,9621.0,0.5734
2024-01-03,57.6,60.45,57.6,60.45,23415.0,0.9097
2024-01-04,63.45,63.45,63.45,63.45,8398.0,1.0000
2024-01-07,66.6,66.6,66.6,66.6,54237.0,0.7695
2024-01-08,69.9,69.9,69.9,69.9,61239.0,0.9928
2024-01-09,73.35,73.35,70.05,73.3,90343.0,0.7888
2024-01-10,76.65,76.95,74.05,76.95,23468.0,0.8493
2024-01-11,80.75,80.75,80.75,80.75,11275.0,0.9995
2024-01-14,80.75,80.75,80.75,80.75,0.0,0.7676
