Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-19,6.95,6.95,6.7,6.795,257760.0,0.7761
2023-06-20,6.875,7.48,6.795,7.335,1554380.0,0.5084
2023-06-21,7.335,7.68,7.205,7.45,1196430.0,0.6327
2023-06-22,7.5,7.5,7.11,7.31,493810.0,0.5877
2023-06-25,7.485,7.585,7.355,7.49,481140.0,0.6357
2023-06-26,7.67,7.77,7.41,7.495,649920.0,0.7357
2023-06-27,7.57,7.68,7.505,7.595,329610.0,0.4571
2023-06-29,7.695,8.25,7.695,7.99,1410840.0,0.6179
2023-07-02,8.07,8.38,7.95,8.285,871650.0,0.6676
2023-07-03,8.34,8.76,8.205,8.525,987170.0,0.5861
2023-07-04,8.665,8.69,7.805,8.065,1124460.0,0.5612
2023-07-05,8.22,8.355,8.08,8.135,329490.0,0.5459
2023-07-06,8.19,8.35,8.05,8.155,218270.0,0.6429
2023-07-09,8.29,8.29,7.9,7.945,430770.0,0.7227
2023-07-10,7.945,8.12,7.915,7.945,299410.0,0.6280
2023-07-11,8.09,8.125,7.9,7.925,249660.0,0.7271
2023-07-12,7.87,8.26,7.87,7.91,350170.0,0.7790
2023-07-13,8.04,8.04,7.56,7.71,415770.0,0.5387
2023-07-16,7.675,7.95,7.675,7.77,232000.0,0.5669
2023-07-17,7.785,7.9,7.7,7.815,508630.0,0.4374
2023-07-18,7.88,8.235,7.715,7.965,723030.0,0.5269
2023-07-19,7.995,8.14,7.98,8.065,285700.0,0.6710
2023-07-20,8.13,8.17,7.81,7.9,257370.0,0.6043
2023-07-23,8.37,8.37,7.95,8.135,271160.0,0.6294
2023-07-24,8.255,8.5,7.9,8.34,622880.0,0.6859
2023-07-25,8.535,8.535,8.185,8.445,249100.0,0.5849
2023-07-26,8.53,8.7,8.335,8.48,341640.0,0.5925
2023-07-27,8.5,8.65,8.4,8.53,382000.0,0.4196
2023-07-30,8.84,8.875,8.7,8.78,626160.0,0.7875
2023-07-31,8.985,10.37,8.9,9.835,4604730.0,0.3955
2023-08-01,9.9,9.93,8.735,9.05,2820840.0,0.4469
2023-08-02,9.15,9.47,8.95,9.265,960670.0,0.4856
2023-08-03,9.2,9.29,8.805,8.81,254870.0,0.4856
2023-08-06,9.19,9.19,8.405,8.625,225710.0,0.4856
2023-08-07,8.685,8.9,8.5,8.81,324740.0,0.4856
2023-08-08,9.05,9.2,8.84,9.075,204490.0,0.4856
2023-08-09,9.475,9.475,9.0,9.06,294960.0,0.4856
2023-08-10,9.2,9.345,8.9,8.975,122660.0,0.4856
2023-08-13,8.9,9.3,8.53,8.53,231490.0,0.4856
2023-08-15,8.34,8.42,8.105,8.35,436960.0,0.4856
2023-08-16,8.35,8.47,8.2,8.26,121800.0,0.4856
2023-08-17,8.26,8.35,7.85,8.015,251810.0,0.4856
2023-08-20,7.69,8.19,7.69,7.885,268890.0,0.4856
2023-08-21,8.05,8.05,7.555,7.675,156730.0,0.4856
2023-08-22,7.6,8.04,7.55,7.9,149280.0,0.4856
2023-08-23,7.9,8.09,7.8,7.945,144020.0,0.4856
2023-08-24,7.945,8.135,7.565,7.675,174900.0,0.4856
2023-08-27,7.7,7.855,7.61,7.82,133520.0,0.4856
2023-08-28,7.99,8.19,7.805,7.835,92130.0,0.4856
2023-08-29,7.845,8.06,7.845,7.94,90370.0,0.4856
2023-08-30,8.1,8.1,7.82,7.905,100960.0,0.4856
2023-08-31,7.8,8.28,7.8,7.935,136970.0,0.4856
2023-09-03,8.135,8.19,7.92,7.96,166420.0,0.4856
2023-09-04,7.965,8.125,7.905,7.92,77950.0,0.4856
2023-09-05,8.07,8.085,7.8,7.835,114370.0,0.4856
2023-09-06,8.085,8.085,7.56,7.765,185850.0,0.4856
2023-09-07,7.83,7.875,7.6,7.64,179730.0,0.4856
2023-09-10,7.8,7.8,7.6,7.635,166330.0,0.4856
2023-09-11,7.78,7.78,7.255,7.425,250030.0,0.4856
2023-09-12,7.55,7.58,7.2,7.315,235560.0,0.4856
2023-09-13,7.41,7.49,7.33,7.425,61790.0,0.4856
2023-09-14,7.425,7.455,7.32,7.45,162760.0,0.4856
2023-09-17,7.445,7.745,7.445,7.7,126730.0,0.4856
2023-09-19,7.74,7.74,7.52,7.59,106060.0,0.4856
2023-09-20,7.515,7.8,7.5,7.745,41890.0,0.4856
2023-09-21,7.98,7.98,7.6,7.64,138710.0,0.4856
2023-09-24,7.68,7.8,7.545,7.775,63200.0,0.4856
2023-09-25,7.775,7.775,7.58,7.685,56290.0,0.4856
2023-09-26,7.685,7.73,7.3,7.305,272580.0,0.4856
2023-09-27,7.325,7.465,6.94,6.99,584850.0,0.4856
2023-09-28,7.015,7.28,6.99,7.1,254520.0,0.4856
2023-10-02,7.125,7.18,7.0,7.155,63670.0,0.4856
2023-10-03,7.18,7.18,6.945,7.07,91670.0,0.4856
2023-10-04,7.07,7.295,7.07,7.16,80990.0,0.4856
2023-10-05,7.13,7.2,7.015,7.19,106620.0,0.4856
2023-10-08,7.135,7.185,6.95,6.99,172270.0,0.4856
2023-10-09,7.01,7.18,7.005,7.115,72140.0,0.4856
2023-10-10,7.15,7.35,7.15,7.205,81810.0,0.4856
2023-10-11,7.49,7.49,7.115,7.25,40740.0,0.4856
2023-10-12,7.28,7.48,7.03,7.2,73520.0,0.4856
2023-10-15,7.495,7.495,7.025,7.065,110250.0,0.4856
2023-10-16,7.105,7.275,7.035,7.13,97700.0,0.4856
2023-10-17,7.135,7.235,7.04,7.05,137160.0,0.4856
2023-10-18,7.05,7.275,6.94,7.135,59300.0,0.4856
2023-10-19,7.17,7.3,7.08,7.155,101010.0,0.4856
2023-10-22,7.155,7.2,6.825,7.015,84820.0,0.4856
2023-10-24,7.09,7.18,6.7,6.79,64290.0,0.4856
2023-10-25,6.79,6.79,6.45,6.7,147410.0,0.4856
2023-10-26,6.7,7.0,6.67,6.85,175420.0,0.4856
2023-10-29,6.85,6.965,6.725,6.93,124140.0,0.4856
2023-10-30,6.93,7.08,6.825,7.0,52240.0,0.4856
2023-10-31,6.905,7.1,6.905,7.085,150700.0,0.4856
2023-11-01,7.09,7.12,7.05,7.08,65320.0,0.4856
2023-11-02,7.1,7.43,7.1,7.425,225780.0,0.4856
2023-11-05,8.005,8.22,7.725,7.925,981830.0,0.7905
2023-11-06,7.905,8.99,7.855,8.665,1335560.0,0.6574
2023-11-07,9.2,9.795,7.755,8.335,8261020.0,0.2516
2023-11-08,8.49,8.7,8.115,8.195,757630.0,0.4040
2023-11-09,8.38,8.415,7.5,7.745,633180.0,0.5750
2023-11-12,7.77,8.285,7.725,7.98,790920.0,0.4917
2023-11-14,8.1,8.205,7.965,8.02,560140.0,0.2670
2023-11-15,8.185,8.185,7.935,8.085,256310.0,0.5509
2023-11-16,8.13,8.37,8.055,8.11,426580.0,0.3268
2023-11-19,8.275,8.275,7.95,7.97,156820.0,0.7686
2023-11-20,7.97,8.12,7.805,7.985,478500.0,0.3340
2023-11-21,7.81,8.05,7.8,7.835,142790.0,0.5735
2023-11-22,7.97,8.005,7.81,7.86,91160.0,0.6978
2023-11-23,8.02,8.02,7.51,7.635,451810.0,0.5169
2023-11-27,7.79,7.82,7.67,7.76,154130.0,0.4991
2023-11-28,7.76,7.88,7.7,7.715,191580.0,0.5766
2023-11-29,7.765,7.795,7.6,7.61,155880.0,0.8159
2023-11-30,7.61,8.2,7.61,7.95,396790.0,0.5374
2023-12-03,8.13,8.205,7.9,7.955,402690.0,0.7270
2023-12-04,8.17,8.345,7.955,8.145,660670.0,0.8061
2023-12-05,8.25,8.275,7.925,7.96,428740.0,0.8074
2023-12-06,8.17,8.48,7.965,8.2,552770.0,0.6401
2023-12-07,8.325,8.46,8.0,8.055,248770.0,0.6469
2023-12-10,8.235,8.235,7.965,8.005,198760.0,0.8403
2023-12-11,7.915,8.25,7.915,8.01,300780.0,0.6427
2023-12-12,8.19,8.195,7.995,8.13,196820.0,0.6224
2023-12-13,8.24,8.24,7.965,8.005,220110.0,0.6088
2023-12-14,8.145,8.145,7.91,7.96,241300.0,0.7305
2023-12-17,8.1,8.37,7.95,8.23,746880.0,0.5704
2023-12-18,8.25,8.25,8.015,8.08,169910.0,0.7903
2023-12-19,8.2,8.49,7.8,7.85,1132930.0,0.5243
2023-12-20,7.71,8.07,7.71,7.975,172280.0,0.6610
2023-12-21,8.13,8.14,7.82,7.9,318700.0,0.7286
2023-12-25,7.91,8.2,7.91,8.08,420730.0,0.7205
2023-12-26,8.215,8.215,7.915,8.055,259230.0,0.7247
2023-12-27,8.1,8.2,7.92,8.08,511050.0,0.6387
2023-12-28,8.27,8.27,8.05,8.13,659380.0,0.6542
2023-12-31,8.25,8.425,8.135,8.215,1148490.0,0.5075
2024-01-01,8.34,8.34,8.015,8.145,571450.0,0.5860
2024-01-02,8.275,8.38,8.1,8.26,304540.0,0.6522
2024-01-03,8.36,8.85,8.26,8.69,2046020.0,0.5598
2024-01-04,8.77,9.3,8.475,9.24,2000010.0,0.6824
2024-01-07,9.8,9.83,9.255,9.48,2655330.0,0.5533
2024-01-08,9.565,10.25,9.32,9.435,1898990.0,0.4121
2024-01-09,9.55,9.65,9.3,9.38,574530.0,0.5490
2024-01-10,9.49,9.57,9.21,9.245,336690.0,0.5735
2024-01-11,9.35,9.35,8.935,8.995,621390.0,0.6928
2024-01-14,8.995,8.995,8.995,8.995,0.0,0.4511
2024-01-15,9.66,10.055,9.04,9.265,1676390.0,0.3743
2024-01-16,9.265,9.73,9.12,9.34,366690.0,0.5069
2024-01-17,9.4,9.6,8.965,9.28,209440.0,0.4381
2024-01-18,9.69,9.99,9.5,9.665,1280100.0,0.4736
2024-01-22,11.225,11.32,10.005,10.11,2844120.0,0.5034
2024-01-23,10.11,11.98,10.01,11.56,11259050.0,0.2348
2024-01-24,11.7,13.105,11.5,12.425,17880470.0,0.2862
2024-01-28,12.425,12.81,11.86,12.115,2267980.0,0.5555
2024-01-29,12.15,12.28,11.33,11.44,1252230.0,0.5984
2024-01-30,11.65,12.4,11.545,11.82,1383190.0,0.6352
2024-01-31,11.98,12.09,11.72,11.79,513060.0,0.5885
2024-02-01,11.67,12.07,11.57,11.66,713410.0,0.6370
2024-02-04,11.735,12.095,11.46,11.57,659240.0,0.6437
2024-02-05,11.705,11.895,11.4,11.49,502270.0,0.5258
2024-02-06,11.65,12.18,11.43,12.015,1115680.0,0.4678
2024-02-07,12.09,12.09,11.555,11.63,397520.0,0.5390
2024-02-08,11.62,11.62,10.825,11.065,770910.0,0.5941
2024-02-11,11.08,11.36,10.325,10.52,665010.0,0.5028
2024-02-12,10.48,10.79,10.25,10.715,400180.0,0.4977
2024-02-13,10.6,10.9,10.4,10.79,249270.0,0.6026
2024-02-14,10.91,11.6,10.8,10.91,329220.0,0.5340
2024-02-15,11.0,12.1,10.995,11.57,2448830.0,0.4292
2024-02-18,11.68,11.74,11.435,11.51,323530.0,0.4950
2024-02-19,11.505,11.69,11.315,11.325,313210.0,0.4725
2024-02-20,11.325,11.48,10.9,10.98,213680.0,0.6294
2024-02-21,11.495,11.675,10.855,11.385,1364010.0,0.3316
2024-02-22,11.47,11.61,11.035,11.125,271930.0,0.5854
2024-02-25,11.125,11.4,10.96,11.105,182920.0,0.5148
2024-02-26,11.105,11.2,10.71,10.78,569690.0,0.7248
2024-02-27,10.94,11.4,10.355,10.515,559710.0,0.4604
2024-02-28,10.28,10.6,10.055,10.34,366070.0,0.5492
2024-02-29,10.545,10.745,10.355,10.66,248070.0,0.5387
2024-03-03,10.655,10.855,10.01,10.125,464460.0,0.5736
2024-03-04,10.295,10.76,9.8,10.555,678190.0,0.4917
2024-03-05,10.765,11.35,10.38,10.74,984480.0,0.4743
2024-03-06,10.9,10.995,10.475,10.5,384320.0,0.5151
2024-03-10,10.5,10.9,10.46,10.65,453130.0,0.5471
2024-03-11,10.41,10.65,10.115,10.265,546190.0,0.5344
2024-03-12,10.265,10.295,8.51,8.66,1476060.0,0.5560
2024-03-13,8.9,9.39,8.675,9.23,385470.0,0.5191
2024-03-14,9.09,9.49,8.825,9.1,172170.0,0.5471
2024-03-17,8.8,9.35,8.8,9.165,196870.0,0.5612
2024-03-18,9.165,9.165,8.81,8.94,236890.0,0.6582
2024-03-19,9.075,9.42,9.005,9.275,391930.0,0.4187
2024-03-20,9.475,9.555,9.03,9.2,254590.0,0.5925
2024-03-21,9.2,9.675,9.2,9.395,394470.0,0.6371
2024-03-25,9.395,9.495,9.17,9.215,561450.0,0.5760
2024-03-26,9.39,9.5,8.625,8.89,340420.0,0.5472
2024-03-27,9.1,9.24,8.615,8.735,319880.0,0.6344
2024-03-31,9.27,9.365,8.965,9.32,194480.0,0.4893
2024-04-01,9.54,9.6,9.365,9.57,221600.0,0.6393
