Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-19,14.6617,15.1183,14.0022,14.2051,2500621.0,0.6465
2023-06-20,14.3319,14.3827,13.6978,13.8246,2153989.0,0.5751
2023-06-21,13.9007,14.1036,13.6217,13.7739,2074779.0,0.6731
2023-06-22,13.7739,13.85,13.3173,13.3934,2868891.0,0.8281
2023-06-25,13.647,13.9007,13.3934,13.4695,2772672.0,0.8018
2023-06-26,13.5709,13.5709,13.3426,13.3934,1507512.0,0.8208
2023-06-27,13.2158,13.368,13.1904,13.2158,3033991.0,0.7212
2023-06-29,13.3426,13.3426,13.1651,13.2158,2421728.0,0.6093
2023-07-02,13.3173,13.3934,13.1651,13.2158,1662701.0,0.8049
2023-07-03,13.2158,13.3426,13.1651,13.1904,1094385.0,0.6760
2023-07-04,13.3173,13.7992,13.1397,13.2158,1724915.0,0.4930
2023-07-05,13.368,13.4695,13.1651,13.1904,1212933.0,0.6194
2023-07-06,13.3426,13.3934,13.1397,13.1904,1397651.0,0.5392
2023-07-09,13.2158,13.4441,13.0636,13.2665,1534150.0,0.6891
2023-07-10,13.2919,13.6978,13.0382,13.4441,2553758.0,0.6232
2023-07-11,13.4695,13.6724,13.0129,13.2412,2693290.0,0.3645
2023-07-12,13.2412,13.3934,13.0382,13.1143,1294945.0,0.6517
2023-07-13,13.1904,13.2919,12.9114,13.0382,823943.0,0.7683
2023-07-16,13.1904,13.2158,12.9368,12.9875,669484.0,0.6858
2023-07-17,13.0129,13.1397,12.9368,13.0129,1183154.0,0.6316
2023-07-18,13.1143,13.1143,12.9368,13.0129,821785.0,0.6145
2023-07-19,13.0636,13.089,12.9368,13.0129,1226481.0,0.6824
2023-07-20,12.9875,13.1904,12.9368,13.0129,1015954.0,0.7605
2023-07-23,13.0382,13.0636,12.8861,12.9368,1333561.0,0.7339
2023-07-24,12.9621,13.5709,12.9368,13.368,3897181.0,0.5367
2023-07-25,13.6978,13.9514,13.6978,13.6978,1506489.0,0.6738
2023-07-26,13.85,14.0783,13.4441,13.7485,480910.0,0.6738
