Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-19,18.9095,19.7046,18.6675,19.2552,23700.0,0.4264
2023-06-20,19.3935,19.5318,18.3218,18.5638,59163.0,0.7369
2023-06-21,18.9095,18.9441,17.9761,18.2873,48934.0,0.7126
2023-06-22,18.5638,18.5638,18.0107,18.2181,17030.0,0.6173
2023-06-25,18.391,18.6675,18.1144,18.2873,24274.0,0.5634
2023-06-26,18.4947,18.8404,18.1144,18.7712,31193.0,0.8184
2023-06-27,18.8404,18.8404,18.4255,18.4947,9775.0,0.7840
2023-06-29,18.7021,19.3935,18.5292,19.3935,64921.0,0.8465
2023-07-02,19.9812,20.3614,19.428,19.912,102019.0,0.6056
2023-07-03,19.8083,19.8775,19.2552,19.428,42482.0,0.8569
2023-07-04,19.3589,19.8775,19.2206,19.3243,15366.0,0.7315
2023-07-05,19.4972,19.4972,19.1515,19.1515,7359.0,0.7555
2023-07-06,19.4972,19.8775,18.8749,19.6009,56317.0,0.6265
2023-07-09,19.7046,19.7046,18.9441,19.0478,34983.0,0.7652
2023-07-10,19.3243,19.3589,18.7367,18.9786,40551.0,0.7688
2023-07-11,18.9786,19.2898,18.9441,18.9786,19337.0,0.8150
2023-07-12,19.6355,19.6355,18.3218,18.5292,27992.0,0.6929
2023-07-13,18.7021,18.9441,18.1835,18.2873,25215.0,0.7806
2023-07-16,18.1144,18.6675,18.1144,18.3218,17690.0,0.5426
2023-07-17,18.4601,18.6675,17.8379,18.0453,27284.0,0.7571
2023-07-18,18.0798,18.5638,17.6304,17.9761,33146.0,0.7170
2023-07-19,18.0453,18.3218,17.9761,18.1144,18348.0,0.8409
2023-07-20,18.1144,18.3218,17.9761,18.1144,19478.0,0.6500
2023-07-23,18.0453,18.5292,17.907,18.2527,40561.0,0.5826
2023-07-24,18.1144,18.5292,18.0798,18.2181,16999.0,0.7059
2023-07-25,18.2873,18.3218,17.6304,17.907,41493.0,0.6121
2023-07-26,18.2873,18.2873,17.907,17.9761,17315.0,0.8027
2023-07-27,18.0107,18.391,17.9761,18.149,14640.0,0.7339
2023-07-30,18.2527,18.2873,17.5613,17.8724,33985.0,0.7425
2023-07-31,17.8724,18.149,17.6304,17.8033,24103.0,0.8240
2023-08-01,17.8379,17.9761,17.423,17.6304,29041.0,0.7286
2023-08-02,18.1144,18.1144,17.2847,17.6304,44197.0,0.8375
2023-08-03,17.4922,17.8033,17.4576,17.5613,10948.0,0.5845
2023-08-06,17.5267,17.9761,17.423,17.7341,16611.0,0.6993
2023-08-07,17.7687,17.9761,17.5613,17.8033,22823.0,0.7202
2023-08-08,17.8033,18.391,17.5959,18.2527,38412.0,0.6407
2023-08-09,18.3564,18.391,18.0453,18.2527,30275.0,0.8284
2023-08-10,18.2527,18.5292,18.0107,18.0798,15139.0,0.7703
2023-08-13,18.3218,18.9786,18.0453,18.4947,61182.0,0.6947
2023-08-15,19.2898,19.2898,18.3564,18.5292,42352.0,0.6802
2023-08-16,19.2206,19.2206,18.1835,18.7712,67604.0,0.5148
2023-08-17,18.8404,19.0824,18.4947,18.4947,19534.0,0.7999
2023-08-20,18.8749,19.3935,18.6329,19.3589,86595.0,0.7654
2023-08-21,20.0503,20.1886,18.8749,19.8429,94770.0,0.8065
2023-08-22,20.6034,20.6034,19.5663,20.0503,93329.0,0.4726
2023-08-23,20.154,20.6725,19.8775,20.1194,83287.0,0.4814
2023-08-24,20.3269,20.6034,19.67,19.8083,42032.0,0.4104
2023-08-27,20.0503,20.0503,18.9441,19.1169,52595.0,0.5290
2023-08-28,19.2552,19.4972,18.9441,18.9786,60054.0,0.5644
2023-08-29,19.1861,19.5318,18.7021,18.7712,41480.0,0.4418
2023-08-30,18.9095,19.5663,18.9095,19.1169,56554.0,0.4735
2023-08-31,19.3589,19.9466,19.0132,19.2552,56578.0,0.3998
2023-09-03,19.67,19.67,18.8404,19.0478,44225.0,0.7364
2023-09-04,19.3589,19.5318,18.8404,19.1861,48560.0,0.5501
2023-09-05,19.3589,20.1194,19.1861,20.1194,202464.0,0.5572
2023-09-06,20.8108,21.122,20.3269,21.122,157829.0,0.6104
2023-09-07,22.1245,22.1245,20.1886,21.3294,134550.0,0.5224
2023-09-10,21.917,22.0553,20.7417,21.5714,102648.0,0.5715
2023-09-11,21.5714,21.8133,20.4997,20.4997,99660.0,0.4679
2023-09-12,21.2948,21.2948,19.4972,19.6355,214437.0,0.7073
2023-09-13,19.3935,20.1194,19.3243,19.67,81605.0,0.4327
2023-09-14,19.8429,20.638,19.6009,20.0849,92723.0,0.3924
2023-09-17,20.0849,20.8454,20.0503,20.7763,79480.0,0.4966
2023-09-19,20.7763,21.3639,20.5343,20.638,76992.0,0.3569
2023-09-20,21.2948,21.2948,19.7392,19.9466,92120.0,0.1990
2023-09-21,20.3269,20.3269,19.4972,19.8429,96076.0,0.2380
2023-09-24,19.7392,20.8108,19.7392,20.396,35929.0,0.4648
