Date,Open,High,Low,Close,Volume,Delivery_Percentage
2026-03-26,60.2626,73.1054,59.2747,71.4062,187142.0000,0.3247
2026-03-29,77.0472,77.0472,64.5501,68.1461,145091.0000,0.6704
2026-03-31,75.0615,75.0615,66.1900,66.7927,59248.0000,0.5392
2026-04-01,66.8025,67.1088,63.2164,64.2043,32798.0000,0.4592
2026-04-05,68.9562,70.1219,65.1527,66.4173,60383.0000,0.1936
2026-04-06,65.1527,73.5500,64.7872,66.9606,43886.0000,0.1936
2026-04-07,68.1659,71.8211,67.1779,67.5534,32812.0000,0.1349
2026-04-08,69.9441,69.9441,66.9804,67.1977,14565.0000,0.6197
2026-04-09,67.1977,68.8574,65.2219,65.8344,28444.0000,0.4607
2026-04-12,65.8344,65.9431,62.2483,64.4316,28557.0000,0.5248
2026-04-14,67.1780,67.1780,65.4590,66.5654,37653.0000,0.1124
2026-04-15,68.0671,68.1659,66.1900,67.5632,23219.0000,0.6819
2026-04-16,68.1659,68.1659,66.1900,66.9013,25150.0000,0.5995
2026-04-19,66.9112,67.1780,66.0419,66.9606,12921.0000,0.2274
2026-04-20,68.0671,72.1175,67.8003,70.9518,70889.0000,0.2091
2026-04-21,72.1076,73.0955,68.3733,69.8750,19145.0000,0.2100
2026-04-22,69.8750,71.5050,68.3733,68.8475,16163.0000,0.2825
2026-04-23,67.6719,69.6477,65.4096,67.4941,12489.0000,0.4149
2026-04-26,67.4941,71.1296,67.1582,70.1713,17796.0000,0.3592
2026-04-27,71.0703,71.6235,69.1834,71.0110,54652.0000,0.2747
2026-04-28,71.1296,76.0691,71.1296,74.1822,92932.0000,0.4671
2026-04-29,78.0252,87.8253,77.5510,84.3380,535988.0000,0.1837
2026-04-30,84.3380,84.3380,84.3380,84.3380,0.0000,0.2753
2026-05-03,85.9483,90.8878,85.9483,88.4378,262862.0000,0.3198
2026-05-04,90.8681,90.8681,83.1821,84.2095,103114.0000,0.3736
2026-05-05,84.2095,85.6420,77.5510,79.6355,88794.0000,0.5711
2026-05-06,80.8012,83.5773,79.0823,82.8759,56679.0000,0.2198
2026-05-07,83.1920,85.4543,80.1196,81.1075,86081.0000,0.4085
2026-05-10,80.9791,82.1053,78.0450,79.3391,38651.0000,0.4554
2026-05-11,79.3391,85.1579,78.0450,79.5565,61712.0000,0.1279
2026-05-12,77.6597,79.3786,77.6498,78.8649,26762.0000,0.4645
2026-05-13,78.8649,81.4434,77.2645,78.9736,44455.0000,0.2023
2026-05-14,79.6454,80.0208,75.1998,76.0692,31115.0000,0.1390
2026-05-17,77.1954,78.5389,69.3514,71.7520,55731.0000,0.6693
2026-05-18,74.7849,74.7849,70.7937,71.5840,28230.0000,0.6794
2026-05-19,70.1318,70.9320,68.0473,69.6872,34478.0000,0.5850
2026-05-20,74.0834,76.9978,71.1790,74.2909,58429.0000,0.2828
2026-05-21,74.2909,76.0691,73.3030,73.9451,24075.0000,0.1586
2026-05-24,75.0812,76.0296,70.9518,72.8387,33039.0000,0.5105
2026-05-25,73.1054,80.2184,73.1054,78.6180,105078.0000,0.3641
2026-05-26,80.9988,83.1722,78.4895,81.7200,80861.0000,0.1732
2026-05-27,81.7200,81.7200,81.7200,81.7200,0.0000,0.3971
2026-05-28,82.0100,84.8000,78.5000,79.7700,49350.0000,0.1206
2026-05-31,81.9500,84.8000,79.0200,80.4100,59912.0000,0.6456
2026-06-01,81.4900,81.4900,74.5600,77.2000,39550.0000,0.2553
2026-06-02,78.4000,79.0000,77.6500,78.2100,17560.0000,0.4975
2026-06-03,79.0000,79.0000,76.6200,77.9500,29417.0000,0.2870
