Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,15.6558,15.8893,15.3180,15.8148,79280.0000,0.3247
2023-06-06,15.8943,15.8943,15.0248,15.6856,52140.0000,0.6704
2023-06-07,15.1043,15.5863,14.9006,15.0099,410130.0000,0.5392
2023-06-08,15.7005,15.7602,14.9056,15.1739,404680.0000,0.4592
2023-06-11,15.3875,15.7999,14.7317,15.3527,315720.0000,0.1936
2023-06-12,15.0546,15.3478,14.5876,14.6472,337580.0000,0.1936
2023-06-13,15.3527,15.3527,14.2994,14.3690,23990.0000,0.1349
2023-06-14,14.5081,14.7068,13.6535,13.7678,36980.0000,0.6197
2023-06-15,13.4150,14.4087,13.0821,14.4038,263010.0000,0.4607
2023-06-18,14.3988,15.1192,13.9119,15.1043,186040.0000,0.5248
2023-06-19,14.9056,15.5018,14.4087,14.6770,618000.0000,0.1124
2023-06-20,15.1937,15.1937,13.9466,14.1603,288280.0000,0.6819
2023-06-21,13.9218,14.5081,13.9218,14.0460,9230.0000,0.5995
2023-06-22,14.5081,14.5081,13.9119,13.9168,346990.0000,0.2274
2023-06-25,13.9616,14.4087,13.9616,14.3093,3590.0000,0.2091
2023-06-26,14.3093,14.5379,14.0013,14.1255,14080.0000,0.2100
2023-06-27,14.1255,14.3093,14.1106,14.2597,26510.0000,0.2825
2023-06-29,14.2597,14.2597,13.5492,13.8224,542540.0000,0.4149
2023-07-02,13.9119,13.9218,13.1318,13.8125,208720.0000,0.3592
2023-07-03,13.8125,14.0609,13.1219,13.1815,35280.0000,0.2747
2023-07-04,13.5144,13.5144,12.5256,12.7890,557140.0000,0.4671
2023-07-05,12.4213,12.9182,12.4213,12.7194,28980.0000,0.1837
2023-07-06,12.7194,13.3554,12.4263,13.2411,43120.0000,0.2753
2023-07-09,13.8920,13.8920,13.2660,13.6237,24640.0000,0.3198
2023-07-10,13.7082,13.7131,13.2163,13.2262,15770.0000,0.3736
2023-07-11,13.7082,13.7082,12.8337,13.4250,11280.0000,0.5711
2023-07-12,13.7082,13.7082,12.9182,13.2262,10360.0000,0.2198
2023-07-13,13.2262,13.7082,12.6201,13.2262,132490.0000,0.4085
2023-07-16,13.4150,13.4150,13.3455,13.3455,12040.0000,0.4554
2023-07-17,13.3455,13.3455,12.6797,13.3156,65020.0000,0.1279
2023-07-18,13.3156,13.5144,12.6499,13.3753,86660.0000,0.4645
