Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,38.1500,41.9000,37.1000,41.9000,455037.0000,0.3247
2023-06-06,41.0000,41.8500,39.8000,40.1000,80892.0000,0.6704
2023-06-07,40.9000,41.6500,38.5000,39.5500,30355.0000,0.5392
2023-06-08,41.5000,41.5000,37.6000,38.3000,44479.0000,0.4592
2023-06-11,37.5000,40.0000,36.5500,36.7500,29864.0000,0.1936
2023-06-12,36.9500,37.0000,35.5000,36.5000,34699.0000,0.1936
2023-06-13,36.9000,37.5000,36.0000,37.0500,15246.0000,0.1349
2023-06-14,36.6000,37.5000,35.2500,36.4000,24387.0000,0.6197
2023-06-15,37.8500,37.8500,36.1500,36.9500,13219.0000,0.4607
2023-06-18,37.0000,37.5000,36.0000,36.1500,18823.0000,0.5248
2023-06-19,36.0000,36.7500,35.4500,36.4000,279417.0000,0.1124
2023-06-20,37.1500,37.2000,35.6000,36.3000,19471.0000,0.6819
2023-06-21,36.0000,36.9000,35.0000,35.2500,22648.0000,0.5995
2023-06-22,34.5000,35.6500,34.1000,34.5500,8398.0000,0.2274
2023-06-25,34.1000,35.2000,34.1000,34.5000,15898.0000,0.2091
2023-06-26,34.7000,35.0000,33.7000,34.7000,12020.0000,0.2100
2023-06-27,35.5000,35.5000,33.4000,34.9000,2841.0000,0.2825
2023-06-29,34.9000,35.0000,33.5000,34.8000,246328.0000,0.4149
2023-07-02,35.0000,36.3500,35.0000,35.8000,22175.0000,0.3592
2023-07-03,37.4000,37.4000,34.5000,35.5000,14889.0000,0.2747
2023-07-04,35.5000,35.9000,34.2500,35.0500,6732.0000,0.4671
2023-07-05,35.1000,35.9500,34.2000,35.0500,16568.0000,0.1837
2023-07-06,35.9000,35.9000,34.3000,34.7500,28151.0000,0.2753
2023-07-09,34.2500,35.3500,33.8000,34.9000,8146.0000,0.3198
2023-07-10,34.9000,34.9000,33.8000,34.2000,8935.0000,0.3736
2023-07-11,34.1500,34.9000,34.0000,34.7000,4985.0000,0.5711
2023-07-12,34.2000,35.7000,33.5000,34.7000,22985.0000,0.2198
2023-07-13,35.6500,35.6500,33.9000,34.0500,9159.0000,0.4085
2023-07-16,34.0500,34.6500,33.5000,33.9000,7312.0000,0.4554
2023-07-17,34.0000,34.5000,33.3500,33.7500,8029.0000,0.1279
