Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,14.55,14.6,14.05,14.25,53534.0,0.6845
2023-06-06,14.55,14.55,14.05,14.25,89107.0,0.6993
2023-06-07,14.3,14.35,13.85,14.05,109911.0,0.5975
2023-06-08,14.3,14.3,13.8,13.8,74369.0,0.8077
2023-06-11,14.05,14.05,13.75,13.85,86777.0,0.6769
2023-06-12,14.1,14.1,13.6,13.75,69001.0,0.8061
2023-06-13,14.0,14.0,13.65,13.85,65112.0,0.7129
2023-06-14,14.0,14.1,13.7,13.75,75760.0,0.6911
2023-06-15,13.95,14.5,13.8,13.95,313899.0,0.7745
2023-06-18,14.15,14.9,14.15,14.3,227575.0,0.7141
2023-06-19,14.4,14.55,13.6,14.1,228752.0,0.4787
2023-06-20,13.9,14.4,13.8,13.9,101847.0,0.7082
2023-06-21,14.2,14.2,13.8,13.9,87878.0,0.4558
2023-06-22,13.9,13.95,13.75,13.95,24352.0,0.8775
2023-06-25,14.25,14.25,13.75,13.85,39114.0,0.4410
2023-06-26,13.95,14.1,13.75,13.9,42907.0,0.6431
2023-06-27,13.85,14.0,13.85,13.9,23692.0,0.7492
2023-06-29,13.9,14.1,13.75,13.85,94875.0,0.7321
2023-07-02,14.15,14.2,13.5,13.7,112892.0,0.5066
2023-07-03,13.7,13.95,13.7,13.8,46285.0,0.7411
2023-07-04,13.85,14.1,13.7,13.85,67560.0,0.6660
2023-07-05,13.95,14.0,13.8,13.9,40890.0,0.8631
2023-07-06,13.9,13.95,13.8,13.85,21890.0,0.9128
2023-07-09,13.95,13.95,13.7,13.9,26741.0,0.9000
2023-07-10,13.8,13.9,13.6,13.7,52018.0,0.7061
2023-07-11,13.75,13.85,13.65,13.65,41715.0,0.6387
2023-07-12,13.7,13.9,12.85,13.05,283597.0,0.8115
2023-07-13,13.45,13.5,12.95,13.2,86521.0,0.5682
2023-07-16,12.95,13.45,12.95,13.25,26024.0,0.7581
2023-07-17,13.9,14.0,13.25,13.4,114383.0,0.4682
2023-07-18,13.4,13.5,12.7,13.0,212502.0,0.6722
2023-07-19,13.4,13.4,12.9,13.0,71525.0,0.8174
2023-07-20,13.0,13.1,12.0,12.6,329697.0,0.5494
2023-07-23,12.6,12.9,12.35,12.6,131333.0,0.5999
2023-07-24,12.35,13.4,12.35,13.0,195112.0,0.6954
2023-07-25,13.1,13.2,13.0,13.05,26244.0,0.7248
2023-07-26,13.25,13.25,12.85,12.9,104885.0,0.7876
2023-07-27,12.95,13.15,12.8,12.9,55985.0,0.7108
2023-07-30,13.1,13.35,12.65,12.8,88640.0,0.7079
2023-07-31,13.0,13.55,12.9,13.25,279731.0,0.5935
2023-08-01,13.3,13.4,13.0,13.15,71582.0,0.7599
2023-08-02,13.2,13.2,12.55,13.05,61567.0,0.6389
2023-08-03,12.9,13.8,12.9,13.3,218481.0,0.6938
2023-08-06,13.6,13.95,13.3,13.7,190272.0,0.7665
2023-08-07,13.9,15.25,13.85,14.45,1193528.0,0.6338
2023-08-08,14.85,14.9,14.3,14.35,269140.0,0.7953
2023-08-09,14.6,15.3,14.35,14.45,306274.0,0.6454
2023-08-10,14.7,14.7,14.4,14.5,114073.0,0.7332
2023-08-13,14.7,14.7,13.8,14.0,188842.0,0.7484
2023-08-15,14.5,14.5,14.0,14.05,70546.0,0.6109
2023-08-16,14.45,14.45,13.9,13.9,67963.0,0.8454
2023-08-17,14.15,16.05,13.8,15.5,1292410.0,0.5999
2023-08-20,16.9,16.9,15.65,16.4,911012.0,0.6719
2023-08-21,17.2,17.65,17.0,17.4,861427.0,0.7229
2023-08-22,17.8,18.1,16.25,16.4,1237213.0,0.6437
2023-08-23,16.6,17.0,16.35,16.5,334188.0,0.5761
2023-08-24,16.2,16.7,16.2,16.25,218508.0,0.7058
2023-08-27,16.25,17.1,16.25,16.7,327062.0,0.6472
2023-08-28,17.0,18.75,16.85,18.1,1298935.0,0.5594
2023-08-29,18.4,19.95,18.25,19.35,1276380.0,0.5317
2023-08-30,20.0,20.65,19.7,19.95,949461.0,0.6081
2023-08-31,20.05,20.7,19.25,19.6,594569.0,0.5614
2023-09-03,19.85,19.85,18.4,18.7,540515.0,0.6646
2023-09-04,19.3,20.0,18.7,19.35,695407.0,0.5326
2023-09-05,19.9,20.0,18.9,19.2,299702.0,0.6331
2023-09-06,19.2,19.3,18.7,18.85,200573.0,0.6979
2023-09-07,19.1,19.1,18.45,18.6,207326.0,0.7179
2023-09-10,18.9,18.95,18.05,18.3,288867.0,0.6951
2023-09-11,18.1,18.4,16.8,16.9,571363.0,0.5946
2023-09-12,17.05,17.7,16.55,17.45,194488.0,0.6147
2023-09-13,17.35,18.7,17.2,18.45,289166.0,0.5153
2023-09-14,18.6,18.8,17.85,18.0,848012.0,0.1475
2023-09-17,18.15,18.45,17.8,17.85,1500064.0,0.0923
2023-09-19,17.95,18.25,17.55,17.65,1768008.0,0.0667
2023-09-20,17.25,17.9,17.0,17.25,1457745.0,0.0789
2023-09-21,17.35,17.8,17.25,17.4,740165.0,0.0919
2023-09-24,17.5,17.9,17.25,17.35,1548136.0,0.0477
2023-09-25,17.65,17.65,17.3,17.35,1319555.0,0.0555
2023-09-26,17.45,17.55,17.1,17.25,872947.0,0.0487
2023-09-27,17.25,17.4,16.95,17.15,331984.0,0.2729
2023-09-28,17.2,18.8,17.15,18.35,781785.0,0.4587
2023-10-02,18.5,18.5,17.75,18.1,367360.0,0.3511
