Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-19,96.45,96.45,90.1,90.45,112319.0,0.6310
2023-06-20,91.8,91.8,86.5,89.4,67077.0,0.5027
2023-06-21,89.3,89.9,86.0,86.35,32935.0,0.6272
2023-06-22,87.85,87.85,85.05,86.85,17935.0,0.4693
2023-06-25,88.95,88.95,86.65,87.5,18964.0,0.5485
2023-06-26,86.2,89.5,86.2,87.4,14802.0,0.5942
2023-06-27,89.2,89.2,85.0,85.85,16957.0,0.7399
2023-06-29,86.05,87.6,84.5,84.9,13758.0,0.7022
2023-07-02,86.0,86.45,84.05,84.5,12868.0,0.6210
2023-07-03,85.05,85.05,83.75,84.05,13206.0,0.7589
2023-07-04,84.05,85.6,83.15,84.1,17485.0,0.7925
2023-07-05,85.65,85.65,83.65,84.75,20384.0,0.6109
2023-07-06,85.0,96.7,85.0,92.1,263115.0,0.4551
2023-07-09,93.2,93.35,87.0,87.55,86510.0,0.6742
2023-07-10,88.8,89.4,87.65,88.1,20734.0,0.6179
2023-07-11,93.95,94.4,89.65,91.5,146935.0,0.3426
2023-07-12,92.6,92.6,87.2,88.05,29175.0,0.8272
2023-07-13,90.0,90.0,85.15,87.1,37613.0,0.6053
2023-07-16,88.0,90.9,87.25,88.55,57000.0,0.5665
2023-07-17,89.8,89.8,86.65,87.15,16361.0,0.5641
2023-07-18,88.75,89.3,87.45,89.0,15976.0,0.7146
2023-07-19,88.9,90.25,86.25,87.7,33013.0,0.5964
2023-07-20,88.85,88.85,86.1,87.0,27581.0,0.5879
2023-07-23,86.1,88.45,86.1,86.6,22003.0,0.8029
2023-07-24,86.7,87.5,85.1,85.5,12348.0,0.6760
2023-07-25,87.15,87.15,85.1,85.85,11025.0,0.6144
2023-07-26,87.4,87.4,83.25,84.0,61362.0,0.6926
2023-07-27,84.1,87.45,84.1,86.35,21937.0,0.6179
2023-07-30,87.95,89.25,85.65,86.05,36173.0,0.6495
2023-07-31,86.25,89.9,86.25,88.35,64457.0,0.8004
2023-08-01,88.9,95.55,88.5,93.6,173657.0,0.7295
2023-08-02,95.7,95.7,91.5,93.55,110156.0,0.4640
2023-08-03,95.45,102.7,94.45,99.45,380230.0,0.4471
2023-08-06,101.7,103.45,100.25,101.9,89671.0,0.6832
2023-08-07,101.9,101.9,94.75,96.55,71985.0,0.6281
2023-08-08,97.15,101.6,95.65,98.9,82268.0,0.4181
2023-08-09,97.65,101.0,97.65,98.6,36480.0,0.6302
2023-08-10,98.7,100.1,98.1,98.7,49001.0,0.8271
2023-08-13,105.0,105.0,100.0,103.8,199896.0,0.6617
2023-08-15,104.95,109.7,102.55,105.05,179605.0,0.5331
2023-08-16,104.9,109.45,103.4,107.6,59818.0,0.4937
2023-08-17,112.1,118.6,109.2,111.4,354412.0,0.4137
2023-08-20,113.65,115.9,111.0,111.95,278450.0,0.8038
2023-08-21,112.95,117.45,112.95,115.55,87416.0,0.7005
2023-08-22,116.65,118.4,111.95,115.6,79832.0,0.4956
2023-08-23,117.8,117.8,108.2,109.0,82235.0,0.8093
2023-08-24,109.0,109.0,103.55,103.6,56389.0,0.8093
2023-08-27,106.6,106.6,98.5,101.0,44640.0,0.8093
2023-08-28,103.0,105.65,98.6,103.8,21457.0,0.8093
2023-08-29,103.95,106.0,103.0,103.3,14503.0,0.8093
2023-08-30,104.0,105.0,101.0,102.8,25211.0,0.8093
2023-08-31,102.05,107.9,102.05,107.85,84166.0,0.8093
2023-09-03,107.75,113.2,107.75,113.1,123112.0,0.8093
2023-09-04,113.2,117.0,113.2,114.65,41718.0,0.8093
2023-09-05,117.9,120.35,114.0,119.65,145149.0,0.8093
2023-09-06,121.0,125.6,119.65,125.6,167250.0,0.8093
2023-09-07,123.1,125.0,123.1,123.1,22316.0,0.8093
2023-09-10,120.65,120.65,120.65,120.65,22019.0,0.8093
2023-09-11,118.25,118.25,118.25,118.25,18521.0,0.8093
2023-09-12,115.9,115.9,115.9,115.9,16462.0,0.8093
2023-09-13,114.2,114.2,113.6,114.2,85416.0,0.8093
2023-09-14,111.95,111.95,111.95,111.95,38785.0,0.8093
2023-09-17,110.5,110.95,109.75,110.5,29134.0,0.8093
2023-09-19,110.0,110.1,109.95,110.0,40908.0,0.8093
2023-09-20,107.8,108.1,107.8,107.8,19994.0,0.8093
2023-09-21,105.65,108.0,105.65,105.65,36903.0,0.8093
2023-09-24,107.75,107.75,107.75,107.75,12075.0,0.8093
2023-09-25,109.9,109.9,109.9,109.9,1031.0,0.8093
2023-09-26,111.9,112.05,109.9,111.9,19086.0,0.8093
2023-09-27,114.1,114.1,112.0,114.1,16039.0,0.8093
2023-09-28,116.35,116.35,116.3,116.35,14772.0,0.8093
2023-10-02,118.65,118.65,118.65,118.65,63790.0,0.8093
2023-10-03,121.0,121.0,121.0,121.0,22454.0,0.8093
2023-10-04,123.4,123.4,123.4,123.4,10956.0,0.8093
2023-10-05,125.85,125.85,125.85,125.85,20037.0,0.8093
2023-10-08,125.85,128.35,125.85,125.85,98317.0,0.8093
2023-10-09,125.9,126.0,123.5,125.9,24481.0,0.8093
2023-10-10,123.4,125.7,123.4,123.4,577.0,0.8093
2023-10-11,124.9,125.8,123.25,124.9,32182.0,0.8093
2023-10-12,122.45,124.1,122.4,122.45,13184.0,0.8093
2023-10-15,123.0,124.25,116.35,116.95,81860.0,0.8093
2023-10-16,118.95,119.0,115.05,116.5,29844.0,0.8093
2023-10-17,118.65,119.5,114.35,116.4,36630.0,0.8093
2023-10-18,116.0,118.3,114.05,114.8,29902.0,0.8093
2023-10-19,115.85,117.9,115.05,115.25,35009.0,0.8093
2023-10-22,117.4,117.7,109.5,109.55,24153.0,0.8093
2023-10-24,109.55,113.75,104.1,105.75,39138.0,0.8093
2023-10-25,103.85,107.8,103.85,105.05,47041.0,0.8093
2023-10-26,105.5,110.3,105.5,109.75,53946.0,0.8093
2023-10-29,112.0,112.0,105.95,106.55,48589.0,0.8093
2023-10-30,107.0,111.85,106.0,111.55,69492.0,0.8093
2023-10-31,110.0,110.15,107.0,110.1,26101.0,0.8093
2023-11-01,110.0,110.85,108.8,109.2,2506.0,0.8093
2023-11-02,107.65,111.4,107.65,111.4,20449.0,0.8093
2023-11-05,111.4,116.95,108.3,111.45,54842.0,0.8093
2023-11-06,112.8,117.0,110.3,117.0,46898.0,0.8093
2023-11-07,122.45,122.85,122.45,122.85,30275.0,0.8093
2023-11-08,128.95,128.95,128.95,128.95,53898.0,0.8093
2023-11-09,128.95,128.95,122.5,122.5,189158.0,0.8093
2023-11-12,120.1,120.1,118.95,120.1,59329.0,0.8093
2023-11-14,122.0,122.5,121.9,121.9,27725.0,0.8093
2023-11-15,124.4,124.95,120.05,124.4,35621.0,0.8093
2023-11-16,124.0,124.35,123.9,124.0,6810.0,0.8093
2023-11-19,122.0,124.0,122.0,122.0,8536.0,0.8093
2023-11-20,122.0,123.0,121.9,122.0,23727.0,0.8093
2023-11-21,120.7,121.9,119.6,120.7,21882.0,0.8093
2023-11-22,118.5,118.55,118.3,118.5,5352.0,0.8093
2023-11-23,120.8,120.8,118.6,120.8,7635.0,0.8093
2023-11-27,123.2,123.2,122.95,123.2,16576.0,0.8093
2023-11-28,120.75,124.9,120.75,120.75,149001.0,0.8093
2023-11-29,120.8,122.0,118.35,120.8,66551.0,0.8093
2023-11-30,120.45,120.8,120.0,120.45,43771.0,0.8093
2023-12-03,122.85,122.85,122.0,122.85,34911.0,0.8093
2023-12-04,123.1,123.1,122.5,123.1,53415.0,0.8093
2023-12-05,123.1,123.5,122.1,123.1,26759.0,0.8093
2023-12-06,125.55,125.55,125.55,125.55,33377.0,0.8093
2023-12-07,128.05,128.05,128.0,128.05,78603.0,0.8093
2023-12-10,130.6,130.6,130.6,130.6,72040.0,0.8093
2023-12-11,132.0,133.2,130.6,132.0,29786.0,0.8093
2023-12-12,133.85,133.85,133.0,133.85,38210.0,0.8093
2023-12-13,136.5,136.5,131.2,136.5,112578.0,0.8093
2023-12-14,134.0,136.05,134.0,134.0,40166.0,0.8093
2023-12-17,136.65,136.65,131.55,136.65,47479.0,0.8093
2023-12-18,136.5,136.7,135.0,136.5,56393.0,0.8093
2023-12-19,135.0,139.2,135.0,135.0,60362.0,0.8093
2023-12-20,136.5,136.5,135.0,136.5,23704.0,0.8093
2023-12-21,136.5,136.5,136.0,136.5,34061.0,0.8093
2023-12-25,136.1,136.5,136.0,136.1,21867.0,0.8093
2023-12-26,138.8,138.8,136.0,138.8,15445.0,0.8093
2023-12-27,137.05,138.3,136.5,137.05,14307.0,0.8093
2023-12-28,135.1,135.1,135.0,135.1,19346.0,0.8093
2023-12-31,137.8,137.8,137.8,137.8,4005.0,0.8093
2024-01-01,140.55,140.55,139.0,140.55,19854.0,0.8093
2024-01-02,143.35,143.35,140.1,143.35,42492.0,0.8093
2024-01-03,141.5,144.45,141.0,141.5,14886.0,0.8093
2024-01-04,139.5,141.0,139.5,139.5,34499.0,0.8093
2024-01-07,139.6,139.6,139.15,139.6,22949.0,0.8093
2024-01-08,139.5,140.0,139.5,139.5,6616.0,0.8093
2024-01-09,142.0,142.0,139.65,142.0,15982.0,0.8093
2024-01-10,140.7,141.05,140.25,140.7,39984.0,0.8093
2024-01-11,143.4,143.4,140.9,143.4,23879.0,0.8093
2024-01-14,144.55,144.55,141.7,144.55,13425.0,0.8093
2024-01-15,146.8,146.9,146.0,146.8,30948.0,0.8093
2024-01-16,144.1,144.25,143.9,144.1,29961.0,0.8093
2024-01-17,145.95,145.95,142.25,145.95,11600.0,0.8093
2024-01-18,146.0,147.95,146.0,146.0,10365.0,0.8093
2024-01-22,158.25,160.9,145.75,151.5,60692.0,0.8093
2024-01-23,149.95,152.0,147.0,149.6,23803.0,0.8093
2024-01-24,146.0,154.7,145.95,149.65,12653.0,0.8093
2024-01-28,147.25,153.25,147.25,152.35,10892.0,0.8093
2024-01-29,153.55,153.6,150.0,150.05,18588.0,0.8093
2024-01-30,152.3,152.3,148.55,149.0,20206.0,0.8093
2024-01-31,145.0,156.45,145.0,155.25,73226.0,0.8093
2024-02-01,162.0,163.0,158.0,162.95,152669.0,0.8093
2024-02-04,170.9,184.9,157.7,159.95,318645.0,0.7300
2024-02-05,163.0,163.0,145.2,147.75,130451.0,0.6750
2024-02-06,148.0,160.0,148.0,154.45,145452.0,0.4998
2024-02-07,151.05,158.0,144.6,146.95,69760.0,0.6634
2024-02-08,149.5,150.4,134.6,137.35,116456.0,0.6767
