Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-19,12.8,12.9,12.35,12.75,50460.0,0.6628
2023-06-20,12.75,12.9,12.35,12.5,61696.0,0.7181
2023-06-21,12.8,12.8,12.15,12.3,91245.0,0.7414
2023-06-22,12.2,12.55,12.0,12.1,84356.0,0.6931
2023-06-25,12.15,12.4,11.9,12.05,49939.0,0.6935
2023-06-26,11.85,12.15,11.75,11.95,23407.0,0.6898
2023-06-27,12.35,12.5,12.1,12.5,52515.0,0.8696
2023-06-29,13.1,13.1,13.1,13.1,16282.0,0.9999
2023-07-02,13.75,13.75,13.75,13.75,19117.0,1.0000
2023-07-03,14.4,14.4,13.45,14.25,198770.0,0.6377
2023-07-04,14.25,14.55,13.55,13.7,90747.0,0.5024
2023-07-05,13.95,14.35,13.7,14.25,64655.0,0.5943
2023-07-06,14.25,14.25,13.6,13.95,63060.0,0.4898
2023-07-09,13.75,14.3,13.7,13.85,24371.0,0.6551
2023-07-10,14.0,14.05,13.25,13.35,28179.0,0.5715
2023-07-11,13.75,13.8,13.15,13.3,50830.0,0.6386
2023-07-12,13.3,13.75,13.0,13.3,35065.0,0.5937
2023-07-13,13.2,13.8,12.9,13.5,21806.0,0.6384
2023-07-16,13.8,13.95,13.35,13.45,38481.0,0.7592
2023-07-17,13.55,13.65,13.25,13.45,34838.0,0.5027
2023-07-18,13.5,14.1,13.4,14.1,50105.0,0.8635
2023-07-19,14.5,14.8,14.1,14.7,97632.0,0.7636
2023-07-20,14.8,14.8,14.0,14.25,80802.0,0.5414
2023-07-23,14.75,14.95,14.2,14.95,46700.0,0.6566
2023-07-24,15.4,15.65,14.2,14.2,476874.0,0.4851
2023-07-25,14.2,14.55,13.7,14.1,96805.0,0.5444
2023-07-26,14.25,14.8,14.0,14.3,68099.0,0.5633
2023-07-27,14.55,14.75,14.2,14.6,48004.0,0.6526
2023-07-30,14.7,15.2,14.5,14.95,103705.0,0.6032
2023-07-31,14.95,15.65,14.95,15.25,85274.0,0.4814
2023-08-01,15.65,16.0,15.1,15.85,196721.0,0.6562
2023-08-02,15.85,16.45,15.1,15.25,79506.0,0.5580
2023-08-03,15.7,15.8,15.2,15.75,45928.0,0.5577
2023-08-06,15.85,16.75,15.7,15.85,51675.0,0.6715
2023-08-07,16.0,16.7,15.4,15.65,71653.0,0.6093
2023-08-08,15.7,16.6,15.65,16.1,126145.0,0.7575
2023-08-09,16.25,16.25,15.6,15.8,69466.0,0.5083
2023-08-10,15.55,16.05,15.1,15.6,96134.0,0.5178
2023-08-13,15.5,15.85,15.15,15.45,27310.0,0.5570
2023-08-15,15.3,15.4,14.9,15.1,31556.0,0.5597
2023-08-16,15.0,15.25,14.8,15.0,48424.0,0.7443
2023-08-17,14.75,15.2,14.6,14.8,36310.0,0.7042
2023-08-20,14.85,14.85,13.35,13.85,133208.0,0.4835
2023-08-21,13.95,15.2,13.95,15.2,161886.0,0.3764
2023-08-22,15.7,15.9,14.85,15.1,147036.0,0.5080
2023-08-23,15.1,15.15,14.6,14.9,39696.0,0.5042
2023-08-24,14.5,15.4,14.4,14.65,47768.0,0.6339
2023-08-27,14.95,15.0,13.85,14.0,113635.0,0.5839
2023-08-28,14.05,14.2,13.7,13.95,52894.0,0.4718
2023-08-29,14.1,14.85,14.1,14.6,88381.0,0.4311
2023-08-30,14.85,14.85,14.15,14.2,47750.0,0.5135
2023-08-31,14.1,14.45,13.95,14.05,70867.0,0.6245
2023-09-03,14.2,14.2,13.75,13.95,47262.0,0.6898
2023-09-04,14.5,14.5,13.85,14.0,45743.0,0.6324
2023-09-05,13.85,14.7,13.85,14.3,83164.0,0.5814
2023-09-06,14.3,14.35,13.15,13.45,168666.0,0.8832
2023-09-07,13.95,14.75,13.7,14.3,213659.0,0.3183
2023-09-10,14.1,14.25,13.9,14.05,45067.0,0.6557
2023-09-11,14.1,14.3,13.6,14.1,52917.0,0.6181
2023-09-12,14.1,14.35,13.65,14.15,41596.0,0.7352
2023-09-13,14.3,15.0,13.9,14.05,96590.0,0.4161
2023-09-14,14.3,14.3,12.8,13.75,130831.0,0.5494
2023-09-17,14.3,15.1,13.8,15.0,210994.0,0.8161
2023-09-19,15.0,15.7,14.75,14.9,133415.0,0.6317
2023-09-20,15.2,15.2,14.6,14.65,37671.0,0.6098
2023-09-21,14.65,14.95,14.25,14.65,70276.0,0.5333
2023-09-24,14.65,14.8,14.5,14.6,32415.0,0.5679
2023-09-25,14.85,14.85,14.2,14.4,11811.0,0.6187
2023-09-26,14.25,14.45,14.05,14.25,32671.0,0.3216
2023-09-27,14.4,14.4,13.7,13.95,26827.0,0.5513
2023-09-28,14.25,15.05,14.0,14.4,79351.0,0.6320
2023-10-02,14.55,15.1,14.2,14.9,43816.0,0.6833
2023-10-03,14.75,15.0,14.45,14.65,46022.0,0.4784
2023-10-04,15.0,15.05,14.35,14.55,21789.0,0.5603
2023-10-05,14.9,15.25,14.55,14.95,53289.0,0.4056
2023-10-08,15.3,15.4,14.15,14.2,80367.0,0.5936
2023-10-09,14.25,15.4,14.25,14.9,101792.0,0.6193
2023-10-10,15.3,15.3,14.95,15.05,71955.0,0.4657
2023-10-11,15.15,15.55,14.85,15.45,115051.0,0.4305
2023-10-12,15.45,17.1,15.45,16.85,341435.0,0.5138
2023-10-15,17.5,17.75,16.1,17.1,196773.0,0.4589
2023-10-16,17.25,20.5,17.2,20.5,2316759.0,0.3199
2023-10-17,21.25,24.45,21.15,23.65,3398897.0,0.2793
2023-10-18,23.65,23.7,21.3,21.65,744461.0,0.4431
2023-10-19,21.5,23.8,20.55,21.1,1014561.0,0.3946
2023-10-22,20.55,21.35,20.05,20.05,50842.0,0.3946
2023-10-24,19.05,19.4,19.05,19.05,37671.0,0.3946
2023-10-25,18.2,18.7,18.1,18.45,52555.0,0.3946
2023-10-26,18.95,18.95,17.55,18.4,125517.0,0.3946
2023-10-29,18.85,18.85,17.5,17.55,62036.0,0.3946
2023-10-30,16.9,17.95,16.7,16.9,56809.0,0.3946
2023-10-31,17.65,17.65,16.05,16.1,71652.0,0.3946
2023-11-01,16.6,16.85,16.05,16.35,37012.0,0.3946
2023-11-02,16.5,17.1,16.05,16.8,24057.0,0.3946
2023-11-05,17.3,17.6,16.6,17.55,25235.0,0.3946
2023-11-06,17.6,18.2,17.0,17.85,40947.0,0.3946
2023-11-07,18.0,18.7,17.5,18.2,56773.0,0.3946
2023-11-08,18.5,18.8,18.0,18.2,26985.0,0.3946
2023-11-09,18.8,18.8,17.6,17.8,15969.0,0.3946
2023-11-12,18.0,18.05,17.15,17.9,26932.0,0.3946
2023-11-14,17.05,18.25,17.05,17.45,51714.0,0.3946
2023-11-15,17.8,18.3,17.2,18.3,93060.0,0.3946
2023-11-16,18.85,18.95,17.65,18.75,49188.0,0.3946
2023-11-19,19.25,19.25,17.85,18.6,31710.0,0.3946
2023-11-20,19.0,19.5,18.7,19.45,91695.0,0.3946
2023-11-21,20.15,20.15,18.5,18.65,73123.0,0.3946
2023-11-22,18.15,18.95,18.15,18.55,27172.0,0.3946
2023-11-23,18.55,18.65,17.65,17.8,53485.0,0.3946
2023-11-27,17.8,18.3,17.55,17.75,24772.0,0.3946
2023-11-28,17.5,18.35,17.5,18.1,24414.0,0.3946
2023-11-29,18.55,18.65,17.3,17.85,36582.0,0.3946
2023-11-30,18.0,18.4,17.7,17.8,15978.0,0.3946
2023-12-03,18.0,18.2,17.55,17.75,20583.0,0.3946
2023-12-04,17.6,18.2,17.3,17.6,22512.0,0.3946
2023-12-05,18.4,18.4,17.3,17.5,31583.0,0.3946
2023-12-06,17.3,17.7,17.1,17.5,14747.0,0.3946
2023-12-07,17.5,17.7,16.65,17.2,34259.0,0.3946
2023-12-10,17.2,17.65,16.55,17.5,32462.0,0.3946
