Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,68.0,68.65,65.55,67.35,80933.0,0.6999
2023-06-06,68.4,68.7,65.65,65.8,40986.0,0.6133
2023-06-07,67.3,67.3,64.0,64.35,31743.0,0.5930
2023-06-08,66.5,66.5,62.2,62.6,79791.0,0.4581
2023-06-11,64.9,64.9,62.3,62.9,25136.0,0.5582
2023-06-12,62.5,75.45,62.25,71.6,875277.0,0.3082
2023-06-13,72.35,72.35,67.2,67.85,158421.0,0.5481
2023-06-14,68.55,69.95,66.5,68.85,81426.0,0.5121
2023-06-15,69.85,69.85,67.55,68.35,39315.0,0.6283
2023-06-18,68.5,69.55,65.5,66.3,69226.0,0.6006
2023-06-19,66.65,73.25,66.15,72.0,191060.0,0.5442
2023-06-20,72.15,74.3,70.2,71.0,109996.0,0.5055
2023-06-21,71.05,72.9,70.2,71.05,51065.0,0.5772
2023-06-22,70.35,71.0,68.0,68.8,36526.0,0.6544
2023-06-25,72.9,77.0,71.0,72.2,328433.0,0.3449
2023-06-26,72.4,74.5,71.2,71.55,68124.0,0.5457
2023-06-27,72.0,74.0,72.0,72.7,61248.0,0.5672
2023-06-29,71.0,73.15,70.0,70.7,56730.0,0.6056
2023-07-02,71.9,71.9,68.0,68.6,17610.0,0.6056
2023-07-03,69.0,69.0,66.0,67.2,13109.0,0.6056
2023-07-04,67.3,68.55,66.6,68.4,6026.0,0.6056
2023-07-05,68.0,68.0,65.1,66.55,17565.0,0.6056
2023-07-06,66.9,68.2,65.6,66.0,11194.0,0.6056
2023-07-09,66.0,66.0,64.0,65.5,9965.0,0.6056
2023-07-10,66.45,68.55,66.45,68.4,21078.0,0.6056
2023-07-11,69.0,70.0,66.1,67.85,16642.0,0.6056
2023-07-12,66.2,69.85,65.55,66.1,11069.0,0.6056
2023-07-13,66.1,67.95,65.2,67.5,11469.0,0.6056
2023-07-16,65.75,67.9,65.75,67.9,12005.0,0.6056
2023-07-17,68.9,68.9,65.8,66.4,13681.0,0.6056
2023-07-18,66.0,68.4,64.2,65.4,23979.0,0.6056
2023-07-19,65.5,67.4,64.85,64.95,17036.0,0.6056
2023-07-20,64.85,66.45,61.7,64.65,37519.0,0.6056
2023-07-23,63.95,63.95,61.45,61.45,43339.0,0.6056
2023-07-24,61.3,62.5,59.7,60.2,20396.0,0.6056
2023-07-25,60.2,61.25,59.05,59.65,25701.0,0.6056
2023-07-26,61.0,61.0,59.0,59.3,27360.0,0.6056
2023-07-27,60.7,60.75,58.0,59.05,38380.0,0.6056
2023-07-30,59.05,59.45,56.5,56.75,35755.0,0.6056
2023-07-31,57.7,58.3,56.75,57.5,14145.0,0.6056
2023-08-01,58.2,58.5,56.9,57.55,18280.0,0.6056
2023-08-02,57.55,58.5,57.0,57.3,13549.0,0.6056
2023-08-03,57.25,57.9,57.25,57.5,11564.0,0.6056
2023-08-06,58.95,59.9,57.1,58.2,14876.0,0.6056
2023-08-07,58.45,59.9,57.8,58.2,18334.0,0.6056
2023-08-08,58.0,59.8,57.35,57.9,29453.0,0.6056
2023-08-09,57.9,58.9,57.9,58.15,17134.0,0.6056
2023-08-10,58.45,58.5,56.3,57.95,17737.0,0.6056
2023-08-13,57.95,57.95,55.55,57.05,10349.0,0.6056
2023-08-15,57.9,57.9,56.25,57.05,4528.0,0.6056
2023-08-16,57.1,57.1,55.0,56.2,14357.0,0.6056
2023-08-17,55.95,56.0,54.5,54.75,21022.0,0.6056
2023-08-20,54.1,55.8,53.2,53.55,19531.0,0.6056
2023-08-21,53.75,55.65,53.5,55.45,18177.0,0.6056
2023-08-22,55.45,57.7,55.0,55.7,15436.0,0.6056
2023-08-23,57.65,57.65,56.35,56.5,5733.0,0.6056
2023-08-24,57.0,57.5,54.9,55.0,13492.0,0.6056
2023-08-27,54.05,55.85,54.05,55.55,6696.0,0.6056
2023-08-28,55.55,56.95,55.05,55.8,8357.0,0.6056
2023-08-29,55.95,57.5,55.25,57.1,14908.0,0.6056
2023-08-30,58.45,58.45,55.85,56.6,10766.0,0.6056
2023-08-31,55.5,58.0,55.5,56.8,14435.0,0.6056
2023-09-03,58.5,59.0,55.5,58.5,22780.0,0.6056
