Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,35.9000,36.6000,35.0000,35.5000,14047.0000,0.3247
2023-06-06,35.7000,35.9500,34.5000,35.8500,17172.0000,0.6704
2023-06-07,36.4500,36.5000,34.6000,35.0000,8768.0000,0.5392
2023-06-08,35.3500,36.4000,34.7500,35.1000,8661.0000,0.4592
2023-06-11,34.1000,36.4000,34.1000,35.2500,18263.0000,0.1936
2023-06-12,35.7000,35.9500,34.6500,34.7500,20483.0000,0.1936
2023-06-13,34.7500,35.6500,34.7500,35.1500,4825.0000,0.1349
2023-06-14,35.8000,36.7000,34.7500,36.6000,19154.0000,0.6197
2023-06-15,36.6000,37.4000,36.0000,36.7000,13139.0000,0.4607
2023-06-18,36.9000,36.9000,35.7000,36.0000,2996.0000,0.5248
2023-06-19,37.4000,37.4000,35.5000,36.6000,6382.0000,0.1124
2023-06-20,37.1500,37.1500,35.6500,36.9500,2679.0000,0.6819
2023-06-21,37.4000,37.4000,35.7500,36.3500,4705.0000,0.5995
2023-06-22,36.7000,36.7000,35.1000,36.6500,8807.0000,0.2274
2023-06-25,36.9500,36.9500,35.3500,36.4000,3661.0000,0.2091
2023-06-26,36.4000,37.2000,35.3500,35.9000,11406.0000,0.2100
2023-06-27,36.0000,36.8500,35.7500,36.0000,3684.0000,0.2825
2023-06-29,36.0000,36.5000,35.0000,36.0500,11062.0000,0.4149
2023-07-02,36.0000,36.4500,35.2000,35.7500,13111.0000,0.3592
2023-07-03,35.7000,36.2000,35.5500,35.6500,7948.0000,0.2747
2023-07-04,35.7000,37.0000,35.5500,35.7500,9496.0000,0.4671
2023-07-05,36.8000,36.9000,35.7500,36.1000,5306.0000,0.1837
2023-07-06,36.1000,37.0000,35.9000,36.5000,4188.0000,0.2753
2023-07-09,36.4500,36.6000,35.7000,35.8000,6512.0000,0.3198
2023-07-10,35.7500,37.3000,35.1500,35.5500,8928.0000,0.3736
2023-07-11,37.0000,37.3000,35.5000,36.0500,11234.0000,0.5711
2023-07-12,37.5000,37.5000,35.7000,36.6000,6153.0000,0.2198
2023-07-13,37.8500,37.8500,36.0500,36.9000,11484.0000,0.4085
2023-07-16,37.3500,37.3500,36.0500,37.0500,8063.0000,0.4554
2023-07-17,36.5500,36.9500,35.5500,35.8000,6418.0000,0.1279
2023-07-18,36.0000,37.2000,35.5500,36.6000,7130.0000,0.4645
2023-07-19,37.8500,37.8500,35.9000,36.3000,1965.0000,0.2023
2023-07-20,37.4000,37.8000,36.0000,37.6500,18293.0000,0.1390
2023-07-23,37.8500,39.5000,37.7500,39.0500,20194.0000,0.6693
2023-07-24,39.6000,41.0000,39.4000,39.7500,27932.0000,0.6794
2023-07-25,40.5500,41.2000,39.3000,40.8000,18972.0000,0.5850
2023-07-26,40.5000,42.5000,39.5000,40.5500,41499.0000,0.2828
2023-07-27,41.6000,42.5500,39.5500,41.9000,72114.0000,0.1586
2023-07-30,41.9000,42.0500,40.8000,41.0000,15189.0000,0.5105
2023-07-31,41.0000,41.7000,39.2500,39.9000,26187.0000,0.3641
2023-08-01,41.4000,41.4000,38.4000,40.4500,9262.0000,0.1732
2023-08-02,40.4500,40.5000,39.0500,39.8500,7816.0000,0.3971
2023-08-03,40.5000,40.5000,39.1500,39.5000,8437.0000,0.1206
2023-08-06,39.9500,40.0000,38.6500,39.5000,10470.0000,0.6456
2023-08-07,40.7500,40.7500,39.1000,39.8000,5292.0000,0.2553
2023-08-08,39.9500,40.0000,39.1000,39.5000,5255.0000,0.4975
2023-08-09,39.5000,40.9000,38.1500,38.7000,11200.0000,0.2870
2023-08-10,40.3000,40.3000,37.6000,38.4000,2959.0000,0.4120
2023-08-13,38.4000,40.0000,38.4000,39.1000,13925.0000,0.4280
2023-08-15,39.9000,39.9000,38.5000,38.5500,6637.0000,0.2109
2023-08-16,37.5500,39.2500,37.5500,38.4500,5329.0000,0.6818
2023-08-17,38.4500,39.0000,37.0500,38.2000,5583.0000,0.5651
2023-08-20,38.2000,38.2000,36.3000,36.9500,15369.0000,0.6637
2023-08-21,36.9500,37.5000,35.2000,36.0500,30697.0000,0.6369
2023-08-22,36.0500,37.2500,36.0500,36.3500,14921.0000,0.4587
2023-08-23,37.0000,37.3000,36.0000,36.8500,16557.0000,0.6531
2023-08-24,36.0500,37.4500,36.0500,36.3000,9017.0000,0.1531
2023-08-27,37.4000,37.4000,35.7000,36.5500,12532.0000,0.2176
2023-08-28,37.3500,37.3500,35.7000,37.2000,20342.0000,0.1271
2023-08-29,37.5000,39.0500,37.5000,39.0500,17428.0000,0.2952
2023-08-30,41.0000,41.0000,38.6000,39.9500,16666.0000,0.3332
2023-08-31,40.8500,41.0000,39.1500,39.5500,24938.0000,0.2628
2023-09-03,39.9500,41.0000,38.5000,39.5500,19602.0000,0.5972
2023-09-04,40.9000,40.9000,38.5000,39.8500,15217.0000,0.3141
2023-09-05,40.9500,41.8000,39.8000,40.2500,22777.0000,0.2686
2023-09-06,40.0500,41.4500,39.6000,40.5000,10760.0000,0.4256
2023-09-07,41.0000,41.0000,39.1000,39.9000,17105.0000,0.1846
2023-09-10,40.0000,41.8500,38.5000,41.8500,59828.0000,0.5813
2023-09-11,43.9000,43.9000,43.0000,43.9000,85288.0000,0.1447
2023-09-12,45.0000,46.0500,42.5500,46.0500,144648.0000,0.6921
2023-09-13,48.3500,48.3500,46.5000,48.3500,114841.0000,0.5633
2023-09-14,49.5000,50.0000,47.2000,48.0000,100212.0000,0.2192
2023-09-17,49.4000,49.5500,46.0500,47.5500,119641.0000,0.1033
2023-09-19,48.8000,49.9000,46.6500,47.4000,103829.0000,0.5893
2023-09-20,47.5000,48.9000,46.5500,46.9500,36153.0000,0.5241
2023-09-21,47.7500,48.0000,46.6500,47.7000,47763.0000,0.5374
2023-09-24,48.7500,48.7500,47.1000,47.5000,32653.0000,0.5628
2023-09-25,49.5000,49.5000,46.1500,46.7500,22259.0000,0.1444
2023-09-26,47.8000,48.8500,44.8000,46.8000,136067.0000,0.3151
2023-09-27,46.0500,48.6000,44.6000,45.2500,257758.0000,0.1695
2023-09-28,46.7000,46.8000,45.2000,46.5500,17681.0000,0.6179
2023-10-02,46.3000,47.5000,45.9500,46.4000,15673.0000,0.4740
2023-10-03,47.4000,47.4000,45.1500,45.2500,10358.0000,0.2985
2023-10-04,45.0500,47.4000,45.0500,46.0500,49906.0000,0.1381
2023-10-05,46.5000,47.6500,45.2500,46.2000,72123.0000,0.2866
2023-10-08,46.3000,46.7500,44.0000,44.2000,34284.0000,0.2951
2023-10-09,44.2500,48.6000,43.9500,47.1000,93220.0000,0.5378
2023-10-10,47.8000,51.8000,47.0500,51.8000,186310.0000,0.4825
2023-10-11,54.8000,56.9500,52.1000,56.9500,295071.0000,0.6323
2023-10-12,57.7000,61.0000,55.6000,58.5500,448894.0000,0.3833
2023-10-15,59.0500,59.9500,55.6500,55.6500,106203.0000,0.1718
2023-10-16,55.9500,55.9500,52.9000,53.5000,54011.0000,0.5279
2023-10-17,54.9000,55.9000,53.5000,53.7500,46615.0000,0.5565
2023-10-18,52.7000,55.4500,52.7000,55.1000,44169.0000,0.4368
2023-10-19,57.4000,57.4000,53.0000,53.3000,45178.0000,0.5626
2023-10-22,54.9000,54.9000,50.6500,51.1000,57998.0000,0.3963
2023-10-24,53.4000,53.4000,48.9000,50.3500,54563.0000,0.4136
2023-10-25,51.8500,51.9500,47.8500,48.8500,57380.0000,0.3565
2023-10-26,50.6500,50.6500,48.7000,49.1000,40813.0000,0.1153
2023-10-29,49.9000,51.5500,48.7500,50.0000,78106.0000,0.1647
2023-10-30,50.1000,52.5000,50.1000,52.5000,22193.0000,0.1189
2023-10-31,53.9000,55.1000,53.2500,55.1000,68056.0000,0.4818
2023-11-01,57.4000,57.5000,53.0000,53.6000,195956.0000,0.2886
2023-11-02,55.9000,55.9000,53.2000,54.2500,193756.0000,0.4051
2023-11-05,55.0000,56.9500,52.6000,53.7000,138334.0000,0.6445
2023-11-06,53.7000,55.2500,52.4000,53.4000,68626.0000,0.2496
2023-11-07,54.5000,56.0500,52.4500,53.6500,119596.0000,0.3462
2023-11-08,54.5000,56.3000,52.9500,56.2500,124581.0000,0.5533
2023-11-09,57.3500,59.0500,56.2500,59.0500,110994.0000,0.2373
2023-11-12,64.0000,65.1000,60.0000,65.1000,245403.0000,0.1462
2023-11-14,66.9000,67.4000,62.1500,64.0500,369516.0000,0.2739
2023-11-15,64.0000,67.2500,62.6000,67.2500,229683.0000,0.1967
2023-11-16,67.9000,70.6000,65.5000,70.6000,58128.0000,0.6578
2023-11-19,73.5000,74.1000,67.2500,69.1000,75083.0000,0.5849
2023-11-20,68.8000,72.0000,66.5000,71.0000,59589.0000,0.4800
2023-11-21,69.7500,69.7500,67.4500,67.5000,33110.0000,0.6229
2023-11-22,68.6000,68.6000,64.1500,64.2000,43032.0000,0.5822
2023-11-23,64.1500,66.8500,62.9000,63.3000,15953.0000,0.2119
2023-11-27,63.9500,66.0000,63.0000,65.1500,16495.0000,0.6355
2023-11-28,66.8000,67.9500,64.8000,65.0000,21898.0000,0.4236
2023-11-29,66.9000,66.9000,63.0500,64.7000,14683.0000,0.5845
2023-11-30,63.0500,66.3500,62.5000,62.6000,18958.0000,0.6377
2023-12-03,65.4000,65.4500,60.3500,62.6500,21286.0000,0.2908
2023-12-04,63.0000,64.0000,61.0500,61.8500,16620.0000,0.1660
2023-12-05,62.0000,63.5000,60.2500,60.7000,27519.0000,0.2368
2023-12-06,60.0000,63.0000,59.2500,62.2500,11247.0000,0.3563
2023-12-07,62.5500,65.3500,60.0000,65.3500,47865.0000,0.5908
2023-12-10,67.8000,67.8000,66.0500,67.3500,37599.0000,0.6164
2023-12-11,68.2500,68.2500,64.4000,64.5500,23719.0000,0.1042
2023-12-12,62.6000,65.0000,61.6500,64.4500,40655.0000,0.4064
2023-12-13,64.4500,64.7000,62.1000,62.6000,9975.0000,0.3504
2023-12-14,64.4500,64.4500,62.3000,62.5000,17502.0000,0.2333
2023-12-17,62.5000,63.8000,62.1000,63.1500,7793.0000,0.1719
2023-12-18,64.9500,65.0000,62.9000,63.8500,19346.0000,0.3026
2023-12-19,65.1000,65.1000,60.6500,60.6500,20034.0000,0.6657
2023-12-20,60.6500,61.6500,58.0500,61.5000,21609.0000,0.2939
2023-12-21,61.6000,63.7000,61.5500,62.9000,14266.0000,0.4113
2023-12-25,64.5000,64.5000,61.0000,62.5000,9590.0000,0.5218
2023-12-26,62.5000,63.3000,61.3000,61.9000,10500.0000,0.3182
2023-12-27,62.5000,63.5000,62.0000,62.6000,11027.0000,0.6831
2023-12-28,62.9000,64.1000,61.5000,63.7500,22440.0000,0.6775
2023-12-31,65.0000,66.9000,64.5000,66.0000,22867.0000,0.2511
2024-01-01,67.0500,67.0500,62.8000,63.2500,24801.0000,0.3983
