Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,72.4762,73.6507,71.5464,72.0357,109482.0,0.5421
2023-06-06,72.7698,74.8741,72.2315,73.7485,254941.0,0.6847
2023-06-07,73.8953,74.2379,71.3995,71.4485,212969.0,0.6312
2023-06-08,72.8187,76.3911,71.057,75.1677,784764.0,0.6284
2023-06-11,75.9018,75.9018,73.2102,73.406,143271.0,0.6530
2023-06-12,74.14,74.14,72.3783,73.2592,130729.0,0.3913
2023-06-13,73.1613,73.406,72.6719,72.8677,69207.0,0.6446
2023-06-14,73.2102,73.406,71.1059,71.3995,183600.0,0.5916
2023-06-15,72.1336,75.6082,71.1549,74.923,276305.0,0.6433
2023-06-18,75.5592,76.1465,73.6996,74.14,137600.0,0.6667
2023-06-19,74.8741,75.5592,73.5038,74.5805,94622.0,0.6224
2023-06-20,75.3635,76.1954,74.0911,74.2868,164560.0,0.6522
2023-06-21,75.4124,77.2231,74.5805,75.1677,535256.0,0.5496
2023-06-22,74.6783,76.1954,72.8187,74.4826,190817.0,0.4264
2023-06-25,77.321,80.9423,75.6081,79.4742,1131658.0,0.4315
2023-06-26,81.2359,82.3615,79.4742,79.8168,417958.0,0.4867
2023-06-27,79.9146,80.6487,77.5656,78.055,227919.0,0.5437
2023-06-29,78.6912,79.2784,76.7826,77.5656,288152.0,0.5530
2023-07-02,77.6635,78.838,76.538,77.7125,166073.0,0.5574
2023-07-03,78.2508,78.5933,75.9507,76.2933,176200.0,0.6184
2023-07-04,76.3422,78.2997,76.3422,77.0763,101111.0,0.5504
2023-07-05,77.7125,80.6976,76.8805,79.2785,281168.0,0.6276
2023-07-06,79.5721,80.9913,78.2997,78.5444,235867.0,0.5119
2023-07-09,78.9848,82.1168,77.5167,78.2508,187365.0,0.5615
2023-07-10,77.9082,82.753,77.9082,81.3338,631290.0,0.5662
2023-07-11,82.4594,83.9275,80.2083,80.6976,535105.0,0.5077
2023-07-12,81.4317,90.4362,81.1381,86.3254,2121389.0,0.3899
2023-07-13,86.8637,87.8914,83.7807,84.4169,550935.0,0.5777
2023-07-16,85.6403,101.3002,85.6403,96.2597,5149084.0,0.3136
2023-07-17,98.8534,103.6492,96.8959,98.2661,1882994.0,0.4214
2023-07-18,97.9236,108.1025,97.9236,105.8025,2589391.0,0.3265
2023-07-19,105.0684,111.626,105.0684,109.5217,1669256.0,0.3163
2023-07-20,109.5706,113.0452,107.711,111.5771,853642.0,0.6647
2023-07-23,112.409,117.2538,111.8218,112.7516,757506.0,0.6371
2023-07-24,111.8218,113.0941,101.8875,103.9918,971074.0,0.5808
2023-07-25,105.0195,106.3897,103.2577,104.2854,260562.0,0.6293
2023-07-26,104.9216,112.5558,104.4322,107.8578,375772.0,0.6390
2023-07-27,108.2493,112.3601,107.6621,110.1579,350513.0,0.6594
2023-07-30,110.5005,115.4921,110.5005,114.4154,574749.0,0.6324
2023-07-31,114.9537,130.8584,114.9537,127.4328,2308870.0,0.3901
2023-08-01,130.5647,138.982,126.0625,132.5712,3126849.0,0.2804
2023-08-02,136.0457,138.1011,131.4456,133.7457,889756.0,0.4302
2023-08-03,134.9202,139.8628,134.5776,135.7521,1037364.0,0.4073
2023-08-06,137.2202,138.982,130.4669,131.935,684808.0,0.4569
2023-08-07,132.6201,136.4372,128.3137,132.5222,762354.0,0.2982
2023-08-08,132.6691,145.7353,131.935,144.2183,2019413.0,0.3985
2023-08-09,144.9523,147.5949,140.6948,144.3161,883607.0,0.4621
2023-08-10,144.5119,145.0502,133.501,134.7244,531372.0,0.6399
2023-08-13,131.6414,142.9459,129.4881,136.9266,581080.0,0.5071
2023-08-15,138.0032,139.8628,131.6903,132.8159,571043.0,0.6977
2023-08-16,133.4521,138.0032,132.8648,135.8989,404266.0,0.6199
2023-08-17,135.85,135.85,131.7882,133.0116,259784.0,0.6696
2023-08-20,130.6626,132.4733,129.2924,129.9286,231878.0,0.7228
2023-08-21,130.1733,135.067,130.1733,130.6626,165940.0,0.5855
2023-08-22,130.6626,132.9137,124.154,126.0136,336230.0,0.7153
2023-08-23,125.8178,128.2158,119.3581,121.3156,834119.0,0.6909
2023-08-24,120.3858,126.0136,113.4367,117.5474,741827.0,0.6693
2023-08-27,118.4283,129.2924,118.4283,129.2924,794221.0,0.7045
2023-08-28,135.067,136.4862,131.935,133.3542,646695.0,0.6135
2023-08-29,134.4797,135.9479,131.152,131.7393,191341.0,0.6620
2023-08-30,132.718,132.8159,120.8262,124.9859,328394.0,0.5754
2023-08-31,127.9221,134.0882,127.5306,132.3754,483718.0,0.4635
2023-09-03,133.4031,134.9691,128.803,130.8584,276209.0,0.5449
2023-09-04,129.1945,133.8925,128.2158,129.4392,187214.0,0.5818
2023-09-05,131.0541,134.0882,128.7051,132.5712,342126.0,0.5597
2023-09-06,133.501,136.0457,131.6414,133.5499,330982.0,0.6704
2023-09-07,134.3819,134.9202,129.7818,130.7116,283536.0,0.6186
2023-09-10,132.0329,133.9904,131.152,132.3754,124965.0,0.5999
2023-09-11,131.7882,141.2331,119.1624,126.0625,975821.0,0.4298
2023-09-12,129.1945,129.1945,121.9518,125.8178,247963.0,0.5668
2023-09-13,126.8944,134.0882,126.8455,132.2286,424253.0,0.5530
2023-09-14,132.2286,133.5989,128.7051,129.5371,157701.0,0.6821
2023-09-17,129.5371,131.935,125.7689,127.1391,231446.0,0.6845
2023-09-19,127.1391,134.8223,127.1391,131.9839,513873.0,0.5383
2023-09-20,132.1307,133.2074,128.2158,129.3413,190382.0,0.6008
2023-09-21,130.0754,130.7605,126.2583,128.7541,138820.0,0.5343
2023-09-24,129.9775,138.7862,128.4115,137.1713,703569.0,0.6524
2023-09-25,137.416,139.4224,134.235,135.9968,242812.0,0.6211
2023-09-26,136.9266,138.982,135.8989,138.8352,368148.0,0.7302
2023-09-27,139.6671,151.6078,135.5564,148.9162,2021187.0,0.4814
2023-09-28,150.2376,152.8802,145.0013,147.7417,665805.0,0.4951
2023-10-02,147.1545,147.1545,138.7862,140.9395,396501.0,0.5862
2023-10-03,140.4011,142.897,131.0052,136.1925,582008.0,0.5149
2023-10-04,136.3394,139.4224,134.3329,135.4585,203893.0,0.5454
2023-10-05,137.1224,138.4437,131.6903,134.3329,211530.0,0.5298
2023-10-08,134.3329,135.4096,127.6285,128.7541,323511.0,0.6091
2023-10-09,131.1031,133.0116,129.7818,130.8584,136283.0,0.5814
2023-10-10,131.8861,136.9266,129.3903,130.5647,396981.0,0.5544
2023-10-11,131.3967,133.501,130.1732,132.1307,165184.0,0.6299
2023-10-12,131.152,133.501,128.2158,130.2222,163463.0,0.6237
2023-10-15,129.3413,131.9839,129.3413,130.2222,141036.0,0.5423
2023-10-16,131.1031,132.9137,130.0264,131.2499,103953.0,0.5783
