Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,16.5,16.5,15.6,16.3,42841.0,0.7146
2023-06-06,16.4,18.3,16.25,16.85,298473.0,0.3086
2023-06-07,17.0,17.75,16.8,16.9,125255.0,0.5225
2023-06-08,17.05,17.5,16.85,17.05,42577.0,0.5214
2023-06-11,17.15,17.35,17.05,17.15,37601.0,0.5212
2023-06-12,17.25,17.3,16.85,16.9,41810.0,0.7467
2023-06-13,17.0,17.0,16.2,16.6,51291.0,0.6332
2023-06-14,16.55,17.15,16.5,16.85,39129.0,0.6843
2023-06-15,17.0,17.2,16.85,16.95,53571.0,0.6213
2023-06-18,17.15,17.15,16.85,16.9,17618.0,0.7867
2023-06-19,17.05,19.15,16.9,17.7,514691.0,0.3712
2023-06-20,18.0,18.1,17.6,17.65,78593.0,0.7213
2023-06-21,17.95,17.95,17.0,17.05,54505.0,0.6816
2023-06-22,17.05,17.8,17.0,17.15,73612.0,0.5935
2023-06-25,17.4,17.45,16.85,17.0,36997.0,0.7563
2023-06-26,17.05,17.35,16.9,16.95,31053.0,0.7104
2023-06-27,17.1,17.2,16.9,16.9,20706.0,0.9633
2023-06-29,16.6,16.95,16.6,16.75,45557.0,0.5952
2023-07-02,16.75,17.45,16.6,17.1,55234.0,0.5556
2023-07-03,17.65,18.85,17.6,18.1,252265.0,0.5644
2023-07-04,18.1,18.65,17.9,18.3,189606.0,0.5703
2023-07-05,18.3,18.7,17.95,18.15,72413.0,0.6210
2023-07-06,18.2,18.45,17.65,17.8,44792.0,0.5613
2023-07-09,17.7,17.95,17.55,17.7,13952.0,0.7819
2023-07-10,17.5,17.95,17.4,17.55,41547.0,0.5061
2023-07-11,17.6,17.8,17.25,17.45,58215.0,0.6664
2023-07-12,17.5,17.75,17.15,17.25,45406.0,0.6733
2023-07-13,17.5,17.5,16.9,16.95,36032.0,0.7802
2023-07-16,17.15,17.45,16.95,17.35,32647.0,0.7755
2023-07-17,17.55,17.7,17.15,17.3,22757.0,0.7200
2023-07-18,17.2,17.7,16.9,17.25,67032.0,0.6627
2023-07-19,17.4,17.45,17.0,17.1,42108.0,0.7322
2023-07-20,17.1,17.4,16.9,16.95,51795.0,0.8560
2023-07-23,17.2,17.45,16.95,17.05,57538.0,0.6835
2023-07-24,17.0,17.25,16.85,16.95,35084.0,0.9264
2023-07-25,17.1,17.5,17.0,17.25,46378.0,0.5993
2023-07-26,17.4,17.4,16.55,16.95,97511.0,0.6393
2023-07-27,17.0,17.15,16.55,16.75,79888.0,0.6385
2023-07-30,16.75,17.4,16.75,16.9,69455.0,0.6117
2023-07-31,17.1,17.3,16.85,17.0,60481.0,0.6584
2023-08-01,17.1,17.15,16.85,17.05,49168.0,0.8403
2023-08-02,17.1,17.4,16.8,16.9,49557.0,0.6455
2023-08-03,17.1,17.1,16.7,16.8,33166.0,0.7892
2023-08-06,17.25,17.25,16.55,16.6,104948.0,0.7563
2023-08-07,16.8,16.85,16.55,16.65,63657.0,0.6645
2023-08-08,16.75,16.8,16.45,16.7,35554.0,0.6083
2023-08-09,16.75,17.0,16.7,16.85,44023.0,0.8995
2023-08-10,16.95,16.95,16.55,16.7,40143.0,0.6883
2023-08-13,16.85,16.85,16.2,16.3,62231.0,0.8398
2023-08-15,16.5,16.9,16.25,16.4,59114.0,0.5654
2023-08-16,16.6,16.65,16.4,16.5,19844.0,0.7885
2023-08-17,16.6,16.65,15.9,16.15,57632.0,0.7046
2023-08-20,16.05,16.45,16.0,16.05,35006.0,0.7687
2023-08-21,16.25,16.25,15.6,16.0,62247.0,0.7690
2023-08-22,16.1,16.35,16.0,16.1,50104.0,0.7297
2023-08-23,16.4,16.4,15.95,16.1,50583.0,0.6551
2023-08-24,16.0,16.25,15.9,16.05,43528.0,0.6882
2023-08-27,16.0,16.25,16.0,16.1,38874.0,0.6404
2023-08-28,16.2,17.6,16.0,17.4,556800.0,0.5000
2023-08-29,17.8,18.0,17.75,17.9,199268.0,0.8105
2023-08-30,17.95,18.2,17.55,17.7,131015.0,0.7307
2023-08-31,17.45,17.95,17.3,17.65,90375.0,0.7755
2023-09-03,17.85,21.15,17.85,21.15,1568479.0,0.5787
2023-09-04,22.0,23.75,20.8,21.1,1967594.0,0.4984
2023-09-05,21.75,21.9,20.6,21.15,352082.0,0.5901
2023-09-06,21.5,21.5,20.0,20.5,303206.0,0.5255
2023-09-07,20.55,21.0,20.15,20.4,129501.0,0.7082
2023-09-10,20.6,21.1,19.7,19.8,388735.0,0.5091
2023-09-11,19.85,20.1,18.25,18.6,157689.0,0.5898
2023-09-12,18.8,19.15,18.15,18.5,104959.0,0.4747
2023-09-13,18.8,21.3,18.75,20.45,883425.0,0.4180
2023-09-14,20.6,20.65,19.75,20.1,158461.0,0.6466
2023-09-17,20.25,20.25,19.5,20.0,140578.0,0.6810
2023-09-19,20.0,20.0,19.3,19.4,75050.0,0.6881
2023-09-20,19.6,21.3,19.4,20.35,531476.0,0.5914
2023-09-21,20.6,21.2,20.25,20.35,151084.0,0.5798
2023-09-24,20.55,20.7,19.6,19.75,124330.0,0.6377
2023-09-25,20.5,20.5,20.05,20.45,102738.0,0.7126
2023-09-26,20.45,21.3,19.5,20.1,148081.0,0.6066
2023-09-27,20.3,20.9,19.55,19.85,186003.0,0.6072
2023-09-28,19.9,20.4,19.75,20.1,113560.0,0.6228
2023-10-02,20.0,20.6,19.65,19.85,138737.0,0.7445
2023-10-03,19.75,20.0,18.8,19.15,102902.0,0.7271
2023-10-04,19.35,19.7,19.0,19.2,89137.0,0.6237
2023-10-05,19.35,19.7,19.0,19.4,87774.0,0.6083
2023-10-08,19.05,19.5,18.65,18.85,74764.0,0.7304
2023-10-09,19.0,19.9,19.0,19.65,79781.0,0.7247
2023-10-10,19.95,22.3,19.35,20.4,458850.0,0.5741
2023-10-11,20.65,20.85,20.1,20.45,120912.0,0.7581
2023-10-12,20.45,20.45,19.5,19.7,172298.0,0.6823
2023-10-15,20.0,20.05,19.05,19.6,157367.0,0.4457
2023-10-16,19.6,20.0,19.5,19.7,69683.0,0.6375
2023-10-17,19.65,19.85,19.05,19.25,100670.0,0.6583
2023-10-18,19.3,20.4,19.1,19.85,295718.0,0.6023
2023-10-19,19.95,20.05,19.0,19.15,178332.0,0.6106
2023-10-22,19.25,19.4,18.55,18.65,85969.0,0.7763
2023-10-24,18.85,18.85,17.1,17.8,154058.0,0.5934
2023-10-25,17.9,17.9,16.6,17.25,187623.0,0.6828
2023-10-26,17.55,17.95,17.5,17.85,60598.0,0.5683
2023-10-29,18.0,18.0,17.35,17.65,61304.0,0.7254
2023-10-30,17.75,18.2,17.55,17.7,61845.0,0.6485
2023-10-31,18.0,18.0,17.6,17.7,42564.0,0.5686
2023-11-01,18.0,18.6,17.8,18.0,116844.0,0.7940
2023-11-02,18.05,18.5,17.8,18.0,123698.0,0.6483
2023-11-05,18.2,18.8,18.05,18.45,130695.0,0.6708
2023-11-06,18.6,19.4,18.3,18.85,115640.0,0.5709
2023-11-07,19.0,19.6,18.35,18.65,147652.0,0.6248
2023-11-08,18.7,20.5,18.5,19.55,331528.0,0.7052
2023-11-09,19.9,20.05,19.4,19.55,116681.0,0.6740
2023-11-12,19.85,19.9,19.45,19.55,57528.0,0.6762
2023-11-14,19.75,20.5,19.75,20.3,206787.0,0.6656
2023-11-15,20.3,21.3,20.3,20.75,515079.0,0.7283
2023-11-16,20.9,20.95,20.25,20.4,199411.0,0.6626
2023-11-19,20.95,20.95,19.55,19.7,173094.0,0.6703
2023-11-20,20.05,20.05,19.15,19.5,122344.0,0.6278
2023-11-21,19.95,20.0,18.9,19.1,136701.0,0.7009
2023-11-22,19.2,19.6,19.0,19.15,67245.0,0.5784
2023-11-23,19.3,19.6,19.05,19.2,68820.0,0.6373
2023-11-27,19.35,19.35,18.9,19.05,99137.0,0.7918
2023-11-28,19.25,19.45,19.05,19.15,53828.0,0.5434
2023-11-29,19.3,19.3,18.75,19.0,52156.0,0.6054
2023-11-30,18.8,19.35,18.8,19.05,48806.0,0.6336
2023-12-03,19.2,19.4,18.95,19.15,46575.0,0.6617
2023-12-04,19.15,19.45,19.0,19.15,101113.0,0.8217
2023-12-05,19.3,20.4,19.05,20.05,403236.0,0.6225
2023-12-06,20.65,22.5,20.05,21.65,966807.0,0.5871
2023-12-07,21.95,22.85,21.65,21.8,740094.0,0.6831
2023-12-10,22.15,26.15,21.8,26.15,2217291.0,0.5896
2023-12-11,29.15,31.35,28.5,31.35,5727192.0,0.3420
2023-12-12,32.4,34.4,30.0,34.15,5189042.0,0.3961
2023-12-13,36.8,36.8,31.4,32.05,2115251.0,0.5039
2023-12-14,32.3,32.3,30.45,30.45,91590.0,0.5039
2023-12-17,28.95,28.95,28.95,28.95,91439.0,0.5039
2023-12-18,27.5,28.05,27.5,27.5,200901.0,0.5039
2023-12-19,27.1,28.0,26.15,26.15,549939.0,0.5039
2023-12-20,25.1,27.45,24.85,27.35,329076.0,0.5039
2023-12-21,27.3,27.7,26.0,26.0,267179.0,0.5039
2023-12-25,26.0,26.4,24.7,24.7,183872.0,0.5039
2023-12-26,24.7,25.9,24.1,25.9,149477.0,0.5039
2023-12-27,26.55,27.15,26.5,27.15,78325.0,0.5039
2023-12-28,28.0,28.3,26.15,26.7,230244.0,0.5039
2023-12-31,26.9,27.7,26.05,27.25,99271.0,0.5039
2024-01-01,27.15,27.5,25.9,26.6,212105.0,0.5039
2024-01-02,26.6,26.75,25.35,26.3,160759.0,0.5039
2024-01-03,26.5,26.75,26.0,26.35,98983.0,0.5039
2024-01-04,26.85,27.0,25.3,26.7,167837.0,0.5039
2024-01-07,27.3,27.5,26.35,26.75,129124.0,0.5039
2024-01-08,27.45,27.45,26.2,26.8,133340.0,0.5039
2024-01-09,27.3,27.3,26.6,27.05,119195.0,0.5039
2024-01-10,27.5,27.5,26.55,26.75,94607.0,0.5039
2024-01-11,27.4,27.4,26.5,27.05,112667.0,0.5039
2024-01-14,27.5,27.5,26.1,26.75,154665.0,0.5039
2024-01-15,26.8,26.95,26.0,26.15,100742.0,0.5039
2024-01-16,26.05,26.05,25.0,25.2,111796.0,0.5039
2024-01-17,25.45,25.45,24.25,25.3,54237.0,0.5039
2024-01-18,25.5,25.9,24.85,25.25,97974.0,0.5039
2024-01-22,26.4,26.75,25.2,25.35,112856.0,0.5039
2024-01-23,25.95,26.45,25.0,26.15,115038.0,0.5039
2024-01-24,26.5,27.0,26.05,26.85,154927.0,0.5039
2024-01-28,27.45,28.15,27.45,28.15,110923.0,0.5039
2024-01-29,29.55,29.55,29.55,29.55,74834.0,0.5039
2024-01-30,31.0,31.0,31.0,31.0,74552.0,0.5039
2024-01-31,30.4,30.4,30.4,30.4,50123.0,0.5039
2024-02-01,29.8,29.8,29.8,29.8,26730.0,0.5039
2024-02-04,29.2,29.2,29.2,29.2,17318.0,0.5039
2024-02-05,28.65,28.65,28.65,28.65,31249.0,0.5039
2024-02-06,28.1,28.1,28.1,28.1,36747.0,0.5039
2024-02-07,27.55,27.55,27.55,27.55,14402.0,0.5039
2024-02-08,27.0,27.0,27.0,27.0,17766.0,0.5039
2024-02-11,26.5,26.5,26.5,26.5,5516.0,0.5039
2024-02-12,26.0,26.0,26.0,26.0,6312.0,0.5039
2024-02-13,25.5,25.5,25.5,25.5,10584.0,0.5039
2024-02-14,25.0,25.0,25.0,25.0,17412.0,0.5039
2024-02-15,24.5,24.5,24.5,24.5,35765.0,0.5039
2024-02-18,24.05,24.05,24.05,24.05,23209.0,0.5039
2024-02-19,23.6,23.6,23.6,23.6,43606.0,0.5039
2024-02-20,23.15,23.15,23.15,23.15,23903.0,0.5039
2024-02-21,22.7,22.7,22.7,22.7,21511.0,0.5039
2024-02-22,22.6,22.6,22.35,22.6,130409.0,0.5039
2024-02-25,22.5,22.6,22.5,22.5,24537.0,0.5039
2024-02-26,22.05,22.5,22.05,22.05,24069.0,0.5039
2024-02-27,21.6,21.6,21.6,21.6,19732.0,0.5039
2024-02-28,21.2,21.3,21.2,21.2,19918.0,0.5039
2024-02-29,20.8,21.25,20.8,20.8,43705.0,0.5039
2024-03-03,20.7,20.7,20.7,20.7,14262.0,0.5039
2024-03-04,20.4,20.7,20.3,20.4,45344.0,0.5039
2024-03-05,20.0,20.4,20.0,20.0,38644.0,0.5039
2024-03-06,20.4,20.4,20.4,20.4,22229.0,0.5039
2024-03-10,21.4,21.4,21.4,21.4,66210.0,0.5039
2024-03-11,22.45,22.45,22.45,22.45,36007.0,0.5039
2024-03-12,23.55,23.55,21.35,21.35,177349.0,0.5039
2024-03-13,20.3,22.25,20.3,20.45,92132.0,0.5039
2024-03-14,21.45,21.45,19.45,20.1,79677.0,0.5039
2024-03-17,19.15,20.95,19.1,19.4,90864.0,0.5039
2024-03-18,19.3,20.2,18.9,19.75,47151.0,0.5039
2024-03-19,19.75,20.5,19.0,19.45,33122.0,0.5039
2024-03-20,20.4,20.4,19.5,19.65,43402.0,0.5039
2024-03-21,19.85,20.6,19.5,20.3,62442.0,0.5039
2024-03-25,20.35,22.3,20.35,22.3,263497.0,0.6774
2024-03-26,22.3,22.3,21.1,21.25,234904.0,0.7934
2024-03-27,21.95,22.8,21.25,22.0,211104.0,0.7917
2024-03-31,22.45,23.25,22.45,23.05,112728.0,0.7448
2024-04-01,24.0,24.5,23.3,24.3,166240.0,0.8133
2024-04-02,24.8,26.7,24.7,26.7,204670.0,0.6841
2024-04-03,28.35,29.35,26.85,29.35,1449307.0,0.4583
2024-04-04,30.0,30.0,27.9,27.9,567475.0,0.8387
2024-04-07,26.5,26.5,26.5,26.5,65648.0,1.0000
2024-04-08,25.2,25.2,25.2,25.2,83359.0,1.0000
2024-04-09,24.5,26.25,24.1,24.45,620218.0,0.4543
2024-04-11,24.4,25.2,23.75,23.8,158448.0,0.7234
2024-04-14,23.4,23.4,22.65,22.65,234498.0,0.6758
2024-04-15,21.65,23.75,21.65,23.75,163588.0,0.7227
2024-04-17,24.4,24.9,24.05,24.4,333488.0,0.5207
2024-04-18,24.2,24.2,23.3,23.6,164006.0,0.7549
2024-04-21,24.0,24.75,23.05,23.4,218781.0,0.5747
2024-04-22,23.45,23.6,22.25,22.95,389518.0,0.5634
2024-04-23,22.95,24.05,22.95,24.05,193286.0,0.7903
2024-04-24,24.0,24.05,23.3,23.75,106144.0,0.6665
2024-04-25,24.0,24.5,23.6,23.85,87773.0,0.6338
2024-04-28,24.0,25.0,24.0,25.0,207123.0,0.6977
2024-04-29,25.65,25.85,24.65,25.05,200284.0,0.7060
2024-05-01,25.45,25.45,24.5,24.6,100203.0,0.7973
2024-05-02,24.35,24.8,24.05,24.15,85183.0,0.6940
2024-05-05,24.35,24.4,23.7,23.75,83138.0,0.6642
2024-05-06,23.25,24.7,22.6,22.9,241121.0,0.5418
2024-05-07,22.85,23.7,22.6,23.5,75582.0,0.7379
2024-05-08,23.5,23.85,22.6,23.0,47026.0,0.6347
2024-05-09,23.7,23.7,22.85,23.25,42112.0,0.6357
2024-05-12,23.05,23.9,22.65,23.3,56451.0,0.5511
2024-05-13,23.4,23.8,22.8,23.5,59888.0,0.5960
2024-05-14,23.75,23.75,23.1,23.35,47994.0,0.6558
2024-05-15,23.85,23.85,23.1,23.15,44319.0,0.7069
2024-05-16,23.5,23.55,22.65,23.2,63508.0,0.6331
2024-05-20,23.0,23.7,22.95,23.15,71659.0,0.7269
2024-05-21,23.15,23.45,22.65,22.95,72371.0,0.6657
2024-05-22,22.95,23.85,22.8,22.85,143562.0,0.4531
2024-05-23,23.15,23.4,22.9,23.0,84384.0,0.7888
2024-05-26,23.4,23.75,23.0,23.1,72011.0,0.6975
2024-05-27,23.1,23.7,22.55,22.75,73199.0,0.7055
2024-05-28,23.3,23.3,22.6,22.65,46545.0,0.7642
2024-05-29,22.15,22.85,21.8,22.0,107948.0,0.7484
2024-05-30,22.35,22.35,21.2,21.3,144964.0,0.7255
2024-06-02,21.95,22.35,21.55,22.35,150124.0,0.7857
2024-06-03,22.7,22.7,21.25,21.25,164155.0,0.6347
2024-06-04,21.05,21.95,20.3,20.95,124269.0,0.6117
2024-06-05,21.75,21.95,21.3,21.6,77080.0,0.6685
2024-06-06,22.4,22.65,22.0,22.6,109886.0,0.7152
2024-06-09,22.9,22.94,22.0,22.13,117822.0,0.6459
