Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,14.0,14.0,14.0,14.0,631.0,nan
2023-06-06,13.5,14.0,13.3,14.0,525.0,nan
2023-06-07,13.9,13.9,13.3,13.3,400.0,nan
2023-06-08,13.3,13.3,13.3,13.3,0.0,nan
2023-06-11,12.65,13.3,12.65,13.3,4481.0,nan
2023-06-12,12.65,13.95,12.65,13.65,2119.0,nan
2023-06-13,14.3,14.3,13.0,13.0,3099.0,nan
2023-06-14,12.55,13.65,12.55,13.65,1793.0,nan
2023-06-15,14.3,14.3,14.0,14.0,501.0,nan
2023-06-18,14.7,14.7,13.3,14.0,271.0,nan
2023-06-19,14.7,14.7,14.7,14.7,121.0,nan
2023-06-20,14.7,14.7,14.7,14.7,0.0,nan
2023-06-21,14.7,14.7,14.7,14.7,0.0,nan
2023-06-22,15.4,15.4,14.0,14.0,141.0,nan
2023-06-25,14.0,14.0,14.0,14.0,0.0,nan
2023-06-26,14.0,14.0,14.0,14.0,1.0,nan
2023-06-27,14.7,14.7,13.3,13.95,1002.0,nan
2023-06-29,13.95,13.95,13.95,13.95,0.0,nan
2023-07-02,13.95,13.95,13.95,13.95,0.0,nan
2023-07-03,14.6,14.6,14.45,14.45,6.0,nan
2023-07-04,14.45,14.45,14.45,14.45,0.0,nan
2023-07-05,14.45,14.45,14.45,14.45,0.0,nan
2023-07-06,15.5,15.5,14.9,14.9,10.0,nan
2023-07-09,15.6,15.6,14.15,14.15,1134.0,0.8095
2023-07-10,14.15,14.15,13.45,13.45,2480.0,0.9980
2023-07-11,12.8,12.8,12.8,12.8,4924.0,0.9980
2023-07-12,12.25,13.25,12.25,13.05,3154.0,0.9980
2023-07-13,12.5,13.0,12.4,12.4,714.0,0.9980
2023-07-16,11.8,11.8,11.8,11.8,1681.0,0.9980
2023-07-17,11.8,12.35,11.8,12.35,258.0,0.9980
2023-07-18,12.95,12.95,11.8,11.85,6508.0,0.9980
2023-07-19,12.4,12.4,11.85,12.0,2524.0,0.9980
2023-07-20,12.0,12.55,12.0,12.5,2555.0,0.9980
2023-07-23,13.1,13.1,12.1,12.85,1799.0,0.9980
2023-07-24,12.85,12.85,12.65,12.65,110.0,0.9980
2023-07-25,12.65,13.2,12.1,12.2,339.0,0.9980
2023-07-26,12.4,12.7,12.0,12.0,1777.0,0.9980
2023-07-27,12.25,12.55,11.6,12.5,209.0,0.9980
2023-07-30,12.5,12.5,11.9,12.45,1162.0,0.9980
2023-07-31,12.45,12.45,11.85,11.9,3591.0,0.9980
2023-08-01,11.9,12.3,11.5,12.3,1926.0,0.9980
2023-08-02,12.9,12.9,11.9,11.9,1817.0,0.9980
2023-08-03,12.45,12.45,12.45,12.45,1394.0,0.9980
2023-08-06,12.0,13.0,11.85,11.85,7473.0,0.9980
2023-08-07,12.4,12.4,11.25,12.2,2770.0,0.9980
2023-08-08,12.15,12.15,11.6,11.95,615.0,0.9980
2023-08-09,12.5,12.5,11.35,11.5,2714.0,0.9980
2023-08-10,12.05,12.05,11.15,12.05,1311.0,0.9980
2023-08-13,12.05,12.05,12.0,12.0,172.0,0.9980
2023-08-15,12.0,12.0,11.7,11.7,965.0,0.9980
2023-08-16,11.8,11.8,11.15,11.8,1923.0,0.9980
2023-08-17,11.8,11.8,11.8,11.8,3.0,0.9980
2023-08-20,11.8,11.8,11.75,11.75,4.0,0.9980
2023-08-21,11.2,11.7,11.2,11.3,612.0,0.9980
2023-08-22,11.3,11.3,10.75,11.25,1556.0,0.9980
2023-08-23,11.25,11.25,11.25,11.25,454.0,0.9980
2023-08-24,11.2,11.2,11.2,11.2,533.0,0.9980
2023-08-27,11.0,11.1,10.7,10.75,482.0,0.9980
2023-08-28,10.8,11.0,10.8,10.9,63.0,0.9980
2023-08-29,10.9,10.9,10.8,10.8,594.0,0.9980
2023-08-30,10.8,10.8,10.3,10.8,1363.0,0.9980
2023-08-31,11.0,11.3,10.3,10.4,606.0,0.9980
2023-09-03,10.4,10.9,10.0,10.9,4185.0,0.9980
2023-09-04,10.95,11.4,10.95,11.4,458.0,0.9980
2023-09-05,11.95,11.95,11.85,11.9,4431.0,0.9980
2023-09-06,11.9,12.45,11.4,12.35,2959.0,0.9980
2023-09-07,12.35,12.35,12.35,12.35,6.0,0.9980
2023-09-10,12.35,12.95,11.8,12.85,5961.0,0.9980
2023-09-11,12.6,12.8,12.8,12.8,808.0,0.9980
2023-09-12,12.8,12.8,12.8,12.8,733.0,0.9980
2023-09-13,12.55,12.55,12.55,12.55,500.0,0.9980
2023-09-14,12.55,12.55,12.55,12.55,0.0,0.9980
2023-09-17,12.3,12.3,12.3,12.3,1.0,0.9980
2023-09-19,12.3,12.3,12.3,12.3,0.0,0.9980
2023-09-20,12.3,12.3,12.3,12.3,0.0,0.9980
2023-09-21,12.3,12.3,12.3,12.3,0.0,0.9980
2023-09-24,12.3,12.3,12.3,12.3,0.0,0.9980
2023-09-25,12.25,12.25,12.25,12.25,100.0,0.9980
2023-09-26,12.25,12.25,12.25,12.25,1.0,0.9980
2023-09-27,12.0,12.25,12.0,12.0,43.0,0.9980
2023-09-28,11.95,12.0,11.95,11.95,60.0,0.9980
2023-10-02,11.95,11.95,11.95,11.95,0.0,0.9980
2023-10-03,11.95,11.95,11.95,11.95,89.0,0.9980
2023-10-04,11.95,11.95,11.95,11.95,300.0,0.9980
2023-10-05,11.95,11.95,11.95,11.95,425.0,0.9980
2023-10-08,11.95,11.95,11.95,11.95,100.0,0.9980
2023-10-09,11.95,11.95,11.95,11.95,50.0,0.9980
2023-10-10,11.95,11.95,11.95,11.95,0.0,0.9980
2023-10-11,11.95,11.95,11.95,11.95,214.0,0.9980
2023-10-12,11.75,12.15,11.75,11.75,1235.0,0.9980
2023-10-15,11.75,12.25,11.7,11.7,954.0,0.9980
2023-10-16,11.7,11.7,11.5,11.7,1069.0,0.9980
2023-10-17,11.6,11.6,11.6,11.6,80.0,0.9980
2023-10-18,11.15,11.15,11.05,11.05,2806.0,0.9980
2023-10-19,10.6,11.6,10.6,11.0,715.0,0.9980
2023-10-22,11.55,11.55,10.5,10.6,1425.0,0.9980
2023-10-24,10.35,11.1,10.3,10.3,447.0,0.9980
2023-10-25,10.3,10.3,10.3,10.3,0.0,0.9980
2023-10-26,10.3,10.3,10.3,10.3,0.0,0.9980
2023-10-29,10.3,10.3,10.3,10.3,0.0,0.9980
2023-10-30,10.5,10.5,10.15,10.5,202.0,0.9980
2023-10-31,10.5,10.5,10.5,10.5,0.0,0.9980
2023-11-01,10.7,10.7,10.7,10.7,214.0,0.9980
2023-11-02,10.75,10.75,10.75,10.75,30.0,0.9980
2023-11-05,10.9,10.9,10.9,10.9,398.0,0.9980
2023-11-06,11.1,11.1,10.8,11.1,608.0,0.9980
2023-11-07,11.3,11.3,11.3,11.3,10.0,0.9980
2023-11-08,11.3,11.3,11.3,11.3,0.0,0.9980
2023-11-09,11.3,11.3,11.3,11.3,0.0,0.9980
2023-11-12,11.5,11.5,11.5,11.5,300.0,0.9980
2023-11-14,11.3,11.3,11.3,11.3,41.0,0.9980
2023-11-15,11.1,11.25,11.1,11.1,3.0,0.9980
2023-11-16,10.9,10.9,10.9,10.9,110.0,0.9980
2023-11-19,10.9,10.9,10.9,10.9,0.0,0.9980
2023-11-20,10.9,10.9,10.9,10.9,300.0,0.9980
2023-11-21,11.1,11.1,10.9,11.1,1024.0,0.9980
2023-11-22,10.9,10.9,10.9,10.9,599.0,0.9980
2023-11-23,11.1,11.1,11.1,11.1,128.0,0.9980
2023-11-27,11.1,11.1,11.1,11.1,1.0,0.9980
2023-11-28,11.1,11.3,11.1,11.1,101.0,0.9980
2023-11-29,11.1,11.1,11.1,11.1,520.0,0.9980
2023-11-30,10.9,10.9,10.9,10.9,324.0,0.9980
2023-12-03,11.4,11.4,10.35,10.45,1945.0,0.9980
2023-12-04,10.45,10.95,10.45,10.95,3430.0,0.9980
2023-12-05,10.5,10.85,10.5,10.85,550.0,0.9980
2023-12-06,10.5,11.1,10.5,11.1,3269.0,0.9980
2023-12-07,11.1,11.6,10.55,10.55,1725.0,0.9980
2023-12-10,10.55,10.55,10.55,10.55,0.0,0.9980
2023-12-11,11.0,11.0,11.0,11.0,83.0,0.9980
2023-12-12,11.0,11.55,11.0,11.55,2471.0,0.9980
2023-12-13,12.05,12.1,11.0,11.5,16638.0,0.9980
2023-12-14,11.5,12.05,10.95,11.0,19493.0,0.9980
2023-12-17,10.45,11.55,10.45,11.35,4201.0,0.9745
2023-12-18,11.9,11.9,10.8,11.9,87753.0,0.1350
2023-12-19,12.4,12.45,11.9,12.35,21860.0,0.9247
2023-12-20,12.9,12.9,11.85,12.8,21179.0,0.7862
2023-12-21,13.1,13.4,12.4,13.1,17429.0,0.6693
2023-12-25,13.1,13.7,12.45,12.45,26641.0,0.8100
2023-12-26,12.45,12.75,11.95,12.5,10919.0,0.9516
2023-12-27,12.95,13.1,12.0,12.0,11929.0,0.3279
2023-12-28,12.0,12.3,11.4,11.8,16219.0,0.8760
2023-12-31,11.5,11.9,11.35,11.7,3468.0,0.3065
2024-01-01,11.95,12.25,11.3,11.95,7801.0,0.5724
2024-01-02,12.2,12.2,11.6,12.2,10662.0,0.7061
2024-01-03,12.2,12.8,11.85,12.8,17393.0,0.7957
2024-01-04,13.15,13.4,13.15,13.3,11345.0,0.9841
2024-01-07,13.95,13.95,12.65,13.15,16328.0,0.9280
2024-01-08,13.75,13.8,12.65,13.65,9165.0,0.6616
2024-01-09,13.95,14.3,13.25,14.3,32861.0,0.8163
2024-01-10,14.8,14.9,13.6,14.0,18969.0,0.5433
2024-01-11,14.0,14.7,13.7,13.85,17818.0,0.8576
2024-01-14,13.4,14.4,13.15,13.3,12134.0,0.7060
2024-01-15,13.45,13.45,12.75,12.75,5261.0,0.8274
2024-01-16,12.75,12.95,12.25,12.85,1853.0,0.4463
2024-01-17,12.95,12.95,12.3,12.65,2839.0,0.6682
2024-01-18,12.7,13.25,12.65,13.25,3305.0,0.9973
2024-01-22,14.55,14.55,13.2,13.25,2916.0,0.8656
2024-01-23,12.65,13.7,12.6,13.05,9174.0,0.7012
2024-01-24,12.6,13.65,12.4,13.1,16744.0,0.7121
2024-01-28,13.0,13.6,12.5,12.55,11854.0,0.6308
2024-01-29,12.95,12.95,12.65,12.9,3513.0,0.9701
2024-01-30,12.95,13.4,12.65,13.2,2222.0,0.7763
2024-01-31,13.1,13.85,12.9,13.05,8781.0,0.9784
2024-02-01,13.7,13.7,13.25,13.45,6333.0,0.9566
2024-02-04,14.1,14.1,13.6,13.75,4235.0,0.9358
2024-02-05,14.4,14.4,14.0,14.3,7947.0,0.9935
2024-02-06,15.0,15.0,13.65,14.75,8184.0,0.7920
2024-02-07,14.9,15.45,14.1,14.7,14739.0,0.7880
2024-02-08,14.7,15.4,14.0,14.3,5085.0,0.7182
2024-02-11,14.3,15.0,14.05,14.4,6650.0,0.7119
2024-02-12,14.4,14.4,13.7,13.8,6181.0,0.9576
2024-02-13,13.8,14.45,13.3,13.95,1405.0,0.7673
2024-02-14,13.95,13.95,13.25,13.9,6364.0,0.9392
2024-02-15,13.85,14.0,13.3,13.3,1628.0,0.9545
2024-02-18,13.4,13.4,13.3,13.3,307.0,1.0000
2024-02-19,13.3,13.3,12.8,12.85,902.0,1.0000
2024-02-20,13.45,13.45,12.25,12.5,6759.0,0.8624
2024-02-21,12.45,12.45,11.95,11.95,2113.0,1.0000
2024-02-22,12.0,12.5,12.0,12.5,8632.0,1.0000
2024-02-25,12.55,13.1,12.55,13.0,7592.0,1.0000
2024-02-26,13.0,13.65,13.0,13.65,10655.0,0.9539
2024-02-27,13.7,14.3,13.65,14.3,12801.0,0.9181
2024-02-28,15.0,15.0,14.4,15.0,26068.0,0.9055
2024-02-29,15.75,15.75,15.75,15.75,20975.0,1.0000
2024-03-03,17.3,17.3,17.3,17.3,7675.0,1.0000
2024-03-04,18.15,18.15,18.15,18.15,9254.0,1.0000
2024-03-05,19.05,19.05,19.05,19.05,21255.0,0.9793
2024-03-06,20.0,20.0,20.0,20.0,17905.0,0.9860
2024-03-10,20.0,21.0,20.0,21.0,21752.0,0.9860
2024-03-11,22.05,22.05,19.95,19.95,23973.0,0.9860
2024-03-12,18.95,18.95,18.95,18.95,1674.0,0.9860
2024-03-13,18.0,18.0,18.0,18.0,4990.0,0.9860
2024-03-14,17.1,17.1,17.1,17.1,998.0,0.9860
2024-03-17,16.25,16.25,16.25,16.25,4141.0,0.9860
