Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-19,182.3949,183.4859,178.626,180.0641,295744.0,0.6634
2023-06-20,181.1551,181.9982,173.5677,174.1132,263155.0,0.6875
2023-06-21,175.2538,177.2374,169.6005,172.7247,259269.0,0.5590
2023-06-22,174.014,174.014,168.6582,169.1541,155513.0,0.6547
2023-06-25,170.5923,178.5268,169.7988,176.444,350930.0,0.7511
2023-06-26,177.4358,183.4859,174.3612,181.7998,466738.0,0.6651
2023-06-27,183.4859,184.6761,180.6096,182.7916,251601.0,0.7472
2023-06-29,182.4941,186.4613,179.8162,181.8494,218778.0,0.6266
2023-07-02,183.4859,191.4204,183.2875,186.9572,329862.0,0.6449
2023-07-03,188.2466,190.8749,182.2957,183.6842,216110.0,0.6340
2023-07-04,184.4777,193.5032,182.5436,191.9659,388690.0,0.6284
2023-07-05,191.9163,194.2967,188.445,189.8831,196142.0,0.6325
2023-07-06,190.4286,190.4286,183.9322,185.8167,180286.0,0.6793
2023-07-09,187.2548,189.4368,181.9981,186.7589,178065.0,0.6253
2023-07-10,186.9573,189.3376,182.0478,183.2379,159918.0,0.6765
2023-07-11,185.3703,193.2553,183.7338,189.6847,218273.0,0.5656
2023-07-12,189.6847,191.4204,184.4777,186.3126,171488.0,0.5947
2023-07-13,188.8913,205.2066,187.3044,202.975,863171.0,0.6004
2023-07-16,203.6693,205.2066,195.4373,197.3713,206060.0,0.5813
2023-07-17,197.5697,199.2557,189.9327,191.5196,245801.0,0.5754
2023-07-18,193.0073,193.5032,187.4531,190.9741,176190.0,0.5567
2023-07-19,192.313,192.6106,181.9982,182.742,341704.0,0.6501
2023-07-20,181.7502,185.7671,177.1383,178.9235,297132.0,0.5685
2023-07-23,178.5268,187.9491,177.6838,186.858,225481.0,0.6124
2023-07-24,188.1474,189.1392,182.2957,183.7834,170689.0,0.6360
2023-07-25,185.4199,187.106,179.5186,179.9649,180052.0,0.7788
2023-07-26,180.56,183.7834,180.4113,182.0478,104933.0,0.7321
2023-07-27,183.4859,184.4281,180.2625,181.5023,201381.0,0.7043
2023-07-30,182.4941,183.2875,174.5595,177.4358,460428.0,0.6603
2023-07-31,178.9731,187.8498,176.9895,186.5605,336419.0,0.6278
2023-08-01,187.3044,189.1888,179.5186,182.0478,202706.0,0.6082
2023-08-02,182.3949,186.3621,181.5023,182.742,146107.0,0.6575
2023-08-03,183.5355,188.9409,181.9486,187.354,226464.0,0.6663
2023-08-06,189.4368,193.2057,187.7507,190.8749,408581.0,0.6047
2023-08-07,192.4122,192.4122,177.535,182.2461,631224.0,0.5761
2023-08-08,183.9322,186.858,179.6178,184.6761,207316.0,0.5235
2023-08-09,185.4199,186.4117,176.444,177.6342,536403.0,0.6278
2023-08-10,178.5268,180.56,174.2124,175.601,172258.0,0.6908
2023-08-13,175.8489,179.4194,171.9312,177.3366,176623.0,0.6241
2023-08-15,178.4772,181.5519,173.8653,176.2456,219183.0,0.7166
2023-08-16,176.5432,180.9072,172.6255,174.0636,343743.0,0.6042
2023-08-17,173.8157,181.5022,173.8157,180.3121,250055.0,0.6216
2023-08-20,181.0063,185.3703,176.5928,177.2374,272774.0,0.6640
2023-08-21,178.4276,181.2047,174.0636,174.8571,218441.0,0.7025
2023-08-22,176.0969,178.2293,168.4103,171.3857,546868.0,0.6554
2023-08-23,173.0222,176.1465,171.3857,172.3775,155474.0,0.5637
2023-08-24,172.328,174.262,169.6005,170.3443,161701.0,0.5549
2023-08-27,170.6419,178.4772,170.6419,176.8903,246449.0,0.7217
2023-08-28,178.2293,182.6428,174.1132,181.1551,304176.0,0.6081
2023-08-29,182.1965,185.2216,177.6342,178.378,214135.0,0.5782
2023-08-30,176.7415,183.4363,176.5432,180.1137,301585.0,0.5796
2023-08-31,181.4066,183.9427,180.0142,182.7493,164947.0,0.6577
2023-09-03,183.6941,185.3351,179.2683,180.2132,208065.0,0.4472
2023-09-04,180.611,181.6056,172.0578,177.9257,198707.0,0.5155
2023-09-05,178.423,181.9039,174.8923,175.9863,153774.0,0.6325
2023-09-06,176.9809,181.3072,175.9863,178.5224,116086.0,0.6411
2023-09-07,180.2629,180.4121,176.1355,176.5831,114606.0,0.6374
2023-09-10,180.0143,182.8985,176.9311,177.329,159163.0,0.6227
2023-09-11,180.0143,180.0143,166.8364,167.4332,255098.0,0.6616
2023-09-12,169.0742,172.7043,166.0905,169.3725,110005.0,0.6038
2023-09-13,169.6212,173.848,169.5714,172.8037,78245.0,0.6109
2023-09-14,173.7983,179.4673,169.1736,170.4665,277659.0,0.6416
2023-09-17,169.8201,177.2295,167.2342,174.4945,462314.0,0.5025
2023-09-19,172.0578,175.1907,169.1736,172.6546,150652.0,0.4278
2023-09-20,170.6654,172.3065,165.3446,165.9413,226424.0,0.6271
2023-09-21,167.0353,172.5551,163.3555,164.0019,532805.0,0.7345
2023-09-24,165.096,169.4223,163.3555,166.8364,261289.0,0.4143
2023-09-25,167.0353,192.8937,166.8364,183.4455,6222612.0,0.1670
2023-09-26,182.5504,197.9162,181.0088,196.126,3647185.0,0.2465
2023-09-27,195.9271,201.5961,189.015,190.3079,1857687.0,0.1972
2023-09-28,192.9435,199.9053,191.7997,196.3747,1663825.0,0.2453
2023-10-02,196.8719,207.3645,195.032,197.5184,1666307.0,0.2122
2023-10-03,199.5075,205.8727,195.4298,202.1431,1520651.0,0.2377
2023-10-04,202.1928,210.3482,201.3474,203.0382,1741963.0,0.1861
2023-10-05,204.3311,213.0334,199.9053,211.9892,1491077.0,0.2437
2023-10-08,209.3536,214.8236,203.8836,206.3202,2246538.0,0.1758
2023-10-09,208.8066,220.9899,208.8066,216.0668,1764169.0,0.2741
2023-10-10,218.6029,220.6915,206.1213,207.4142,1166901.0,0.3419
2023-10-11,209.3039,211.7405,202.7398,205.5246,367520.0,0.3898
2023-10-12,205.1267,214.028,203.6846,209.4531,437990.0,0.5041
2023-10-15,210.8454,212.4367,203.3365,204.0327,380628.0,0.5385
2023-10-16,205.6737,207.7623,201.5961,204.2814,253055.0,0.4090
2023-10-17,205.7732,206.0716,195.1812,196.7725,258831.0,0.5307
2023-10-18,195.7779,198.4135,190.0592,191.4019,244386.0,0.5149
2023-10-19,192.4462,193.7391,185.534,186.7772,273996.0,0.5357
2023-10-22,187.6723,189.6614,170.3174,171.9584,684664.0,0.5169
2023-10-24,174.7431,177.329,160.3221,165.1457,903682.0,0.4481
2023-10-25,164.6981,178.8208,159.2778,177.5279,1015025.0,0.3933
2023-10-26,178.5224,180.7104,173.4005,174.1464,371984.0,0.5325
2023-10-29,173.5497,175.7377,170.1682,171.4611,229744.0,0.4114
2023-10-30,172.5054,174.5442,170.3174,172.1076,164824.0,0.4300
2023-10-31,172.5054,175.9863,170.3671,173.6491,171530.0,0.4526
2023-11-01,174.942,175.9366,172.0578,174.0967,155402.0,0.5389
2023-11-02,175.489,182.252,174.0469,176.5831,386222.0,0.4890
2023-11-05,178.0252,187.8712,177.1301,185.5838,448537.0,0.5354
2023-11-06,184.987,185.9319,175.8371,179.7656,446319.0,0.4635
2023-11-07,180.7104,182.5006,176.1355,180.9591,330911.0,0.4700
2023-11-08,180.9591,184.7881,179.2186,183.2466,713341.0,0.6220
2023-11-09,173.8978,180.9591,167.284,177.9257,1846352.0,0.5058
2023-11-12,179.3678,182.7493,176.0858,179.1192,494636.0,0.3904
2023-11-14,181.8045,182.8488,178.2241,179.0694,697474.0,0.3233
2023-11-15,180.0143,182.799,179.0197,179.6662,188069.0,0.4906
2023-11-16,181.6055,181.6055,175.9863,179.3181,540827.0,0.2649
2023-11-19,179.0694,182.0034,170.5163,171.3616,426856.0,0.6474
2023-11-20,172.9032,174.6437,167.0353,168.1293,446052.0,0.5674
2023-11-21,169.2731,171.7097,168.0796,169.1736,308250.0,0.4639
2023-11-22,172.9529,172.9529,168.378,170.8644,351225.0,0.4324
2023-11-23,171.8589,174.0469,168.5769,170.4665,288753.0,0.4463
2023-11-27,172.0578,172.5054,167.284,169.5217,257459.0,0.6095
2023-11-28,170.9638,172.0081,168.0796,169.2233,284108.0,0.6256
2023-11-29,170.3671,170.9638,167.4829,168.9747,248329.0,0.6122
2023-11-30,169.1736,170.1185,168.3283,169.1239,142175.0,0.6580
2023-12-03,172.0578,176.235,168.5272,171.7097,647595.0,0.4801
2023-12-04,173.1518,177.4284,170.7649,175.8869,463765.0,0.4788
2023-12-05,176.782,176.9311,171.3119,171.9086,272101.0,0.5183
2023-12-06,173.0524,177.8262,171.7595,175.7377,265601.0,0.5604
2023-12-07,176.4836,177.0306,168.7758,170.2179,259386.0,0.5673
2023-12-10,170.4168,170.8644,165.3446,169.0244,485360.0,0.6647
2023-12-11,169.9693,170.4665,166.0905,166.8862,287295.0,0.7319
2023-12-12,167.3337,175.0415,165.5435,170.6655,381466.0,0.5117
2023-12-13,170.566,173.5496,169.2233,170.1682,282900.0,0.5328
2023-12-14,171.3119,172.5551,167.7315,168.4277,220167.0,0.6118
2023-12-17,169.5217,169.8201,167.0851,167.4829,165259.0,0.5912
2023-12-18,168.7758,169.0244,165.8916,166.9856,289008.0,0.6467
2023-12-19,167.9802,169.0742,159.2281,161.1177,622515.0,0.6721
2023-12-20,161.1177,170.8644,153.1116,164.0019,4097509.0,0.2409
2023-12-21,164.7976,169.0742,161.6647,162.9079,618413.0,0.4989
2023-12-25,163.2063,164.5489,160.521,161.8636,459528.0,0.6894
2023-12-26,162.3112,167.4332,161.8636,163.1566,309180.0,0.5703
2023-12-27,163.1566,164.897,159.3773,160.3718,199611.0,0.5844
2023-12-28,161.1177,162.1123,158.2335,159.1784,173128.0,0.5926
2023-12-31,159.9243,162.1123,158.9297,160.3718,188257.0,0.5251
2024-01-01,160.1729,165.4441,158.1341,162.3112,268856.0,0.4586
2024-01-02,162.3112,168.0299,161.6647,163.7533,437630.0,0.4933
2024-01-03,165.0959,167.3337,162.1123,164.4992,238276.0,0.5392
2024-01-04,164.9965,174.5442,164.9965,170.7649,892628.0,0.4631
2024-01-07,171.7097,171.7097,166.9856,167.3834,257491.0,0.5803
2024-01-08,167.9801,177.329,166.5878,172.5551,618189.0,0.5282
2024-01-09,172.6546,173.4005,167.3834,168.8752,220051.0,0.5155
2024-01-10,169.8698,174.2956,168.1791,170.1682,369004.0,0.5703
2024-01-11,171.0633,173.7486,170.019,171.1627,233769.0,0.5552
2024-01-14,171.1627,171.1627,171.1627,171.1627,0.0,0.6009
2024-01-15,170.1184,172.6048,166.0905,170.019,334077.0,0.5960
2024-01-16,168.9747,172.0578,166.0905,166.8364,244240.0,0.5304
2024-01-17,166.6872,170.4168,164.2009,165.6927,302933.0,0.5061
2024-01-18,167.3834,168.6763,160.8691,162.9079,201992.0,0.5470
