Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,24.0,24.35,22.65,23.8,148036.0,0.7647
2023-06-06,24.3,25.0,24.1,24.6,82705.0,0.8539
2023-06-07,25.8,27.05,24.5,26.9,394970.0,0.6469
2023-06-08,26.7,27.8,26.55,27.05,189062.0,0.7365
2023-06-11,27.2,27.2,26.5,26.75,92143.0,0.8647
2023-06-12,27.2,27.5,25.35,26.65,205485.0,0.6441
2023-06-13,26.55,26.7,26.25,26.3,47073.0,0.6836
2023-06-14,26.3,27.9,26.3,27.55,164961.0,0.7638
2023-06-15,27.55,30.0,27.55,29.8,328485.0,0.7426
2023-06-18,29.85,32.45,29.8,31.5,377233.0,0.5960
2023-06-19,31.5,32.2,31.05,31.4,143803.0,0.8805
2023-06-20,31.9,32.1,30.45,30.6,146024.0,0.7379
2023-06-21,30.4,30.4,29.1,29.1,62498.0,0.7379
2023-06-22,28.9,28.9,27.65,28.2,49651.0,0.7379
2023-06-25,28.1,28.3,26.8,27.6,26927.0,0.7379
2023-06-26,27.5,28.95,27.5,28.95,56979.0,0.7379
2023-06-27,28.95,29.85,28.4,28.9,29247.0,0.7379
2023-06-29,28.35,30.0,28.35,29.75,68563.0,0.7379
2023-07-02,29.75,30.7,28.35,29.0,75142.0,0.7379
2023-07-03,29.05,29.5,28.5,29.2,42999.0,0.7379
2023-07-04,29.5,29.5,28.8,29.0,34037.0,0.7379
2023-07-05,29.0,29.55,28.5,28.7,34598.0,0.7379
2023-07-06,28.6,29.7,28.4,29.3,37151.0,0.7379
2023-07-09,29.3,29.5,28.1,28.65,32908.0,0.7379
2023-07-10,28.3,29.3,28.3,28.75,23400.0,0.7379
2023-07-11,28.1,29.25,28.0,28.15,33396.0,0.7379
2023-07-12,28.05,29.2,28.0,28.3,50430.0,0.7379
2023-07-13,28.15,28.85,28.0,28.2,19352.0,0.7379
2023-07-16,28.0,28.5,27.95,28.15,21895.0,0.7379
2023-07-17,28.7,28.7,27.3,27.6,27861.0,0.7379
2023-07-18,28.2,28.25,27.1,27.95,32268.0,0.7379
2023-07-19,27.6,28.65,27.55,28.2,27861.0,0.7379
2023-07-20,28.3,28.45,27.2,27.6,43836.0,0.7379
2023-07-23,28.2,28.2,27.2,27.4,27694.0,0.7379
