Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-19,6.2,6.35,6.1,6.15,374008.0,0.5650
2023-06-20,6.2,6.35,6.15,6.15,344199.0,0.6461
2023-06-21,6.25,6.3,6.1,6.2,278141.0,0.6305
2023-06-22,6.15,6.2,5.55,5.95,923859.0,0.5123
2023-06-25,6.1,6.1,5.9,5.95,106614.0,0.6346
2023-06-26,5.95,6.15,5.95,5.95,141748.0,0.8322
2023-06-27,6.0,6.2,5.75,5.95,386603.0,0.4864
2023-06-29,5.95,6.05,5.85,5.9,268741.0,0.6665
2023-07-02,5.95,7.05,5.9,6.7,3237074.0,0.5487
2023-07-03,6.75,7.0,6.7,6.8,1319767.0,0.6067
2023-07-04,6.95,6.95,6.6,6.65,625862.0,0.6920
2023-07-05,6.7,6.75,6.55,6.6,454617.0,0.5560
2023-07-06,6.65,6.95,6.6,6.8,861465.0,0.6070
2023-07-09,6.95,7.3,6.8,7.05,1001285.0,0.6314
2023-07-10,7.15,7.3,7.05,7.2,775180.0,0.4889
2023-07-11,7.25,7.75,7.2,7.5,2033924.0,0.4563
2023-07-12,7.65,7.8,6.9,7.0,2375560.0,0.4792
2023-07-13,7.15,7.3,6.6,7.0,733718.0,0.5079
2023-07-16,7.15,7.45,6.95,7.2,892602.0,0.4923
2023-07-17,7.25,7.5,7.05,7.15,813268.0,0.4224
2023-07-18,7.15,7.25,7.0,7.15,774045.0,0.5579
2023-07-19,7.2,7.2,7.0,7.05,465425.0,0.7387
2023-07-20,7.0,7.15,6.95,7.05,447076.0,0.7346
2023-07-23,7.1,7.2,6.95,7.0,760977.0,0.4818
2023-07-24,7.0,7.1,6.9,6.95,271414.0,0.6182
2023-07-25,7.0,7.0,6.75,6.85,469850.0,0.6627
2023-07-26,6.75,6.9,6.75,6.8,435860.0,0.5131
2023-07-27,6.85,7.0,6.75,6.8,276439.0,0.4880
2023-07-30,6.9,7.15,6.85,7.0,431172.0,0.6379
2023-07-31,7.05,7.1,6.95,7.0,288016.0,0.6971
2023-08-01,6.95,7.05,6.8,6.85,401038.0,0.6657
2023-08-02,6.9,7.0,6.75,6.85,395327.0,0.5483
2023-08-03,7.0,7.0,6.9,6.95,367189.0,0.6214
2023-08-06,6.95,7.25,6.95,7.15,930107.0,0.5995
2023-08-07,7.25,7.25,7.0,7.0,489811.0,0.6351
2023-08-08,7.1,7.1,7.0,7.05,282882.0,0.5512
2023-08-09,7.05,7.2,7.0,7.05,623432.0,0.5337
2023-08-10,7.0,7.05,6.85,7.0,459763.0,0.6176
2023-08-13,7.1,7.1,6.9,6.95,420384.0,0.7006
2023-08-15,7.1,7.15,7.0,7.0,329513.0,0.6186
2023-08-16,7.1,7.1,6.9,6.95,368327.0,0.5891
2023-08-17,7.0,7.05,6.9,6.95,233971.0,0.5980
2023-08-20,7.05,7.05,6.85,6.9,296351.0,0.5526
2023-08-21,6.95,7.0,6.85,6.9,294703.0,0.7362
2023-08-22,6.9,7.0,6.85,7.0,397577.0,0.6635
2023-08-23,7.0,7.2,6.95,7.05,663451.0,0.5179
2023-08-24,7.1,7.1,6.95,7.0,467518.0,0.5501
2023-08-27,7.05,7.05,6.9,6.95,432204.0,0.7310
2023-08-28,7.0,7.05,6.95,6.95,404739.0,0.6678
2023-08-29,7.0,7.25,7.0,7.15,1143898.0,0.5660
2023-08-30,7.25,7.35,7.15,7.25,748206.0,0.6615
2023-08-31,7.35,7.9,7.25,7.6,2195580.0,0.4269
2023-09-03,8.0,8.4,7.95,8.25,2791003.0,0.5847
2023-09-04,8.4,8.7,8.15,8.3,1916751.0,0.5627
2023-09-05,8.35,8.8,8.3,8.4,1285589.0,0.5836
2023-09-06,8.5,10.05,8.45,9.85,12514277.0,0.3390
2023-09-07,10.0,10.95,9.8,10.4,10899552.0,0.3818
2023-09-10,10.6,10.95,10.5,10.55,3626682.0,0.5518
2023-09-11,10.65,10.65,10.05,10.05,592703.0,0.5518
2023-09-12,9.55,9.55,9.55,9.55,124486.0,0.5518
2023-09-13,9.1,9.1,9.1,9.1,236975.0,0.5518
2023-09-14,8.65,9.55,8.65,9.55,1371367.0,0.5518
2023-09-17,9.5,9.55,9.1,9.1,921101.0,0.5518
2023-09-19,8.95,8.95,8.65,8.7,939139.0,0.5518
2023-09-20,8.5,8.75,8.3,8.3,516508.0,0.5518
2023-09-21,8.3,8.7,8.3,8.7,544979.0,0.5518
2023-09-24,9.1,9.1,8.8,9.1,868998.0,0.5518
2023-09-25,9.25,9.25,8.7,8.9,421560.0,0.5518
2023-09-26,8.9,8.95,8.6,8.65,238138.0,0.5518
2023-09-27,8.65,9.0,8.5,8.65,411504.0,0.5518
2023-09-28,8.65,8.85,8.5,8.65,338411.0,0.5518
2023-10-02,8.75,8.75,8.3,8.45,268809.0,0.5518
2023-10-03,8.45,8.6,8.05,8.1,428866.0,0.5518
2023-10-04,8.25,8.35,8.15,8.25,204077.0,0.5518
2023-10-05,8.3,8.4,8.15,8.2,229424.0,0.5518
2023-10-08,7.9,8.1,7.8,7.8,317201.0,0.5518
2023-10-09,8.0,8.05,7.8,7.85,178703.0,0.5518
2023-10-10,7.9,8.2,7.8,7.95,854766.0,0.5518
2023-10-11,8.0,8.15,7.85,8.0,299437.0,0.5518
2023-10-12,8.05,8.1,7.9,8.0,260390.0,0.5518
2023-10-15,7.95,8.05,7.9,7.95,164693.0,0.5518
2023-10-16,8.0,8.05,7.9,7.95,171479.0,0.5518
2023-10-17,8.0,8.0,7.75,7.85,239971.0,0.5518
2023-10-18,7.9,7.9,7.7,7.85,183028.0,0.5518
2023-10-19,7.95,7.95,7.6,7.7,274052.0,0.5518
2023-10-22,7.75,7.8,7.35,7.4,257275.0,0.5518
2023-10-24,7.5,7.55,7.15,7.2,185332.0,0.5518
2023-10-25,7.25,7.25,6.85,7.15,237285.0,0.5518
2023-10-26,7.2,7.5,7.2,7.5,197613.0,0.5518
2023-10-29,7.65,7.65,7.45,7.55,129472.0,0.5518
2023-10-30,7.55,7.65,7.5,7.55,289006.0,0.5518
2023-10-31,7.5,7.65,7.5,7.55,223560.0,0.5518
2023-11-01,7.6,7.7,7.5,7.6,206493.0,0.5518
2023-11-02,7.65,7.9,7.55,7.8,245483.0,0.5518
2023-11-05,7.8,8.15,7.8,8.15,295161.0,0.5518
2023-11-06,8.45,8.55,8.2,8.5,501941.0,0.5518
2023-11-07,8.85,8.9,8.65,8.9,529966.0,0.5518
2023-11-08,9.25,9.3,8.5,9.0,1418178.0,0.5518
2023-11-09,8.85,8.85,8.85,8.85,76766.0,0.5518
2023-11-12,8.55,8.55,8.55,8.55,225038.0,0.5518
2023-11-14,8.4,8.5,8.4,8.4,137388.0,0.5518
2023-11-15,8.25,8.4,8.25,8.25,140738.0,0.5518
2023-11-16,8.1,8.1,8.1,8.1,109960.0,0.5518
2023-11-19,8.25,8.25,8.25,8.25,339324.0,0.5518
2023-11-20,8.4,8.4,8.4,8.4,107182.0,0.5518
2023-11-21,8.45,8.55,8.45,8.45,203592.0,0.5518
2023-11-22,8.3,8.3,8.3,8.3,31679.0,0.5518
2023-11-23,8.15,8.15,8.15,8.15,61228.0,0.5518
2023-11-27,8.0,8.05,8.0,8.0,117884.0,0.5518
2023-11-28,7.9,8.0,7.9,7.9,81089.0,0.5518
2023-11-29,7.75,7.8,7.75,7.75,129881.0,0.5518
2023-11-30,7.6,7.75,7.6,7.6,161038.0,0.5518
2023-12-03,7.55,7.6,7.55,7.55,135033.0,0.5518
2023-12-04,7.65,7.7,7.6,7.65,78529.0,0.5518
2023-12-05,7.65,7.65,7.65,7.65,59191.0,0.5518
