Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-07-03,61.3015,65.4209,55.9069,57.4419,52327500.0,0.4829
2023-07-04,56.6916,58.1285,55.4165,57.2458,7298180.0,0.4341
2023-07-05,57.7705,60.1735,56.9711,58.6483,7001560.0,0.5728
2023-07-06,58.8494,59.3398,57.1869,57.6381,3020790.0,0.5385
2023-07-09,57.6724,57.8686,56.5935,56.7652,1368400.0,0.4553
2023-07-10,56.5935,58.0648,56.4023,57.5547,1556520.0,0.5388
2023-07-11,57.2801,58.1825,56.6916,57.1428,1090430.0,0.5876
2023-07-12,57.0202,57.9667,55.4165,57.2752,2633180.0,0.4494
2023-07-13,57.7607,57.8588,56.5592,56.8681,936960.0,0.6142
2023-07-16,56.8289,59.0652,56.5641,57.952,2242720.0,0.6680
2023-07-17,58.0648,58.5552,57.0839,57.7264,804780.0,0.5477
2023-07-18,57.7264,60.5168,57.2801,59.8057,3541260.0,0.5895
2023-07-19,60.6149,61.8703,59.3791,61.6006,3381730.0,0.5334
2023-07-20,61.7576,62.6158,60.914,61.8164,1865910.0,0.5074
2023-07-23,61.8164,62.3411,60.2226,60.7914,889440.0,0.5618
2023-07-24,60.7081,61.6693,60.046,60.2814,596880.0,0.5422
2023-07-25,60.3157,60.6149,59.2025,59.6733,760000.0,0.4855
2023-07-26,60.1245,60.1245,59.2417,59.4624,459510.0,0.7026
2023-07-27,59.7321,60.4727,57.4272,58.5552,1775320.0,0.6746
2023-07-30,58.5552,59.7076,57.5106,59.281,1997320.0,0.7447
2023-07-31,57.8686,60.0166,57.8686,59.0554,1251010.0,0.5867
2023-08-01,59.4379,59.4379,57.7705,57.9471,872960.0,0.7252
2023-08-02,58.359,58.4571,57.9618,58.2854,281390.0,0.6338
2023-08-03,58.614,60.0264,58.359,59.1289,720610.0,0.5514
2023-08-06,59.3398,60.4089,58.8494,59.9872,786810.0,0.5774
2023-08-07,59.9283,60.4825,59.2025,59.9038,546010.0,0.5550
2023-08-08,59.7322,60.4874,59.3447,59.6782,519030.0,0.5307
2023-08-09,59.2417,61.4486,59.2417,60.9533,1009050.0,0.5914
2023-08-10,61.7232,61.7232,60.3206,61.2524,461690.0,0.5080
2023-08-13,60.5168,63.5279,60.5168,62.4294,2427900.0,0.6565
2023-08-15,63.2631,63.6554,61.1053,62.8904,1666110.0,0.6674
2023-08-16,63.6505,63.6505,61.326,61.7134,624540.0,0.5524
2023-08-17,61.7134,62.0763,60.5168,60.9484,1898200.0,0.8694
2023-08-20,62.4147,62.4147,61.1543,61.8017,388260.0,0.6955
2023-08-21,61.89,62.5864,61.0563,62.3215,605180.0,0.6534
2023-08-22,62.3215,62.9689,61.1249,61.3456,396710.0,0.5871
2023-08-23,61.3064,62.0567,60.8307,60.8846,239730.0,0.6069
2023-08-24,60.8111,61.3799,59.8351,61.2083,271520.0,0.5779
2023-08-27,61.7772,64.1949,61.1396,62.6011,1476450.0,0.5416
2023-08-28,63.5525,63.5525,62.3804,62.6256,272290.0,0.6693
2023-08-29,63.5672,67.4807,62.0518,66.1565,1828430.0,0.6444
2023-08-30,66.4949,70.6193,66.4949,68.2212,2543320.0,0.4764
2023-08-31,68.9519,75.0428,68.7361,74.9447,3061780.0,0.4639
2023-09-03,75.5332,79.4369,75.5234,78.0834,2789040.0,0.5416
2023-09-04,79.4467,82.3794,79.4467,80.9768,2168610.0,0.4627
2023-09-05,81.7909,81.8988,76.9946,78.7552,1112710.0,0.4752
2023-09-06,79.4467,81.3005,77.588,80.2216,725230.0,0.5600
2023-09-07,81.3887,82.0949,76.7151,78.3286,659940.0,0.5080
2023-09-10,77.0241,80.5354,77.0241,79.5595,444520.0,0.6202
2023-09-11,80.4226,80.4226,75.7196,76.3963,853780.0,0.5346
2023-09-12,76.9848,79.5448,75.0428,76.975,790340.0,0.5504
2023-09-13,77.6812,80.0352,77.0927,77.7254,804240.0,0.5154
2023-09-14,79.4434,80.9301,77.0903,77.7647,847520.0,0.4949
2023-09-17,78.7591,81.5208,77.9321,78.2176,1481090.0,0.5228
2023-09-19,78.5918,78.7641,77.3118,77.8041,309640.0,0.6021
2023-09-20,78.4638,78.4638,75.3575,76.1845,394730.0,0.5515
2023-09-21,76.4947,76.9771,74.1613,75.1065,321070.0,0.5060
2023-09-24,75.1065,77.6958,74.9243,76.4996,560400.0,0.6940
2023-09-25,77.745,77.745,75.1163,75.4215,251110.0,0.6668
2023-09-26,75.0277,76.1058,74.3336,74.6979,436550.0,0.6913
2023-09-27,74.3828,74.9735,71.7787,72.3005,801120.0,0.7354
2023-09-28,71.8771,75.3083,71.8771,73.6887,406830.0,0.5116
2023-10-02,73.6887,74.1219,72.5269,72.8075,210770.0,0.5320
2023-10-03,72.7632,73.0537,71.5818,72.3251,297550.0,0.5858
2023-10-04,72.4629,74.5305,71.6802,72.4826,295110.0,0.6046
2023-10-05,73.1767,73.1767,70.7449,71.1239,931410.0,0.7396
2023-10-08,69.3222,71.4735,67.934,70.036,1594590.0,0.6238
2023-10-09,69.9031,71.7688,69.9031,70.6809,182080.0,0.4472
2023-10-10,71.2815,72.0691,70.2231,70.6464,326000.0,0.7740
2023-10-11,70.868,71.6408,69.6225,71.1879,418540.0,0.6387
2023-10-12,71.1879,71.8181,70.1148,70.8532,1554020.0,0.5992
2023-10-15,70.1443,71.8722,69.1204,70.9763,483420.0,0.7121
2023-10-16,70.9467,71.6851,70.6908,71.2864,413430.0,0.7648
2023-10-17,70.3461,74.5305,70.3461,72.2808,1051060.0,0.5488
2023-10-18,72.266,72.4236,71.183,71.5276,653440.0,0.8044
2023-10-19,70.5923,71.4833,69.9228,70.3068,328070.0,0.6786
2023-10-22,71.4784,71.4784,65.5809,69.0958,1685910.0,0.6751
2023-10-24,69.9031,70.4889,65.9698,67.1611,311120.0,0.5283
2023-10-25,69.3124,69.8047,64.493,66.2209,807510.0,0.5815
2023-10-26,68.8004,69.1155,67.1021,68.8841,304130.0,0.5089
2023-10-29,70.1985,70.3954,66.8362,67.422,679940.0,0.7313
2023-10-30,68.6232,69.5487,67.0774,67.9439,475020.0,0.7281
2023-10-31,68.0325,68.9087,67.8011,68.3918,226800.0,0.7644
2023-11-01,68.3869,71.1239,68.0965,68.9973,1262100.0,0.8092
