Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-19,60.5,60.85,59.6,60.3,108455.0,0.6309
2023-06-20,60.95,61.5,60.0,60.15,66307.0,0.6073
2023-06-21,60.4,61.0,59.5,59.7,38817.0,0.6717
2023-06-22,60.0,60.0,57.9,58.25,42504.0,0.6742
2023-06-25,58.1,59.2,58.0,58.95,24466.0,0.6919
2023-06-26,59.95,65.0,59.95,62.75,315643.0,0.5115
2023-06-27,63.1,64.9,62.0,64.2,122749.0,0.6623
2023-06-29,65.0,65.0,61.9,62.55,73107.0,0.6188
2023-07-02,63.4,64.0,61.75,62.95,51515.0,0.6578
2023-07-03,60.05,63.05,60.05,62.65,40288.0,0.6578
2023-07-04,61.5,63.1,61.05,62.15,62919.0,0.6578
2023-07-05,61.5,63.9,61.5,62.25,59025.0,0.6578
2023-07-06,61.5,63.0,61.5,61.75,27092.0,0.6578
2023-07-09,63.4,63.4,61.5,62.05,29784.0,0.6578
2023-07-10,62.05,62.85,61.0,61.25,16373.0,0.6578
2023-07-11,61.5,62.5,60.75,62.0,32870.0,0.6578
2023-07-12,62.95,62.95,60.6,60.9,14739.0,0.6578
2023-07-13,60.9,62.9,60.1,62.65,63156.0,0.6578
2023-07-16,62.65,62.65,59.7,61.55,46254.0,0.6578
2023-07-17,61.0,64.6,61.0,64.05,65277.0,0.6578
2023-07-18,64.0,66.0,63.0,63.45,32939.0,0.6578
2023-07-19,64.0,66.0,63.0,64.9,44334.0,0.6578
2023-07-20,63.05,68.1,63.05,68.05,247625.0,0.6578
2023-07-23,68.05,69.0,66.2,67.3,153339.0,0.6578
2023-07-24,67.2,68.3,66.05,67.0,63603.0,0.6578
2023-07-25,66.95,70.35,66.95,68.6,98908.0,0.6578
2023-07-26,68.6,70.35,65.2,66.65,133478.0,0.6578
2023-07-27,67.05,67.05,63.65,64.85,77407.0,0.6578
2023-07-30,65.75,65.75,61.9,62.45,52100.0,0.6578
2023-07-31,62.45,63.4,61.75,62.4,40004.0,0.6578
2023-08-01,62.9,62.9,60.0,60.85,47234.0,0.6578
2023-08-02,60.8,62.35,60.0,61.1,38084.0,0.6578
2023-08-03,61.9,64.15,61.5,62.95,76244.0,0.6578
2023-08-06,63.95,64.0,60.25,62.3,37625.0,0.6578
2023-08-07,62.35,63.0,61.0,61.4,22698.0,0.6578
2023-08-08,61.5,64.0,61.05,63.0,22359.0,0.6578
2023-08-09,63.85,65.25,62.0,64.8,52954.0,0.6578
2023-08-10,63.5,67.05,63.5,66.85,103598.0,0.6578
2023-08-13,66.85,70.1,64.1,67.6,142312.0,0.6578
2023-08-15,67.6,70.95,65.1,70.95,195018.0,0.6578
2023-08-16,71.05,74.45,70.0,74.45,329465.0,0.6578
2023-08-17,73.0,73.75,73.0,73.0,102243.0,0.6578
2023-08-20,74.45,74.45,71.65,74.45,101719.0,0.6578
2023-08-21,75.9,75.9,75.9,75.9,96859.0,0.6578
2023-08-22,74.4,75.4,74.4,74.4,16090.0,0.6578
2023-08-23,72.95,72.95,72.95,72.95,16879.0,0.6578
2023-08-24,71.5,71.5,71.5,71.5,1464.0,0.6578
2023-08-27,70.1,70.1,70.1,70.1,12671.0,0.6578
2023-08-28,68.7,68.7,68.7,68.7,50262.0,0.6578
2023-08-29,67.55,69.1,67.5,67.55,29624.0,0.6578
2023-08-30,67.55,67.75,67.55,67.55,26893.0,0.6578
2023-08-31,68.9,68.9,68.9,68.9,26063.0,0.6578
2023-09-03,70.25,70.25,70.25,70.25,16604.0,0.6578
2023-09-04,71.65,71.65,71.5,71.65,17552.0,0.6578
2023-09-05,70.3,73.05,70.3,70.3,49907.0,0.6578
2023-09-06,71.7,71.7,70.0,71.7,14885.0,0.6578
