Date,Open,High,Low,Close,Volume,Delivery_Percentage
2023-06-05,8.7500,8.8500,8.2500,8.8500,8806.0000,0.3247
2023-06-06,8.8500,8.9000,8.4000,8.9000,5527.0000,0.6704
2023-06-07,8.7500,9.2500,8.4500,9.0000,8163.0000,0.5392
2023-06-08,8.5500,9.0000,8.5500,8.6000,559.0000,0.4592
2023-06-11,8.6500,9.0000,8.2500,8.3500,2821.0000,0.1936
2023-06-12,8.4000,8.5000,8.3000,8.3000,2336.0000,0.1936
2023-06-13,8.3000,8.7000,8.3000,8.3500,3087.0000,0.1349
2023-06-14,8.7500,8.7500,8.1000,8.3000,1121.0000,0.6197
2023-06-15,8.3000,8.7000,7.9000,8.2000,4179.0000,0.4607
2023-06-18,8.3000,8.3000,8.2500,8.2500,150.0000,0.5248
2023-06-19,8.0000,8.6500,7.8500,8.5000,20823.0000,0.1124
2023-06-20,8.8000,8.8000,8.1500,8.2000,899.0000,0.6819
2023-06-21,8.2000,8.6000,7.8000,8.5500,1913.0000,0.5995
2023-06-22,8.2500,8.5500,8.2500,8.2500,856.0000,0.2274
2023-06-25,8.2500,8.5500,7.8500,7.8500,13277.0000,0.2091
2023-06-26,7.5000,8.2000,7.4500,7.5500,1592.0000,0.2100
2023-06-27,7.5500,7.9000,7.2000,7.9000,2757.0000,0.2825
2023-06-29,8.2500,8.2500,7.5500,8.1000,1119.0000,0.4149
2023-07-02,8.3000,8.4500,7.7000,8.1500,2316.0000,0.3592
2023-07-03,8.3500,8.3500,8.0500,8.0500,832.0000,0.2747
2023-07-04,8.3500,8.3500,7.7000,7.7500,2865.0000,0.4671
2023-07-05,7.7500,8.1000,7.7500,8.0000,1665.0000,0.1837
2023-07-06,8.2000,8.3000,7.6000,8.1000,205.0000,0.2753
2023-07-09,8.2500,8.2500,7.7000,7.8000,344.0000,0.3198
2023-07-10,7.8000,8.1500,7.7000,7.7500,4799.0000,0.3736
2023-07-11,7.7500,7.7500,7.5500,7.5500,150.0000,0.5711
2023-07-12,7.5500,7.9000,7.2000,7.2000,1887.0000,0.2198
2023-07-13,7.2000,7.5000,7.0000,7.4000,14135.0000,0.4085
2023-07-16,7.4000,7.7500,7.4000,7.5000,9682.0000,0.4554
2023-07-17,7.5000,7.8500,7.1500,7.3000,4233.0000,0.1279
2023-07-18,7.3000,7.6500,7.0000,7.6500,3355.0000,0.4645
2023-07-19,7.9000,8.0000,7.3000,7.3000,14161.0000,0.2023
2023-07-20,7.6000,7.6000,7.6000,7.6000,225.0000,0.1390
2023-07-23,7.8000,7.9500,7.7000,7.7000,2264.0000,0.6693
2023-07-24,7.6500,7.9500,7.3500,7.9500,5172.0000,0.6794
2023-07-25,7.8500,8.2500,7.5500,8.1000,2253.0000,0.5850
2023-07-26,8.2000,8.4000,7.7500,7.8000,6107.0000,0.2828
2023-07-27,8.0000,8.0000,7.5500,7.9500,2793.0000,0.1586
2023-07-30,8.3000,8.3000,7.6500,7.8500,7767.0000,0.5105
2023-07-31,7.8500,8.2000,7.8500,8.2000,7615.0000,0.3641
2023-08-01,8.2000,8.6000,8.2000,8.6000,11711.0000,0.1732
2023-08-02,8.9000,8.9000,8.2000,8.5000,36241.0000,0.3971
2023-08-03,8.7000,8.7000,8.1000,8.6500,9919.0000,0.1206
2023-08-06,8.6500,8.6500,8.2500,8.3000,699.0000,0.6456
2023-08-07,8.3000,8.6500,7.9000,8.3000,8124.0000,0.2553
2023-08-08,8.0000,8.6000,7.9000,8.4500,16139.0000,0.4975
2023-08-09,8.0500,8.6000,8.0500,8.4500,5202.0000,0.2870
2023-08-10,8.5500,8.5500,8.1000,8.1000,3830.0000,0.4120
2023-08-13,8.1000,8.5000,8.0000,8.2500,2256.0000,0.4280
